,url,price,title,distance,description,location,time_offset,retreived
1499839602,/v-amp-pedal/city-of-toronto/fender-amplifier-x-15-guitar-amp/1499839602,70.0,Fender Amplifier (X-15 Guitar Amp),,"Excellent Condition Model Name: Fender X15 Amplifier Model: Serial Number: LO - 35060 Series: Vintage Modified Amps Colour: Black and Silver Electronics: Controls: Volume 1, Channel Select, Gain, ...",City of Toronto,< 6 minutes ago,2020-10-07 18:18:30.679556
1528480099,/v-amp-pedal/city-of-toronto/fortin-zuul/1528480099,225.0,Fortin Zuul,,Excellent condition Fortin Zuul noise gate pedal. If your reading this you know what this pedal is all about. One of the best noise gate pedals on the market.,City of Toronto,< 59 minutes ago,2020-10-07 18:18:30.680049
1528478593,/v-amp-pedal/city-of-toronto/khdk-gary-holt-limited-paranormal-pedal/1528478593,500.0,KHDK Gary Holt Limited Paranormal Pedal,,Excellent condition KHDK Gary Holt Paranormal EQ / overdrive pedal. These were a small limited numbered run pedal that are hard to find. Pedal is in like new condition and only used once to test it ...,City of Toronto,< 2 hours ago,2020-10-07 18:18:30.680539
1528474873,/v-amp-pedal/city-of-toronto/kemper-profile-black-amp-profiler-guitar-modeling-amp/1528474873,1800.0,Kemper Profile Black (Amp Profiler / Guitar Modeling Amp),,I've gotten out of recording so I'm looking to sell my Kemper. It's about 4 years old but honestly works like new. I have a traveling case for it too.,City of Toronto,< 2 hours ago,2020-10-07 18:18:30.681029
1528472651,/v-amp-pedal/city-of-toronto/ibanez-guitar-bass-pedal/1528472651,50.0,IBANEZ GUITAR /BASS PEDAL,,IBANEZ BASS/GUITAR PEDAL $50- YAMAHA MIDI EXPENDER $50- BOX OF MANY MICRPHONES AND OTHER MUSIC CABLES $50- PLEASE CALL 416-455-9055,City of Toronto,< 2 hours ago,2020-10-07 18:18:30.681519
1528457382,/v-amp-pedal/city-of-toronto/two-rock-studio-signature-35w-combo-tobacco-suede/1528457382,4000.0,Two-Rock Studio Signature 35W Combo (Tobacco Suede),,"Up for sale is a recently purchased Two-Rock Studio Signature 35W Combo in vintage tobacco suede leather (matchless, carr, fender, tone king). I purchased this amp a few weeks ago and was so ...",City of Toronto,< 4 hours ago,2020-10-07 18:18:30.682203
1528456008,/v-amp-pedal/city-of-toronto/boss-cs3-compressor-and-sustainer/1528456008,80.0,Boss cs3 compressor and sustainer,,Hello Looking to sell the boss cs-3 compressor/sustainer for 80 or trade for something cool Please leave a name and a number,City of Toronto,< 4 hours ago,2020-10-07 18:18:30.682691
1528453511,/v-amp-pedal/city-of-toronto/subdecay-harmonic-antagonizer-fuzz-ish/1528453511,200.0,Subdecay Harmonic Antagonizer Fuzz...ish,,The Subdecay Harmonic Antagonizer pedal. In mint cosmetic condition and perfect working order. “The Subdecay Harmonic Antagonizer is a fuzz/noise generator built as an antithesis to vintage-inspired ...,City of Toronto,< 4 hours ago,2020-10-07 18:18:30.683181
1528450215,/v-amp-pedal/city-of-toronto/reverb-pedal/1528450215,40.0,Reverb Pedal,,Donner Reverb Pedal https://www.youtube.com/watch?v=KrvPH5qD1bM $40 Cash only please Pick up at Danforth and Broadview,City of Toronto,< 4 hours ago,2020-10-07 18:18:30.683682
1528445859,/v-amp-pedal/city-of-toronto/deluxe-reverb-ii-paul-rivera-era/1528445859,1200.0,Deluxe reverb ii - Paul Rivera era,,Contact me for details!,City of Toronto,< 4 hours ago,2020-10-07 18:18:30.684173
1528444381,/v-amp-pedal/city-of-toronto/mxr-bass-octave-deluxe/1528444381,100.0,MXR Bass Octave Deluxe,,MXR Bass Octave Deluxe $100 Cash only please Pick up Danforth and Broadview,City of Toronto,< 5 hours ago,2020-10-07 18:18:30.684665
1528442856,/v-amp-pedal/city-of-toronto/guitar-pedals-ibanez-ehx-joyo/1528442856,1234.0,"Guitar pedals (Ibanez, ehx, joyo)",,"Switching up my rig (again...) so need to make some room! 1. Ibanez Tube Screamer ts9dx - $130 same circuit as the famous TS, with 3 additional mods for different voices. Great, reliable pedal 2. EHX ...",City of Toronto,< 5 hours ago,2020-10-07 18:18:30.685155
1528441690,/v-amp-pedal/city-of-toronto/randell-guitar-amp-4-button-foot-switch/1528441690,40.0,Randell Guitar Amp 4 Button Foot Switch,,"For sale Randell guitar amp 4 button foot switch. 4 button,6 pin. Sorry i do not have the cable for it. In good working condition. $40",City of Toronto,< 5 hours ago,2020-10-07 18:18:30.685648
1528441405,/v-amp-pedal/city-of-toronto/chase-bliss-audio-dark-world-reverb-pedal/1528441405,475.0,Chase Bliss Audio Dark World Reverb Pedal,,"The Dark World from Chase Bliss Audio is a dual channel reverb, essentially two reverb pedals in one. Each of the sides has three reverb modes - 3 classic reverbs on the ‘World’ side (Plate, Hall and ...",City of Toronto,< 5 hours ago,2020-10-07 18:18:30.686203
1528441002,/v-amp-pedal/city-of-toronto/bass-pedal-wah-wah-volume-expression-pedal/1528441002,80.0,Bass Pedal - Wah Wah / Volume / Expression Pedal,,Hotone Bass Press Volume/ Expression/ Wah-Wah Pedal $80 Cash only please Pick up Danforth and Broadview,City of Toronto,< 5 hours ago,2020-10-07 18:18:30.686697
1528435271,/v-amp-pedal/city-of-toronto/headrush-gigboard/1528435271,700.0,Headrush Gigboard,,"Excellent all in one multi fx guitar pedal Like new condition. Comes with power supply, usb cable, box and manual. Line 6, Helix, Headrush, Kemper, Multi fx, guitar, pedalboard, guitar pedals",City of Toronto,< 5 hours ago,2020-10-07 18:18:30.687185
1528432330,/v-amp-pedal/city-of-toronto/peavey-delta-blues-210-all-tube-amp-usa-made/1528432330,525.0,Peavey Delta Blues 210 all tube amp - USA made,,"Hi, I’m offering my blues workhorse Peavey Delta Blues all tube amp for sale. This is the model with 2 10” Blue Marvel speakers, and made in the USA. It has a great, classic look to it and kicks out ...",City of Toronto,< 6 hours ago,2020-10-07 18:18:30.687735
1528430011,/v-amp-pedal/city-of-toronto/70s-fender-bassman-2x15-cabinet/1528430011,400.0,70's Fender Bassman 2x15 Cabinet,,"Original JBL speakers. Sounds great. Rough tolex which is how these should look, cool cool. My back can't handle this thing anymore.",City of Toronto,< 6 hours ago,2020-10-07 18:18:30.688226
1528429483,/v-amp-pedal/city-of-toronto/1966-kalamazoo-reverb-12-by-gibson-combo-amp-handwired/1528429483,590.0,"1966 Kalamazoo Reverb 12 by Gibson combo amp, handwired",,"1966 Kalamazoo Reverb 12 by Gibson combo amp, handwired, point to point tube amp Gibson version of a Princeton Reverb - about the same size 12 watts from two cathode biased EL84 tubes and three ...",City of Toronto,< 6 hours ago,2020-10-07 18:18:30.688715
1528428174,/v-amp-pedal/city-of-toronto/behringer-xenyx-802-premium-mixer/1528428174,70.0,Behringer XENYX 802 Premium Mixer!!!,,"Premium ultra low-noise, high headroom analog mixer 2 state-of-the-art XENYX Mic Preamps comparable to standalone boutique preamps Neo-classic ''British'' 3-band EQs for warm and musical sound 1 post ...",City of Toronto,< 6 hours ago,2020-10-07 18:18:30.689204
1528424502,/v-amp-pedal/city-of-toronto/wampler-pinnacle-deluxe-v2/1528424502,180.0,Wampler Pinnacle Deluxe v2,,Excellent working and cosmetic condition. Has Velcro underneath.,City of Toronto,< 6 hours ago,2020-10-07 18:18:30.689725
1528416913,/v-amp-pedal/city-of-toronto/strymon-dbucket-chorus-and-vibrato/1528416913,300.0,Strymon dBucket Chorus and Vibrato,,"*No trades, cash only please This is a great and flexible chorus pedal. The chorus type is a traditional chorus effect where you can hear defined oscillations whereas the multi type has several going ...",City of Toronto,< 7 hours ago,2020-10-07 18:18:30.690229
1528414370,/v-amp-pedal/city-of-toronto/boss-lmb-2-bass-limiter-enhancer/1528414370,115.0,Boss LMB-2 Bass Limiter Enhancer,,"*No trades, cash only please Selling as I wade through the world of bass compression, limiters, etc.",City of Toronto,< 7 hours ago,2020-10-07 18:18:30.690917
1528413906,/v-amp-pedal/city-of-toronto/guitar-amp-footswitch-like-new/1528413906,40.0,Guitar Amp Footswitch (Like New),,Like new. Price is firm. If interested text at 647-226-7111. Must be willing to meet near markham rd and Sheppard. This pedal works with multiple other amps to switch channels and turn reverb on and ...,City of Toronto,< 7 hours ago,2020-10-07 18:18:30.691417
1528411717,/v-amp-pedal/city-of-toronto/original-1965-fender-super-reverb/1528411717,3500.0,ORIGINAL 1965 Fender Super Reverb,,"The definitive Super Reverb- original 1965 model as favoured by collectors and players inclding SRV, Robben Ford, Jimmy Page, Wes Montgomery, Derek Trucks, Alex Lifeson. Innards refreshed as needed, ...",City of Toronto,< 7 hours ago,2020-10-07 18:18:30.691878
1528409466,/v-amp-pedal/city-of-toronto/voodoo-lab-pedal-power-x4-isolated-power-supply/1528409466,115.0,Voodoo Lab Pedal Power X4 Isolated Power Supply,,"*No trades, cash only please Here is a strong and silent 4 output power supply for sale. I'm selling it because I got an Ojai. Here's the specs: • Four isolated 9V outputs • Delivers a total of ...",City of Toronto,< 7 hours ago,2020-10-07 18:18:30.692370
1503556304,/v-amp-pedal/city-of-toronto/behringer-v-amp-2-with-fs112v-footswitch/1503556304,75.0,Behringer v-amp 2 with FS112V footswitch,,Behringer v-amp 2 guitar amp with dual footswitch for amplifier. No power supply.,City of Toronto,< 8 hours ago,2020-10-07 18:18:30.692857
1523468700,/v-amp-pedal/city-of-toronto/peavey-bandit-112-combo-amp-great-condition/1523468700,275.0,Peavey Bandit 112 Combo Amp ** Great Condition,,"Great condition Peavey Bandit 112 Amp. 100 watt, from Peavey's transtube series. Complete with footswitch. $275 OBO.",City of Toronto,< 8 hours ago,2020-10-07 18:18:30.693437
1528402561,/v-amp-pedal/city-of-toronto/zvex-instant-lo-fi-junky-vexter/1528402561,225.0,Zvex Instant Lo-Fi Junky (Vexter),,"One of the all-time greats, providing gorgeous compression, dusty warbles, and a blend knob for chorus effects. Suitable for virtually any instrument, and ESPECIALLY delightful in a re-sampling ...",City of Toronto,< 8 hours ago,2020-10-07 18:18:30.693937
1528402117,/v-amp-pedal/city-of-toronto/fender-boutique-amplifier-with-upgrades/1528402117,575.0,Fender boutique Amplifier with upgrades,,"CASH OR TRADE Fender Vaporizer ltd edition Mint condition with upgraded Celestian greenback speakers worth $250 alone The G12M Greenback has evolved over the decades but still retains its essential, ...",City of Toronto,< 8 hours ago,2020-10-07 18:18:30.694431
1528401695,/v-amp-pedal/city-of-toronto/hand-crafted-fuzz-muff-clone/1528401695,50.0,Hand-Crafted Fuzz Muff Clone,,"Hand-crafted Fuzz pedal, Big Muff Pi clone. 4 Knobs. Sounds great!",City of Toronto,< 8 hours ago,2020-10-07 18:18:30.694921
1528401555,/v-amp-pedal/city-of-toronto/ibanez-dl5-delay-hybrid-delay-echo/1528401555,65.0,Ibanez DL5 Delay / Hybrid Delay Echo,,"1990's Ibanez 'Soundtank' Delay Pedal Hidden gem, soft lush delay, warm tone usually found only on vintage high-priced analog echo-delay pedals. Hybrid between an analog and a digital delay, uses a ...",City of Toronto,< 8 hours ago,2020-10-07 18:18:30.695423
1528397804,/v-amp-pedal/city-of-toronto/fs-ft:-boss-stereo-volume-pedal/1528397804,80.0,FS/FT: Boss Stereo Volume Pedal,,"Works perfectly, mint condition. Asking $80 OBO or trade for other pedals. Located near Bathurst and Dupont M6G1Y7.",City of Toronto,< 8 hours ago,2020-10-07 18:18:30.696169
1528395248,/v-amp-pedal/city-of-toronto/line-6-bass-pod-xt-pro-with-rack-mount-case/1528395248,400.0,Line 6 Bass POD XT Pro with rack mount case,,"Line 6 Bass POD XT Pro with rack mount case Always been in the rack case and in very good condition. The Line 6 Bass PODxt Pro features 28 amp models, 22 cab models, and more than 50 stompbox and ...",City of Toronto,< 9 hours ago,2020-10-07 18:18:30.696669
1528389797,/v-amp-pedal/city-of-toronto/zoom-g3x-multifx/1528389797,120.0,Zoom G3X multifx,,zoom g3x for sale. Has lots of effects and amp models. Comes with adapter and works without any issues. Price reduced for quick sale $120 obo,City of Toronto,< 9 hours ago,2020-10-07 18:18:30.697197
1528389279,/v-amp-pedal/city-of-toronto/fs-ft:-jhs-switchback-loop-selector-switcher/1528389279,125.0,FS/FT: JHS Switchback loop selector/switcher,,"JHS Switchback -- perfect condition, no issues. You can use it to toggle between 2 loops, two amps, or as a single on/off loop. Has a remote in so you can hide it under your board to save space. $125 ...",City of Toronto,< 9 hours ago,2020-10-07 18:18:30.697698
1528387248,/v-amp-pedal/city-of-toronto/fender-champion-20-guitar-amp/1528387248,100.0,Fender Champion 20 Guitar Amp,,- Fender logo removed from front - pick up in liberty village (no delivery) - price is firm **would trade for pedals,City of Toronto,< 9 hours ago,2020-10-07 18:18:30.698187
1499839602,/v-amp-pedal/city-of-toronto/fender-amplifier-x-15-guitar-amp/1499839602,70.0,Fender Amplifier (X-15 Guitar Amp),,"Excellent Condition Model Name: Fender X15 Amplifier Model: Serial Number: LO - 35060 Series: Vintage Modified Amps Colour: Black and Silver Electronics: Controls: Volume 1, Channel Select, Gain, ...",City of Toronto,< 7 minutes ago,2020-10-07 18:19:33.288779
1528480099,/v-amp-pedal/city-of-toronto/fortin-zuul/1528480099,225.0,Fortin Zuul,,Excellent condition Fortin Zuul noise gate pedal. If your reading this you know what this pedal is all about. One of the best noise gate pedals on the market.,City of Toronto,< 60 minutes ago,2020-10-07 18:19:33.289281
1528478593,/v-amp-pedal/city-of-toronto/khdk-gary-holt-limited-paranormal-pedal/1528478593,500.0,KHDK Gary Holt Limited Paranormal Pedal,,Excellent condition KHDK Gary Holt Paranormal EQ / overdrive pedal. These were a small limited numbered run pedal that are hard to find. Pedal is in like new condition and only used once to test it ...,City of Toronto,< 2 hours ago,2020-10-07 18:19:33.289767
1528474873,/v-amp-pedal/city-of-toronto/kemper-profile-black-amp-profiler-guitar-modeling-amp/1528474873,1800.0,Kemper Profile Black (Amp Profiler / Guitar Modeling Amp),,I've gotten out of recording so I'm looking to sell my Kemper. It's about 4 years old but honestly works like new. I have a traveling case for it too.,City of Toronto,< 2 hours ago,2020-10-07 18:19:33.290261
