,url,price,title,distance,description,location,time_offset,retreived
1528278192,/v-appliance-dishwasher/city-of-toronto/whirlpool-stainless-steel-dishwasher-for-sale/1528278192,150.0,"WHIRLPOOL STAINLESS STEEL DISHWASHER FOR SALE, """,,WHIRLPOOL GOLD STAINLESS STEEL DISHWASHER FOR SALE! - ENERGY STAR* - STAINLESS STEEL TUB ONLY INSIDE CLEAN AND IN WORKING CONDITION PERFECT FOR HOUSE BASEMENT APARTMENT/CONDO PLEASE CALL ME ASAP 416 ...,City of Toronto,< 2 hours ago,2020-10-06 17:27:18.033964
1528249944,/v-appliance-dishwasher/city-of-toronto/bosch-dishwasher-model-she-43f15uc-56/1528249944,375.0,Bosch Dishwasher Model SHE 43F15UC/56,,"Used, but in excellent condition. Works very well. Replacing only because of kitchen renovation. Model is discontinued, but has many desireable functions. Bosch SHE43F15UC Full Console Dishwasher ...",City of Toronto,< 4 hours ago,2020-10-06 17:27:18.034457
1528249413,/v-appliance-dishwasher/city-of-toronto/dishwasher-and-microwave-for-sale/1528249413,100.0,Dishwasher and Microwave for Sale,,"Frigidaire good , working , clean Dishwasher for Sale $130. Frigidaire Microwave also for sale $100. See Pictures. Frigidaire Fridge and Frigidaire Stove - Sold. All were replaced for selling my ...",City of Toronto,< 5 hours ago,2020-10-06 17:27:18.034953
1528237986,/v-appliance-dishwasher/city-of-toronto/premium-ip-tv-over-20-000-channels-10/1528237986,10.0,"Premium IP--TV. Over 20,000 Channels - $10",,"• USA, Sport, International, European, Latin, Africa, South America, Arabic and more • Digital Delivery and Easy Setup • Quick Activation within 2 to 4 hours • Tech support available via Text and ...",City of Toronto,< 5 hours ago,2020-10-06 17:27:18.035438
1528233568,/v-appliance-dishwasher/city-of-toronto/midea-portable-sink-dishwasher/1528233568,400.0,Midea Portable Sink Dishwasher,,$800 full size portable dishwasher. 3 years old work perfectly. Moved to a new place that has a built in dishwasher and have nowhere to store it. Width is 24 inches Length is 25 inches Height is 36 ...,City of Toronto,< 6 hours ago,2020-10-06 17:27:18.035925
1528225063,/v-appliance-dishwasher/city-of-toronto/dishwasher-white-clean-durable/1528225063,95.0,"Dishwasher - White, Clean, Durable",,"White Dishwasher for sale. Working well. Clean and well maintained. $95 Kenmore brand. We upgraded to stainless steal, so this one is available now. Pick up in Central Etobicoke. If you see the ad, ...",City of Toronto,< 7 hours ago,2020-10-06 17:27:18.037398
1528201245,/v-appliance-dishwasher/city-of-toronto/ge-black-24-dishwasher-1-year-warranty/1528201245,270.0,"GE Black 24"" Dishwasher, 1 Year Warranty",,"Cleaned and refurbished to work as new. 12 month in home parts and labour warranty. Can deliver and install. Call/Text David at 4168051323 Our Company Rebuilds Washers, Dryers, Dishwashers and ...",City of Toronto,< 8 hours ago,2020-10-06 17:27:18.039029
1517696003,/v-appliance-dishwasher/city-of-toronto/brand-new-in-box-fridgidaire-24-built-in-dishwasher-w-evendry/1517696003,550.0,"Brand New in box FRIDGIDAIRE 24"" Built-in Dishwasher w/ EvenDry",,Brand New in box FRIDGIDAIRE Model: FFID2459VS Reg: $698 +tax Letting go for $550! Message for more info,City of Toronto,< 9 hours ago,2020-10-06 17:27:18.040648
1528190087,/v-appliance-dishwasher/city-of-toronto/dishwasher-bosch/1528190087,350.0,Dishwasher-Bosch,,"Bosch dishwasher in good working order. Top rack has adjustable tines. Cycles: Quick wash, Scrub plus, Auto wash and Regular wash. Also has a Delay start Pick up Avenue and Lawrence area",City of Toronto,< 10 hours ago,2020-10-06 17:27:18.041828
1528164499,/v-appliance-dishwasher/city-of-toronto/dishwasher/1528164499,60.0,Dishwasher,,Excellent working condition “Amana” under counter dishwasher for sale. Due to renovation not matches with other appliances. Price to quick sale.,City of Toronto,< 17 hours ago,2020-10-06 17:27:18.042440
1528153431,/v-appliance-dishwasher/city-of-toronto/white-dishwasher/1528153431,0.0,White Dishwasher,,"Good condition, everything works. We are renovating our kitchen so need to get rid of it. Pick-up near Leslie and Lawrence.",City of Toronto,< 20 hours ago,2020-10-06 17:27:18.042942
1528106006,/v-appliance-dishwasher/city-of-toronto/frigidaire-dishwasher/1528106006,250.0,Frigidaire Dishwasher,,Good working condition Pick up ASAP,City of Toronto,Yesterday,2020-10-06 17:27:18.043492
1528036753,/v-appliance-dishwasher/city-of-toronto/boshe-dishwasher/1528036753,325.0,BOSHE DISHWASHER,,Demolition sale selling dishwasher. You must be able To remove it from cabinet. Only serious inquires please. Pick up avenue road and eglinton. $325,City of Toronto,Yesterday,2020-10-06 17:27:18.043985
1527988892,/v-appliance-dishwasher/city-of-toronto/free-working-dishwasher/1527988892,0.0,Free working dishwasher,,Free working dishwasher,City of Toronto,Yesterday,2020-10-06 17:27:18.045200
1527961841,/v-appliance-dishwasher/city-of-toronto/ge-convertible-portable-dishwasher-gsc3500d51ww/1527961841,510.0,GE® Convertible/Portable Dishwasher  GSC3500D51WW,,GE® Convertible/Portable Dishwasher GSC3500D51WW BRAND NEW NO BOX $510 MODEL GE GSC3500D51WW PRODUCT DETAILS: 3-level wash system Powerful wash cleans dishes thoroughly Woodgrain laminate top Creates ...,City of Toronto,04/10/2020,2020-10-06 17:27:18.045709
1527960884,/v-appliance-dishwasher/city-of-toronto/24-kitchenaid-stainless-steel-dishwasher/1527960884,785.0,"24"" KitchenAid Stainless Steel Dishwasher",,"24"" KitchenAid Stainless Steel Dishwasher BRAND NEW NO BOX $785 MODEL KITCHENAID KDTE234GPS Product Description: Featuring a smudge-resistant PrintShield™ stainless finish, this KitchenAid dishwasher ...",City of Toronto,04/10/2020,2020-10-06 17:27:18.046201
1527939949,/v-appliance-dishwasher/city-of-toronto/lg-dishwasher/1527939949,140.0,LG dishwasher,,Works great. Selling because we are doing big redo and need to demolish the kitchen. I'm still using it as of now but will be unplugging it on Oct 13th. You can come and test it if you want.,City of Toronto,04/10/2020,2020-10-06 17:27:18.046710
1527931524,/v-appliance-dishwasher/city-of-toronto/maytag-dishwasher-stainless-steel-sold-as-is/1527931524,350.0,Maytag dishwasher. Stainless steel. Sold as is.,,Maytag dishwasher. Stainless steel. Sold as is.,City of Toronto,04/10/2020,2020-10-06 17:27:18.047199
1527925228,/v-appliance-dishwasher/city-of-toronto/bosch-dishwasher/1527925228,100.0,Bosch Dishwasher,,Bosch Dishwasher in great condition. Model shu3336uc available for pickup. Thanks!,City of Toronto,04/10/2020,2020-10-06 17:27:18.047690
1527922492,/v-appliance-dishwasher/city-of-toronto/kenmore-dishwasher/1527922492,150.0,Kenmore dishwasher,,"In excellent condition and very clean 24inch wide built-in Kenmore dishwasher. Selling because we remodeled our kitchen and got a paneled one instead, but this one is great! Asking $150 or best ...",City of Toronto,04/10/2020,2020-10-06 17:27:18.048252
1527906258,/v-appliance-dishwasher/city-of-toronto/brand-new-bosch-800-series-dishwasher/1527906258,1200.0,Brand New BOSCH 800 Series Dishwasher,,"BRAND NEW, UNOPENED THORNHILL PICK UP Bosch 800 Series SHPM78W55N Built-In Undercounter Dishwasher, 24 Exterior Width, 6 Wash Cycles, Stainless Steel (Interior), 3 Loading Racks, Fully Integrated, 16 ...",City of Toronto,04/10/2020,2020-10-06 17:27:18.048748
1527883980,/v-appliance-dishwasher/city-of-toronto/bosch-ascenta-dish-washer-250/1527883980,250.0,Bosch Ascenta Dish Washer $250,,We are selling our used Bosch Ascenta dish washer. Works great. Perfectly functional. There is a ding in the front which is visible straight on but less noticeable from the side. It’s been ...,City of Toronto,04/10/2020,2020-10-06 17:27:18.049237
1527863466,/v-appliance-dishwasher/city-of-toronto/kitchenaid-dishwasher/1527863466,100.0,KitchenAid dishwasher,,Used and older but not obsolete and still working doing its job. Decide to upgrade due to promotion for a new unit.,City of Toronto,04/10/2020,2020-10-06 17:27:18.049724
1527832637,/v-appliance-dishwasher/city-of-toronto/used-white-bosch-dishwasher-shu3032uc-uc12-works-well-beaches/1527832637,75.0,"Used White BOSCH Dishwasher SHU3032UC/UC12, works well, Beaches",,"Used White BOSCH Dishwasher SHU3032UC/UC12 Currently in use every other day, the soap dispenser does not close but this does not affect it as it cleans well, It can be ready unplugged and ...",City of Toronto,04/10/2020,2020-10-06 17:27:18.050213
1527804823,/v-appliance-dishwasher/city-of-toronto/ge-portable-dishwasher/1527804823,225.0,GE Portable Dishwasher,,GE Portable Dishwasher. Works great!,City of Toronto,04/10/2020,2020-10-06 17:27:18.050709
