,url,price,title,distance,description,location,time_offset,retreived
1517387424,/v-art-collectibles/city-of-toronto/100-lawn-bag-signs-155/1517387424,155.0,100 lawn bag signs 155,,100 Lawn/Bag Signs size (24/20 inches thickness 4 Mil) Both sides print only $155 100 U frame stand $65 If you need more quantity pls contact for great deals. Coroplast sizes 12x12 16x12 18x12 24x16 ...,City of Toronto,< 5 minutes ago,2020-10-05 12:04:10.556465
1517387033,/v-art-collectibles/city-of-toronto/100-lawn-bag-signs-155/1517387033,155.0,100 lawn bag signs $155,,100 Lawn/Bag Signs size (24/20 inches thickness 4 Mil) Both sides print only $155 100 U frame stand $65 If you need more quantity pls contact for great deals. Coroplast sizes 12x12 16x12 18x12 24x16 ...,City of Toronto,< 5 minutes ago,2020-10-05 12:04:10.556974
1517386559,/v-art-collectibles/city-of-toronto/100-lawn-bag-signs-155/1517386559,1.55,100 lawn bag signs $155,,100 Lawn/Bag Signs size (24/20 inches thickness 4 Mil) Both sides print only $155 100 U frame stand $65 If you need more quantity pls contact for great deals. Coroplast sizes 12x12 16x12 18x12 24x16 ...,City of Toronto,< 5 minutes ago,2020-10-05 12:04:10.557478
1528040786,/v-art-collectibles/city-of-toronto/pokemon-charizard-reverse-foil-psa-10-graded/1528040786,1200.0,Pokemon Charizard Reverse Foil PSA 10 graded,,"With the recent spike in Pokemon card prices, this is a must have. Very rare PSA 10 no low ballers! Gotta catch em all!",City of Toronto,< 5 minutes ago,2020-10-05 12:04:10.558069
1517386149,/v-art-collectibles/city-of-toronto/100-lawn-bag-signs-155/1517386149,1.55,100 lawn bag signs $155,,100 Lawn/Bag Signs size (24/20 inches thickness 4 Mil) Both sides print only $155 100 U frame stand $65 If you need more quantity pls contact for great deals. Coroplast sizes 12x12 16x12 18x12 24x16 ...,City of Toronto,< 5 minutes ago,2020-10-05 12:04:10.558598
1496638066,/v-art-collectibles/city-of-toronto/100-lawn-bag-signs-155/1496638066,1.55,100 Lawn bag signs $155,,100 Lawn/Bag Signs size (24/20 inches thickness 4 Mil) Both sides print only $155 100 U frame stand $65 If you need more quantity pls contact for great deals. Coroplast sizes 12x12 16x12 18x12 24x16 ...,City of Toronto,< 5 minutes ago,2020-10-05 12:04:10.559102
1528040703,/v-art-collectibles/city-of-toronto/collectible-trinket-boxes/1528040703,15.0,Collectible Trinket Boxes,,Collectible Trinket Boxes In excellent condition.,City of Toronto,< 5 minutes ago,2020-10-05 12:04:10.560227
1528040285,/v-art-collectibles/city-of-toronto/vintage-paul-revere-whistling-kettle/1528040285,20.0,Vintage Paul Revere whistling kettle,,Vintage Paul Revere copper bottom whistling kettle,City of Toronto,< 7 minutes ago,2020-10-05 12:04:10.561304
1528040153,/v-art-collectibles/city-of-toronto/ilya-mikheyev-6-card-lot/1528040153,15.0,Ilya MIkheyev 6 Card Lot,,Selling a lot of Ilya Mikheyev. 6 total. 2019-2020 Young Guns 2019-2020 OPC Platinum Marquee Rookie 2019-2020 OPC Platinum Marquee Rookie Retro 2019-2020 ICE Sub Zero Rookie /999 2019-2020 UD Rookie ...,City of Toronto,< 8 minutes ago,2020-10-05 12:04:10.561942
1528039908,/v-art-collectibles/city-of-toronto/sewing-machine-1926-singer-no-99/1528039908,800.0,Sewing Machine ~ 1926 Singer No. 99,,"Vintage 1926 No. 99 Singer Sewing Machine, cabinet, manual, lamp and accessories for Sale (trunk not included). Stored in Uxbridge.",City of Toronto,< 9 minutes ago,2020-10-05 12:04:10.562464
1528039646,/v-art-collectibles/city-of-toronto/1974-75-opc-hockey-uncut-sheet-steve-shutt-bob-gainey-rookies/1528039646,375.0,"1974-75 OPC HOCKEY UNCUT SHEET, STEVE SHUTT, BOB GAINEY ROOKIES",,Full 132 Card Uncut Sheet by O-Pee-Chee Co. Ltd.. Includes Bob Gainey and Steve Shutt rookie cards. Makes a beautiful wall hanging and stimulates lots of conversation and memories of hockey’s vintage ...,City of Toronto,< 10 minutes ago,2020-10-05 12:04:10.563248
1528039434,/v-art-collectibles/city-of-toronto/lovely-german-vintage-alarm-clock-mint-downtown-toronto/1528039434,88.0,LOVELY GERMAN VINTAGE ALARM CLOCK. MINT. DOWNTOWN TORONTO,,HI THERE FOLKS!! OFFERED FOR SALE HERE IS A LOVELY VINTAGE GERMAN CLOCK. RUNNING STRONG AND IN PRISTINE CONDITION. THIS ALSO KEEP GOOD TIME. THIS WILL ADD BEAUTY TO YOUR LIVING ROOM OR BEDROOM AS A ...,City of Toronto,< 11 minutes ago,2020-10-05 12:04:10.563816
1528037903,/v-art-collectibles/city-of-toronto/roger-clemens-toronto-blue-jays-framed-autographed-jersey/1528037903,450.0,Roger Clemens Toronto Blue Jays Framed Autographed Jersey,,"This is a professionally framed suede matting Roger Clemens Toronto Blue Jays Canada Day Jersey. Cy Young winning year. See the signature which has his number 21 and a notation ""CY4"". Comes with ...",City of Toronto,< 18 minutes ago,2020-10-05 12:04:10.564366
1506082365,/v-art-collectibles/city-of-toronto/100-lawn-bag-signs-155/1506082365,1.55,100 lawn bag signs $155,,100 Lawn/Bag Signs size (24/20 inches thickness 4 Mil) Both sides print only $155 100 U frame stand $65 If you need more quantity pls contact for great deals. Coroplast sizes 12x12 16x12 18x12 24x16 ...,City of Toronto,< 20 minutes ago,2020-10-05 12:04:10.565055
1528036591,/v-art-collectibles/city-of-toronto/love-is-art-erotic-paint-kit/1528036591,60.0,Love Is Art Erotic Paint Kit,,Sells for $125. Brand new in the package. The LOVE IS ART KIT - COSMOS edition includes all of the materials you need to safely create a abstract painting while being intimate with the one you love. ...,City of Toronto,< 24 minutes ago,2020-10-05 12:04:10.565908
1528036020,/v-art-collectibles/city-of-toronto/vintage-clay-figurine/1528036020,30.0,Vintage Clay figurine,,Vintage Clay Figurine. Very good condition. Asking $30. Located in the Martingrove and Rathburn area in Etobicoke.,City of Toronto,< 26 minutes ago,2020-10-05 12:04:10.566530
1528035888,/v-art-collectibles/city-of-toronto/vintage-chest/1528035888,125.0,Vintage chest,,"Dimensions: H 14 1/2"" x D 14"" x W 18""",City of Toronto,< 27 minutes ago,2020-10-05 12:04:10.567189
1528035585,/v-art-collectibles/city-of-toronto/free-focus-and-relax-with-free-background-sounds/1528035585,0.0,Free- Focus and Relax With Free Background Sounds,,"Focusli.com Do you miss the sound of a crowded coffee shop, the beach, or maybe the forest? Focusli allows you to mix different background sounds to help you focus and relax. Play custom sounds that ...",City of Toronto,< 28 minutes ago,2020-10-05 12:04:10.567897
1528035518,/v-art-collectibles/city-of-toronto/hockey-topps-1960-61-art-ross/1528035518,60.0,Hockey Topps 1960-61 Art Ross,,I am selling off my collectibles slowly. For sale is a 1960-61 Art Ross hockey Rookie Card. The cards is Nrmt condition. Great card for your collection.,City of Toronto,< 28 minutes ago,2020-10-05 12:04:10.568609
1528035370,/v-art-collectibles/city-of-toronto/mahogany-poker-chips-set-brand-new-bombay-company/1528035370,160.0,Mahogany Poker Chips Set Brand New - Bombay Company,,"This is a large brand new mahogany poker chip set. There are 3 rows of white chips (150 chips), 3 rows of red chips (150 chips), 2 rows of black chips (100 chips) and 2 rows of blue chips (100 ...",City of Toronto,< 29 minutes ago,2020-10-05 12:04:10.569130
