,url,price,title,distance,description,location,time_offset,retreived
1528222457,/v-baby-clothes-preemie/city-of-toronto/twin-preemie-newborn-warm-clothes-and-accessories-resale/1528222457,80.0,TWIN PREEMIE & NEWBORN WARM CLOTHES AND ACCESSORIES RESALE,,"Preemie and Newborn twin apparel. Worn pre-covid, Pet Free, Baby detergent only, COVID free house, good condition. Everything $80 (premie & newborn clothes, winter onesies, matching outfits, 2 ...",City of Toronto,< 40 minutes ago,2020-10-06 11:49:40.961804
1528067049,/v-baby-clothes-preemie/city-of-toronto/toddler-cloths-9-24-months/1528067049,50.0,Toddler cloths 9-24 months,,"Outfits: H & M, Gap, puma, Disney, adidas Pijamas Winter jacket, hats Shoes size 5 and 6",City of Toronto,< 22 hours ago,2020-10-06 11:49:40.962323
1527761776,/v-baby-clothes-preemie/city-of-toronto/brand-new-baby-woolen-set-still-in-packaging/1527761776,35.0,Brand new baby woolen set still in packaging,,"Posted by Yhs in baby items, clothing - preemie in Toronto (GTA), City of Toronto. October 4, 2020",City of Toronto,04/10/2020,2020-10-06 11:49:40.962842
1526292240,/v-baby-clothes-preemie/city-of-toronto/baby-clothes/1526292240,5.0,Baby clothes,,I have some baby clothing for sale almost new price 5$ to 10$ Size 0-3 months 3- 6 months,City of Toronto,26/09/2020,2020-10-06 11:49:40.963334
1515602811,/v-baby-clothes-preemie/city-of-toronto/baby-clothes-preemie/1515602811,10.0,Baby clothes - Preemie,,"Baby was never quite this small. These are brand new, never worn :)",City of Toronto,25/09/2020,2020-10-06 11:49:40.963821
1325080340,/v-baby-clothes-preemie/city-of-toronto/newborn-fleece-sleeper/1325080340,4.0,Newborn Fleece Sleeper,,Newborn Fleece Sleeper,City of Toronto,17/09/2020,2020-10-06 11:49:40.964308
1524253303,/v-baby-clothes-preemie/city-of-toronto/ralph-lauren-shoes/1524253303,60.0,Ralph Lauren Shoes,,Brand New Ralph Lauren Kids Shoes. Never Worn. Size 5C. Price is firm. Pick up only.,City of Toronto,15/09/2020,2020-10-06 11:49:40.964799
1348705525,/v-baby-clothes-preemie/city-of-toronto/blue-banana-preemie-2pc/1348705525,14.95,Blue Banana - Preemie - 2pc,,"Brand New - Organic 100% Cotton - up to five pounds We have similar items for sale VIEW ALL, CLICK ON THE LINK - View poster's other ads",City of Toronto,13/09/2020,2020-10-06 11:49:40.965288
1512648090,/v-baby-clothes-preemie/city-of-toronto/crock-pot-barely-used/1512648090,18.0,"Crock-Pot, barely  used",,"barely used Crock-Pot, medium size",City of Toronto,12/09/2020,2020-10-06 11:49:40.965779
1305301093,/v-baby-clothes-preemie/city-of-toronto/vintage-ivory-coloured-baby-doll-gown-dress-41/1305301093,30.0,Vintage Ivory coloured baby/doll gown/dress - 41,,Vintage Ivory coloured baby/doll gown/dress. Sleeveless- overall measurement from shoulder to hem is approximately 22 inches. Two button opening in back- lace edging around the neck and arm openings ...,City of Toronto,11/09/2020,2020-10-06 11:49:40.966311
1305303192,/v-baby-clothes-preemie/city-of-toronto/ivory-coloured-vintage-baby-doll-gown-dress-42/1305303192,30.0,Ivory coloured vintage baby/doll gown/dress - 42,,Ivory coloured vintage baby/doll gown/dress - with short sleeves - lace edging around neck and sleeve edge - a lace insert across the front - 3 white ribbon lengths flow from a ribbon flower on each ...,City of Toronto,11/09/2020,2020-10-06 11:49:40.966823
1164807855,/v-baby-clothes-preemie/city-of-toronto/battat-slumber-sleeping-bag-with-blanket-pillow-product-featur/1164807855,59.99,BATTAT SLUMBER SLEEPING BAG WITH BLANKET & PILLOW Product Featur,,"BATTAT SLUMBER SLEEPING BAG WITH BLANKET & PILLOW Product Features • Features: Built-In Pillow • Shell Material: Cotton, Polyester • Manufacturer Suggested Age: 2 Years and Up • Recommended Capacity: ...",City of Toronto,09/09/2020,2020-10-06 11:49:40.967315
1522340794,/v-baby-clothes-preemie/city-of-toronto/baby-clothes/1522340794,20.0,Baby clothes,,Look like new,City of Toronto,06/09/2020,2020-10-06 11:49:40.967805
