,url,price,title,distance,description,location,time_offset,retreived
1528213266,/v-baby-crib-bassinet/city-of-toronto/nice-bassinet-has-double-options-mobile-stationed-for-25-only/1528213266,25.0,"Nice bassinet has double options, mobile/stationed for $25 only",,"Nice bassinet has double options, mobile/stationed for $25 only. If interested please call/text 6477073355 or email",City of Toronto,< 2 hours ago,2020-10-06 11:37:35.811144
1528206371,/v-baby-crib-bassinet/city-of-toronto/vintage-baby-crib-basinettte/1528206371,50.0,Vintage Baby Crib Basinettte,,"Vintage Baby Crib Basinettte. White wicker, cotton lining. From a nonsmoking, non-covid and pet free home. Price is negotiable. Available!!! Note, please study pictures before buying. Due to covid ...",City of Toronto,< 2 hours ago,2020-10-06 11:37:35.811669
1528190096,/v-baby-crib-bassinet/city-of-toronto/convertible-crib/1528190096,400.0,Convertible Crib,,"Convertible crib to a toddler's bed. The set includes a changing table, a side table, and 2 mattresses. The whole set is solid wood and it's in great condition.",City of Toronto,< 4 hours ago,2020-10-06 11:37:35.812169
1453322221,/v-baby-crib-bassinet/city-of-toronto/billy-bassinet-with-storage-stand/1453322221,48.0,Billy Bassinet with Storage Stand,,"Great Used Condition Grey and white cheveron pattern Music, sounds and night light Available at Twice as Nice - Children’s Consignment Store",City of Toronto,< 4 hours ago,2020-10-06 11:37:35.812676
1506172680,/v-baby-crib-bassinet/city-of-toronto/graco-bassinet/1506172680,70.0,Graco Bassinet,,Good Condition. Comes with tray bag Available at Twice as Nice Children’s Consignment Store,City of Toronto,< 4 hours ago,2020-10-06 11:37:35.813186
1528186369,/v-baby-crib-bassinet/city-of-toronto/dark-color-solid-wood-baby-crib-excellent-condition/1528186369,250.0,Dark Color Solid Wood Baby Crib - excellent condition,,"Baby Crib - Mint Condition, Less than one year old. Almost Brand New. Dark brown in colour. Solid wood construction, very durable. A beautiful piece of furniture for your baby. Includes a storage ...",City of Toronto,< 4 hours ago,2020-10-06 11:37:35.813975
1528183399,/v-baby-crib-bassinet/city-of-toronto/free-crib-with-mattress/1528183399,0.0,Free crib with mattress,,"Baby crib for free! Has a few bite marks/scratches but overall in really great shape. Comes with the mattress, which also had a protector pad on it. No stains/rips. Smoke/pet free home. Pick up ...",City of Toronto,< 5 hours ago,2020-10-06 11:37:35.814655
1525259986,/v-baby-crib-bassinet/city-of-toronto/halo-bassinest-swivel-premiere-euc-reduced-from-200-to-170/1525259986,170.0,Halo Bassinest Swivel Premiere-EUC-reduced from $200 to $170,,"Halo Bassinest Swivel Premiere- Excellent Used Condition. Gently used for few months. Non smoke environment. Dog friendly household. Comes with, mattress, 2 mattress covers and 2 sheets. Pick up near ...",City of Toronto,< 14 hours ago,2020-10-06 11:37:35.815191
1517406011,/v-baby-crib-bassinet/city-of-toronto/pottery-barn-crib-bumper/1517406011,40.0,Pottery Barn Crib Bumper,,"Nursery bumper includes all 26 letters of the alphabet, along with coordinating animals and icons Cotton sateen material Excellent condition From pet and smoke free home Contact for more details",City of Toronto,< 14 hours ago,2020-10-06 11:37:35.815701
1528143866,/v-baby-crib-bassinet/city-of-toronto/breathable-baby-crib-bumpers/1528143866,10.0,Breathable Baby Crib Bumpers,,Two breathable crib bumpers in GUC,City of Toronto,< 15 hours ago,2020-10-06 11:37:35.816232
1528141506,/v-baby-crib-bassinet/city-of-toronto/sealy-crib-mattress-pad-brand-new/1528141506,40.0,Sealy Crib Mattress pad-  brand new.,,Brand new never used Please see photos for specifications Currently sold at Buy Buy Baby for $55 plus tax,City of Toronto,< 15 hours ago,2020-10-06 11:37:35.816732
1517372916,/v-baby-crib-bassinet/city-of-toronto/crib-walnut-white-great-condition/1517372916,450.0,Crib - Walnut/White - Great condition,,"Selling an Oeuf Rhea crib in walnut/white. Used for our son's nursery, excellent condition (minor wear on the crib shown in photo), from a pet free/smoke free home. Retails: $950+tax. Made from ...",City of Toronto,< 16 hours ago,2020-10-06 11:37:35.817231
1528129793,/v-baby-crib-bassinet/city-of-toronto/move-out-sale-infant-stuff/1528129793,10.0,Move Out Sale | Infant Stuff,,"Everything must go, serious inquires only, and reasonable offers may be accepted. $25 Off On Entire Purchase Items can be bought separately; See below for more details* Crib ($115) Excellent Quality ...",City of Toronto,< 17 hours ago,2020-10-06 11:37:35.817727
1528119424,/v-baby-crib-bassinet/city-of-toronto/baby-bassinet/1528119424,50.0,Baby bassinet,,Great condition baby bassinet Used for a few months Includes 2 bassinet sheets and 1 mattress cover From a smoke and pet free home,City of Toronto,< 18 hours ago,2020-10-06 11:37:35.818224
1528092875,/v-baby-crib-bassinet/city-of-toronto/crib-brand-new-in-box-ikea/1528092875,140.0,Crib brand new in box ikea,,Brand NEW IN BOX beautiful Ikea Crib and the style is very chic we just didn’t end up using it so it’s for sale also includes and an OUT OF PACKAGE GENTLY USED MATTRESS. All together $140 - CASH ...,City of Toronto,< 20 hours ago,2020-10-06 11:37:35.818776
1528085691,/v-baby-crib-bassinet/city-of-toronto/new-babies-r-us-quilted-crib-mattress-pad/1528085691,10.0,New Babies R Us Quilted crib mattress pad,,New unopened. Babies R Us Quilted Crib Mattress Pad 28 x 52 in or 71 x 132 cm,City of Toronto,< 21 hours ago,2020-10-06 11:37:35.819275
1528085311,/v-baby-crib-bassinet/city-of-toronto/baby-crib-with-out-mattress/1528085311,100.0,Baby Crib  with out mattress,,Baby Crib with out mattress $100 or best offer,City of Toronto,< 21 hours ago,2020-10-06 11:37:35.819773
