,url,price,title,distance,description,location,time_offset,retreived
1511522082,/v-baby-feeding-high-chair/city-of-toronto/nib-enfamil-standard-flow-soft-nipple-3-boxes/1511522082,12.0,NIB - Enfamil standard-flow soft nipple (3 boxes),,Selling all new in box Enfamil standard-flow soft 9 nipples (3 boxes).,City of Toronto,< 3 minutes ago,2020-10-06 11:27:17.730488
1528220796,/v-baby-feeding-high-chair/city-of-toronto/baby-high-chair/1528220796,30.0,Baby high chair,,No damage I believe it is foldable however don’t remember how to fold it up,City of Toronto,< 26 minutes ago,2020-10-06 11:27:17.731003
1528208047,/v-baby-feeding-high-chair/city-of-toronto/graco-table2table/1528208047,100.0,Graco table2table,,High chair 6 in 1 amazing newish condition. Almost new Some pieces r unused new untouched. Brilliant condiiton. Allwiped and cleaned Smoke free. Pet free home 100$ Bought it for 240$ plus tax,City of Toronto,< 2 hours ago,2020-10-06 11:27:17.731501
1528204140,/v-baby-feeding-high-chair/city-of-toronto/peg-perego-high-chair-prima-pappa/1528204140,90.0,"Peg perego high chair ""Prima Pappa""",,"Peg perego Prima Pappa high chair , fully function and excellent condition smoke free pet free home *Aluminum construction *Fully assembled and ready to use *Stylish, sculpted backrest covered in ...",City of Toronto,< 2 hours ago,2020-10-06 11:27:17.732005
1528192284,/v-baby-feeding-high-chair/city-of-toronto/baby-brezza-advanced-pro-enfamil-spit-up/1528192284,120.0,Baby brezza advanced pro + Enfamil spit up,,used like new. In excellent condition. Plus an unopened container of Enfamil spit up.,City of Toronto,< 3 hours ago,2020-10-06 11:27:17.732503
1528191577,/v-baby-feeding-high-chair/city-of-toronto/philips-avent-double-electric-breast/1528191577,125.0,Philips Avent Double Electric Breast,,Does not come with box. Everything has been sterilized and in great condition.,City of Toronto,< 3 hours ago,2020-10-06 11:27:17.733002
1404611424,/v-baby-feeding-high-chair/city-of-toronto/medela-swing-electric-breastpump/1404611424,100.0,Medela Swing Electric Breastpump,,Excellent Condition Available at Twice as Nice - Children’s Consignment Store,City of Toronto,< 4 hours ago,2020-10-06 11:27:17.734163
1528162906,/v-baby-feeding-high-chair/city-of-toronto/high-chair/1528162906,79.0,High chair,,"High chair . Posted in baby items, feeding, high chairs in City of Toronto. October 6, 2020",City of Toronto,< 12 hours ago,2020-10-06 11:27:17.734955
1515104617,/v-baby-feeding-high-chair/city-of-toronto/pegperego-siesta-highchair/1515104617,120.0,Pegperego siesta highchair,,"Overall great condition (no net storage on the back). Only one kid used it for 2 years. I have safety belt that is not shown on the picture Easy cleaning seat cover, upper tray, different height ...",City of Toronto,< 13 hours ago,2020-10-06 11:27:17.735454
1528146708,/v-baby-feeding-high-chair/city-of-toronto/spectra-s2-electric-double-breast-pump/1528146708,150.0,SPECTRA S2 ELECTRIC DOUBLE BREAST PUMP,,In very good used condition. Used only for a few months. Writing on bottles has faded due to being in dishwasher with high steam. Has been sterilized and ready for another home. Description: The ...,City of Toronto,< 15 hours ago,2020-10-06 11:27:17.735951
1528143861,/v-baby-feeding-high-chair/city-of-toronto/boon-grass-drying-rack/1528143861,10.0,Boon grass drying rack,,Pick up yonge and Sheppard,City of Toronto,< 15 hours ago,2020-10-06 11:27:17.737195
1528143155,/v-baby-feeding-high-chair/city-of-toronto/avent-single-electric-breast-pump/1528143155,60.0,Avent Single electric breast pump,,Philips Avent single Electric breast pump > Stimulation mode > 3 expression settings > Soft massage cushion for more comfort > Power cushion > Quiet pump > Electric or battery operated Only used for ...,City of Toronto,< 15 hours ago,2020-10-06 11:27:17.737713
1528139163,/v-baby-feeding-high-chair/city-of-toronto/good-condition-graco-slim-snackerhighchair-for-babies-and-kids/1528139163,70.0,Good Condition Graco SLIM SNACKERHighchair for babies and kids.,,Good condition Highchair. Graco SLIM SNACKER. Fast folding Highchair. Washed seated cover and belts. Very clean condition.,City of Toronto,< 16 hours ago,2020-10-06 11:27:17.738208
1528139150,/v-baby-feeding-high-chair/city-of-toronto/similac-step-1-ready-2-use-8x235ml-15-coupon-20-total/1528139150,20.0,Similac Step 1 ready 2 use (8x235ml) + $15 coupon  -$20 total,,- 8 x 235ml bottles of Similac Advance Ready to Use Step One - expiry July 2021 - includes a $10 and $5 coupon for Similac $20 total Porch pick up only,City of Toronto,< 16 hours ago,2020-10-06 11:27:17.738767
1528133257,/v-baby-feeding-high-chair/city-of-toronto/excellent-condition-clean-nursing-pillow/1528133257,10.0,Excellent condition clean nursing pillow,,"Jolly jumper nursing pillow, near new and very clean. $10 pick up college and bathurst. I have a lot of other baby items to sell as well, see other ad!",City of Toronto,< 16 hours ago,2020-10-06 11:27:17.739484
1528126301,/v-baby-feeding-high-chair/city-of-toronto/baby-brezza-one-step-baby-food-maker-brand-new/1528126301,45.0,Baby Brezza one step baby food maker - brand new,,"Baby Brezza one step baby food maker - brand new. Posted in baby items, feeding, high chairs in City of Toronto. October 5, 2020",City of Toronto,< 17 hours ago,2020-10-06 11:27:17.739984
1528117801,/v-baby-feeding-high-chair/city-of-toronto/safety-first-booster-seat/1528117801,5.0,Safety First Booster Seat,,Similar to this: ...,City of Toronto,< 18 hours ago,2020-10-06 11:27:17.740483
