,url,price,title,distance,description,location,time_offset,retreived
1528188230,/v-baby-lot/city-of-toronto/free/1528188230,0.0,Free,,Free Pick up thornhill or Toronto (university and college area) on weekdays,City of Toronto,< 4 hours ago,2020-10-06 11:42:42.852674
1528142463,/v-baby-lot/city-of-toronto/baby-items/1528142463,10.0,Baby Items,,Jumper $30 Bouncer $15 Other items $10 each. Price is negotiable for multiple items buying.,City of Toronto,< 15 hours ago,2020-10-06 11:42:42.853203
1528050210,/v-baby-lot/city-of-toronto/royal-doulton-bunnykins-sets/1528050210,40.0,Royal Doulton Bunnykins Sets,,Have no use for them. Never used. They typically go for 60-75 each set. Take both for $80,City of Toronto,< 23 hours ago,2020-10-06 11:42:42.853692
1527997417,/v-baby-lot/city-of-toronto/jumper/1527997417,50.0,Jumper,,It is looks new and too useful.,City of Toronto,Yesterday,2020-10-06 11:42:42.854182
1527958452,/v-baby-lot/city-of-toronto/kid-blackboard/1527958452,25.0,Kid blackboard,,Excellent condition,City of Toronto,04/10/2020,2020-10-06 11:42:42.854688
1527956567,/v-baby-lot/city-of-toronto/baby-musical-mobile/1527956567,55.0,Baby Musical Mobile,,Excellent condition (like new). Pick up only.,City of Toronto,04/10/2020,2020-10-06 11:42:42.856010
1517215555,/v-baby-lot/city-of-toronto/beaba-up-and-down-baby-rocker/1517215555,45.0,Béaba Up and Down baby rocker,,"VGUC Beaba Up and Down rocker. So many seating options to be used from newborn to toddler. Also have an infant insert if needed. Slight stain on side, priced to reflect that. ...",City of Toronto,04/10/2020,2020-10-06 11:42:42.856779
1527943339,/v-baby-lot/city-of-toronto/various-baby-items/1527943339,1.0,Various baby items,,Various baby items Please contact 905-472-4751 for pricing information,City of Toronto,04/10/2020,2020-10-06 11:42:42.857271
1527942923,/v-baby-lot/city-of-toronto/various-baby-items/1527942923,1.0,Various baby items,,"Various baby items, more not listed here. Please contact 905-472-4751 for pricing and other information",City of Toronto,04/10/2020,2020-10-06 11:42:42.857759
1516732132,/v-baby-lot/city-of-toronto/kids-item/1516732132,5.0,Kids item,,Gap shoes size 6-7 $5 brand new Baby manicure sets $15 brand new Baby qtip+baby powder $8 brand new Philips avent Bottle warmer $15 Stokke xplory $400 Halloween costume 100cm $10 Toddler electric ...,City of Toronto,04/10/2020,2020-10-06 11:42:42.858242
1527891343,/v-baby-lot/city-of-toronto/pacifier-clips/1527891343,1.0,Pacifier clips,,Brand new pacifier clips pack of 3 $5 Brand new but out of packaging Baby Banz sunglasses $10 Take both for $12 Fastest pickup McCowan and 14th,City of Toronto,04/10/2020,2020-10-06 11:42:42.858746
1478175851,/v-baby-lot/city-of-toronto/skiphop-diaper-bag-and-bottle-drying-rack/1478175851,20.0,Skiphop diaper bag and bottle drying rack,,Skiphop diaper bag (super clean) with lunch containers (only used handful of times) that sit in the bottom pocket (original price was over 150) Skiphop bottle drying rack Wetnap container Fastest ...,City of Toronto,04/10/2020,2020-10-06 11:42:42.859436
1527790667,/v-baby-lot/city-of-toronto/pottery-barn-kids-nursery/1527790667,60.0,Pottery Barn Kids Nursery,,"Matching crib-sized quilt, two small pillow shams (pillow not included), and window valance. Baby butterfly pattern. Excellent used condition from a very clean, cat-friendly home. Asking $60 for the ...",City of Toronto,04/10/2020,2020-10-06 11:42:42.859941
1527774415,/v-baby-lot/city-of-toronto/evenflo-exersaucer-exersaucer-and-activity-table-in-one/1527774415,50.0,Evenflo Exersaucer - Exersaucer and Activity Table in One,,"ExerSaucer and Activity Table in one for extended usage. Gently used, great condition. This baby activity center folds or travel and storage. Toys and music. Has a carry handle. The wide surrounding ...",City of Toronto,04/10/2020,2020-10-06 11:42:42.860491
1527704523,/v-baby-lot/city-of-toronto/multiple-baby-items-for-sale-skip-hop-shnuggle/1527704523,20.0,Multiple baby items for sale skip hop & shnuggle,,All good used condition Shnuggle baby bath Skip hop activity mat (cloud pillow missing) Skip hop car seat cover Each time $20 Pick up only Weston and Lawrence,City of Toronto,03/10/2020,2020-10-06 11:42:42.860953
1527640290,/v-baby-lot/city-of-toronto/baby-stuff/1527640290,25.0,Baby stuff,,Change Pad Nursing pillow Change pad cover 2 Cotton Muslin swaddle blankets (40x40) 1 cotton muslin Little Unicorn crib sheet 1 flannel Dinosaur print crib sheet,City of Toronto,03/10/2020,2020-10-06 11:42:42.861641
1527582510,/v-baby-lot/city-of-toronto/toddler-teenage-mutant-ninja-turtle-bed-frame-and-mattress/1527582510,40.0,Toddler teenage mutant ninja turtle bed frame and mattress,,This is a toddler bed for boys and girls. It is a bed frame plus the bed for $40. It is in a great condition. (Product as is) For more information call at 647-607-6443,City of Toronto,03/10/2020,2020-10-06 11:42:42.862131
1527578469,/v-baby-lot/city-of-toronto/baby-items-diaper-genie-high-chair-etc/1527578469,20.0,"Baby Items - Diaper Genie, High Chair, etc",,High Chair - $20 Diaper Genie - $20 Prices are FIRM.,City of Toronto,03/10/2020,2020-10-06 11:42:42.862629
1527573867,/v-baby-lot/city-of-toronto/baby-shower-gift/1527573867,0.0,baby shower gift,,Diaper Cake Diaper Flower vase Diaper boutique Baby gift basket all are available in difference size and price,City of Toronto,03/10/2020,2020-10-06 11:42:42.863117
1527551564,/v-baby-lot/city-of-toronto/fisher-price-infant-to-toddler-rocker-geo-diamonds/1527551564,30.0,Fisher-Price Infant-to-Toddler Rocker Geo Diamonds,,"-Stationary baby seat and rocker for use from infant to toddler (up to 40 lb/18 kg) -Perfect state, only selling because we are moving to another country in 2 weeks. -Pick up would need to be at 1 ...",City of Toronto,03/10/2020,2020-10-06 11:42:42.863754
1527540547,/v-baby-lot/city-of-toronto/grobag-sleeping-bag-0-6months/1527540547,25.0,Grobag sleeping bag 0-6months,,Grobag sleeping bag 0-6months Tog 2.5 In EUC Smoke and pet free home. Etransfer and porch pick up Lawrence and Don Mills,City of Toronto,02/10/2020,2020-10-06 11:42:42.864256
1527540193,/v-baby-lot/city-of-toronto/baby-sleep-bag-2-5tog-6-18-months-new-101-dalmatians/1527540193,25.0,"Baby sleep bag 2.5tog, 6-18 months, new, 101 dalmatians",,"Adorable baby sleep bag, never used. Got it as a gift, removed tags and washed but realized it was too small for my son. The tag says 12-18 months size, but i think its more 6-12months if you have a ...",City of Toronto,02/10/2020,2020-10-06 11:42:42.864747
1527534968,/v-baby-lot/city-of-toronto/toddler-child-table-desk-easel-and-bench/1527534968,30.0,Toddler-child table/desk/easel and bench,,"Toddler/child table and bench. It can be transformed into easel as seen in photo. Good condition, no broken parts. Smoke and pet free home. Etransfer and contactless pick up Lawrence and Don Mills",City of Toronto,02/10/2020,2020-10-06 11:42:42.865241
1506275539,/v-baby-lot/city-of-toronto/mini-melissa-shoes-for-little-girl/1506275539,25.0,Mini Melissa shoes for little girl,,Mini Melissa silicone shoes for little girl. US size 11. Silver color. Looks like Cinderella shoes. Excellent condition.,City of Toronto,02/10/2020,2020-10-06 11:42:42.865741
1527465873,/v-baby-lot/city-of-toronto/baby-face-shield-sun-hat/1527465873,29.0,Baby face shield sun hat,,"The Perimeter: About 50cm, 100% Cotton and Eco-friendly TPU cover Transparent bezel design with wide view,is removable Cut baby sun hat. Can be used as baby face shield for east breathing and ...",City of Toronto,02/10/2020,2020-10-06 11:42:42.866396
1527357945,/v-baby-lot/city-of-toronto/baby-items/1527357945,60.0,Baby items,,"Baby bassinet, baby bath tub and a bruin baby garden. Prices as on the pics or $60 for all the items!",City of Toronto,01/10/2020,2020-10-06 11:42:42.867005
1527341849,/v-baby-lot/city-of-toronto/evenflo-versatile-play-space-plastic-fence/1527341849,70.0,Evenflo Versatile Play Space Plastic Fence,,"ALMOST NEW Evenflo Versatile Play Space for babies and/or pets, indoor/outdoor. Floor pads for any interior floor surface. Quick and easy set up and fold. Good condition. L: 16.2 feet H: 2.2 feet W: ...",City of Toronto,01/10/2020,2020-10-06 11:42:42.867498
1527292859,/v-baby-lot/city-of-toronto/ikea-clothes-storage/1527292859,20.0,IKEA clothes storage,,Good condition and clean,City of Toronto,01/10/2020,2020-10-06 11:42:42.867989
1489108032,/v-baby-lot/city-of-toronto/new-in-package-7-a-m-enfant-voyage-diaper-bag-charcoal/1489108032,30.0,New in package 7 a.m. enfant Voyage diaper bag charcoal,,Brand new. $30 firm pick up at Sherway Gardens mall or Yorkdale or union or Parklawn & Lakeshore,City of Toronto,01/10/2020,2020-10-06 11:42:42.868682
1527172765,/v-baby-lot/city-of-toronto/jj-cole-car-seat-cover/1527172765,25.0,JJ cole car seat cover,,Car seat cover like new,City of Toronto,30/09/2020,2020-10-06 11:42:42.869388
1527154157,/v-baby-lot/city-of-toronto/baby-sooth-and-glider-for-sale-slightly-used/1527154157,90.0,Baby sooth and Glider for sale. Slightly used.,,Good condition. Perfectly working. Washed and sanitized. Call to pick up 647 606 8378,City of Toronto,30/09/2020,2020-10-06 11:42:42.869895
1527132851,/v-baby-lot/city-of-toronto/diapers-pull-up-huggies-size-2-3t-girl/1527132851,35.0,Diapers pull up Huggies size 2-3T girl,,Size 2-3T girl 4 package 27 diapers each All 108 diapers $35 Pick-up Eglinton and Caledônia,City of Toronto,30/09/2020,2020-10-06 11:42:42.870435
1527026704,/v-baby-lot/city-of-toronto/baby-kids-plates-and-newborn-toy-for-sale/1527026704,10.0,"baby kids plates, and newborn toy for sale",,"baby kids plates, and newborn toy for sale Bayview and sheppard Two straw cups, hats and plates new Three plates plus one with lid and yellow stik part to the table (retail just for this one was 20) ...",City of Toronto,30/09/2020,2020-10-06 11:42:42.871292
1526862309,/v-baby-lot/city-of-toronto/baby-room-decor:-clown-on-parachute-clown-duvet/1526862309,60.0,Baby room decor: clown on parachute & clown duvet,,"For sale: 1. Baby room decor and duvet. Both feature clowns. The decor comprises and clown on a parachute as depicted. The clown is about 23"" long and the clown and parachute together are about 48"" ...",City of Toronto,29/09/2020,2020-10-06 11:42:42.872018
1528188230,/v-baby-lot/city-of-toronto/free/1528188230,0.0,Free,,Free Pick up thornhill or Toronto (university and college area) on weekdays,City of Toronto,< 4 hours ago,2020-10-06 11:42:44.907213
1528142463,/v-baby-lot/city-of-toronto/baby-items/1528142463,10.0,Baby Items,,Jumper $30 Bouncer $15 Other items $10 each. Price is negotiable for multiple items buying.,City of Toronto,< 15 hours ago,2020-10-06 11:42:44.907737
1528050210,/v-baby-lot/city-of-toronto/royal-doulton-bunnykins-sets/1528050210,40.0,Royal Doulton Bunnykins Sets,,Have no use for them. Never used. They typically go for 60-75 each set. Take both for $80,City of Toronto,< 23 hours ago,2020-10-06 11:42:44.908237
1527997417,/v-baby-lot/city-of-toronto/jumper/1527997417,50.0,Jumper,,It is looks new and too useful.,City of Toronto,Yesterday,2020-10-06 11:42:44.908793
1527958452,/v-baby-lot/city-of-toronto/kid-blackboard/1527958452,25.0,Kid blackboard,,Excellent condition,City of Toronto,04/10/2020,2020-10-06 11:42:44.909297
1527956567,/v-baby-lot/city-of-toronto/baby-musical-mobile/1527956567,55.0,Baby Musical Mobile,,Excellent condition (like new). Pick up only.,City of Toronto,04/10/2020,2020-10-06 11:42:44.909798
1517215555,/v-baby-lot/city-of-toronto/beaba-up-and-down-baby-rocker/1517215555,45.0,Béaba Up and Down baby rocker,,"VGUC Beaba Up and Down rocker. So many seating options to be used from newborn to toddler. Also have an infant insert if needed. Slight stain on side, priced to reflect that. ...",City of Toronto,04/10/2020,2020-10-06 11:42:44.910302
1527943339,/v-baby-lot/city-of-toronto/various-baby-items/1527943339,1.0,Various baby items,,Various baby items Please contact 905-472-4751 for pricing information,City of Toronto,04/10/2020,2020-10-06 11:42:44.910818
1527942923,/v-baby-lot/city-of-toronto/various-baby-items/1527942923,1.0,Various baby items,,"Various baby items, more not listed here. Please contact 905-472-4751 for pricing and other information",City of Toronto,04/10/2020,2020-10-06 11:42:44.911318
1516732132,/v-baby-lot/city-of-toronto/kids-item/1516732132,5.0,Kids item,,Gap shoes size 6-7 $5 brand new Baby manicure sets $15 brand new Baby qtip+baby powder $8 brand new Philips avent Bottle warmer $15 Stokke xplory $400 Halloween costume 100cm $10 Toddler electric ...,City of Toronto,04/10/2020,2020-10-06 11:42:44.911875
1527891343,/v-baby-lot/city-of-toronto/pacifier-clips/1527891343,1.0,Pacifier clips,,Brand new pacifier clips pack of 3 $5 Brand new but out of packaging Baby Banz sunglasses $10 Take both for $12 Fastest pickup McCowan and 14th,City of Toronto,04/10/2020,2020-10-06 11:42:44.912380
1478175851,/v-baby-lot/city-of-toronto/skiphop-diaper-bag-and-bottle-drying-rack/1478175851,20.0,Skiphop diaper bag and bottle drying rack,,Skiphop diaper bag (super clean) with lunch containers (only used handful of times) that sit in the bottom pocket (original price was over 150) Skiphop bottle drying rack Wetnap container Fastest ...,City of Toronto,04/10/2020,2020-10-06 11:42:44.913080
