,url,price,title,distance,description,location,time_offset,retreived
1528199851,/v-baby-safety-gate-monitor/city-of-toronto/high-quality-brand-new-children-safety-fence-199/1528199851,199.0,High Quality Brand New Children Safety Fence-$199,,"Features • High quality made; Non-toxic, child-safe • 1.5"" thick panels, specially designed rubber suction cups underneath to prevent sliding, extraordinarily sturdy • Safety lock on swinging hinged ...",City of Toronto,< 3 hours ago,2020-10-06 11:41:18.897197
1528191082,/v-baby-safety-gate-monitor/city-of-toronto/safety-1st-bed-rails/1528191082,20.0,SAFETY 1ST BED RAILS,,2 Bed rails $20 each or 2 for $35 Adjustable height and length Great condition Smoke free pet free home,City of Toronto,< 4 hours ago,2020-10-06 11:41:18.897695
1528187591,/v-baby-safety-gate-monitor/city-of-toronto/baby-children-bed-safety-guardrail-bed-fence-60/1528187591,60.0,Baby Children Bed Safety  GuardRail Bed Fence-$60,,Baby Children Bed Safety GuardRail Bed Fence-$60 Our address: 2600 John Street Unit 212/ 201 Markham ON L3R 3W3  Tel: 905-766-1187(Anson) Cell Phone: 647-500-9706 or text 6 months local warranty • ...,City of Toronto,< 4 hours ago,2020-10-06 11:41:18.898188
1399819689,/v-baby-safety-gate-monitor/city-of-toronto/fisher-price-baby-monitor-mint-condition/1399819689,30.0,Fisher-Price Baby monitor - mint condition,,"Fisher-Price Baby monitor - mint condition, prenatal-to-Nursery Monitor, 30 CAD cash",City of Toronto,< 5 hours ago,2020-10-06 11:41:18.898690
1528161092,/v-baby-safety-gate-monitor/city-of-toronto/summer-infant-pink-bed-rail/1528161092,30.0,Summer infant pink bed rail,,Good condition,City of Toronto,< 12 hours ago,2020-10-06 11:41:18.899186
1528156273,/v-baby-safety-gate-monitor/city-of-toronto/motorola-baby-monitor/1528156273,89.0,Motorola Baby Monitor,,"Baby monitor in great condition. Solid battery life as unit has barely been used on battery (was always plugged in). Comes with a 3.5"" colour LCD monitor. Camera has tilt, pan, and zoom, which you ...",City of Toronto,< 14 hours ago,2020-10-06 11:41:18.899689
1528154431,/v-baby-safety-gate-monitor/city-of-toronto/vtech-baby-monitor-device-connectable/1528154431,80.0,Vtech Baby Monitor  (Device Connectable),,Vtech Baby Monitor selling it for a pretty reasonable price only used for 5 months. Connects with any phone didn't need it anymore works perfect with no faults,City of Toronto,< 14 hours ago,2020-10-06 11:41:18.900211
1528150316,/v-baby-safety-gate-monitor/city-of-toronto/safety-1st-baby-gate-white-colour-pressure-mount/1528150316,20.0,Safety 1st Baby Gate - white colour - pressure mount,,"Pending Pickup Safety 1st Baby Safety Gate Asking $20 Pressure Mount One Hand, top-release handle Can achieve a secure fit on uneven surfaces such as baseboards or banisters For use everywhere in the ...",City of Toronto,< 15 hours ago,2020-10-06 11:41:18.900706
1528147816,/v-baby-safety-gate-monitor/city-of-toronto/15-30-for-each-6-used-secure-top-bed-rails-in-great-condition/1528147816,30.0,$15-$30 for EACH 6 Used Secure Top Bed rails in great condition,,"FIRM PRICE pickup only east scarborough 416-284.0811 no text $15-$30 for EACH 6 Used Secure Top Bed rails in great condition safer, gap free bed rail design so nothing slips through Ideal for ...",City of Toronto,< 15 hours ago,2020-10-06 11:41:18.901202
1528147370,/v-baby-safety-gate-monitor/city-of-toronto/nanit-moniter-items/1528147370,60.0,Nanit moniter items,,1. Nanit multistand 2. 3 Nanit swaddles (Size 0-3 months) 3. 2 Nanit breathing bands (3 pack of size 0-3 months and 3 pack of 3-24 months) Would prefer to sell all items together. $60,City of Toronto,< 15 hours ago,2020-10-06 11:41:18.901699
