,url,price,title,distance,description,location,time_offset,retreived
1528216632,/v-baseball-softball/city-of-toronto/authentic-blue-jays-jersey-size-50/1528216632,100.0,Authentic Blue Jays Jersey - Size 50,,"An authentic Blue Jays jersey. Size 50. Majestic Cool Base. Number 13, Brett Lawrie. Brand New. Never Worn.",City of Toronto,< 2 hours ago,2020-10-06 12:13:56.062048
1528139460,/v-baseball-softball/city-of-toronto/used-rawlings-plasma-baseball-bat-youth-size-30-in-drop-10/1528139460,12.0,"Used Rawlings Plasma Baseball Bat, Youth size, 30-in, drop 10",,"Youth aluminum baseball bat - used but has life left As in the following link, except for the colour ...",City of Toronto,< 16 hours ago,2020-10-06 12:13:56.063045
1528104547,/v-baseball-softball/city-of-toronto/baseball-pitching-machine/1528104547,975.0,Baseball pitching machine,,"ATEC Casey pro pitching machine for sale, This machine works great, I no longer need it due to the fact that I do not coach anymore, it is very versatile for outfield drills infield drills and any ...",City of Toronto,< 20 hours ago,2020-10-06 12:13:56.063585
1528050791,/v-baseball-softball/city-of-toronto/baseball-bag-youth/1528050791,20.0,Baseball Bag - Youth,,"Louisville Slugger Bat Bag - Youth Duffle bag style Approximately 36"" in length $20 obo Bag was purchased new and never used. Excellent condition. Don Mills and Sheppard Thank you",City of Toronto,< 24 hours ago,2020-10-06 12:13:56.064215
1516996876,/v-baseball-softball/city-of-toronto/brand-new-dr-glove-runnymede-subway/1516996876,30.0,Brand new DR glove ... runnymede subway,,Brand new with tags still on DR baseball glove..left hand 11 1/2 ... full grain leather.. manufactured in the Dominican Republic... 3 blocks from runnymede subway. Please call or text 647 706 7019. ...,City of Toronto,04/10/2020,2020-10-06 12:13:56.064943
1458804458,/v-baseball-softball/city-of-toronto/baseball-t-ball-junior-mitt/1458804458,16.0,Baseball T Ball Junior Mitt,,"Wilson EZ Catch Dual Finger Power Wilson Glove for Right Hand A9526 EC95 9 1/2"" Excellent Condition",City of Toronto,04/10/2020,2020-10-06 12:13:56.065506
1363798553,/v-baseball-softball/city-of-toronto/batting-helmet-excellent-condition/1363798553,20.0,"Wanted:
                            Batting helmet excellent condition",,Batting helmet excellent condition,City of Toronto,04/10/2020,2020-10-06 12:13:56.066125
1527910832,/v-baseball-softball/city-of-toronto/blue-jays-bobbleheads/1527910832,40.0,Blue Jays Bobbleheads,,Collection of Blue Jays bobbleheads. $40 per or $70 for 2. Guirriel Reyes Martin Stroman Dickey,City of Toronto,04/10/2020,2020-10-06 12:13:56.067148
1527874143,/v-baseball-softball/city-of-toronto/easton-ghost-x-evolution-usa-youth-bat-2019-10-29-inch/1527874143,125.0,Easton Ghost X Evolution USA Youth Bat 2019 (-10) 29 inch,,"2019 Easton bat used for two exhibition this COVID cancelled season. Son has left baseball for gold next year so not needed. Newly designed with optimized barrel technology, the 2019 Easton® Ghost® X ...",City of Toronto,04/10/2020,2020-10-06 12:13:56.067751
1527823596,/v-baseball-softball/city-of-toronto/blue-jays-zombie-bobblehead-brand-new-in-box/1527823596,25.0,"BLUE JAYS ZOMBIE BOBBLEHEAD, BRAND NEW IN BOX!",,"BLUE JAYS ZOMBIE BOBBLEHEAD GIVEAWAY, FRIDAY THE 13TH, I HAVE 2 AT $25 EACH. THEY ARE BRAND NEW IN ORIGINAL BOX. WILLING TO MEET AT A CONVENIENT LOCATION!",City of Toronto,04/10/2020,2020-10-06 12:13:56.068600
1527794530,/v-baseball-softball/city-of-toronto/rawling-baseball-glove-free-softball/1527794530,10.0,Rawling Baseball glove +FREE softball,,"Rawling baseball glove, small adult size, in really good condition. Comes with a FREE softball.",City of Toronto,04/10/2020,2020-10-06 12:13:56.069103
1517107294,/v-baseball-softball/city-of-toronto/easton-baseball-training-stick/1517107294,30.0,Easton Baseball Training Stick,,Used condition Yellow/ white New goes for about 70,City of Toronto,04/10/2020,2020-10-06 12:13:56.069649
1517161140,/v-baseball-softball/city-of-toronto/vintage-rawlings-baseball-pants-shorts-80s-adult-34/1517161140,25.0,*** VINTAGE RAWLINGS BASEBALL PANTS - SHORTS  ~ 80's ADULT 34***,,"*** VINTAGE RAWLINGS BASEBALL PANTS - SHORTS - 1980's *** Rawlings - ""Action Tailored - The Mark of a Pro"" Made in the USA. Model: WPL 3557 100% Polyester Light Blue with Red, White & Navy Blue Trim. ...",City of Toronto,04/10/2020,2020-10-06 12:13:56.070695
1527739339,/v-baseball-softball/city-of-toronto/sklz-target-swing-trainer-fastpitch/1527739339,30.0,SKLZ TARGET SWING TRAINER FASTPITCH,,Baseball hitting practice swing trainer. $60 new in stores. 4 feet 3 inches long and a great tool to practice proper swing technique.,City of Toronto,03/10/2020,2020-10-06 12:13:56.071268
1517070884,/v-baseball-softball/city-of-toronto/rawlings-baseball-glove-regular-8-5-in/1517070884,5.0,"Rawlings Baseball Glove, Regular, 8.5-in",,"Like new!! Rawlings Player Series Baseball Glove, Pink, Regular, 8.5-in. Two for sale: pink and blue. $5 each Pick-up Roncesvalles/Queens",City of Toronto,03/10/2020,2020-10-06 12:13:56.071764
1486544298,/v-baseball-softball/city-of-toronto/marcus-stroman-signed-autographed-toronto-blue-jays-jersey/1486544298,180.0,Marcus Stroman Signed Autographed Toronto Blue Jays Jersey,,Pick up is at Spadina Ave and College Street in downtown Toronto. I can also meet at Broadview and Gerrard during weekdays between 12:30pm-5pm on occasions. Size 40 white professional authentic ...,City of Toronto,03/10/2020,2020-10-06 12:13:56.072253
1422746478,/v-baseball-softball/city-of-toronto/vguc-golf-baseball-caps/1422746478,8.0,VGUC Golf Baseball Caps,,VGUC baseball themed caps. Asking $8 each or take all 3 for $20. Pick up at the crossroads of Danforth and Danforth.,City of Toronto,03/10/2020,2020-10-06 12:13:56.072756
