,url,price,title,distance,description,location,time_offset,retreived
1528219673,/v-basketball/city-of-toronto/huffy-sports-adjustable-backboard-basket-ball-hoop/1528219673,150.0,Huffy Sports Adjustable Backboard Basket Ball Hoop,,"For sale is a Huffy Sports adjustable basketball hoop. Hoop has a small crack (could be easily welded), and is missing the net. Has surface rust but still has a long life ahead of it with some TLC. ...",City of Toronto,< 2 hours ago,2020-10-06 12:14:59.589274
1528164622,/v-basketball/city-of-toronto/huffy-sports-basketball-net-backboard-and-hoop-standard-size/1528164622,75.0,Huffy Sports Basketball Net Backboard and Hoop Standard Size,,"Board, hoop, spring all working. Mesh/net worn out, can/should be replaced. However all hooks attaching the mesh to the ring available. It can be mounted against a wall. Will require additional ...",City of Toronto,< 12 hours ago,2020-10-06 12:14:59.591732
1528147172,/v-basketball/city-of-toronto/pg-1-shining/1528147172,70.0,Pg 1 shining,,Size 7 Good condition,City of Toronto,< 15 hours ago,2020-10-06 12:14:59.594674
1527869501,/v-basketball/city-of-toronto/lebron-13-all-star-northern-lights-2016/1527869501,360.0,"Wanted:
                            Lebron 13 ‘All Star Northern Lights’ (2016)",,"Brand new, comes with the box, 10/10 condition, Size 8, Only accepting payment in cash",City of Toronto,< 17 hours ago,2020-10-06 12:14:59.596588
1528091665,/v-basketball/city-of-toronto/raptors-jersey-medium/1528091665,50.0,Raptors Jersey - Medium,,Nike Swingman - mens medium - #17 Valanciunas Got as present not my style. Brand new (no tags) Price is $50,City of Toronto,< 21 hours ago,2020-10-06 12:14:59.598499
1528038750,/v-basketball/city-of-toronto/spalding-nba-official-game-basketball-leather-official-size/1528038750,150.0,"Spalding NBA Official Game Basketball, Leather, Official Size",,"I am selling an Official Spalding, Genuine Leather, NBA Basketball which is brand new and has never been used. Selling because it was a gift and I do not use it. I am asking $150 for the ball. I am ...",City of Toronto,Yesterday,2020-10-06 12:14:59.599828
1528033830,/v-basketball/city-of-toronto/ovo-jordan-shirt/1528033830,180.0,OVO Jordan shirt,,OVO Jordan shirt size black XL OVO shirt white L bought from OVO store Yorkdale in 2017 unfortunately never wear them anymore smoke free home OVO JORDAN $150 OVO white shirt $40 both for $180,City of Toronto,Yesterday,2020-10-06 12:14:59.600824
1528032585,/v-basketball/city-of-toronto/jordan-3-size-12/1528032585,80.0,Jordan 3 size 12,,Jordan 3 size 12 from 2017 worn no box $80,City of Toronto,Yesterday,2020-10-06 12:14:59.602331
1527995578,/v-basketball/city-of-toronto/lebron-16s-equality-size-13-all-white/1527995578,300.0,Lebron 16s Equality size 13 (All-White),,"Selling brand new **NEVER WORN** all white Lebron 16s. $300 or best offer, call or text me if interested 416 716-7330. Cash only.",City of Toronto,Yesterday,2020-10-06 12:14:59.603879
1526487846,/v-basketball/city-of-toronto/pending-kobe-bryant-lakers-mamba-city-jersey-size-44-medium/1526487846,100.0,PENDING Kobe Bryant Lakers Mamba City jersey size 44 medium,,"For sale is a replica Kobe Bryant Los Angeles Lakers Black Mamba city edition jersey, size 44 men's medium. Impeccable stitching work and high quality material. Pick up downtown Toronto.",City of Toronto,04/10/2020,2020-10-06 12:14:59.605828
