,url,price,title,distance,description,location,time_offset,retreived
1528067850,/v-bathware-bathroom/city-of-toronto/bathroom-scale/1528067850,10.0,****Bathroom Scale****,,Alfred Sung Home bathroom scale. Programmable (gender/age/height) for multiple people. Takes 4xAA batteries. Excellent condition. $10. PICK UP ONLY in North York.,City of Toronto,< 37 minutes ago,2020-10-05 14:44:20.078304
1528049705,/v-bathware-bathroom/city-of-toronto/like-new-simplehuman-shower-caddy/1528049705,30.0,Like new SimpleHuman Shower Caddy,,"Just moved to a new house that has square shower fixtures so need to sell. Redesigned adjustable shower caddy is sleeker, neater and more secure. The shelves are fully adjustable and even easier to ...",City of Toronto,< 3 hours ago,2020-10-05 14:44:20.078800
1528042246,/v-bathware-bathroom/city-of-toronto/double-shower-head/1528042246,10.0,Double shower head,,One is detachable. Great condition. Original price $80 asking $10.,City of Toronto,< 3 hours ago,2020-10-05 14:44:20.079290
1528041874,/v-bathware-bathroom/city-of-toronto/umbra-bath-caddy/1528041874,10.0,Umbra bath caddy,,Great condition.,City of Toronto,< 3 hours ago,2020-10-05 14:44:20.079787
1528030949,/v-bathware-bathroom/city-of-toronto/3-piece-chrome-bathroom-hardware-set/1528030949,25.0,3 piece chrome bathroom hardware set,,Used but in good shape.,City of Toronto,< 4 hours ago,2020-10-05 14:44:20.080278
1528018520,/v-bathware-bathroom/city-of-toronto/have-duty-x-large-stainless-steel-clothes-drain/1528018520,70.0,Have Duty X-Large Stainless Steel Clothes Drain.,,In great condition. Value 140$plus tax. Selling $70 or best offer.,City of Toronto,< 5 hours ago,2020-10-05 14:44:20.080772
1528000580,/v-bathware-bathroom/city-of-toronto/hand-towel-ring-and-toilet-paper-holder/1528000580,20.0,Hand towel ring and toilet paper holder,,Hand towel ring and toilet paper holder in a shiny chrome colour finish,City of Toronto,< 6 hours ago,2020-10-05 14:44:20.081860
1517321449,/v-bathware-bathroom/city-of-toronto/laundry-detergent-cup/1517321449,10.0,Laundry Detergent  Cup,,2 pcs for $10 3D Printed Suitable for multiple Detergent and Fabric Softener Color made to order Credits to: davwilso https://www.thingiverse.com/thing:2748680,City of Toronto,< 7 hours ago,2020-10-05 14:44:20.082543
1527985526,/v-bathware-bathroom/city-of-toronto/blow-dryer-conair-black-and-silver-hair-dryer/1527985526,40.0,Blow dryer CONAIR Black and silver hair dryer,,This works well nothings wrong with it I just bought a new one. Excellent condition about two years old,City of Toronto,< 8 hours ago,2020-10-05 14:44:20.083032
1527971008,/v-bathware-bathroom/city-of-toronto/kohler-robe-hooks/1527971008,10.0,Kohler Robe Hooks,,"Brand New In The Box - Polished Chrome - 2 available $10 each Streamlined for contemporary style, Constructed of durable metal, this robe hook makes a practical and stylish addition to a variety of ...",City of Toronto,< 16 hours ago,2020-10-05 14:44:20.083529
1527970783,/v-bathware-bathroom/city-of-toronto/ikea-grundtal-drying-rack-nib/1527970783,30.0,Ikea GRUNDTAL drying rack NIB,,"Drying rack, wall, stainless steel26 3/8-47 1/4 "" (67-120 cm) IKEA NIB Pick up Danforth Greenwood area $30",City of Toronto,< 16 hours ago,2020-10-05 14:44:20.084017
1527965514,/v-bathware-bathroom/city-of-toronto/electric-towel-and-garment-warmer/1527965514,30.0,Electric towel and garment warmer,,"Brand new, never used",City of Toronto,< 17 hours ago,2020-10-05 14:44:20.084506
1527959844,/v-bathware-bathroom/city-of-toronto/shower-caddy-rack/1527959844,20.0,Shower Caddy / Rack,,Shower Caddy / Rack Pick up Yonge and Bloor Cash only,City of Toronto,< 18 hours ago,2020-10-05 14:44:20.084998
1527955936,/v-bathware-bathroom/city-of-toronto/high-quality-shower-door-bathroom-accessories-led-mirror/1527955936,399.0,High quality Shower Door/Bathroom Accessories/LED Mirror,,"❣️We Retail & Wholesale bathroom products ❣️We do Standard & Custom glass project & installation within Toronto! ❣️High-Quality products, Free Delivery and local warehouse pick-up! No worry, No ...",City of Toronto,< 18 hours ago,2020-10-05 14:44:20.085487
1172400981,/v-bathware-bathroom/city-of-toronto/dolphin-bath-set-scurtain-2-rugs-hooks-soap-dispenser-g-can/1172400981,70.0,"Dolphin Bath Set, SCurtain, 2 rugs, hooks, soap dispenser, g can",,"Dolphin Bath Set, Curtain and Accessories $50 Cloth dolphin shower curtain, dolphin hooks, 2 bath mats, garbage can, soap dispenser.",City of Toronto,< 19 hours ago,2020-10-05 14:44:20.085975
1527940400,/v-bathware-bathroom/city-of-toronto/babyliss-travel-2000-w-hair-dryer-uk/1527940400,25.0,BaByliss Travel 2000 W Hair Dryer (UK),,Power cord for the UK or Ireland. Include: 1 x BaByliss Travel Dry 2000 1 x Concentrator nozzle 1 x Instruction booklet Pickup from St Clair Ave W and Bathurst.,City of Toronto,< 20 hours ago,2020-10-05 14:44:20.086517
1527933975,/v-bathware-bathroom/city-of-toronto/philips-oneblade-pro-hybrid-trimmer-shaver/1527933975,50.0,Philips OneBlade Pro Hybrid Trimmer & Shaver,,The best deals I get are the Amazon damaged box deals. These are perfect because the item was never returned. It's unsellable because of package damage. This Philips OneBlade Pro is in perfect ...,City of Toronto,< 21 hours ago,2020-10-05 14:44:20.087065
1527925995,/v-bathware-bathroom/city-of-toronto/toilet-paper-holder/1527925995,10.0,Toilet paper holder,,"Condition: Very good $10 or best offer Will be sanitized. Pick up only, Bathurst + Lakeshore.",City of Toronto,< 21 hours ago,2020-10-05 14:44:20.087563
1527920757,/v-bathware-bathroom/city-of-toronto/bathroom-over-the-toilet-storage-shelf/1527920757,30.0,Bathroom / over the toilet storage shelf,,Chrome over the toilet storage rack/shelf Pick up only,City of Toronto,< 22 hours ago,2020-10-05 14:44:20.088052
1480170559,/v-bathware-bathroom/city-of-toronto/dillon-wall-mount-soap-dish/1480170559,25.0,DILLON WALL-MOUNT SOAP DISH,,Brand new - Polished Chrome https://www.restorationhardware.com/catalog/product/product.jsp?productId=prod1330042,City of Toronto,< 22 hours ago,2020-10-05 14:44:20.088538
1527901182,/v-bathware-bathroom/city-of-toronto/bathroom-lighting/1527901182,45.0,"Wanted:
                            Bathroom Lighting",,Beautiful white / silver lighting. Width 23.75 inch - Projection: 7.5-inch - Height: 7.25-inch 120 volt lights Interior Damp Installation,City of Toronto,< 23 hours ago,2020-10-05 14:44:20.089030
1527895819,/v-bathware-bathroom/city-of-toronto/three-pack-soaps-the-perth-company/1527895819,25.0,Three pack soaps - The Perth Company,,Smell amazing! Great gift idea,City of Toronto,< 23 hours ago,2020-10-05 14:44:20.089579
