,url,price,title,distance,description,location,time_offset,retreived
1528477905,/v-bbq-outdoor-cooking/city-of-toronto/bbq-weber-spirit-330-natural-gas-4-burners/1528477905,370.0,BBQ Weber Spirit 330 natural gas 4 burners,,Excellent condition natural gas Cover included Pickup Scarborough Meadowvale and 401 4 burners pulse side burners Clean and ready to use,City of Toronto,< 6 minutes ago,2020-10-07 17:15:20.091894
1528474800,/v-bbq-outdoor-cooking/city-of-toronto/broil-king-baron-natural-gas-bbq/1528474800,250.0,Broil King Baron Natural Gas BBQ,,"Selling a 3 burner natural gas grill from Broil King, never have to worry about running out of propane in the middle of your barbecue sessions! Grates are in great shape and I've never used a grill ...",City of Toronto,< 24 minutes ago,2020-10-07 17:15:20.092395
1528474623,/v-bbq-outdoor-cooking/city-of-toronto/coleman-fyresergeant-2-burner-grill-stove/1528474623,160.0,Coleman FyreSergeant 2-Burner Grill Stove,,Coleman FyreSergeant 2-Burner Grill Stove New condition. Used 3 times this summer. $160 obo,City of Toronto,< 26 minutes ago,2020-10-07 17:15:20.092892
1528451826,/v-bbq-outdoor-cooking/city-of-toronto/camp-stove/1528451826,40.0,Camp stove,,"Propane cook stove grill and burner, uses small propane bottles and the large tank adapter used only 4 or 5 times",City of Toronto,< 3 hours ago,2020-10-07 17:15:20.093382
1528429202,/v-bbq-outdoor-cooking/city-of-toronto/used-broil-king-regal-s590-pro-with-side-burner/1528429202,200.0,Used Broil King REGAL S590 PRO with Side Burner,,Used Broil King REGAL S590 PRO with Side Burner. In great working condition. Heats up quickly (to 700'F) and temperature can be easily controlled (I baked biscuits and cupcakes in it when our oven ...,City of Toronto,< 5 hours ago,2020-10-07 17:15:20.093869
1528429079,/v-bbq-outdoor-cooking/city-of-toronto/stainless-steel-gas-grill-with-2-propane-tanks/1528429079,110.0,Stainless Steel Gas Grill with 2 Propane Tanks,,Backyard BBQ -Three burner stainless steel gas grill. New in the Box. Throwing in 2 Propane Tanks,City of Toronto,< 5 hours ago,2020-10-07 17:15:20.094362
1528414284,/v-bbq-outdoor-cooking/city-of-toronto/for-sale:-master-forge-apartment-condo-sized-portable-bbq/1528414284,80.0,For Sale: Master Forge Apartment/Condo Sized Portable BBQ,,"Selling our used Apartment/Condo sized portable BBQ by Master Forge! Dual burner, standard propane attachment, dark blue Measurements (when fully open): Height: 32 in. Width (end to end): 47 in. ...",City of Toronto,< 6 hours ago,2020-10-07 17:15:20.094853
1528388804,/v-bbq-outdoor-cooking/city-of-toronto/kids-ride-on-a2-electric-motorbike-with-led-light-and-music/1528388804,249.0,Kids Ride On A2 Electric Motorbike with LED light And Music,,"Buy directly from us with confidence, your supplier in Markham, Toronto, Canada. Quality and service is guaranteed.  Our address: 2600 John Street Unit 212/ 201 Markham ON L3R 3W3  Tel: ...",City of Toronto,< 8 hours ago,2020-10-07 17:15:20.095356
1528384918,/v-bbq-outdoor-cooking/city-of-toronto/sterling-bbq/1528384918,60.0,Sterling BBQ,,"Sterling BBQ for Sale 2 Burner Propane BBQ in great shape with minor rust Grill size is 21"" x 12"" Parts easy to find for this Brand-name BBQ (Broil King owns Sterling) Burners and flavour bar just ...",City of Toronto,< 8 hours ago,2020-10-07 17:15:20.095846
1528379137,/v-bbq-outdoor-cooking/city-of-toronto/bbq/1528379137,50.0,BBQ,,BBQ grill with outdoor gas connection in place. Still equipped to use gas tank as well. Also has side burner for your cooking needs.,City of Toronto,< 9 hours ago,2020-10-07 17:15:20.096325
1528355898,/v-bbq-outdoor-cooking/city-of-toronto/electric-wok-pan-10/1528355898,10.0,Electric Wok/ Pan $10,,Great for outdoor cooking/ camping Pick up only pls,City of Toronto,< 12 hours ago,2020-10-07 17:15:20.096817
1528339921,/v-bbq-outdoor-cooking/city-of-toronto/napoleon-pro-500-new-in-box/1528339921,2200.0,NAPOLEON PRO-500 *new in box*,,"Great deal, especially since it’s sold out in most retailers! NATURAL GAS with 10 feet hose Model #: PRO500RSIBNSS Condition: Brand new in box with receipt Features: High-end BBQ with side burner & ...",City of Toronto,< 19 hours ago,2020-10-07 17:15:20.097308
1528327313,/v-bbq-outdoor-cooking/city-of-toronto/5-empty-20-lb-bbq-propane-tanks-15-25-for-each/1528327313,25.0,"5 Empty 20 Lb BBQ Propane Tanks, $15-25 FOR EACH",,"6 Empty 20 Lb BBQ Propane Tanks firm final prices NO OFFERS $15, $20 and $25 pickup only nothing wrong, just some rust, can be easy ex-changed on a new filled tank on gas stations - we did it many ...",City of Toronto,< 21 hours ago,2020-10-07 17:15:20.097799
1528320823,/v-bbq-outdoor-cooking/city-of-toronto/3-propane-tanks-runnymede-subway/1528320823,20.0,3 propane tanks    .... runnymede subway,,3 propane tanks ... expired but you can take them into any facility and they will exchange with no problem. 20 dollars each. 3 blocks from runnymede subway. Porch pickup any time at your convenience. ...,City of Toronto,< 22 hours ago,2020-10-07 17:15:20.098289
1514269434,/v-bbq-outdoor-cooking/city-of-toronto/cuisineart-bbq-grill/1514269434,60.0,Cuisineart BBQ GRILL,,"Used Cuisineart Propane gas BBQ GRILL, working condition with cover. Ask for 60",City of Toronto,< 24 hours ago,2020-10-07 17:15:20.098776
