,url,price,title,distance,description,location,time_offset,retreived
1528344626,/v-bike-frames-parts/city-of-toronto/bike-rim/1528344626,10.0,Bike rim,,Rim 26x1.50_1.75 $10,City of Toronto,< 2 hours ago,2020-10-07 00:29:39.508092
1528342704,/v-bike-frames-parts/city-of-toronto/cannondale-f1000sl/1528342704,320.0,Cannondale F1000SL,,"Cannondale f1000 SL frame and fork. Fork is DD70 with working lockout. Includes the hanger, seatpost clamp, headshock stem with bontrager 600 mm handlebars and a new headshock boot. The frame is in ...",City of Toronto,< 2 hours ago,2020-10-07 00:29:39.508586
1528341743,/v-bike-frames-parts/city-of-toronto/new-tektro-r539-rear-caliper-brake/1528341743,45.0,NEW tektro R539 rear caliper brake,,Welcome For sale is a brand new tektro R539 rear caliper brake. Accommodates larger sized tires and has quick release functionality. Selling because I purchased a front+rear set and no longer need ...,City of Toronto,< 2 hours ago,2020-10-07 00:29:39.509084
1517591035,/v-bike-frames-parts/city-of-toronto/kenda-k50-bmx-tires-20x1-75/1517591035,35.0,Kenda K50 BMX tires 20x1.75,,Pair of 20x1.75 Kenda K50 BMX Tires for sale in great condition. Only ridden 2 times. No tubes included. If interested I can meet at any TTC subway stop or pickup from the Broadview and Queen St East ...,City of Toronto,< 3 hours ago,2020-10-07 00:29:39.509579
1528337424,/v-bike-frames-parts/city-of-toronto/brooks-cambium-grips/1528337424,50.0,Brooks Cambium Grips,,Great condition. Will send more pictures by request.,City of Toronto,< 3 hours ago,2020-10-07 00:29:39.510071
1528334107,/v-bike-frames-parts/city-of-toronto/jamis-satellite-frame-2008/1528334107,85.0,Jamis Satellite Frame 2008,,"Used 2008 steel frame. Quality ride. Great for touring, distance or commuting. Frame only, does not include fork",City of Toronto,< 4 hours ago,2020-10-07 00:29:39.510570
1528329901,/v-bike-frames-parts/city-of-toronto/dura-ace-crankset/1528329901,295.0,Dura Ace Crankset,,Shimano Dura Ace 9000 54/39 Crankset. Quality build. Smooth and efficient power transfer. Great upgrade from your road bike. Light wear on the left arm,City of Toronto,< 4 hours ago,2020-10-07 00:29:39.511063
1528328683,/v-bike-frames-parts/city-of-toronto/dura-ace-9000-road-brakeset/1528328683,190.0,Dura Ace 9000 Road Brakeset,,"Solid set of expertly manufactured Shimano Dura Ace road brakes. Great upgrade. Smooth, tight operation. Lightly used",City of Toronto,< 4 hours ago,2020-10-07 00:29:39.511555
1528321315,/v-bike-frames-parts/city-of-toronto/bassi-gravel-bike-frame-designed-in-montreal/1528321315,700.0,Bassi Gravel Bike Frame (designed in Montreal),,"In my possession right now is a completely brand new (still in bubble wraps) Chromoly Cromor gravel frame that was designed in Montreal, Quebec, Canada. The model name is a Bassi Hog's Back 51cm ...",City of Toronto,< 5 hours ago,2020-10-07 00:29:39.512050
1528317909,/v-bike-frames-parts/city-of-toronto/fixed-wheels-road-bike/1528317909,400.0,Fixed wheels road bike,,I put about 500 customizing this fixed wheel road bike. Frame is classic viner look it up. Shimano pedals. Super strong chain made for agressive fixed wheel riding. Shimano brake. Michelin tires. ...,City of Toronto,< 5 hours ago,2020-10-07 00:29:39.512543
