,url,price,title,distance,description,location,time_offset,retreived
1528166878,/v-bmx-bike/city-of-toronto/bicycle/1528166878,75.0,Bicycle,,BMX bike for sale. Almost brand new barely used. $75. 20 inches. Tires pumped and everything works perfectly. 10/10 condition,City of Toronto,Yesterday,2020-10-07 13:49:21.046680
1528146570,/v-bmx-bike/city-of-toronto/bmx-bike/1528146570,80.0,BMX bike,,"BMX bike . Posted in bikes, bmx in City of Toronto. October 5, 2020",City of Toronto,05/10/2020,2020-10-07 13:49:21.047178
1528008490,/v-bmx-bike/city-of-toronto/gt-mach-one-expert-almost-new-barely-ridden/1528008490,150.0,GT MACH ONE EXPERT Almost New barely ridden,,GT MACH ONE EXPERT Almost New barely ridden $150 call or text 647-863-5324,City of Toronto,05/10/2020,2020-10-07 13:49:21.047681
1527946602,/v-bmx-bike/city-of-toronto/used-20-raleigh-shark-bmx-bike-in-great-working-condition/1527946602,145.0,"Used 20"" RALEIGH Shark BMX Bike in great working condition",,"416-284-0811 calls only pickup only FIRM PRICE NO OFFERS no bargaining Used 20"" RALEIGH Shark BMX Bike in great working condition GREAT QUALITY Brand, Nothing wrong, ready to run It is perfect for ...",City of Toronto,04/10/2020,2020-10-07 13:49:21.048176
1527868752,/v-bmx-bike/city-of-toronto/gt-bmx-bike/1527868752,100.0,GT BMX bike,,"20 inch, 48 spoke wheels. Three piece crank. Gyro. Good 4130 chro-mo frame. Not bad condition. Tires are good. Wheels are not perfectly straight. This is an inexpensive department store bike. Warden ...",City of Toronto,04/10/2020,2020-10-07 13:49:21.048998
1527868100,/v-bmx-bike/city-of-toronto/huffy-bike-35-fully-refundable-if-not-satisfiedcall-647-996-4/1527868100,35.0,"Huffy bike $35, fully refundable if not satisfiedCall 647-996-4",,"Huffy bike $35, fully refundable if not satisfied Call 647-996-4222, email/message may not be responded.",City of Toronto,04/10/2020,2020-10-07 13:49:21.050643
1527752432,/v-bmx-bike/city-of-toronto/brand-new-men-s-firefly-bmx-downhill-full-face-helmet/1527752432,150.0,Brand New Men’s Firefly BMX/Downhill Full Face Helmet,,Brand new BMX helmet in original box. CPSC certified helmet. Super cool graphics in white/red/black colour combo. Excellent protection & style with air ventilation throughout helmet with padded ...,City of Toronto,03/10/2020,2020-10-07 13:49:21.051744
1527742758,/v-bmx-bike/city-of-toronto/used-20-raleigh-black-bmx-bike-in-great-working-condition/1527742758,90.0,"Used 20"" RALEIGH black BMX Bike in great working condition",,"416-284-0811 FIRM PRICE NO OFFERS Used 20"" RALEIGH black BMX Bike in great working condition Nothing wrong, ready to run It is perfect for taking on new tricks, moves, and terrain",City of Toronto,03/10/2020,2020-10-07 13:49:21.053200
1527726065,/v-bmx-bike/city-of-toronto/20-boys-bmx-bike/1527726065,30.0,"20"" boys bmx bike",,"Boys 20"" bmx bike for sale. Bent brand. In great condition. Call or text. 4168433967",City of Toronto,03/10/2020,2020-10-07 13:49:21.053717
1516840459,/v-bmx-bike/city-of-toronto/avigo-bmx-stunt-performance-bike/1516840459,125.0,Avigo BMX Stunt Performance Bike,,iF AD IS UP ITEM IS AVAILABLE. Please call if interested. Avigo Stainless Steel competition BMX. Cleaned up and ready to ride. Four pegs on all four corners. I put some fun grips on it as they are a ...,City of Toronto,03/10/2020,2020-10-07 13:49:21.054216
1527695762,/v-bmx-bike/city-of-toronto/silver-bmx-gyro/1527695762,225.0,Silver BMX Gyro,,If ad is up bike is still available.,City of Toronto,03/10/2020,2020-10-07 13:49:21.055437
1527673088,/v-bmx-bike/city-of-toronto/35-for-16-huffy-bmx-avengers/1527673088,35.0,$35 for 16” Huffy bmx Avengers,,"$35 for 16” Huffy bmx Avengers The area to pick up at Etobicoke, Rexdale and Kipling If you’re interested please only text my number 6473908516 anytime",City of Toronto,03/10/2020,2020-10-07 13:49:21.057094
1527653910,/v-bmx-bike/city-of-toronto/24-ccm-bike-for-sale/1527653910,80.0,"24"" CCM BIKE FOR SALE",,"Used good condition 24"" CCM bike for sale Please text 4169940062",City of Toronto,03/10/2020,2020-10-07 13:49:21.058765
