,url,price,title,distance,description,location,time_offset,retreived
1528061128,/v-bookcase-shelves/city-of-toronto/bedroom-dresser-bookcase-and-side-table/1528061128,900.0,"Bedroom Dresser, Bookcase and Side Table",,"3 pieces of solid hardwood bedroom furniture, perfect for a kids bedroom. The pieces are solid wood, done in Cognac finish and made in Quebec. The pieces include: 1. 6 drawer dresser - Height 34 ...",City of Toronto,< 7 minutes ago,2020-10-05 13:41:36.629424
1528057026,/v-bookcase-shelves/city-of-toronto/solid-wood-bookshelf/1528057026,20.0,Solid Wood Bookshelf,,Wooden bookshelf for sale. Has some minor wear and tear from use but it's very sturdy and has many good years left. Could use as-is or re-finish it (it would be a great project piece since it's solid ...,City of Toronto,< 26 minutes ago,2020-10-05 13:41:36.630444
1528056149,/v-bookcase-shelves/city-of-toronto/white-cube-shelf-unit-storage/1528056149,55.0,White Cube Shelf Unit /  Storage,,width 36inch ，height 48inch used only 2 years Price is firm pick it up north of Yonge/ finch,City of Toronto,< 30 minutes ago,2020-10-05 13:41:36.631037
1528053481,/v-bookcase-shelves/city-of-toronto/wooden-corner-shelf/1528053481,50.0,Wooden Corner shelf,,5 Tier wooden corner shelf. Roughly 6ft.,City of Toronto,< 44 minutes ago,2020-10-05 13:41:36.631789
1528052050,/v-bookcase-shelves/city-of-toronto/bookshelf/1528052050,30.0,"Wanted:
                            Bookshelf",,"Bookshelf Bookshelf. Posted in furniture, bookcases, shelving units in City of Toronto. October 5, 2020",City of Toronto,< 50 minutes ago,2020-10-05 13:41:36.632338
1528051919,/v-bookcase-shelves/city-of-toronto/bookshelf/1528051919,50.0,"Wanted:
                            Bookshelf",,Large bookshelf,City of Toronto,< 50 minutes ago,2020-10-05 13:41:36.632866
1528046298,/v-bookcase-shelves/city-of-toronto/ikea-lack-birch-floating-shelves/1528046298,20.0,IKEA LACK BIRCH FLOATING SHELVES,,"IKEA LACK floating shelves, birch finish 190 cm and 110 cm.",City of Toronto,< 2 hours ago,2020-10-05 13:41:36.633365
1528041999,/v-bookcase-shelves/city-of-toronto/elvarli-ikea-shelving-unit-clothes-organizer/1528041999,270.0,Elvarli IKEA shelving unit clothes organizer,,Hello! This beautiful closet organizer was purchased just over 6 months ago however we have decided to move and therefore it isn’t required anymore as well have enough closet space in the new home. ...,City of Toronto,< 2 hours ago,2020-10-05 13:41:36.633867
1528041080,/v-bookcase-shelves/city-of-toronto/ikea-varde-storage-unit-pick-up-only/1528041080,150.0,IKEA Varde storage unit - pick up only,,"IKEA Varde storage unit for sale. Excellent condition. Comes with adjustable shelves, metal leg covers, additional wooden pieces and hardware. Instruction manual included. 70"" tall 31.5"" wide ...",City of Toronto,< 2 hours ago,2020-10-05 13:41:36.634363
1528040337,/v-bookcase-shelves/city-of-toronto/ikea-jonaxel-shelf-frame/1528040337,35.0,Ikea Jonaxel Shelf + Frame,,• assembled • pick up only,City of Toronto,< 2 hours ago,2020-10-05 13:41:36.634860
1528037967,/v-bookcase-shelves/city-of-toronto/ikea-shelf-unit-white/1528037967,35.0,"IKEA shelf unit, white",,"77×77×39cm,good condition,no damage,pick up near Eglinton and laird.",City of Toronto,< 2 hours ago,2020-10-05 13:41:36.635398
