,url,price,title,distance,description,location,time_offset,retreived
1464314561,/v-brass-instrument-horn/city-of-toronto/jupiter-valve-trombone/1464314561,1200.0,Jupiter valve trombone,,"Jupiter valve trombone Model JUP528L Well taken care of, lightly used. Comes with 2 mouth pieces, extra springs, valve oil ...",City of Toronto,< 8 hours ago,2020-10-07 18:27:52.066679
1528399335,/v-brass-instrument-horn/city-of-toronto/free-shipping-brand-new-brass-instruments-for-sale/1528399335,55.0,FREE SHIPPING!!Brand New! Brass Instruments for sale,,FREE SHIPPING ON ORDERS OVER $79.00 Buy online at www.cjcmusic.ca ----------------------------------------- Trumpet key of Bb Model: TR400L - Golden Lacquer Plated $249.00 Model: TR400S - Silver ...,City of Toronto,< 8 hours ago,2020-10-07 18:27:52.067221
1528390776,/v-brass-instrument-horn/city-of-toronto/classic-saxophone-stand-10/1528390776,10.0,"""classic"" SAXOPHONE STAND  $10",,"ONLY $10, LOCAL PICK UP",City of Toronto,< 9 hours ago,2020-10-07 18:27:52.067719
1528338175,/v-brass-instrument-horn/city-of-toronto/zeff-trumpet-red/1528338175,279.0,Zeff Trumpet Red,,"ZTR-337; Trumpet; Tone:Bb Key; Material:Brass; Finish:Red. Comes with: Hard case, Mouth piece, Valve oil, Cleaning cloth, Gloves. By Appointment 647 995 2678 40 Carl Hall Road, North York, ON",City of Toronto,< 21 hours ago,2020-10-07 18:27:52.068203
1528137504,/v-brass-instrument-horn/city-of-toronto/yamaha-trumpet-ytr-8335/1528137504,1395.0,Yamaha Trumpet YTR-8335,,"Yamaha Trumpet Custom YTR-8335 Made in Japan Refurbished in Japan Very good condition 2 Tone (Gold and Silver-Plated) By Appointment 647 995 2678 40 Carl Hall Road, North York, ON",City of Toronto,05/10/2020,2020-10-07 18:27:52.068718
1528104495,/v-brass-instrument-horn/city-of-toronto/tenor-trombone-in-b-for-students-and-beginners/1528104495,300.0,Tenor trombone in B♭for students and beginners,,"Includes a tenor trombone in B♭, the case, a mouthpiece, and some slide oil. Message me for any concerns and/or questions.",City of Toronto,05/10/2020,2020-10-07 18:27:52.069211
1497049667,/v-brass-instrument-horn/city-of-toronto/conn-constellation-cornet-38a/1497049667,850.0,Conn Constellation Cornet 38A,,"in excellent condition with normal wear , plays great , warm sound , S/n K 87037 built 1967 $850.00 firm or consider trade for Constellation 38B form 60's or before in like condition",City of Toronto,04/10/2020,2020-10-07 18:27:52.069692
1405646370,/v-brass-instrument-horn/city-of-toronto/trumpet/1405646370,195.0,Trumpet,,Almost brand new. Brand is Vinci; not sure about the model.,City of Toronto,04/10/2020,2020-10-07 18:27:52.070249
1527809010,/v-brass-instrument-horn/city-of-toronto/nobel-student-trumpet-with-case-and-mouth-piece/1527809010,110.0,"""Nobel"" Student Trumpet with case and mouth piece.",,"Nobel Student Trumpet. Was used for 2 years of school band and has not been played since. Looking to get rid of it and I am willing to negotiate. Minor dings, will need a cleaning. Comes with the ...",City of Toronto,04/10/2020,2020-10-07 18:27:52.070747
1527651984,/v-brass-instrument-horn/city-of-toronto/amanti-french-horn/1527651984,1000.0,Amanti French Horn,,"Amanti French Horn - great for elementary/high school students, or any beginners! Used - in good condition! Mouth piece included, I also have some beginner musics books I will include with purchase. ...",City of Toronto,03/10/2020,2020-10-07 18:27:52.071239
