,url,price,title,distance,description,location,time_offset,retreived
1528064371,/v-buy-sell-desks/city-of-toronto/computer-desk-discounted-price/1528064371,50.0,Computer Desk *DISCOUNTED PRICE*,,Solid computer desk. 7/10 condition - a few scratched and one poor opening drawer $50 OBO,City of Toronto,< 2 minutes ago,2020-10-05 13:52:39.223243
1528062353,/v-buy-sell-desks/city-of-toronto/ikea-desk/1528062353,99.0,Ikea desk,,White Alex desk In perfect condition Bought 7 months ago - moving,City of Toronto,< 12 minutes ago,2020-10-05 13:52:39.223779
1528062140,/v-buy-sell-desks/city-of-toronto/home-office-desk/1528062140,50.0,Home office desk,,"Discontinued Ikea home desk. 51” x 21.5” Used for university, great quality and very sturdy. Top varnish coming off a little, priced to reflect. Two great drawers!",City of Toronto,< 13 minutes ago,2020-10-05 13:52:39.224515
1528061170,/v-buy-sell-desks/city-of-toronto/office-desks-for-sale/1528061170,100.0,Office desks for sale,,"Hi there, have 4 office desks for sale 1) 2 x single person desks with 3-sided partition and 3 drawers. Measures about 5"" x 2.5"". Great condition. $100 each 2) 2 person desk. Measures about 5' x 5'. ...",City of Toronto,< 18 minutes ago,2020-10-05 13:52:39.225267
1528059932,/v-buy-sell-desks/city-of-toronto/ikea-hammock-used-but-in-good-shape-20/1528059932,20.0,Ikea hammock used but in good shape $20,,Used ikea hammock for two people. About 5 years old. A bit faded but in good shape. The frame comes apart easily with allen key so i can help you dissemble. Pick up only please,City of Toronto,< 24 minutes ago,2020-10-05 13:52:39.226235
1528051654,/v-buy-sell-desks/city-of-toronto/desk/1528051654,30.0,"Wanted:
                            Desk",,Gently used desk.,City of Toronto,< 2 hours ago,2020-10-05 13:52:39.227667
1528050620,/v-buy-sell-desks/city-of-toronto/set-of-2-ikea-leg-gerton-chrome-plated-adjustable-27-to-42/1528050620,50.0,"Set of 2 Ikea leg Gerton chrome-plated Adjustable  27” to 42""",,Excellent condition Social distanced Pickup up in Downtown Toronto near “College” Station. Add 10$ for shipping.,City of Toronto,< 2 hours ago,2020-10-05 13:52:39.228783
1528039782,/v-buy-sell-desks/city-of-toronto/cherry-wood-executive-desk/1528039782,250.0,Cherry wood executive desk,,"Cherry wood executive desk in pretty good condition as pictured. Dimensions: 71""x35""x30""h Pickup near Victoria park and Danforth. $250 obo",City of Toronto,< 2 hours ago,2020-10-05 13:52:39.229794
1528039112,/v-buy-sell-desks/city-of-toronto/desk/1528039112,10.0,Desk,,"No drawers on one side, a garbage can was stored in there",City of Toronto,< 3 hours ago,2020-10-05 13:52:39.230818
1446738037,/v-buy-sell-desks/city-of-toronto/computer-desk/1446738037,60.0,Computer Desk,,"Computer Desk with shelves for printer, copy paper and CD holder, drawer. Good condition. Measurement: Width 1.00 m Depth 0.65 m Height 0.70 m Shelf height 0.59 m",City of Toronto,< 3 hours ago,2020-10-05 13:52:39.231837
