,url,price,title,distance,description,location,time_offset,retreived
1528468039,/v-cd-dvd-blu-ray/city-of-toronto/rolling-stones-between-the-buttons-lp/1528468039,35.0,ROLLING STONES-BETWEEN THE BUTTONS LP,,LP MINT- 1 PRESS 1967 CONTACT PHONE 6475730587,City of Toronto,< 10 minutes ago,2020-10-07 16:22:59.534098
1528467806,/v-cd-dvd-blu-ray/city-of-toronto/the-lord-of-the-rings-trilogy-bluray-steelbook-new-sealed/1528467806,100.0,The Lord of the Rings Trilogy BLURAY STEELBOOK NEW SEALED,,The Lord of the Rings Trilogy BLURAY STEELBOOK NEW SEALED The Lord of the Rings: The Fellowship of the Ring The Lord of the Rings: The Two Towers The Lord of the Rings: The Return of the King,City of Toronto,< 11 minutes ago,2020-10-07 16:22:59.534613
560864130,/v-cd-dvd-blu-ray/city-of-toronto/dixie-chicks-taking-the-long-way-cd-from-2006-new-and-sealed/560864130,8.0,"DIXIE CHICKS - TAKING THE LONG WAY CD FROM 2006, NEW AND SEALED",,"I have a Dixie Chicks, Taking The Long Way CD for sale from 2006 by Open wide/Columbia Records. This CD is new and factory sealed! I have many more items for sale, just click on ""view poster's other ...",City of Toronto,< 33 minutes ago,2020-10-07 16:22:59.535103
1528461139,/v-cd-dvd-blu-ray/city-of-toronto/twilight-3-movie-collection-dvd/1528461139,10.0,Twilight 3-Movie Collection DVD,,Twilight 3-Movie DVD Collection 1. New Moon (discs only) 2. Eclipse (discs only) 3. Breaking Dawn Part 2 Pick up or I can meet depending on the location. Willing to ship within Canada. Check out my ...,City of Toronto,< 47 minutes ago,2020-10-07 16:22:59.535819
1528460638,/v-cd-dvd-blu-ray/city-of-toronto/pirates-of-the-caribbean-disney-bluray-steelbook-new-sealed/1528460638,200.0,Pirates Of The Caribbean DISNEY BLURAY STEELBOOK NEW & SEALED,,BRAND NEW SEALED BLURAY STEELBOOK Pirates of the Caribbean: The Curse of the Black Pearl (2003) Pirates of the Caribbean: Dead Man's Chest (2006) Pirates of the Caribbean: At World's End (2007),City of Toronto,< 49 minutes ago,2020-10-07 16:22:59.536305
1528459868,/v-cd-dvd-blu-ray/city-of-toronto/the-lord-of-the-rings-15-disc-extended-editions-collection/1528459868,100.0,The Lord of the Rings 15-Disc Extended Editions Collection,,The Lord of the Rings Extended Edition on blu-ray 1. The Fellowship of the Ring (5 discs) 2. The Two Towers (5 discs) 3. The Return of the King (5 discs) All discs are in great condition. Pick up or ...,City of Toronto,< 53 minutes ago,2020-10-07 16:22:59.536822
1507348288,/v-cd-dvd-blu-ray/city-of-toronto/1st-ten-all-80-episodes-complete-collection-dvd/1507348288,15.0,1st & Ten All 80 Episodes Complete Collection  DVD,,"1st & Ten All 80 Episodes Complete Collection DVD In very good condition. Save on shipping and pick it up at 1089 Kingston Road, coffee shop with free parking. In east Toronto $15 Shipping extra, we ...",City of Toronto,< 56 minutes ago,2020-10-07 16:22:59.537389
1507346847,/v-cd-dvd-blu-ray/city-of-toronto/semi-pro-dvd-2008-2-disc-set-special-edition/1507346847,10.0,"Semi-Pro (DVD, 2008, 2-Disc Set, Special Edition)",,"Semi-Pro (DVD, 2008, 2-Disc Set, Special Edition) IN very good condition, see pictures. Comes with promo car. 2 disc set. save on shipping pick up east Toronto $10 1089 Kingston Road coffee shop with ...",City of Toronto,< 56 minutes ago,2020-10-07 16:22:59.537974
1528458209,/v-cd-dvd-blu-ray/city-of-toronto/kpop-albums-blackpink-stray-kids-bts-twice-ateez/1528458209,0.0,"Kpop Albums, Blackpink, Stray kids, BTS, Twice,Ateez",,Find all your favorite kpop albums at: https://kpopmusicstorekorea.com/ We have a lot of BTS albums available in stock! And you can already pre-order BTS Be album ;) # Easy order # Safe payment # ...,City of Toronto,< 2 hours ago,2020-10-07 16:22:59.538683
1497725665,/v-cd-dvd-blu-ray/city-of-toronto/dvds-for-sale-titles-in-description/1497725665,2.0,Dvd's For Sale (Titles In Description),,DVD'S FOR SALE 2$ EACH (DVD LIST) Hustle & Flow The Seven Year Itch Nickelodeon Harriet The Spy Endless Passion 2 Traumatised 2 Evil Doers Evil Doers 2 Blind Justice Red Hot Chili Peppers Live At ...,City of Toronto,< 2 hours ago,2020-10-07 16:22:59.539477
