,url,price,title,distance,description,location,time_offset,retreived
1528293146,/v-cell-phone-accessories/city-of-toronto/otterbox-for-iphone-10xs/1528293146,20.0,Otterbox for iPhone 10xs,,Black otterbox for iPhone 10 xs in EUC,City of Toronto,< 19 minutes ago,2020-10-06 17:33:38.607189
1528289283,/v-cell-phone-accessories/city-of-toronto/apple-iphone-11-leather-case/1528289283,60.0,Apple iphone 11 Leather case,,New in sealed box from apple. Saddle Brown leather case. unused. never opened. retails for $78 located downtown toronto,City of Toronto,< 40 minutes ago,2020-10-06 17:33:38.607689
1528284005,/v-cell-phone-accessories/city-of-toronto/otter-box-case-for-iphone-samsung-19-defender-symmetry/1528284005,19.0,Otter Box Case For iPhone & Samsung $19 Defender & Symmetry***,,Otter Box Case For iPhone & Samsung $19 Defender & Symmetry ************BLOW OUT SALE UP TO 70% OFF***************** ***Defender Series ***Symmetry Series *****IPHONE ...,City of Toronto,< 2 hours ago,2020-10-06 17:33:38.608188
1528283067,/v-cell-phone-accessories/city-of-toronto/brand-new-otterbox-case-for-samsung-galaxy-s-10/1528283067,40.0,Brand new OtterBox case for Samsung galaxy S 10,,Brand new straight from the box OtterBox case price negotiable and really good quality,City of Toronto,< 2 hours ago,2020-10-06 17:33:38.608681
1528281599,/v-cell-phone-accessories/city-of-toronto/anker-14400mah-battery-bank-old/1528281599,0.0,Anker 14400mAh battery bank old,,This is an older model 14400mAh battery bank from Anker. The battery works but only gives about one and a half charges the last time I used it. WARNING: It is also expanding. Use at your own risk. ...,City of Toronto,< 2 hours ago,2020-10-06 17:33:38.609193
1528279897,/v-cell-phone-accessories/city-of-toronto/empty-iphone-8-box/1528279897,5.0,Empty iPhone 8 box,,Empty box iPhone 8 gold colour Pick up Dufferin & Eglinton,City of Toronto,< 2 hours ago,2020-10-06 17:33:38.609684
1528264044,/v-cell-phone-accessories/city-of-toronto/moto-e4-5-0-case-j-d-black/1528264044,8.0,Moto E4 (5.0’’) Case J&D Black,,Cadorabo Case for Nokia 6 Black Ultra Slim Gel Shell Bumper Skin Brand New Cadorabo Case Works with Nokia 6 2017 in Black - Shockproof and Scratch Resistant TPU Silicone Cover - Ultra Slim Protective ...,City of Toronto,< 3 hours ago,2020-10-06 17:33:38.610167
1528262138,/v-cell-phone-accessories/city-of-toronto/cadorabo-case-for-nokia-6-black-ultra-slim-gel-shell-bumper-skin/1528262138,10.0,Cadorabo Case for Nokia 6 Black Ultra Slim Gel Shell Bumper Skin,,Brand New Cadorabo Case Works with Nokia 6 2017 in Black - Shockproof and Scratch Resistant TPU Silicone Cover - Ultra Slim Protective Gel Shell Bumper Back Skin,City of Toronto,< 4 hours ago,2020-10-06 17:33:38.610664
1528261030,/v-cell-phone-accessories/city-of-toronto/micro-usb-male-to-usb-2-0-cellphone-otg-smartphone-plug-adapter/1528261030,5.0,Micro USB Male to USB 2.0 Cellphone OTG Smartphone Plug Adapter,,Brand New Scarborough Pickup Call me 647-247-5656 no texting Samsung Nokia Motorola Alcatel Huawei LG Compatible This is the mini plug for OTG capable smart phone,City of Toronto,< 4 hours ago,2020-10-06 17:33:38.611156
1528258919,/v-cell-phone-accessories/city-of-toronto/original-apple-charging-cable-1-meter/1528258919,15.0,Original Apple Charging Cable 1 Meter,,Original Apple Charging Cable 1 Meter,City of Toronto,< 4 hours ago,2020-10-06 17:33:38.611644
1528257485,/v-cell-phone-accessories/city-of-toronto/apple-airpods-2nd-gen-save-the-tax-brand-new/1528257485,159.99,Apple Airpods ★ 2nd Gen  ★ Save The Tax ***BRAND NEW***,,"Listing is for AirPods, These units are Apple Replacement units and are brand new. These are replacement AirPods & Will All Have Warranty From Apple AirPods 2ND Gen $169.99 Call or text Khan at ...",City of Toronto,< 4 hours ago,2020-10-06 17:33:38.612160
1528255489,/v-cell-phone-accessories/city-of-toronto/fashion-case-iphone-11-pro-outer-space-agate/1528255489,40.0,Fashion Case iPhone 11 Pro Outer Space Agate,,"This is a new iPhone pro case from iDeal of Sweden. The only reason for selling this case is that I made a mistake about the size. If you see this ad, it means it’s still available. I bought this ...",City of Toronto,< 4 hours ago,2020-10-06 17:33:38.612658
1528253085,/v-cell-phone-accessories/city-of-toronto/iphone-11-clear-case/1528253085,25.0,iPhone 11 clear case,,"iPhone 11 clear case . Posted in phones, cell phone accessories in City of Toronto. 6 October 2020",City of Toronto,< 4 hours ago,2020-10-06 17:33:38.613151
1528252422,/v-cell-phone-accessories/city-of-toronto/apple-airpods-2nd-gen-save-the-tax-brand-new/1528252422,169.99,Apple Airpods ★ 2nd Gen  ★ Save The Tax ***BRAND NEW***,,"Listing is for AirPods, These units are Apple Replacement units and are brand new. These are replacement AirPods & Will All Have Warranty From Apple AirPods 2ND Gen $169.99 Call or text Khan at ...",City of Toronto,< 4 hours ago,2020-10-06 17:33:38.613644
1528249741,/v-cell-phone-accessories/city-of-toronto/otterbox-iphone-6-6s-plus-commuter-series-case/1528249741,25.0,OtterBox iPhone 6/6s Plus Commuter series Case,,OtterBox iPhone 6/6s Plus Commuter series Case Brand new. Commuter series- Black Bought wrong size. $25 or best offer.,City of Toronto,< 5 hours ago,2020-10-06 17:33:38.614158
1528249180,/v-cell-phone-accessories/city-of-toronto/apple-watch-nike-series-4-44mm-gps/1528249180,400.0,Apple Watch Nike Series 4 44MM GPS,,"Selling an Apple Watch Nike Series 4 44MM GPS. In impeccable condition, because it was well taken care of. Comes complete with the watch, band and unused accessories (magnet charger and 5W charger). ...",City of Toronto,< 5 hours ago,2020-10-06 17:33:38.614661
