,url,price,title,distance,description,location,time_offset,retreived
1528295233,/v-cell-phone/city-of-toronto/iphone-xr-in-brand-new-condition-in-box-unlocked/1528295233,550.0,iPhone XR in Brand New Condition in Box (Unlocked),,"iPhone XR 64GB White In Brand New Condition in Box (Used) Unlocked, can use with any provider Comes with everything in the box Call/ text 2896248956 Can meet in the GTA (Durham, Scarborough, North ...",City of Toronto,< 3 minutes ago,2020-10-06 17:27:50.427496
1528294945,/v-cell-phone/city-of-toronto/bnib-with-receipt-samsung-galaxy-fold-z-2-bronze-never-used/1528294945,2850.0,BNIB with receipt Samsung Galaxy Fold Z 2 Bronze! Never used,,Hello I am selling brand new Samsung Galaxy Z 2 Bronze! Turned on once for 5 minutes then put it back because I decided to keep my Note 10 Plus. It comes with original Samsung receipt and has one ...,City of Toronto,< 5 minutes ago,2020-10-06 17:27:50.427984
1528294376,/v-cell-phone/city-of-toronto/google-pixel-4-brand-new-in-box-unlocked-with-google-warranty/1528294376,700.0,Google Pixel 4 Brand New in Box Unlocked with Google Warranty,,"Google Pixel 4 Brand New in Box Black 64GB Factory Unlocked, can you use with any provider Comes with everything sealed in box Comes with an one year Warranty Call/ text 6478030720 or reply to ad if ...",City of Toronto,< 7 minutes ago,2020-10-06 17:27:50.428465
1528294120,/v-cell-phone/city-of-toronto/iphone-11-pro-max-brand-new-in-box-with-warranty/1528294120,1300.0,iPhone 11 Pro Max Brand New in Box with Warranty,,"iPhone 11 Pro Max Brand New in Box Colour - Space Grey 64GB Factory Unlocked, can you use with any provider Comes with everything sealed in box Comes with an one year Apple Warranty Call/ text ...",City of Toronto,< 9 minutes ago,2020-10-06 17:27:50.428988
1528294005,/v-cell-phone/city-of-toronto/selling-brand-new-space-grey-iphone-xs-64gb/1528294005,600.0,SELLING BRAND NEW  SPACE GREY IPHONE XS 64GB,,"SELLING BRAND NEW SPACE GREY IPHONE XS 64GB UNDER WARRANTY TILL JANUARY 2020. IF INTERESTED, PLEASE TEXT ME AT 4373705272.",City of Toronto,< 9 minutes ago,2020-10-06 17:27:50.429499
1528293991,/v-cell-phone/city-of-toronto/iphone-8-plus/1528293991,420.0,iPhone 8 plus,,"Selling iPhone 8 plus 64 GB factory unlocked space grey colour in very good condition no scratches no damages looks like new, with a charger and original box. Selling for $420. contact me at ...",City of Toronto,< 9 minutes ago,2020-10-06 17:27:50.429986
1528293592,/v-cell-phone/city-of-toronto/huawei-p20-lite/1528293592,130.0,Huawei P20 Lite,,"Im selling Huawei P20 Lite 32gb. The phone is in flawless condition, everything works perfectly, but the LCD is cracked (see third picture)",City of Toronto,< 11 minutes ago,2020-10-06 17:27:50.430469
1528293541,/v-cell-phone/city-of-toronto/samsung-a71/1528293541,470.0,Samsung A71,,Brand new Samsung A71 in box.,City of Toronto,< 11 minutes ago,2020-10-06 17:27:50.430963
1528293295,/v-cell-phone/city-of-toronto/iphone-8-gold-plated-edition-unlocked/1528293295,499.0,iPhone 8 Gold Plated Edition - Unlocked,,For sale is a new condition iPhone 8 gold plated edition meaning the actual frame / cameras lens buttons and sim tray are all 24k gold plated . Looks and works flawless with no problems . Very rare ...,City of Toronto,< 12 minutes ago,2020-10-06 17:27:50.431450
1528293266,/v-cell-phone/city-of-toronto/brand-new-huawei-p30-lite-phone-275/1528293266,275.0,Brand New Huawei P30 Lite Phone - $275,,Brand New unlocked Huawei P30 phone still in box with all the accessories. Asking $275 or best offer. Available to meet in Downtown Toronto or Etobicoke.,City of Toronto,< 12 minutes ago,2020-10-06 17:27:50.431933
1528292801,/v-cell-phone/city-of-toronto/samsung-j3-orbit/1528292801,150.0,Samsung J3 orbit,,BRAND NEW SAMSUNG J3 Orbit for sale.,City of Toronto,< 14 minutes ago,2020-10-06 17:27:50.432417
1528292319,/v-cell-phone/city-of-toronto/samsung-j7/1528292319,170.0,SAMSUNG J7,,BRAND NEW SAMSUNG J7 FOR SALE. I HAVE GREY AND BLACK ONE.,City of Toronto,< 17 minutes ago,2020-10-06 17:27:50.432898
1528292291,/v-cell-phone/city-of-toronto/iphone-11-64gb/1528292291,950.0,iPhone 11 64GB,,"IPHONE 11 64GB With all Accessories, booklet, box Never use it. Just opened box. Selling less $950 because urgent need of payment. Apple original price $980+$tax127 1107$ total",City of Toronto,< 17 minutes ago,2020-10-06 17:27:50.433421
1528291906,/v-cell-phone/city-of-toronto/samsung-a20s/1528291906,265.0,SAMSUNG A20S,,BRAND NEW SAMSUNG A20S FOR SALE. I WILL GIVE A FREE CASE WITH PHONE. BLACK AVAILABLE.,City of Toronto,< 19 minutes ago,2020-10-06 17:27:50.433920
1528291574,/v-cell-phone/city-of-toronto/brand-new-iphone-7-in-box/1528291574,280.0,Brand new iPhone 7 in box,,"Brand new iPhone 7, 32 GB, Unlocked, Just open box today never used. Apple warranty 1 year from today to Oct 3, 2021. comes with original box, brand earphone, charger and cable.",City of Toronto,< 21 minutes ago,2020-10-06 17:27:50.434405
1528291399,/v-cell-phone/city-of-toronto/huawei-p30-lite/1528291399,300.0,Huawei P30 Lite,,Brand new Huawei p30 lite with 4gb and 128gb memory. Color Black. This is a dual sim phone. $300 EACH. I HAVE TWO IN SEALED BOX.,City of Toronto,< 22 minutes ago,2020-10-06 17:27:50.434894
1528291289,/v-cell-phone/city-of-toronto/iphone-11-pro-max/1528291289,1350.0,IPHONE 11 PRO MAX,,Selling my IPhone 11 PRO MAX 64GB - Unlocked to all carriers - I barely used it 98% Battery Health - It’s in Brand New Condition - Comes w Brand new Charger and Headset and Free Polo RL IPhone Case - ...,City of Toronto,< 22 minutes ago,2020-10-06 17:27:50.435384
1528290796,/v-cell-phone/city-of-toronto/iphone-xr-64-gb-red/1528290796,500.0,iPhone XR 64 GB RED,,Selling iPhone XR 64 gb unlocked. Good condition just one scuff. Looking to sell for 500 or best offer. Text me for fast reply 6477837122,City of Toronto,< 25 minutes ago,2020-10-06 17:27:50.435867
1528290488,/v-cell-phone/city-of-toronto/brand-new-black-64gb-iphone-11-880/1528290488,880.0,Brand new black 64gb iPhone 11 -$880,,"Brand new and unopened black 64gb iPhone 11. Pick up only, first come first serve. Asking for $880, but open to negotiation.",City of Toronto,< 27 minutes ago,2020-10-06 17:27:50.436346
