,url,price,title,distance,description,location,time_offset,retreived
1528215251,/v-children-young-adult/city-of-toronto/learn-to-read-level-1-4-star-wars-books/1528215251,25.0,Learn to Read (Level 1 - 4 ) Star Wars books,,Selling 9 mainly Brand New Learn to Read Star Wars books for $25 ($50+ value). All are soft cover (Level 1-4). Titles and levels listed below. - Star Wars The Clone Wars Don't Wake The Zillo Beast: ...,City of Toronto,< 27 minutes ago,2020-10-06 11:01:57.857694
1528213527,/v-children-young-adult/city-of-toronto/baby-books/1528213527,10.0,Baby Books,,"$10 for all nine books. The two books in the second picture are damaged (first one has torn page, second has missing page) but can include if wanted. Pet and smoke free home. Pick up at Don Mills and ...",City of Toronto,< 35 minutes ago,2020-10-06 11:01:57.858165
1502995341,/v-children-young-adult/city-of-toronto/grade-5-math-curriculum-workbooks/1502995341,10.0,Grade 5+ Math Curriculum Workbooks,,Complete Math Smart Enriched Gr 6 (279 pages) Singapore Math Challenge Gr 5+ (351 pages) Both workbooks have never been used and are in brand new condition. Each one for $10 or $15 for both. For pick ...,City of Toronto,< 40 minutes ago,2020-10-06 11:01:57.858666
1528211501,/v-children-young-adult/city-of-toronto/brand-new-lego-ninjago-books/1528211501,12.0,**Brand New** Lego Ninjago Books,,Selling 4 Brand New Lego Ninjago books for $12 (retails for $25+). All books are soft cover. Titles listed below. - Kai: Ninja of Fire - Zane: Ninja of Ice - Cole: Ninja of Earth - Jay: Ninja of ...,City of Toronto,< 44 minutes ago,2020-10-06 11:01:57.859158
1528208767,/v-children-young-adult/city-of-toronto/brand-new-disney-french-childrens-board-books/1528208767,20.0,**Brand New** Disney French Children's Board Books,,"Selling 4 Brand New Disney French children's board books for $20 (retails for $40). All hard cover books. Titles are listed below. - Célébrons Cette Occasion! - Jaune Et Délicieux - Quel Désordre, ...",City of Toronto,< 57 minutes ago,2020-10-06 11:01:57.859853
1528203738,/v-children-young-adult/city-of-toronto/brand-new-assorted-childrens-disney-french-book/1528203738,80.0,**Brand New** Assorted Children's Disney French Book,,Selling 12 Brand New Disney French books for $80 (Retails for $160). All books are hardcover. Titles listed below. - Un Beau Cadeau Pour Le Chat Lucifer - Bienvenue Chez Les Robinson - Dumbo - Une ...,City of Toronto,< 2 hours ago,2020-10-06 11:01:57.860349
1470920114,/v-children-young-adult/city-of-toronto/4-learning-books-ages-2-6-very-good-to-excellent-10-ea/1470920114,10.0,"4 Learning Books, ages 2-6, very good to excellent $10 ea",,"Book 1: Apple, Apples, Apples DESCRIPTION 1: Apples Apples Apples by Mary Elizabeth Wallace: Story: In the fall, baby Minna and Mom and Pop,(rabbit family) go to Long Hill Orchard. They fill their ...",City of Toronto,< 4 hours ago,2020-10-06 11:01:57.860844
1517073777,/v-children-young-adult/city-of-toronto/dairy-of-a-wimpy-kid-soft-cover-books-various/1517073777,10.0,"Dairy of a Wimpy Kid soft cover books, various",,Diary of a Wimpy Kid soft cover books by Jeff Kinney: great reading for teens The Ugly Truth - $10 ea Dog Days - $10 The Last Straw - $10 Rodrick Rules - $10 A Novel of Cartoons - $10 Can meet at ...,City of Toronto,< 5 hours ago,2020-10-06 11:01:57.861339
1528172980,/v-children-young-adult/city-of-toronto/new-book-the-wizenard-series:-training-camp/1528172980,20.0,NEW BOOK THE WIZENARD SERIES: Training Camp,,"New York Times Best Seller. From the mind of basketball legend and Academy Award–winning storyteller Kobe Bryant comes this radically original portrait of five young basketball players, one ...",City of Toronto,< 6 hours ago,2020-10-06 11:01:57.861836
1517533089,/v-children-young-adult/city-of-toronto/diary-of-a-wimpy-kid-bioks/1517533089,40.0,Diary of a Wimpy Kid bioks,,8 in total Excellent condition,City of Toronto,< 13 hours ago,2020-10-06 11:01:57.862328
1528154640,/v-children-young-adult/city-of-toronto/children-s-book-bundle/1528154640,45.0,Children’s book bundle,,Children’s books in great condition from a non smoking and pet free home.,City of Toronto,< 13 hours ago,2020-10-06 11:01:57.862831
1528149458,/v-children-young-adult/city-of-toronto/i-am-a-big-brother-toddler-book/1528149458,5.0,“I am a Big Brother” toddler book,,Like new. Pet and smoke free home. Pick up at Yonge and Wellesley.,City of Toronto,< 14 hours ago,2020-10-06 11:01:57.863326
