,url,price,title,distance,description,location,time_offset,retreived
1527332751,/v-clothing-costumes/city-of-toronto/spirit-halloween-aphrodite-costume-adult-small-4-6/1527332751,40.0,Spirit Halloween Aphrodite Costume Adult Small 4-6,,"Hello Kijiji User, For sale is the following: 1 - Aphrodite Costume Adult Small 4-6: $40 Please message me if you are interested. Cash and e-transfer accepted. Pickup only, located in North ...",City of Toronto,< 8 minutes ago,2020-10-01 18:54:59.564160
1527330504,/v-clothing-costumes/city-of-toronto/unicorn-halloween-costume/1527330504,20.0,Unicorn Halloween Costume,,"Girls rainbow unicorn halloween costume Size 12/18 months Only worn once last halloween Good condition Costume is furry and warm, theres enough room for your child to wear layers and a thin jacket ...",City of Toronto,< 22 minutes ago,2020-10-01 18:54:59.564649
1527328473,/v-clothing-costumes/city-of-toronto/costume/1527328473,10.0,Costume,,Wonder Woman costume Excellent condition 10-12 years old I have two sets for two girls 10$ each,City of Toronto,< 34 minutes ago,2020-10-01 18:54:59.565130
1527328082,/v-clothing-costumes/city-of-toronto/bat-girl-halloween-costume-8-10years/1527328082,20.0,Bat Girl Halloween  costume  8-10years,,Good condition. Free pets and smokes home. Welcome to see my other girls costumes . Porch pick up at anytime near by Eglinton and Kipling,City of Toronto,< 37 minutes ago,2020-10-01 18:54:59.565674
1527319729,/v-clothing-costumes/city-of-toronto/halloween-costume-vampire-velvet-cape-and-mask/1527319729,30.0,Halloween costume - vampire velvet cape and mask,,Velvet cape (size small to medium) + mask,City of Toronto,< 2 hours ago,2020-10-01 18:54:59.566167
1527314607,/v-clothing-costumes/city-of-toronto/costume/1527314607,10.0,Costume,,Wonder Woman costume Excellent condition size 10-12 Pick up in Newmarket or can be delivered to Toronto Yonge and Steeles 4169310310,City of Toronto,< 2 hours ago,2020-10-01 18:54:59.566731
1527278205,/v-clothing-costumes/city-of-toronto/authentic-dragon-ball-z-future-trunks-jacket-small/1527278205,180.0,AUTHENTIC DRAGON BALL Z FUTURE TRUNKS JACKET small,,Brand new unworn jacket by funimation Mens small Future Trunks jacket Cosplay great for Halloween costume $180 or best offer Cash or etransfer Pick up only please,City of Toronto,< 6 hours ago,2020-10-01 18:54:59.567217
1527271080,/v-clothing-costumes/city-of-toronto/pikachu-onzie/1527271080,100.0,Pikachu Onzie,,"Pikachu onzie / costume. So comfy that you will honestly want to wear it for every halloween. If not halloween, you will want to live in this. Used it for 3 halloweens, thought I would pass it along ...",City of Toronto,< 6 hours ago,2020-10-01 18:54:59.567797
1468968649,/v-clothing-costumes/city-of-toronto/monster-high-cheerleader-costume/1468968649,20.0,Monster High Cheerleader costume,,size: 5 to 8 year old Monster High cheerleader costume Top Skirt Leotards Pom poms.,City of Toronto,< 6 hours ago,2020-10-01 18:54:59.568316
1527268370,/v-clothing-costumes/city-of-toronto/red-riding-hood-costume/1527268370,60.0,Red Riding Hood Costume,,Includes: Dress Short Hoodie White Stockings (never worn) Red shoes (never worn),City of Toronto,< 6 hours ago,2020-10-01 18:54:59.568821
1527266247,/v-clothing-costumes/city-of-toronto/cat-ears-bow-tie-costume/1527266247,10.0,Cat Ears + Bow Tie Costume,,Bought these separately. Selling together.,City of Toronto,< 7 hours ago,2020-10-01 18:54:59.569312
1527265241,/v-clothing-costumes/city-of-toronto/pirate-costume/1527265241,60.0,Pirate Costume,,Includes: Dress Sleeves Pirate Garner Eye Patch Original price: $89.99 Negotiable.,City of Toronto,< 7 hours ago,2020-10-01 18:54:59.569799
