,url,price,title,distance,description,location,time_offset,retreived
1527328319,/v-clothing-kid-youth/city-of-toronto/kids-youth-toronto-maple-leafs-set-size-large-10-12/1527328319,5.0,Kids youth Toronto maple leafs set size large 10-12,,Kids youth Toronto maple leafs set size large 10-12. Excellent used condition. Can be worn as pajamas or outdoor clothes. PICKUP BAYVIEW EGLINTON,City of Toronto,< 11 minutes ago,2020-10-01 18:31:15.488488
1527323990,/v-clothing-kid-youth/city-of-toronto/girls-kids-h-m-faux-fur-vest-size-8-10-years-old/1527323990,5.0,Girls kids H&M faux fur vest size 8-10 years old,,Girls kids H&M faux fur vest size 8-10 years old. Excellent used condition. True to size though I bought it for my daughter when she was 5-6 and it was great a little oversized too. White/cream ...,City of Toronto,< 39 minutes ago,2020-10-01 18:31:15.488983
1527323117,/v-clothing-kid-youth/city-of-toronto/uggs-toddler-boots/1527323117,85.0,Uggs Toddler Boots,,Brand new in box Size 11 toddler Style: Ramona Ugg Boots Chestnut brown,City of Toronto,< 45 minutes ago,2020-10-01 18:31:15.489466
1516302519,/v-clothing-kid-youth/city-of-toronto/black-white-embroidered-pakistani-shirt/1516302519,10.0,Black & White Embroidered Pakistani Shirt,,This is a traditional Pakistani piece with beautiful white embroidery. It has only been worn 2 or 3 times. Fixed price at $10.,City of Toronto,< 2 hours ago,2020-10-01 18:31:15.489961
1516406915,/v-clothing-kid-youth/city-of-toronto/winter-hats/1516406915,5.0,Winter Hats,,"The gray hat will fit 7-9 year olds, maybe younger. The white hat with the pink pom-pom can fit 8-12 year olds or a little older. These will both be $5 ; firm price.",City of Toronto,< 2 hours ago,2020-10-01 18:31:15.490493
1527315453,/v-clothing-kid-youth/city-of-toronto/lnib-kids-size-3y-jordan-max-aura-2-black-pink/1527315453,45.0,LNIB) kids size 3y Jordan max Aura 2 black/pink,,Like new in box Kids size 3y Jordan 23 max Aura 2 Black/ pink/ white Please contact,City of Toronto,< 2 hours ago,2020-10-01 18:31:15.490977
1527315176,/v-clothing-kid-youth/city-of-toronto/kid-slippers-size-9-5-10-5/1527315176,15.0,Kid Slippers size 9.5-10.5,,Brand new cotton slippers with non stick bottoms.,City of Toronto,< 2 hours ago,2020-10-01 18:31:15.491477
1527314890,/v-clothing-kid-youth/city-of-toronto/size-9-kids-cougar-boots/1527314890,20.0,Size 9 kids cougar boots,,In excellent condition pick up Yonge and Lawrence area,City of Toronto,< 2 hours ago,2020-10-01 18:31:15.491963
1527314676,/v-clothing-kid-youth/city-of-toronto/nike-size-9-kids-shoes/1527314676,20.0,Nike size 9 kids shoes,,In excellent condition. Pick up Yonge and Lawrence area,City of Toronto,< 2 hours ago,2020-10-01 18:31:15.492447
1527314345,/v-clothing-kid-youth/city-of-toronto/your-little-girls-racquet-sports-apparel/1527314345,90.0,Your little girl's racquet sports apparel.,,"Brand new (with tags) uniform for tennis, badminton or squash. Brand: Little Miss Tennis size: S (7-8.5) will fit shoe size: 9-1 Price: $15.00 Top and Bottom Brand: Nike Size: XS (would fit 6-8 year ...",City of Toronto,< 2 hours ago,2020-10-01 18:31:15.492928
