,url,price,title,distance,description,location,time_offset,retreived
1528050277,/v-coffee-table-ottoman/city-of-toronto/coffee-table/1528050277,200.0,Coffee table,,Glass top with wood finished coffee table. Moving end of week need to go,City of Toronto,< 33 minutes ago,2020-10-05 13:16:39.670646
1528049891,/v-coffee-table-ottoman/city-of-toronto/mcm-coffee-table/1528049891,35.0,MCM Coffee Table,,Beautiful mcm table. Teak legs are untouched but the top has been painted a couple of times. Legs unscrew. 14” high x 16.5” wide x 27” long. A lovely accent to your room.Toronto,City of Toronto,< 35 minutes ago,2020-10-05 13:16:39.671143
1528044775,/v-coffee-table-ottoman/city-of-toronto/3-piece-mid-century-modern-tables-designed-for-expo67/1528044775,1500.0,3 Piece Mid Century Modern Tables - Designed for Expo67,,Mid Century Modern Teak tables for sale. Made exclusively for the 1967 Expo by RS Associates. Two cocktail tables and one coffee table. These are collectors items. Coffee table 67”L x 16”H x 27”W ...,City of Toronto,< 58 minutes ago,2020-10-05 13:16:39.671643
1528042477,/v-coffee-table-ottoman/city-of-toronto/west-elm-coffee-table-with-storage/1528042477,80.0,West Elm Coffee Table with Storage,,"West Elm Industrial Storage Pop-up Coffee Table 36""X26"" - some surface dents (see picture) https://www.westelm.ca/industrial-storage-pop-up-coffee-table Pick-up Only Bay/College",City of Toronto,< 2 hours ago,2020-10-05 13:16:39.672130
1528040016,/v-coffee-table-ottoman/city-of-toronto/stunning-solid-wood-coffee-table-excellent-downtown-toronto/1528040016,49.99,STUNNING SOLID WOOD COFFEE TABLE. EXCELLENT. DOWNTOWN TORONTO,,CURBSIDE PICKUP AT DOWNTOWN TORONTO IN OVERALL EXCELLENT CONDITION WITH SOME MINOR SCUFFS. SIMPLY GORGEOUS COFFEE TABLE. SOLID WOODEN AND STURDY. WELL BUILT. WILL GRACE ANY LIVING HALL BEAUTIFULLY. ...,City of Toronto,< 2 hours ago,2020-10-05 13:16:39.672772
1528039129,/v-coffee-table-ottoman/city-of-toronto/coffee-table-wheeled/1528039129,60.0,Coffee Table - wheeled,,"Unique coffee table. Lightly used, great condition. 44x28x13 inches $60 OBO Pick up only, Queen/Dovercourt",City of Toronto,< 2 hours ago,2020-10-05 13:16:39.673287
1528032618,/v-coffee-table-ottoman/city-of-toronto/modern-glass-coffee-table/1528032618,150.0,Modern Glass Coffee Table,,If the ad is up it’s available. Well kept modern glass coffee table. Used but in great condition. Dimensions: 16.92'' H x 39.37'' L x 23.62'' W Top is 8mm tempered glass with 130lbs weight capacity. ...,City of Toronto,< 2 hours ago,2020-10-05 13:16:39.673775
1528031608,/v-coffee-table-ottoman/city-of-toronto/coffee-table/1528031608,180.0,Coffee table,,Leon’s company and like new,City of Toronto,< 2 hours ago,2020-10-05 13:16:39.674262
1528030428,/v-coffee-table-ottoman/city-of-toronto/vintage-reclaimed-wood-dream-coffee-table-large-square-shape/1528030428,125.0,VINTAGE RECLAIMED WOOD DREAM COFFEE TABLE LARGE SQUARE SHAPE,,interior rustic steel pipe design side barn live edge antique industrial furniture end board modern entertainment display industrial salvaged home staging props stand condo size retail store etc. ...,City of Toronto,< 3 hours ago,2020-10-05 13:16:39.674799
1528028424,/v-coffee-table-ottoman/city-of-toronto/pair-of-new-gold-accented-coffee-end-tables-mirror/1528028424,40.0,Pair Of New Gold Accented Coffee End Tables + Mirror,,Come check out anytime. Located in Richmond Hill.,City of Toronto,< 3 hours ago,2020-10-05 13:16:39.675314
1528028092,/v-coffee-table-ottoman/city-of-toronto/custom-coffee-table-space-saving-like-structube-eq3-cb2/1528028092,280.0,"Custom Coffee Table - Space saving,like structube, eq3,cb2",,"Custom made for condo living area! Solid wood. Dimensions: Width: 14"" Length: 40.5"" Height: 17.5"" Adult owner from a clean, pet and smoke free environment. *Pickup available in Yonge/Sheppard area & ...",City of Toronto,< 3 hours ago,2020-10-05 13:16:39.675815
1528022779,/v-coffee-table-ottoman/city-of-toronto/tempered-glass-coffee-table-and-side-tables/1528022779,250.0,Tempered glass coffee table and side tables,,Used for 2 months pick up at Markham and eglinton all 3 for 250,City of Toronto,< 3 hours ago,2020-10-05 13:16:39.676302
1528018213,/v-coffee-table-ottoman/city-of-toronto/coffee-table/1528018213,150.0,coffee table,,"I love this coffee table but sadly no room. It is made with wood with a ceramic center, bought at the brick. Barely used, only a pen scribble on the top that I am not sure how to get rid of but I'm ...",City of Toronto,< 3 hours ago,2020-10-05 13:16:39.676786
1528014064,/v-coffee-table-ottoman/city-of-toronto/refurbished-mid-century-coffee-table/1528014064,520.0,Refurbished Mid-Century Coffee Table,,"This 60’s walnut coffee table was refurbished by my son, a designer, with great attention to detail and care for its vintage look. Inspired by wood and brass metal work on 19th century square rig ...",City of Toronto,< 4 hours ago,2020-10-05 13:16:39.677272
