,url,price,title,distance,description,location,time_offset,retreived
1528080573,/v-comics-graphic-novels/city-of-toronto/walking-dead-compendium-one/1528080573,40.0,Walking Dead Compendium One,,Mint condition no spine damage Price firm pickup only thanks!,City of Toronto,< 1 minute ago,2020-10-05 15:09:01.907264
1516522544,/v-comics-graphic-novels/city-of-toronto/phineas-and-ferb:-hey-wheres-perry-disney-comic-book/1516522544,3.0,"Phineas and Ferb: Hey, Where's Perry? Disney Comic Book",,"Phineas and Ferb: Hey, Where's Perry? Disney Comic Book Willing to bundle, see other ads and contact to inquire.",City of Toronto,< 2 hours ago,2020-10-05 15:09:01.907804
1516523773,/v-comics-graphic-novels/city-of-toronto/you-crack-me-up-1-chick-and-dee/1516523773,4.0,You Crack Me Up! #1 Chick and Dee,,"You Crack Me Up! #1 Chick and Dee's Big Book of Fun Paperback Willing to bundle, see other ads and contact to inquire.",City of Toronto,< 2 hours ago,2020-10-05 15:09:01.908466
1457776729,/v-comics-graphic-novels/city-of-toronto/the-rise-and-fall-of-the-shiar-empire/1457776729,35.0,The Rise and Fall of the Shi'ar Empire,,I have the 12 part story of Vulcan taking down the Shi'ar Empire. Great read with 1st appearances and deaths. Originally worth $48.00 now selling for $35.00. Grab the full story here first.,City of Toronto,< 3 hours ago,2020-10-05 15:09:01.909328
1398204453,/v-comics-graphic-novels/city-of-toronto/joseph-finder-buried-secrets-book-n-y-times-bestselling-author/1398204453,5.0,Joseph Finder “Buried Secrets Book N.Y Times Bestselling Author,,Joseph Finder “Buried Secrets Book The New York Times Bestselling Author of Company Man and Vanished “OUTSTANDING” - Library Journal (starred review) A Nick Heller Novel. FICTION Copyright 2011 by ...,City of Toronto,< 4 hours ago,2020-10-05 15:09:01.910186
1265410521,/v-comics-graphic-novels/city-of-toronto/mighty-jack-ben-hatke/1265410521,10.0,Mighty Jack (Ben Hatke),,Brand new books. Greatly discounted prices and no tax. More titles available. Follow us on Instagram account instabooks777 for the latest books!,City of Toronto,< 4 hours ago,2020-10-05 15:09:01.910717
1447149961,/v-comics-graphic-novels/city-of-toronto/comics-fright-night-series/1447149961,23.0,Comics = 'Fright Night' Series,,"For sale = Fright Night comic series. All In series except for #10, 15, 28 + 20.",City of Toronto,< 5 hours ago,2020-10-05 15:09:01.911245
1528007501,/v-comics-graphic-novels/city-of-toronto/comic/1528007501,15.0,comic,,for sale X-Factor #1 it is in VF condition im asking $15,City of Toronto,< 6 hours ago,2020-10-05 15:09:01.912254
1528006949,/v-comics-graphic-novels/city-of-toronto/comic/1528006949,30.0,comic,,for sale The X Files #1 it is in NM/M never read condition im asking $30,City of Toronto,< 6 hours ago,2020-10-05 15:09:01.912780
1528006350,/v-comics-graphic-novels/city-of-toronto/comic/1528006350,15.0,comic,,for sale Warlock and the Infinity Watch #1 it is in NM/M never read condition im asking $15,City of Toronto,< 6 hours ago,2020-10-05 15:09:01.913285
1528005396,/v-comics-graphic-novels/city-of-toronto/comic/1528005396,10.0,comic,,for sale Vampirella - Morning in America #1 it is in NM/M never read condition im asking $10,City of Toronto,< 6 hours ago,2020-10-05 15:09:01.913796
1528004378,/v-comics-graphic-novels/city-of-toronto/comic/1528004378,10.0,comic,,for sale Universal Monsters - Frankenstein it is in NM/M never read condition im asking $10,City of Toronto,< 6 hours ago,2020-10-05 15:09:01.914303
1528001858,/v-comics-graphic-novels/city-of-toronto/comic/1528001858,30.0,comic,,for sale The Thing #1 it is in VF/NM condition im asking $30,City of Toronto,< 7 hours ago,2020-10-05 15:09:01.915030
1502300142,/v-comics-graphic-novels/city-of-toronto/complete-20-volumes-of-viz-manga-angel-sanctuary/1502300142,50.0,Complete 20 volumes of Viz manga Angel Sanctuary!,,Selling my Angel Sanctuary set of viz manga for $5 a volume equally $100 in total. Will not break up. Books are in good shape though there is some yellowing with age as pictured.,City of Toronto,< 8 hours ago,2020-10-05 15:09:01.915600
1527982814,/v-comics-graphic-novels/city-of-toronto/ghost-rider-marvel-spotlight-6-7-8-9-10-11-high-grade-comic-run/1527982814,230.0,"Ghost Rider Marvel Spotlight #6,7,8,9,10,11 high-grade comic run",,"These are high grade copies of the original Ghost Rider run in Marvel Spotlight from 1972/73. These books are tight and glossy with minimal defects. I am not a grader, however a longtime collector ...",City of Toronto,< 9 hours ago,2020-10-05 15:09:01.916122
1527982299,/v-comics-graphic-novels/city-of-toronto/nameless-graphic-novel/1527982299,5.0,Nameless graphic novel,,Selling Nameless by Grant Morrison. Pick up near St. Clair West subway station.,City of Toronto,< 10 hours ago,2020-10-05 15:09:01.916655
1479673997,/v-comics-graphic-novels/city-of-toronto/wolverine-sabertooth-hardcover-graphic-novel/1479673997,25.0,Wolverine Sabertooth Hardcover Graphic Novel,,"Brand new never read graphic novel Wolverine faces off against his arch nemesis, Sabertooth. 25 dollars",City of Toronto,< 10 hours ago,2020-10-05 15:09:01.917219
1489195576,/v-comics-graphic-novels/city-of-toronto/uncanny-avengers-issue-2-framed-comic-book/1489195576,5.0,Uncanny Avengers issue #2 framed comic book,,Excellent condition never read framed comic book Uncanny Avengers issue #2 Featuring the Red Skull 5 dollars,City of Toronto,< 10 hours ago,2020-10-05 15:09:01.917773
1489194661,/v-comics-graphic-novels/city-of-toronto/marvel-knights-spider-man-issue-1-framed-comic-book/1489194661,5.0,MARVEL Knights Spider-Man issue #1 framed comic book,,Excellent condition never read framed comic book. Marvel Knights Spider-Man issue#1 Featuring the Black Cat 5 dollars,City of Toronto,< 10 hours ago,2020-10-05 15:09:01.918311
1488501131,/v-comics-graphic-novels/city-of-toronto/locke-key-1-signed-by-joe-hill-netflix-show/1488501131,100.0,Locke & Key #1 Signed by Joe Hill!  Netflix Show!,,"Locke & Key, Keys to the kingdom #1 NM/M Signed by Joe Hill Netflix Hit show!",City of Toronto,< 11 hours ago,2020-10-05 15:09:01.918845
1527974142,/v-comics-graphic-novels/city-of-toronto/amazing-spider-man-1986-272-cgc-9-6-nm-m/1527974142,120.0,AMAZING SPIDER-MAN (1986) #272 CGC 9.6 NM-M,,Up in my eBay so act now https://ebay.ca/usr/jospersau_2 AMAZING SPIDER-MAN (1986) #272 CGC 9.6 NM-M 1st SLYDE Origin & Appearance 1/86 key issue -Puma appearance Pickup $120 or $140 parcel shipped ...,City of Toronto,< 15 hours ago,2020-10-05 15:09:01.919376
1236183939,/v-comics-graphic-novels/city-of-toronto/classics-of-western-literature-bloom-county-by-berke-breathed/1236183939,25.0,Classics of Western Literature - Bloom County by Berke Breathed,,"Bloom County is an American comic strip written and illustrated by Berke Breathed. Bloom County became part of, and helped define, the popular culture of a decade. This book is a first edition ...",City of Toronto,< 17 hours ago,2020-10-05 15:09:01.919930
1401967281,/v-comics-graphic-novels/city-of-toronto/sound-sleeping-in-the-neighborhood-by-jerry-van-amerongen/1401967281,20.0,Sound Sleeping In the neighborhood by Jerry Van Amerongen,,"This is a 1988 paperback book by popular cartoonist Jerry Van Amerongen, published by Andrews and McMeel Publishing. Cartoonist Jerry Van Amerongen is a master of understatement. His nationally ...",City of Toronto,< 17 hours ago,2020-10-05 15:09:01.920459
1527967128,/v-comics-graphic-novels/city-of-toronto/whichblade-dark-minds-signed-by-pat-lee-nm/1527967128,10.0,Whichblade Dark Minds signed by Pat Lee. NM,,Whichblade Dark Minds signed by Pat Lee. NM $10 for both,City of Toronto,< 17 hours ago,2020-10-05 15:09:01.920990
1527966888,/v-comics-graphic-novels/city-of-toronto/dark-minds-witchblade-convention-exc-lmt-5000-image-top-cow-nm/1527966888,5.0,Dark Minds Witchblade Convention Exc Lmt 5000 Image Top Cow NM,,Dark Minds Witchblade Convention Exc Lmt To 5000 Image Top Cow NM,City of Toronto,< 17 hours ago,2020-10-05 15:09:01.921518
1527966566,/v-comics-graphic-novels/city-of-toronto/mobile-suit-gundam-wing-1-lmtd-collectors-red-foil-variant/1527966566,80.0,Mobile Suit Gundam Wing 1 Lmtd Collector's Red Foil Variant,,Mobile Suit Gundam Wing 1 Limited Collector's Edition Red Foil Variant (MIXX) limited to 3000 copies with certificate of Authenticity Canadian National Anime Expo 2000,City of Toronto,< 17 hours ago,2020-10-05 15:09:01.922056
1527965858,/v-comics-graphic-novels/city-of-toronto/shi-1-2-wizard-exclusive-nm/1527965858,5.0,Shi 1/2 wizard exclusive NM,,Shi 1/2 wizard exclusive NM,City of Toronto,< 17 hours ago,2020-10-05 15:09:01.922604
1527965073,/v-comics-graphic-novels/city-of-toronto/marvel-comics-x-force-s-1-to-33-annuals-deadpool-comic-book/1527965073,138.0,Marvel Comics X-Force#’s 1 to 33 + Annuals Deadpool comic book,,"Hi Everyone! Marvel Comics X-Force#’s 1 to 33 plus Annual#1,2, featuring all of Deadpool’s early X-Force appearances are available for $138! Includes: the comics and cards of: Deadpool, Cable, ...",City of Toronto,< 18 hours ago,2020-10-05 15:09:01.923783
1527964940,/v-comics-graphic-novels/city-of-toronto/marvel-comics-deadpool:-kings-s-1-2-3-4-5-set-comic-book/1527964940,95.0,"Marvel Comics Deadpool: Kings#’s 1,2,3,4 & 5 set! comic book",,"Hi Everyone! Marvel Comics Deadpool: Suicide Kings#’s 1,2,3,4 & 5 (complete series set!) are all available for $95! HTF!! Deadpool framed for murder!! Guest-starring the Punisher, Daredevil and ...",City of Toronto,< 18 hours ago,2020-10-05 15:09:01.924332
1527964475,/v-comics-graphic-novels/city-of-toronto/marvel-comics-deadpool:-the-circle-chase-s-1-2-3-4-comic-book/1527964475,80.0,"Marvel Comics Deadpool: the Circle Chase#’s 1,2,3 & 4 comic book",,"Hi Everyone! Marvel Comics Deadpool: the Circle Chase#’s 1,2,3 & 4 (complete set) are available for $80! Deadpool’s very first series! Check out the images as they appear to be in nearmint- ...",City of Toronto,< 18 hours ago,2020-10-05 15:09:01.924856
1527964260,/v-comics-graphic-novels/city-of-toronto/marvel-comics-deadpool-42-gi-joe-homage-issue-comic-book/1527964260,49.0,Marvel Comics Deadpool#42 GI Joe homage issue! comic book,,Hi Everyone! Marvel Comics Deadpool#42 (1997) is available for $49! The ‘Silent but Deadly issue’ in homage to G.I Joe#21! Check out the actual images as this appears to be in Nearmint- condition. ...,City of Toronto,< 18 hours ago,2020-10-05 15:09:01.925376
1527964119,/v-comics-graphic-novels/city-of-toronto/marvel-comics-spider-man-deadpool-1-1st-print-comic-book/1527964119,35.0,Marvel Comics Spider-Man / Deadpool#1 1st print! comic book,,"Hi Everyone, Marvel Comics Spider-Man/Deadpool#1 is available for $35! 1st print! Also features a Vision series preview!! Check out the images as this appears to be in Nearmint- condition. Story by ...",City of Toronto,< 18 hours ago,2020-10-05 15:09:01.926006
1527964001,/v-comics-graphic-novels/city-of-toronto/deadpool-daredevil-97-annual-typhoid-mary-comic-book/1527964001,32.0,Deadpool / Daredevil ’97 Annual Typhoid Mary! comic book,,Hi Everyone! Marvel Comics Daredevil / Deadpool ’97 Annual is available for $32! Featuring the Merc with a mouth and DD! Typhoid Mary and Duece the Dog! Check out the images as this appears to be in ...,City of Toronto,< 18 hours ago,2020-10-05 15:09:01.926524
1527963748,/v-comics-graphic-novels/city-of-toronto/marvel-comics-x-force-1-5-copies-gold-variant-comic-book/1527963748,27.0,Marvel Comics X-Force#1 5 copies+gold variant comic book,,"Hi Everyone! Marvel Comics X-Force#1 5 copies+gold variant are all available for $27! Includes: the still sealed in bag 5 comics and 4 cards of: Deadpool, Cable, X-Force Team, Gideon and Sunspot & ...",City of Toronto,< 18 hours ago,2020-10-05 15:09:01.927048
1516522544,/v-comics-graphic-novels/city-of-toronto/phineas-and-ferb:-hey-wheres-perry-disney-comic-book/1516522544,3.0,"Phineas and Ferb: Hey, Where's Perry? Disney Comic Book",,"Phineas and Ferb: Hey, Where's Perry? Disney Comic Book Willing to bundle, see other ads and contact to inquire.",City of Toronto,< 2 hours ago,2020-10-05 15:09:07.457939
