,url,price,title,distance,description,location,time_offset,retreived
1528236161,/v-computer-components/city-of-toronto/zotak-geforce-730-520-low-profile-hdmi-htpc-pci-e-1x-card/1528236161,60.0,Zotak Geforce 730 520 low profile hdmi htpc pci-e 1x card,,"Zotak Geforce 730 low profile hdmi htpc pci-e 1x video card passive cooling https://www.newegg.com/Product/Product.aspx?Item=9SIAGSC7E43418 1GB ram, vdi, hdmi, vga, 384 CUDA Cores have even some 3D ...",City of Toronto,< 4 minutes ago,2020-10-06 12:23:39.195899
1528234842,/v-computer-components/city-of-toronto/intel-i7-4930k-hexcore-unlocked-retail-boxed-processor-x79-2011/1528234842,250.0,Intel I7-4930K hexcore unlocked retail boxed processor x79 2011,,"Intel I7-4930K hexcore 12 thread unlocked retail boxed processor 2011. https://www.amazon.ca/dp/B00EMHM622 40 pci-e lanes. Works in X79 motherboards. 22nm Ivy Bridge-E. Overclock it moderately, ...",City of Toronto,< 11 minutes ago,2020-10-06 12:23:39.196388
1528234116,/v-computer-components/city-of-toronto/gigabyte-r9-270x-windforce-3x-oc-2gb/1528234116,70.0,GIGABYTE R9 270X WindForce 3X OC 2GB,,"I am selling a used, but in great condition GIGABYTE R9 270X WindForce 3X OC 2GB GDDR5 gaming video card. I don't play games, this card is not being push hard at all. It's card only. Please email me ...",City of Toronto,< 14 minutes ago,2020-10-06 12:23:39.196894
1528233858,/v-computer-components/city-of-toronto/noctua-1366-1356-server-cpu-coolers-2u-3u-4u-4-quiet-computing/1528233858,50.0,Noctua 1366 1356 server cpu coolers 2U 3U 4U 4 quiet computing,,"These coolers are for server and workstation motherboards, not for ordinary desktop motherboard. Compatible either with custom builds based on Asus, Supermicro, Tyan dual socket boards, or branded ...",City of Toronto,< 16 minutes ago,2020-10-06 12:23:39.197573
1528233723,/v-computer-components/city-of-toronto/g-skill-ddr3-1866-ram-red-heatsinks/1528233723,70.0,G.Skill DDR3-1866 ram (red heatsinks),,"G.Skill Ripjaws X (red heatsinks) DDR3-1866 ram 2 x 4GB set CAS 9, 1.5v, with XMP, with lifetime warranty, passed full memtest run $70 firm, will be shown working I have two sets (4 identical dimms).",City of Toronto,< 16 minutes ago,2020-10-06 12:23:39.198063
1528233459,/v-computer-components/city-of-toronto/qnap-ts-119p-ii-nas-1-bays-w-5tb-drive/1528233459,250.0,Qnap TS-119P II NAS 1 bays w/ 5TB Drive,,"I am selling my Qnap personal Cloud 1 Bay NAS with a 5TB drive. It's in like new condition with the latest firmware. It has a lot of apps from Qnap, it can connect external drives to expend or for ...",City of Toronto,< 18 minutes ago,2020-10-06 12:23:39.198573
1528233292,/v-computer-components/city-of-toronto/intel-core-i7-16gb-ram-kit-asus-motherboard-combo/1528233292,260.0,"Intel core i7, 16gb ram kit, Asus motherboard combo",,"Yes, still available. Perfect for gaming builds. Not selling separately. Can sell cpu and mobo bundle I7 3770k unlocked 3.9ghz 8 threads Asus z77-m (unlocked for OC) 16gb ddr3 1600MHz. 9-9-9-24 ...",City of Toronto,< 19 minutes ago,2020-10-06 12:23:39.199912
1528232271,/v-computer-components/city-of-toronto/two-amd-phenom-ii-black-edition-processors/1528232271,45.0,Two AMD Phenom II black edition processors,,"AMD Phenom II black edition HDZ 550 3.1GHz. For AM2+, AM3 and AM3+ motherboards. Unlocked multiplier, perfect condition, will be shown working. $45 firm AMD Phenom II black edition HDZ 955 3.2GHz. ...",City of Toronto,< 24 minutes ago,2020-10-06 12:23:39.200612
1528232108,/v-computer-components/city-of-toronto/msi-amd-ryzen-am4-atx-x370-gaming-sli-cf-motherboard/1528232108,170.0,MSI AMD Ryzen AM4 ATX X370 gaming SLI CF motherboard,,"MSI AMD Ryzen AM4 ATX X370 gaming motherboard: Full ATX with 2-way SLI and 3-way crossfire (most of gaming AM4 boards only support CF but not SLI) Military class 4 with Steel Armor, Debug LED, Audio ...",City of Toronto,< 24 minutes ago,2020-10-06 12:23:39.201323
1528231074,/v-computer-components/city-of-toronto/msi-geforce-gtx-1080-aero-8gb-oc/1528231074,400.0,MSi  GeForce GTX 1080 AERO 8GB OC,,"Hello, I am selling my Msi 1080 8gb gpu. It works 100% without any issues and very little use. I have just upgraded to another card. Can also ship within Canada for $12 expedited If the ad is up then ...",City of Toronto,< 30 minutes ago,2020-10-06 12:23:39.201845
