,url,price,title,distance,description,location,time_offset,retreived
1528237747,/v-computer-networking/city-of-toronto/asus-rt-ac-87u-wireless-ac-dual-band-router/1528237747,110.0,Asus RT-AC     87U Wireless AC Dual Band    Router,,"AC2400 Dual-Band Gigabit WiFi Router with MU-MIMO, AiProtection network security powered by Trend Micro, Adaptive QoS and Parental Control For more information use the link: ...",City of Toronto,< 9 minutes ago,2020-10-06 12:35:04.107315
1528233738,/v-computer-networking/city-of-toronto/linksys-ac1600-smart-wifi-router-brand-new-49-tx/1528233738,49.0,LINKSYS AC1600 SMART WIFI ROUTER BRAND NEW $49+TX,,OTHERS SELLING ALMOST $100. IN STORES AND IN WEBSITES. BUT WE ONLY IN OUR STORE SPECIAL SALE $49 CALL US 647 717 4565 The Linksys EA6400 connects your wired and wireless devices with speeds of up to ...,City of Toronto,< 28 minutes ago,2020-10-06 12:35:04.107820
1517607225,/v-computer-networking/city-of-toronto/bell-modem-wireless-router-bell-2wire-2701-hg-g/1517607225,40.0,Bell Modem/Wireless Router - Bell 2Wire 2701 HG-G,,Bell Modem/Wireless Router - Bell 2Wire 2701 HG-G Modem/Router 2wire 2701HG-G Product Features: * HyperG wireless access point Creates a strong signal with fast speeds and fewer dead zones. * Up to ...,City of Toronto,< 41 minutes ago,2020-10-06 12:35:04.108320
1528222830,/v-computer-networking/city-of-toronto/netgear-n150-wnr1000v2-wireless-router/1528222830,45.0,Netgear N150 WNR1000v2 Wireless Router,,Netgear N150 WNR1000v2 Wireless Router Pick up near Bloor and Jane Netgear Wireless N 150 Router WNR1000 v2 4 Ports Like new condition (still has plastic wrap on it) Comes with AC adapter. The ...,City of Toronto,< 2 hours ago,2020-10-06 12:35:04.108816
1528221534,/v-computer-networking/city-of-toronto/asus-rt-ac66r-gigabit-router/1528221534,60.0,Asus RT-AC66R Gigabit Router,,"5th generation 802.11ac chipset gives you concurrent dual-band 2.4GHz/5GHz for up to super-fast 1.75Gbps ASUS AiCloud service: Access, stream, share, sync – all on the go with unlimited storage ...",City of Toronto,< 2 hours ago,2020-10-06 12:35:04.109313
1528216726,/v-computer-networking/city-of-toronto/virgin-mobile-steve/1528216726,10.0,"Virgin Mobile ""Steve""",,"""Steve"" is the Virgin Mobile Internet Router. I've moved to a house that already has an Internet connection, so I don't need him anymore.",City of Toronto,< 2 hours ago,2020-10-06 12:35:04.109813
1528212316,/v-computer-networking/city-of-toronto/tp-link-router-extender/1528212316,150.0,TP-LINK Router & Extender,,*TP-LINK : Archer C5400 Wireless Tri-Band MU-MIMO Gigabit Router. *TP-LINK : RE590T AC1900 Touch Screen WiFi Range Extender Both are In Excellent Condition. I'm the Original Owner. * The Router Has ...,City of Toronto,< 3 hours ago,2020-10-06 12:35:04.110364
1528206143,/v-computer-networking/city-of-toronto/50-foot-ethernet-internet-cable-rj45-rj-45-cat-5e-network/1528206143,30.0,50 Foot Ethernet Internet Cable + RJ45 RJ-45 CAT 5E Network,,Excellent condition Scarborough Pickup This is sealed in the bag blue 50 foot RJ-45 RJ45 CAT5E Internet Ethernet Network Cable Call me 647-247-5656 no testing,City of Toronto,< 3 hours ago,2020-10-06 12:35:04.110879
1528198170,/v-computer-networking/city-of-toronto/netgear-nighthawk-xr500-gaming-router/1528198170,320.0,Netgear NIGHTHAWK XR500 Gaming Router,,"Selling a brand new unopened/sealed gaming router from Netgear, the NIGHTHAWK XR500 ! If you are searching for this, you already know how good this router is, but if you dont know, just watch the ...",City of Toronto,< 4 hours ago,2020-10-06 12:35:04.111458
1528197231,/v-computer-networking/city-of-toronto/apple-airport-extreme-6th-generation-model-a1521/1528197231,75.0,Apple AirPort Extreme 6th generation (Model A1521),,Like brand new (lightly used by mother in law). Model #A1521,City of Toronto,< 4 hours ago,2020-10-06 12:35:04.111962
