,url,price,title,distance,description,location,time_offset,retreived
1528045343,/v-couch-futon/city-of-toronto/pre-loved-sofa-for-new-home/1528045343,225.0,Pre-Loved Sofa for New Home,,"Selling a less than 3-year old couch that fits 3 comfortably. Originally purchased from Structube for $799. Selling for $225. Dimensions are Height: 32”, Depth: 32”, Seat: 20”, Width: 85”",City of Toronto,< 8 minutes ago,2020-10-05 12:28:45.772996
1528044449,/v-couch-futon/city-of-toronto/leather-sofa/1528044449,250.0,Leather Sofa,,Perfect condition leather sofa,City of Toronto,< 12 minutes ago,2020-10-05 12:28:45.773508
1528043098,/v-couch-futon/city-of-toronto/couch-for-sale/1528043098,50.0,Couch for sale,,4 year old IKEA couch - just needs re-upholstering in the areas shown. Pickup downtown Thursday or Friday evening or Saturday morning,City of Toronto,< 19 minutes ago,2020-10-05 12:28:45.774014
1528042884,/v-couch-futon/city-of-toronto/new-malibu-velvet-upholstered-sofa/1528042884,950.0,New Malibu Velvet Upholstered Sofa,,This beautiful couch is a modern functional piece originally inspired by the 1950’s modernist movement. The simple structure is evidently modeled after the pure shape of a box that quietly sits on ...,City of Toronto,< 20 minutes ago,2020-10-05 12:28:45.774516
1528042738,/v-couch-futon/city-of-toronto/childrens-couch/1528042738,50.0,Children's couch,,Fun kid's couch perfect for a child's room or play area or classroom. Great for those home schooling if you want to create an inviting little reading/sitting area. Excellent condition. Cash only with ...,City of Toronto,< 21 minutes ago,2020-10-05 12:28:45.775085
1528041993,/v-couch-futon/city-of-toronto/sofa-bed-love-seat/1528041993,0.0,Sofa bed love seat,,"Small two seat grey love seat, with pull out bed. Perfect for small apartment or room. The pull out bed works,but does need to be repaired. This is free and you must pick up the weekend of the 17,18 ...",City of Toronto,< 24 minutes ago,2020-10-05 12:28:45.775598
1528041277,/v-couch-futon/city-of-toronto/ikea-ektorp-sofa:-250-1-year-old-original-after-tax-452/1528041277,250.0,"Ikea EKTORP sofa: $250 (1-year old), original after tax ($452)",,Selling Ikea EKTORP sofa Nordvalla dark beige for $250. Only 1-year old. Paid $452 + $99 on shipping Link below https://www.ikea.com/us/en/p/ektorp-sofa-lofallet-beige-s89129207/,City of Toronto,< 27 minutes ago,2020-10-05 12:28:45.776104
1528041027,/v-couch-futon/city-of-toronto/wayfair-split-back-convertible-sofa-couch-excellent-condition/1528041027,200.0,Wayfair Split Back Convertible Sofa Couch - Excellent Condition,,"Excellent condition. No stains, smells, etc. From a smoke-free and pet-free home. It is a split back meaning it can flatten down into a bed that fits two. Couch version sits three. Bought straight ...",City of Toronto,< 28 minutes ago,2020-10-05 12:28:45.776611
1528040672,/v-couch-futon/city-of-toronto/ikea-soderhamn-modular-3-piece-sectional-sofa-finnsta-white/1528040672,1000.0,IKEA Soderhamn Modular 3 piece Sectional Sofa - Finnsta White,,I’m moving and need this gone ASAP! Modular sofa consists of: Sofa section Chaise section Ottoman section Pieces can be moves around for custom arrangement Excellent condition Smoke and pet free home ...,City of Toronto,< 30 minutes ago,2020-10-05 12:28:45.777179
1528039585,/v-couch-futon/city-of-toronto/brown-leather-sectional-gently-used/1528039585,1200.0,Brown Leather Sectional- gently used,,"Fantastic leather couch. Was used in our office, but we moved and no longer need it. Originally from Urban Barn for $7000. Cushions are a bit worn, but it’s in great shape and very comfortable! ...",City of Toronto,< 35 minutes ago,2020-10-05 12:28:45.777823
