,url,price,title,distance,description,location,time_offset,retreived
1528438114,/v-cruiser-commuter-hybrid/city-of-toronto/vintage-supercycle-bike/1528438114,75.0,Vintage Supercycle Bike,,Available for immediate pickup,City of Toronto,< 2 minutes ago,2020-10-07 13:46:32.169474
1528437378,/v-cruiser-commuter-hybrid/city-of-toronto/super-duper-vintage-supercycle-covid-bike/1528437378,280.0,Super duper Vintage SUPERCYCLE COVID BIKE,,"Awesome Bike, Awesome Blue. Smooth, easy ride, great commuter bike. Suit rider 5ft 8in to 6ft 1 in Avoid TTC, and say ""up yours"" to crowded COVID commutes. Vintage Supercycle- Canadian made 1x 6 spd ...",City of Toronto,< 6 minutes ago,2020-10-07 13:46:32.169953
1528433348,/v-cruiser-commuter-hybrid/city-of-toronto/beautiful-vintage-1950-raleigh-bicycle/1528433348,300.0,Beautiful vintage 1950 raleigh bicycle,,Vintage 1950 raleigh bicycle Jos lucas silver king oil lamp headlight Delivery possible,City of Toronto,< 25 minutes ago,2020-10-07 13:46:32.170449
1528431961,/v-cruiser-commuter-hybrid/city-of-toronto/everyday-bicyle/1528431961,100.0,Everyday bicyle,,Everyday bicycle Delivery possible,City of Toronto,< 32 minutes ago,2020-10-07 13:46:32.170945
1528424889,/v-cruiser-commuter-hybrid/city-of-toronto/dco-hybrid-bike-shimano-alivio-disc-brakes-carbon-fork/1528424889,625.0,"DCO hybrid bike (Shimano Alivio, disc brakes, carbon fork)",,"Hybrid bike with Shimano Alivio rear derailleur, disc brakes, carbon fork. Bought new a year ago and only ridden for 120 km. Price is FIRM and happy to include a never used helmet, rechargeable LED ...",City of Toronto,< 2 hours ago,2020-10-07 13:46:32.171458
1528418237,/v-cruiser-commuter-hybrid/city-of-toronto/cannondale-quick-4-disc/1528418237,740.0,Cannondale quick 4 disc,,Only reason I'm selling is that I upgraded! Perfect bike to get you into longer rides. I did my first 20km on this bike. Mint condition. I believe it's 2018 model. Size medium (I'd say max height ...,City of Toronto,< 2 hours ago,2020-10-07 13:46:32.171958
1528417409,/v-cruiser-commuter-hybrid/city-of-toronto/khs-urban-soul-hybrid-bike/1528417409,525.0,KHS urban soul hybrid bike,,"Bought last year, rode occasionally. I bought a road bike this year and haven’t been riding this one so much. In great condition. Medium size frame Feel free to text",City of Toronto,< 2 hours ago,2020-10-07 13:46:32.172453
1528412949,/v-cruiser-commuter-hybrid/city-of-toronto/aluminum-cruiser/1528412949,199.0,Aluminum cruiser,,"Aluminum cruiser bike 26’ wheels. All working, .$199, if you need basket extra $20...........Soft and comfy drive. No low balls,6477724164",City of Toronto,< 3 hours ago,2020-10-07 13:46:32.172994
1528412801,/v-cruiser-commuter-hybrid/city-of-toronto/folding-bike/1528412801,299.0,Folding bike,,"Folding bike in good used condition large frame,20’ wheels, 6 speed. All working, comfy seat . No low balls",City of Toronto,< 3 hours ago,2020-10-07 13:46:32.173493
1528412638,/v-cruiser-commuter-hybrid/city-of-toronto/beautiful-cruiser-bike-in-new-condition/1528412638,465.0,Beautiful cruiser bike  in new condition .,,Beautiful cruiser bike 26’ in new condition .very soft and comfy. No low balls.,City of Toronto,< 3 hours ago,2020-10-07 13:46:32.173989
