,url,price,title,distance,description,location,time_offset,retreived
1528091751,/v-curling/city-of-toronto/curling-jacket/1528091751,50.0,Curling Jacket,,"Red curling jacket, which can be worn even if you don't curl. Black accents. Xlarge From Olsoncurling.com 84% nylon, 16% spandex Almost never worn One chest pocket and two side pockets - all with ...",City of Toronto,< 21 hours ago,2020-10-06 12:18:23.864304
1476210518,/v-curling/city-of-toronto/ultima-cs4000-mens-size-7-5-curling-shoes-brand-new/1476210518,50.0,Ultima CS4000 Mens Size 7.5 Curling Shoes *BRAND NEW*,,"Ultima CS4000 Mens Size 7.5 Curling Shoes *BRAND NEW IN BOX* ***IF YOU SEE THIS AD, THE ITEM IS AVAILABLE. SOLD ITEMS ARE REMOVED IMMEDIATELY.*** - For Righty, slider on left shoe - Premium Ultima ...",City of Toronto,03/10/2020,2020-10-06 12:18:23.865244
1527646757,/v-curling/city-of-toronto/bed-head-rock-n-roller-curling-wand-for-tousled-waves/1527646757,12.0,Bed Head Rock N' Roller Curling Wand for Tousled Waves,,"CLOSING SALE ( we moved to new address) CLEARANCE FINAL SALE (SoldLess Clearance Center INC) all our prices are without tax (cash only ) regular price :$24 our price :$12 New , open box Final ...",City of Toronto,03/10/2020,2020-10-06 12:18:23.865973
1489076648,/v-curling/city-of-toronto/curling-rotator-curling-shoes-discs-mens/1489076648,12.0,Curling Rotator Curling Shoes Discs Mens,,"Curling Rotator Curling Shoes Discs Mens Asham Curling Supplies. Made in Canada Never used, sitting in storage a few years. the discs are white -- guessing teflon (?) Comes with two discs with velcro ...",City of Toronto,03/10/2020,2020-10-06 12:18:23.867000
1489072551,/v-curling/city-of-toronto/curling-rectangular-refill-pad-flat-orange-new/1489072551,10.0,Curling Rectangular Refill Pad Flat-Orange.  New,,"Retangular Refill Pad Flat - Orange Durable cordura pad with high quality foam, attaches to head by way of Velcro for easy replacement. Fits all brooms with Asham rectangular heads. Never used, just ...",City of Toronto,03/10/2020,2020-10-06 12:18:23.867963
1489071723,/v-curling/city-of-toronto/curling-pad-8-ender-f92h-pro-star-refill-for-transformer/1489071723,12.0,Curling Pad 8-Ender. F92H Pro Star Refill for Transformer.,,"Curling Pad. 8-Ender. F92H Pro Star Refill for Transformer. 8"" Prostrat II - Synthetic Cordura covering with a foam sponge to give you added flexibility in tilting the brush when sweeping. Made in ...",City of Toronto,03/10/2020,2020-10-06 12:18:23.868761
1352657299,/v-curling/city-of-toronto/curling-brush-pad-8-ender-defiant/1352657299,8.0,Curling Brush Pad 8-Ender Defiant,,Curling Brush Pad 8-Ender Defiant Never used. Just have been sitting in storage a few years. Two available. Asking $8 each or $15 for both. Orange color. Synthetic replacement head for the F80 and ...,City of Toronto,03/10/2020,2020-10-06 12:18:23.869503
1526642341,/v-curling/city-of-toronto/floor-curl-game/1526642341,100.0,Floor curl game,,"Enjoy indoor curling with this set of Floorcurl indoor curling sliders. Great fun for all ages. Winter is coming and covid is keeping people indoors, this is a perfect game to pass the time. Asking ...",City of Toronto,28/09/2020,2020-10-06 12:18:23.870386
1515813747,/v-curling/city-of-toronto/summer-sale-on-curling-stones-get-your-orders-in-for-winter/1515813747,75.0,Summer Sale on Curling Stones - Get your orders in for Winter,,"Check this out Cottagers and Curlers!! Grampa's Woodshop has improved on their already successful outdoor curling stones for your lake, pond or backyard by adding color!!! The original rocks we ...",City of Toronto,27/09/2020,2020-10-06 12:18:23.870991
1513973205,/v-curling/city-of-toronto/brownie-curling-broom/1513973205,30.0,Brownie Curling Broom,,"For those of you who love the feel and weight of these classic wooden curling brooms by Brownie, you know they can be hard to find these days,",City of Toronto,17/09/2020,2020-10-06 12:18:23.871536
1523564850,/v-curling/city-of-toronto/goldline-curling-bag/1523564850,60.0,Goldline Curling Bag,,Curling bag used only a few times in perfect condition. Many zippered areas to hold all the curling gear. Strap area to hold curling broom. Bought from the Goldline store.,City of Toronto,12/09/2020,2020-10-06 12:18:23.872039
1523563990,/v-curling/city-of-toronto/curling-jacket/1523563990,50.0,Curling Jacket,,"Jacket with white, blue and black colours. Size small unisex design/style. In excellent condition.",City of Toronto,12/09/2020,2020-10-06 12:18:23.872684
1523563198,/v-curling/city-of-toronto/curling-jacket/1523563198,50.0,Curling Jacket,,Jacket Canada style with Maple Leaf and Canada across the back. Size small unisex style. In like new condition.,City of Toronto,12/09/2020,2020-10-06 12:18:23.873436
1494116593,/v-curling/city-of-toronto/sportsnet-womens-grand-slam-of-curling-autographed-jacket/1494116593,125.0,SPORTSNET WOMEN'S GRAND SLAM OF CURLING AUTOGRAPHED JACKET,,SPORTSNET WOMEN'S GRAND SLAM OF CURLING AUTOGRAPHED JACKET SIZE MEDIUM Brand: Goldline Theme: Grand Slam Of Curling Size: Women's M Details: Sportsnet Grand Slam of Curling Jacket Embroidered logos ...,City of Toronto,12/09/2020,2020-10-06 12:18:23.874212
1522726097,/v-curling/city-of-toronto/curling-broom-childrens-size/1522726097,10.0,Curling Broom - Children's Size,,"Well used and decorated, but could be great for someone new to curling!",City of Toronto,07/09/2020,2020-10-06 12:18:23.875360
1522725862,/v-curling/city-of-toronto/curling-broom/1522725862,15.0,Curling Broom,,"Well used and decorated, but could be great for someone new to curling! A couple cracks at the top of the broom",City of Toronto,07/09/2020,2020-10-06 12:18:23.875879
1522725608,/v-curling/city-of-toronto/curling-broom-childrens-size/1522725608,10.0,Curling Broom - Children's Size,,"Well used and decorated, but could be great for someone new to curling!",City of Toronto,07/09/2020,2020-10-06 12:18:23.876388
1522725360,/v-curling/city-of-toronto/curling-shoes-womens-size-9/1522725360,30.0,Curling Shoes - Women's Size 9,,Roots curling shoes women's shoes. Still lots of life left as they are amazing quality. l Great for someone who has joined a curling league.,City of Toronto,07/09/2020,2020-10-06 12:18:23.876886
1522467260,/v-curling/city-of-toronto/eagle-mens-curling-shoes/1522467260,10.0,Eagle Men's Curling Shoes,,"Size 11.5 Worn, but still very good.",City of Toronto,06/09/2020,2020-10-06 12:18:23.877385
1522466719,/v-curling/city-of-toronto/curling-gripper/1522466719,10.0,Curling Gripper,,"One is Xlarge - Balance Plus, slightly used The other one is Large - GoldLine, never used $10 each",City of Toronto,06/09/2020,2020-10-06 12:18:23.877881
1522464937,/v-curling/city-of-toronto/balance-plus-equalizer-mens-gloves/1522464937,20.0,Balance Plus EQualizer Men's Gloves,,Never worn. Xlarge,City of Toronto,06/09/2020,2020-10-06 12:18:23.878413
1521685007,/v-curling/city-of-toronto/curling-shoes/1521685007,75.0,Curling Shoes,,"Women's Right Handed G50 Swift Curling Shoes, Size 6 - like new, worn 3 times - $75 (retail $179)",City of Toronto,02/09/2020,2020-10-06 12:18:23.878932
1521354707,/v-curling/city-of-toronto/kids-helmet/1521354707,20.0,Kids helmet,,kids helmet in very good condition. $20 o.b.o.,City of Toronto,31/08/2020,2020-10-06 12:18:23.879426
