,url,price,title,distance,description,location,time_offset,retreived
1528484426,/v-desktop-computers/city-of-toronto/msi-rx-570-8g-180/1528484426,180.0,"Msi rx 570 8g
180",,Brand new in open box with receipt for canada computers,City of Toronto,< 8 minutes ago,2020-10-07 17:47:10.347795
1527617859,/v-desktop-computers/city-of-toronto/imac-27-2019-with-warranty-save-1-500/1527617859,2850.0,"iMac 27"", 2019, with warranty, SAVE $1,500",,"27"" iMac with 5K Retina display, Intel 3GHZ 6-Core i5 processor, 16GB memory, 2TB hard disk (fusion). Computer is 16 months old and has 16 months of extended Apple warranty (AppleCare+). It has ...",City of Toronto,< 18 minutes ago,2020-10-07 17:47:10.348292
1528481197,/v-desktop-computers/city-of-toronto/desktop-computer/1528481197,500.0,Desktop Computer,,This machine was built for video editing a few years ago and was used very lightly. It’s been collecting dust for almost 2 years. I’ll list components below along with a few notes and happy to answer ...,City of Toronto,< 23 minutes ago,2020-10-07 17:47:10.348804
1528479073,/v-desktop-computers/city-of-toronto/streaming-pc/1528479073,1200.0,Streaming PC,,i5-8400 6-core（Overkilling 7th gen i7） Dual 8G 3000mhz C16 （Running 2666） TUF B360M-E ROG STRIX GTX 1070TI 256Gb Samsung NVME SSD 1TB HDD Corsair 850W PSU i9 Stock Cooler（with Cooper Core） Matrexx 70 ...,City of Toronto,< 32 minutes ago,2020-10-07 17:47:10.349315
1528475194,/v-desktop-computers/city-of-toronto/antec-computer-case/1528475194,50.0,Antec computer case,,I try to sell my computer case for $50,City of Toronto,< 54 minutes ago,2020-10-07 17:47:10.349810
1528468911,/v-desktop-computers/city-of-toronto/6-core-intel-gaming-pc-with-rtx-2070-super-32gb-ram-ssd-and-hdd/1528468911,1100.0,6 Core Intel Gaming PC with rtx 2070 super 32gb ram ssd and hdd,,Can deliver More than willing to test PC if it is a good fit Overclocked and stress-tested Userbenchmark results: https://www.userbenchmark.com/UserRun/33862462 Call of Duty warzone is currently ...,City of Toronto,< 2 hours ago,2020-10-07 17:47:10.350309
1528470603,/v-desktop-computers/city-of-toronto/beast-from-the-east-ryzen-5-1600-16gb-480ssd-1080gtx-8gb/1528470603,999.0,Beast From the East--Ryzen 5 1600/16gb/480SSD/1080GTX 8GB,,"Hello, I am selling my gaming computer. This will run any application or games to the high settings. This has a fast AMD Ryzen 5 1600 3.5Ghz (12treads) with 16GB ddr4 Ram along with a size Gigabyte ...",City of Toronto,< 2 hours ago,2020-10-07 17:47:10.350798
1528469964,/v-desktop-computers/city-of-toronto/silent-intel-ddr4-14-core-pc-hackintosh-workstation-w-mac-os/1528469964,1500.0,Silent Intel DDR4 14 core pc hackintosh workstation w/ Mac OS,,"Intel premium platform for serious work. Step up from Mac Pro 6,1 platform. Large Thermaltake Suppressor usb3 ultra quiet gaming case with lots of room for back cable management, 140mm cooling, large ...",City of Toronto,< 2 hours ago,2020-10-07 17:47:10.351261
1528469774,/v-desktop-computers/city-of-toronto/evga-rtx3080-ftw3-special-version/1528469774,1550.0,"EVGA RTX3080  FTW3 
special version",,Calling out all who genuinely need this because i suffered alot when i needed one a month back and people were asking $2000 for this. Now i got this one today as i was on the waiting list. About the ...,City of Toronto,< 2 hours ago,2020-10-07 17:47:10.351759
1528465802,/v-desktop-computers/city-of-toronto/imacs-i5-i7-blow-out-sale-starting-from-499-back-to-school-sal/1528465802,399.0,"IMACS i5,i7 BLOW OUT SALE STARTING FROM  $499 BACK TO SCHOOL SAL",,"IMACS i5,i7 BLOW OUT SALE STARTING FROM $499 BACK TO SCHOOL SALE ****************************************************************************************************** imac 21.5 inch c2d/8gb/500gb ...",City of Toronto,< 2 hours ago,2020-10-07 17:47:10.352250
