,url,price,title,distance,description,location,time_offset,retreived
1528471804,/v-drum-percussion/city-of-toronto/latin-percussion-vibra-slap-standard/1528471804,40.0,Latin Percussion Vibra-Slap Standard,,The LP Vibra-Slap was originally conceived as a durable replacement for the original delicate rattling horse jawbone. It is an essential instrument for any percussionist. Great condition.,City of Toronto,< 2 hours ago,2020-10-07 18:24:34.654118
1528471412,/v-drum-percussion/city-of-toronto/carroll-sound-vintage-flexatone/1528471412,25.0,Carroll Sound Vintage Flexatone,,The classic percussion effect. Good condition.,City of Toronto,< 2 hours ago,2020-10-07 18:24:34.654745
1528467264,/v-drum-percussion/city-of-toronto/pearl-snare/1528467264,199.0,Pearl Snare,,"I have a Pearl Chad Smith, Metal Snare for Sale. Great Condition n Great Sounding. Please call or text 905-371-4375. Thank You.",City of Toronto,< 3 hours ago,2020-10-07 18:24:34.655277
1528458632,/v-drum-percussion/city-of-toronto/professional-advanced-version-blue-hang-drum-handpan/1528458632,1850.0,Professional Advanced Version Blue hang Drum handpan,,"Profession Advanced Version Starry Blue Steel Hang Drum/Handpan in D Minor 10 Notes 22 inches Nitrided Steel Hang Drum with Soft Hand Pan Bag, 2 handpan mallet and Handpan Stand.",City of Toronto,< 4 hours ago,2020-10-07 18:24:34.655812
1528443365,/v-drum-percussion/city-of-toronto/yamaha-recording-custom-1985/1528443365,275.0,Yamaha recording custom 1985,,Pristine 13 inch pre yess I bought this last week for a project but now going with a different kit altogether Selling well below value Drum is in brantford but will bring to tronto,City of Toronto,< 5 hours ago,2020-10-07 18:24:34.656482
1528442585,/v-drum-percussion/city-of-toronto/quiet-drums-cymbals/1528442585,700.0,Quiet drums + cymbals,,"5 pcs mapex voyager 22, 12, 13, 16, 14 All drum heads are Remo Silenstroke Sabian quiet tone 14 hats, 16 crash, 22 ride Zildjian L80 , 16 crash, 14 crash Dw 2000 pedal 3 mapex cymbal stands, one no ...",City of Toronto,< 5 hours ago,2020-10-07 18:24:34.657291
1528431152,/v-drum-percussion/city-of-toronto/cb-sp-series-drum-kit/1528431152,250.0,CB SP SERIES DRUM KIT,,"GREAT CONDITION 5 pc Blue CB SP series drum kit complete with everything in the picture, comes with cymbals, hihat, pedal, sticks, music stand , newer drum heads and matching double braced hardware, ...",City of Toronto,< 6 hours ago,2020-10-07 18:24:34.658293
1528428921,/v-drum-percussion/city-of-toronto/sabian-aa-medium-thin-crash-16/1528428921,150.0,Sabian AA Medium Thin Crash 16”,,"I’m selling my Sabian AA crash, it’s in great condition as you can come see for yourself. Let me know if your interested",City of Toronto,< 6 hours ago,2020-10-07 18:24:34.658799
1506361122,/v-drum-percussion/city-of-toronto/2-tabla-sets-for-sale/1506361122,1200.0,2 Tabla Sets for Sale,,2 beautiful Tabla. The sound is exquisite ! One of the Tabla was picked by Ustad Zakir Hussain when he taught at the Ali Akbar School of Music. They also come with Baya. But the Baya do not have a ...,City of Toronto,< 7 hours ago,2020-10-07 18:24:34.659538
1528414568,/v-drum-percussion/city-of-toronto/free-shipping-brand-new-junior-drum-set-from-169-00/1528414568,169.0,FREE SHIPPING! Brand New Junior Drum Set from $169.00,,"CJC MUSIC Buy online at www.cjcmusic.ca FREE SHIPPING ON ORDERS OVER $79.00 ----------------------------------------------- Brand New 3-pc Junior Drum Set Drumset (Good for 3-8 yrs old kids, Great ...",City of Toronto,< 7 hours ago,2020-10-07 18:24:34.660141
