,url,price,title,distance,description,location,time_offset,retreived
1528432864,/v-ebike/city-of-toronto/e-bike-scooter-daymak/1528432864,450.0,E BIKE SCOOTER (DAYMAK),,Selling my wife’s daymak electric scooter. Its in good working condition. Just installed Brand new rear tire and tube. Breaks are in good condition as well. The chain is rusty and needs to be ...,City of Toronto,< 28 minutes ago,2020-10-07 13:47:28.111851
1528430860,/v-ebike/city-of-toronto/e-scooter/1528430860,350.0,E-scooter,,Brand new in box hover 1 rally scooter escooter bought 2 my wife doesnt like it looking to get $350 paid 499 for it from bestbuy ...,City of Toronto,< 39 minutes ago,2020-10-07 13:47:28.112351
1528420618,/v-ebike/city-of-toronto/800w-brushless/1528420618,50.0,800W Brushless,,"Just got the controller and I'm not going to have it installed. Other options suit my bike better. Firm, fair price",City of Toronto,< 2 hours ago,2020-10-07 13:47:28.113228
1528420093,/v-ebike/city-of-toronto/daymak-rogue-75v-ebike/1528420093,2000.0,Daymak rogue 75v ebike!,,"Well working condition! Looking for $2000. Message for more details. Comes with helmet, key and bike cover!",City of Toronto,< 2 hours ago,2020-10-07 13:47:28.113723
1515797109,/v-ebike/city-of-toronto/new-half-face-helmet-dot-approved-medium/1515797109,40.0,New half face helmet (DOT Approved) - Medium,,*** Completion of sale will be at Yorkdale Shopping Center in front of Sportchek *** - New and unused half face helmet - DOT approved - Size Medium (57cm to 58cm) - Burgundy - Ideal for Electric Bike ...,City of Toronto,< 3 hours ago,2020-10-07 13:47:28.114244
1528394262,/v-ebike/city-of-toronto/daymak-em2-ebike/1528394262,2600.0,Daymak em2 Ebike,,Daymak em2. 84 volts lithium battery 2 months old. Excellent condition. Turbo controller. 95 kilometers distance. 65 kph.also has reverse gear,City of Toronto,< 4 hours ago,2020-10-07 13:47:28.115075
1528388968,/v-ebike/city-of-toronto/electric-uni-cycle-euc/1528388968,400.0,Electric Uni Cycle EUC,,8x Airwheel,City of Toronto,< 4 hours ago,2020-10-07 13:47:28.115670
1528383192,/v-ebike/city-of-toronto/emmo-monta-e-bike-48v-21-ah-lithium-samsung-battery/1528383192,1800.0,Emmo Monta E bike 48V/ 21 Ah Lithium Samsung battery,,"The normal price for the bike is around 2700, and I am selling it for 1.800 , brand new bike I’ve been using it for 2 months only.",City of Toronto,< 5 hours ago,2020-10-07 13:47:28.116504
1528381529,/v-ebike/city-of-toronto/ebike-brand-new-batteries/1528381529,800.0,EBIKE BRAND NEW BATTERIES,,"Has brand new batteries on it, runs very good, no license and insurance needed, $800 firm, could possibly deliver Call or text six47-708-five812",City of Toronto,< 5 hours ago,2020-10-07 13:47:28.117067
1521957864,/v-ebike/city-of-toronto/segway-max-electric-scooter-brand-new-factory-sale/1521957864,1100.0,"SEGWAY MAX ELECTRIC SCOOTER ""BRAND NEW"" - Factory Sale",,Brand New In Box Segway Ninebot MAX (Gen 2) Electric Scooter - $1100 Factory Sale Price --Also offering Gen 2 Open Box and Factory Referbished MAX as outlined below-- Limited availability of Open Box ...,City of Toronto,< 7 hours ago,2020-10-07 13:47:28.117561
1521987222,/v-ebike/city-of-toronto/segway-ninebot-es3-45km-range-brand-new-factory-sale/1521987222,700.0,Segway Ninebot ES3 * 45km Range * BRAND NEW * - Factory Sale,,"FACTORY SALE SAVE $50 ON MULTI UNIT PURCHASE - WHILE SUPPLIES LAST Openbox ES3 also available starting at $500 - folding electric kickscooter, w/ external battery, dark gray - 25km/h top speed & ...",City of Toronto,< 7 hours ago,2020-10-07 13:47:28.118061
1528355522,/v-ebike/city-of-toronto/emmo-prestige-ebike-with-35ah-lithium-battery/1528355522,4000.0,Emmo Prestige eBike with 35ah lithium battery.,,Top speed: 70kmhr Top distance: 80km at top speed with radio full blast or 5 hours of run time. Bike has less than 2000km and comes with receipt of purchase $5500. No warranty. Seat has a bite out of ...,City of Toronto,< 9 hours ago,2020-10-07 13:47:28.118593
1497511302,/v-ebike/city-of-toronto/ebike-number-plate-share-the-road-different-colours/1497511302,25.0,Ebike number plate - Share the road - different colours,,Size: 140mm X 85mm. Fits screw plate distances 48-104 mm 3D-printed from PLA It can be mailed anywhere in Canada.,City of Toronto,< 15 hours ago,2020-10-07 13:47:28.119082
1497417487,/v-ebike/city-of-toronto/ebike-number-plate-enjoy-the-ride-green-on-white/1497417487,25.0,Ebike number plate - Enjoy the ride - green on white,,Size: 140mm X 85mm. Fits screw plate distances 48-104 mm. 3D-printed in PLA. It can be mailed anywhere in Canada.,City of Toronto,< 15 hours ago,2020-10-07 13:47:28.119589
1526412184,/v-ebike/city-of-toronto/brand-new-electrical-bike/1526412184,1000.0,brand new electrical bike,,"I got this bike this summer, only ride three months Two carriers (front and rear) Two 14ah batteries （max 40 km once charge) Two keys One charger One repair kit and guidance book Totally 1000 dollars",City of Toronto,< 16 hours ago,2020-10-07 13:47:28.120084
1528266316,/v-ebike/city-of-toronto/amego-e-bike/1528266316,1100.0,Amego e bike,,Amego e bike comes with charger and new battery . Price negotiable . New bike comes for 2399 plus taxes Specifications - https://www.amegoev.com/amego-amego-infinite.html,City of Toronto,< 19 hours ago,2020-10-07 13:47:28.120780
1528304183,/v-ebike/city-of-toronto/emmo-e-bike-hornet-li-ion-superb-condition/1528304183,1600.0,Emmo E-bike Hornet LI-ION SUPERB CONDITION,,GENUINE SELLER NO MAILING AND PAYPAL SCAMS 48V30AH LI-ION Removable Battery for safety from theft & charging inside home. Comes with Adapter. Free accessories. Bought for $2600+ 11 months back. ...,City of Toronto,< 20 hours ago,2020-10-07 13:47:28.121290
1528302209,/v-ebike/city-of-toronto/electric-bike-for-sale-1100-obo/1528302209,1100.0,Electric bike for sale 1100$ obo,,Selling a new but very slightly used Ebike .. Asking 1100$ or best offer Runs like new .. and no problems at all. if you have questions call or message me thanks. 6477120046,City of Toronto,< 20 hours ago,2020-10-07 13:47:28.121928
1528230567,/v-ebike/city-of-toronto/bike-for-sale/1528230567,900.0,Bike for sale,,Good condition,City of Toronto,< 21 hours ago,2020-10-07 13:47:28.122568
1528288527,/v-ebike/city-of-toronto/emmo-superbike-ebike/1528288527,2699.0,Emmo Superbike Ebike,,CALL ONLY 4169363650 n FAST bike upto 75/hr. Lots of torque If this ad is up means it’s available NEW EMMO KAMEN. BRAND NEW 0KM. High Voltage. High power ebike brand new model. Just released E-Bike ...,City of Toronto,< 21 hours ago,2020-10-07 13:47:28.123689
1528282939,/v-ebike/city-of-toronto/ebike-26/1528282939,850.0,"Ebike 26""",,Fast ebike good for uber delivery. Comes with bike lock for ready use. Meet up at downtown.,City of Toronto,< 22 hours ago,2020-10-07 13:47:28.124962
