,url,price,title,distance,description,location,time_offset,retreived
1528229953,/v-exercise-equipment/city-of-toronto/price-drop-yoga-mat-with-carry-strap-reversible-non-slip/1528229953,10.0,Price drop! Yoga Mat with Carry Strap Reversible Non-slip,,"72 in long, 24 in wide, 1/4 in thick. High-quality yoga mat. Its thicker than most yoga mats, so it's comfortable when doing yoga. Easy to carry around with straps! Free of PVC and other chemicals. ...",City of Toronto,< 2 minutes ago,2020-10-06 11:49:49.251066
1528228111,/v-exercise-equipment/city-of-toronto/jetblack-s1-sport-trainer/1528228111,40.0,JetBlack S1 Sport Trainer,,"The S1 is an economy package that features a basic, fixed resistance mode tuned to best develop your fitness riding. You will be able to fine tune your personal preferences and even use the included ...",City of Toronto,< 11 minutes ago,2020-10-06 11:49:49.251559
1528228034,/v-exercise-equipment/city-of-toronto/peloton-referral-code-2trf69/1528228034,0.0,Peloton - Referral Code - 2TRF69,,Get $150 dollars off your peloton purchase when you use this code: 2TRF69,City of Toronto,< 12 minutes ago,2020-10-06 11:49:49.252014
1528225410,/v-exercise-equipment/city-of-toronto/treadmill-exerciser/1528225410,355.0,"TREADMILL, Exerciser.",,"Schiwmm Model 810 Treadmill, with incline, mileage reader, in perfect, almost new condition. Only for those who really want to exercise.",City of Toronto,< 25 minutes ago,2020-10-06 11:49:49.252694
1528224078,/v-exercise-equipment/city-of-toronto/workout-gym-at-home/1528224078,150.0,Workout gym at home,,"Workout gym at home. Posted in sporting goods, exercise, exercise equipment in City of Toronto. October 6, 2020",City of Toronto,< 32 minutes ago,2020-10-06 11:49:49.253181
1528223212,/v-exercise-equipment/city-of-toronto/brand-new-25lbs-1-inch-iron-cast-weight-plates/1528223212,60.0,Brand New 25lbs 1 inch Iron Cast Weight Plates,,These 25 pound weights were never used I have a few of these so let me know how many you need! $60 per plates Pick up but can deliver for a fee depending on where you're located,City of Toronto,< 36 minutes ago,2020-10-06 11:49:49.253674
1528221965,/v-exercise-equipment/city-of-toronto/rogue-v2-bumper-stacker/1528221965,130.0,Rogue V2 bumper stacker,,The rogue v2 bumper stacker comes with a set of wheels and all original pieces. I am only selling it because I got a new one. I am asking 130$ or best offer.,City of Toronto,< 42 minutes ago,2020-10-06 11:49:49.254173
1528220681,/v-exercise-equipment/city-of-toronto/exercise-bench-adjustable-foldable/1528220681,220.0,"Exercise bench adjustable, foldable",,"Workout bench, Full incline and decline range on seat and backrest. Brand new in box",City of Toronto,< 49 minutes ago,2020-10-06 11:49:49.254684
1528220143,/v-exercise-equipment/city-of-toronto/adjustable-dumbbells-exercise-bench-dumbbell-stand-brand-new/1528220143,225.0,"Adjustable dumbbells,  exercise bench, dumbbell stand brand new",,"Adjustable dumbbell 52.9lb $225 each brand new Weight adjustments in Kg: 2.5, 3.5, 4.5, 5.5, 6.5, 8, 9, 10, 11.5, 13.5, 16, 18, 20.5, 22.5, 24. Dumbbell stand $180 Fully adjustable and foldable ...",City of Toronto,< 51 minutes ago,2020-10-06 11:49:49.255187
1528219198,/v-exercise-equipment/city-of-toronto/trx-4-pro-suspension-kit-brand-new-opened-box/1528219198,150.0,TRX 4 PRO SUSPENSION KIT - BRAND NEW - OPENED BOX,,"Brand New TRX 4 Opened Box Brand New/ Never been used FREE DELIVERY depends on the location. The TRX ® Pro 4 Suspension Training Kit is designed for pros, but built for everyone - This is the most ...",City of Toronto,< 56 minutes ago,2020-10-06 11:49:49.255693
1528218997,/v-exercise-equipment/city-of-toronto/25-lbs-weight-lifting-plates/1528218997,150.0,25 lbs Weight Lifting Plates,,25 lbs Weight Lifting Plates 1” holes $150 for the pair Pick up Yonge and Bloor Cash only,City of Toronto,< 57 minutes ago,2020-10-06 11:49:49.256208
1528218972,/v-exercise-equipment/city-of-toronto/thule-bike-rack-holds-2-bikes-with-built-in-locks-and-key/1528218972,160.0,Thule bike rack. Holds 2 bikes. With built in locks and key.,,Thule bike rack. Holds 2 bikes. With built in locks and key. $160 obo,City of Toronto,< 57 minutes ago,2020-10-06 11:49:49.256722
1528215682,/v-exercise-equipment/city-of-toronto/trx-3-pro-suspension-kit-brand-new-free-delivery/1528215682,150.0,TRX 3 Pro Suspension Kit - Brand New - Free Delivery,,Brand New Sealed Box FREE DELIVERY depends on the location. The TRX Pro is our most versatile Suspension Trainer and designed to let you fully personalize your workout. It has adjustable and padded ...,City of Toronto,< 2 hours ago,2020-10-06 11:49:49.257222
1528215245,/v-exercise-equipment/city-of-toronto/bodyboss-2-0-home-gym/1528215245,250.0,Bodyboss 2.0 Home gym,,Selling my brand new bodyboss 2.0 home gym. I am selling because I have decided to build a full home gym. This product is brand new and I am selling A little reduced at 250.00. Still have the receipt ...,City of Toronto,< 2 hours ago,2020-10-06 11:49:49.257780
1528214801,/v-exercise-equipment/city-of-toronto/tony-little-tl-vibe0101-bodyexpress-vibration-platform-technolog/1528214801,250.0,Tony Little TL-VIBE0101 BodyExpress Vibration Platform Technolog,,"The Body Express Vibration Platform from Tony Little uses your body's own reflexes to exercise your muscles. It features a wide range of speeds that can help deliver the workout you desire, plus an ...",City of Toronto,< 2 hours ago,2020-10-06 11:49:49.258484
1516367506,/v-exercise-equipment/city-of-toronto/fitbit-versa-special-edition-only-used-once/1516367506,170.0,FitBit Versa Special Edition (only used once),,"Excellent condition, only used once. Charger and extra straps included. All original packaging included.",City of Toronto,< 2 hours ago,2020-10-06 11:49:49.259010
1528212730,/v-exercise-equipment/city-of-toronto/stationary-bike-in-perfect-condition-only-used-twice/1528212730,170.0,"Stationary Bike in perfect condition, only used twice",,"Product name: Marcy Recumbent Exercise Bike with Resistance Only used twice and it is in perfect condition, I am selling it because I just got free gym membership from my friends. Original price: ...",City of Toronto,< 2 hours ago,2020-10-06 11:49:49.259537
1528211295,/v-exercise-equipment/city-of-toronto/ab-doer-360-barely-used/1528211295,200.0,Ab Doer 360 - barely used,,Ab doer workout chair. Great ab workout for people with back issues.,City of Toronto,< 2 hours ago,2020-10-06 11:49:49.260034
1525645712,/v-exercise-equipment/city-of-toronto/boxing-speed-ball-rack/1525645712,500.0,Boxing speed ball rack,,Speed ball rack mounted on 4' x 4' plywood. Rack is height adjustable. Best speed ball rack you'll ever find. Solid. Excellent swivel. Best for a concrete or solid wall.,City of Toronto,< 2 hours ago,2020-10-06 11:49:49.260935
1528210358,/v-exercise-equipment/city-of-toronto/bladez-fitness-iconcept-synapse-sx4i-elliptical-trainer/1528210358,1000.0,Bladez Fitness iConcept Synapse SX4i Elliptical Trainer,,"Bladez Fitness iConcept Synapse SX4i Elliptical Trainer Asking $1000 (Retailed for $1599.99) Quite heavy and large, will need help lifting. Pick up location is Albion and 27. Pick up anytime between ...",City of Toronto,< 2 hours ago,2020-10-06 11:49:49.261615
1528210031,/v-exercise-equipment/city-of-toronto/tr-pro-suspension-trainer-home-outdoor-workout/1528210031,85.0,TR Pro Suspension Trainer - Home & Outdoor Workout,,"Resistance Bands, Dumbbell Dumbell, Dumbbells, Bench Press, Gym, Home Workout, Exercise, Resistance Training, Ab Roller, Foam Roller, TRX,Outdoor workout, home workout, training, outdoor training. ...",City of Toronto,< 2 hours ago,2020-10-06 11:49:49.262104
1528208250,/v-exercise-equipment/city-of-toronto/elliptical/1528208250,150.0,Elliptical,,"Pro Form 890E Elliptical, excellent shape. Built in fan. Collapsible for space saver",City of Toronto,< 2 hours ago,2020-10-06 11:49:49.262616
