,url,price,title,distance,description,location,time_offset,retreived
1528220553,/v-fiction/city-of-toronto/lot-of-3-pre-owned-religious-books/1528220553,40.0,Lot of 3 Pre-owned Religious books,,This listing is for a lot of 3 pre-owned religion-themed books: 1. The Bible for Dummies 2. Can Man Live Without God 3. The Power of Positive Thinking,City of Toronto,< 6 minutes ago,2020-10-06 11:05:53.559553
1528190054,/v-fiction/city-of-toronto/fight-club-by-chuck-palahniuk/1528190054,20.0,Fight Club by Chuck Palahniuk,,Great condition,City of Toronto,< 3 hours ago,2020-10-06 11:05:53.560300
1528189739,/v-fiction/city-of-toronto/1984-by-george-orwell/1528189739,20.0,1984 by George Orwell,,Great condition,City of Toronto,< 3 hours ago,2020-10-06 11:05:53.560797
1528189297,/v-fiction/city-of-toronto/shakespeare-othello/1528189297,20.0,Shakespeare Othello,,In great condition 10/10,City of Toronto,< 3 hours ago,2020-10-06 11:05:53.561293
512891470,/v-fiction/city-of-toronto/20-spy-adventures-pocket-books-excellent-reading-29-for-all/512891470,29.0,"20 Spy adventures, pocket books, excellent reading, $29 for ALL",,"20 Spy adventures, pocket books, all in excellent reading condition, leading authors, $2 ea, all $29. All books are in excellent condition – all pages intact, fully bound; the books are clean, free ...",City of Toronto,< 4 hours ago,2020-10-06 11:05:53.561792
513821447,/v-fiction/city-of-toronto/23-books-35-for-all-2-each-murder-mystery-spy-bestsellers/513821447,35.0,"23 Books $35 for all/$2 each, Murder, Mystery, Spy - bestsellers",,"All these soft-cover books are written by acclaimed authors, thrilling, suspenseful, intriguing, and insightful. All books have no missing or torn pages, are fully bound without loose pages and are ...",City of Toronto,< 4 hours ago,2020-10-06 11:05:53.562299
577210203,/v-fiction/city-of-toronto/christine-feehan-the-dark-fire-fiction-romance/577210203,3.0,"Christine Feehan  The Dark Fire, fiction, romance",,"CAN YOU RESIST THE POWER OF IMMORTAL LOVE? STORY: So Darius warned her when she accepted a position with his travelling troupe. And gazing mesmerized at the merciless slash of his mouth, the ...",City of Toronto,< 4 hours ago,2020-10-06 11:05:53.562807
1528185420,/v-fiction/city-of-toronto/stephen-king-paperback-books/1528185420,5.0,STEPHEN KING PAPERBACK BOOKS,,I HAVE 8 STEPHEN KING PAPERBACK BOOKS. ALL ARE IN VERY GOOD CONDITION. THEY ARE 1) THE DARK TOWER 1982 2) THE EYES OF THE DRAGON 1987 3) THE TOMMYKNOCKERS 1987 4) THE DARK HALF 1989 5) NEEDFUL THINGS ...,City of Toronto,< 4 hours ago,2020-10-06 11:05:53.563333
1489877609,/v-fiction/city-of-toronto/the-sculptor-book-by-scott-mc-cloud-5/1489877609,5.0,the sculptor book by scott mc cloud $5,,hard cover book with sleeve. mint condition. located in scarborough near victoria park & st.clair area. check view map for directions. pickup before 7pm only. comes from a smoke and pet free home.,City of Toronto,< 4 hours ago,2020-10-06 11:05:53.563833
1413322196,/v-fiction/city-of-toronto/the-norton-book-of-science-fiction-hardcover/1413322196,25.0,The Norton Book of Science Fiction - Hardcover,,Good condition,City of Toronto,< 4 hours ago,2020-10-06 11:05:53.564328
1413320857,/v-fiction/city-of-toronto/fantasy-novels/1413320857,10.0,Fantasy Novels,,Good condition,City of Toronto,< 4 hours ago,2020-10-06 11:05:53.564853
1413318942,/v-fiction/city-of-toronto/three-danielle-steel-books/1413318942,5.0,Three Danielle Steel Books,,Two in Good condition - The Gift is in excellent condition. $2 each or all three for $5,City of Toronto,< 4 hours ago,2020-10-06 11:05:53.566231
1515909130,/v-fiction/city-of-toronto/lot-of-books/1515909130,3.0,lot of books,,$25 for all 8! 1) The Big House by George Howe Colt 2) The Dressmaker of Khair Khana by Gayle Tzemach Lemmon 3) The Other Boleyn Girl by Philippa Gregory 4) River's End by Nora Roberts (hardcover) 5) ...,City of Toronto,< 9 hours ago,2020-10-06 11:05:53.566766
1515905856,/v-fiction/city-of-toronto/lot-of-books/1515905856,20.0,lot of books,,all 7 for only $20! 1) The Best of Health by The Editors of Consumer Reports on Health 2) The Butterfly Box by Santa Montefiore 3) Nights in Rodanthe by Nicholas Sparks 4) Thanks for the Memories by ...,City of Toronto,< 9 hours ago,2020-10-06 11:05:53.567268
1515904896,/v-fiction/city-of-toronto/lot-of-books/1515904896,45.0,lot of books,,take all 5 for $45! 1) Cloud Atlas by David Mitchell 2) Sleeping with the Enemy Coco Chanel's Secret War by Hal Vaughan (hardcover) 3) The Wisdom of Sundays Life-Changing Insights From Super Soul ...,City of Toronto,< 9 hours ago,2020-10-06 11:05:53.567763
1515901292,/v-fiction/city-of-toronto/lots-of-books-terry-mcmillan-sister-souljah-sapphire/1515901292,20.0,"lots of books Terry McMillan, Sister Souljah, Sapphire",,lot of 6 books $20 only! Terry Mcmillan books: 1) Waiting to Exhale 2) A Day Late and a Dollar Short 3) Mama Sister Souljah books: 4) The Coldest Winter Ever 5) No Disrespect 6) PUSH by Sapphire,City of Toronto,< 9 hours ago,2020-10-06 11:05:53.568260
1509394225,/v-fiction/city-of-toronto/star-wars-thrawn-treason-alliances-book-2-3/1509394225,35.0,STAR WARS Thrawn Treason + Alliances (book 2+3),,Both books have not been read and are in new condition.,City of Toronto,< 12 hours ago,2020-10-06 11:05:53.568756
1505781506,/v-fiction/city-of-toronto/pendragon-book-series/1505781506,20.0,Pendragon Book Series,,3 hardcovers and 7 soft covers. Full series and like new condition. Would make a great gift,City of Toronto,< 12 hours ago,2020-10-06 11:05:53.569253
1528148723,/v-fiction/city-of-toronto/harry-potter-classic-3-book-set/1528148723,40.0,Harry potter classic 3 book set,,All 3 chapter books included and perfect condition,City of Toronto,< 14 hours ago,2020-10-06 11:05:53.569750
1528136851,/v-fiction/city-of-toronto/the-truth-is-out-there-the-official-guide-to-the-x-files-book/1528136851,15.0,The Truth is Out There The Official Guide to the X Files  Book,,"This X-files book gives an insight into the series which will reveal the ""truth"" about what really goes on behind the screens. It covers 48 episodes, with behind-the-scenes facts and anecdotes. It ...",City of Toronto,< 15 hours ago,2020-10-06 11:05:53.570314
1528119128,/v-fiction/city-of-toronto/all-types-of-books/1528119128,5.0,ALL TYPES OF BOOKS!!,,ALL FOR $50 or each for $5 3 Diary of a wimpy kid books for $10 for one its $5 The sun also rises $5 the karate mouse $5 trolls $5 the middle child (blue) $5 two nights (limited addition) $5 ...,City of Toronto,< 17 hours ago,2020-10-06 11:05:53.570858
