,url,price,title,distance,description,location,time_offset,retreived
1528370242,/v-fixie-single-speed/city-of-toronto/fixie-and-single-speed-bike/1528370242,395.0,Fixie and single speed bike,,never used. (Flip Flop Hub) Has brakes for safety. Frame 21 inch Wheel 700x23 Double thickness inner tubes and anti-puncture tires for increased city durability ride for 5 5” - 6’ 44 tooth front ...,City of Toronto,< 6 hours ago,2020-10-07 13:49:59.681327
1517671598,/v-fixie-single-speed/city-of-toronto/nice-fixie/1517671598,450.0,Nice Fixie,,"Nice sport, commuter or shopping bike. Fixed gear 16/48 gear ratio. Great winter bike. Carbon fork. Italian Gippieme wheels. Great brakes.",City of Toronto,< 18 hours ago,2020-10-07 13:49:59.681826
1528307316,/v-fixie-single-speed/city-of-toronto/fixie-single-speed-flip-flop-hub-bike-brand-new/1528307316,260.0,Fixie (Single Speed) Flip Flop Hub Bike - Brand New,,Brand New Fixie (Single Speed) Bike in sleek all black. The bike was never used. Must clear space. Same bike sells for $400 in spring. Fixed gear on back as well as single speed sprocket if you like ...,City of Toronto,< 20 hours ago,2020-10-07 13:49:59.682319
1528274229,/v-fixie-single-speed/city-of-toronto/small-custom-green-pearl-fuji-single-speed-fixie-urban-track/1528274229,450.0,Small custom green pearl Fuji single speed/fixie urban track,,"Still available! Read the ad before asking something please!!! For sale is small 50cm size fresh build of single speed/fixie urban bike, in base of professionally fully restored ChroMo steel vintage ...",City of Toronto,< 23 hours ago,2020-10-07 13:49:59.682856
1528042864,/v-fixie-single-speed/city-of-toronto/selling-fixed-gear-single-speed-bike-practically-new/1528042864,650.0,Selling Fixed-Gear / Single-Speed Bike - Practically New,,"Brand and Make - Fyxation Pixel Bike I bought this bike literally a month or so ago from a local bike shop and have only ridden it a handful of times. Size 58cm fits people 5'10 - 6'2. Unfortunately, ...",City of Toronto,05/10/2020,2020-10-07 13:49:59.683772
1528108971,/v-fixie-single-speed/city-of-toronto/del-sol-projekt-xl-24/1528108971,280.0,Del Sol Projekt XL 24”,,"Extra Large - 24 inch / 60 cm singlespeed Del Sol. Tuned up this summer, new chain. The frame is beaten up but no dents or cracks.",City of Toronto,05/10/2020,2020-10-07 13:49:59.684266
1528091895,/v-fixie-single-speed/city-of-toronto/men-fuji-ace-medium-size-single-gear-bike/1528091895,175.0,Men Fuji ace medium size single gear bike,,Single gear Fuji ace light bike .. thin 700 c 23 width tire. Single brake .. fair condition .. lots of life left very durable text me 6472264478,City of Toronto,05/10/2020,2020-10-07 13:49:59.684757
1528087103,/v-fixie-single-speed/city-of-toronto/all-city-thunderdome-track-frameset/1528087103,650.0,All city thunderdome track frameset,,"size 55cm 9.5/10 condition not used much at all, too many bikes need to sell. extremely light, extremely stiff , high quality frameset. $650",City of Toronto,05/10/2020,2020-10-07 13:49:59.685248
1515285821,/v-fixie-single-speed/city-of-toronto/bicycles/1515285821,50.0,Bicycles,,"Bicycles Blue color bike, $50 Wheel need to be repaired Text message: 647-781-1287",City of Toronto,04/10/2020,2020-10-07 13:49:59.685780
1527803538,/v-fixie-single-speed/city-of-toronto/bombtrack-dash-26-fgfs/1527803538,900.0,Bombtrack Dash 26” FGFS,,"BOMBTRACK DASH 26” FGFS Bombtrack dash frame, fork and bar. Negative BB and 22” TT. Salt top load stem Profile crank 48 spline and 175mm 25t Tree sprocket Fyxation Platform pedals and straps MacNeil ...",City of Toronto,04/10/2020,2020-10-07 13:49:59.686307
