,url,price,title,distance,description,location,time_offset,retreived
1362981846,/v-football/city-of-toronto/5feet-x-3feet-germany-soccer-flag-2006-world-cup-souveniour/1362981846,15.0,5feet x 3feet Germany Soccer Flag 2006 World Cup Souveniour,,"Nice condition, barely used. Size 5 feet x 3 feet. Germany World Cup 2006 official licensed product. A must for your support to Germany during world cup soccer. Pick up at Port Union Scarborough M1C ...",City of Toronto,< 18 hours ago,2020-10-06 12:16:48.570458
1528060704,/v-football/city-of-toronto/drew-brees-new-orleans-saints-football-jersey/1528060704,100.0,Drew Brees New Orleans Saints Football Jersey,,"Brand new men’s size large Nike Drew Brees football jersey. Original tags still attached, never worn. Smoke and pet free home. $100.00",City of Toronto,< 23 hours ago,2020-10-06 12:16:48.570982
1528059747,/v-football/city-of-toronto/aaron-rodgers-green-bay-packers-football-jersey/1528059747,100.0,Aaron Rodgers Green Bay Packers Football Jersey,,"Authentic men’s Nike Aaron Rodgers jersey. Brand new, never worn with original tags still attached. Size large. Smoke and pet free home. $100.00",City of Toronto,< 23 hours ago,2020-10-06 12:16:48.571550
1528048987,/v-football/city-of-toronto/signed-lions-helmet-kenny-golladay/1528048987,350.0,Signed Lions Helmet(Kenny Golladay),,Detroit Lions (Kenny Golladay Signed) Full Size Replica Speed Helmet With Certificate BRAND NEW IN BOX,City of Toronto,< 24 hours ago,2020-10-06 12:16:48.572047
1137459911,/v-football/city-of-toronto/new-nike-team-mens-performance-football-pants/1137459911,30.0,NEW Nike Team Men's Performance Football Pants,,"NEW Nike Team Men's Performance Football Pants These pants retail for $62-85 and you get them for only $30. These pants DO NOT include the pads. Lower body pads including the hip, tail, thigh and ...",City of Toronto,Yesterday,2020-10-06 12:16:48.572539
1506513563,/v-football/city-of-toronto/vintage-mouth-gaurds-new-old-stock/1506513563,15.0,Vintage Mouth Gaurds. New Old Stock,,I have a few Brand New unopened OLD STOCK. These are from the 80's. These are great to complete the look of old football helmet displays. The back of the package highlights : Registration and a ...,City of Toronto,Yesterday,2020-10-06 12:16:48.573180
1506509335,/v-football/city-of-toronto/riddell-soft-cup-single-strap-football-helmet-chinstrap-new/1506509335,45.0,RIDDELL Soft Cup Single Strap Football Helmet Chinstrap NEW,,Brand new from the 1970-80's. This is a very rare Riddell Soft Cup low mount single point chinstrap. BRAND NEW... OLD STOCK Same preferred chinstrap as used in College Football and the NFL for ...,City of Toronto,Yesterday,2020-10-06 12:16:48.573683
1517266479,/v-football/city-of-toronto/payton-manning-denver-broncos-jersey-youth-size-large/1517266479,15.0,Payton Manning Denver Broncos Jersey Youth Size Large,,Lightly used by a woman (size medium). Selling as is. Pickup only. Open to reasonable offers.,City of Toronto,04/10/2020,2020-10-06 12:16:48.574178
1527926352,/v-football/city-of-toronto/soccerball-basketball/1527926352,5.0,"Soccerball, Basketball",,90% new pickup near fairview mall $5/each,City of Toronto,04/10/2020,2020-10-06 12:16:48.574676
1527856879,/v-football/city-of-toronto/nike-nfl-ad-1-youth-football-jerseys-nwt-official-free/1527856879,15.0,NIKE / NFL (AD # 1) YOUTH FOOTBALL JERSEYS NWT/OFFICIAL + FREE,,"KAPERNICK DENVER BUFFALO NEW ENGLAND PITTSBURGH KANSAS CITY SAN FRANCISCO DALLAS ARIZONA NEW YORK WASHINGTON OAKLAND LAS VEGAS DETROIT FREE JERSEY PROMOTION FROM THE LIST AT THE END OF THE AD, FOR ...",City of Toronto,04/10/2020,2020-10-06 12:16:48.575171
1527856006,/v-football/city-of-toronto/nike-nfl-ad-2-youth-football-jerseys-nwt-official-free/1527856006,15.0,NIKE / NFL (AD # 2) YOUTH FOOTBALL JERSEYS NWT/OFFICIAL + FREE,,"KAPERNICK DENVER BUFFALO NEW ENGLAND PITTSBURGH KANSAS CITY SAN FRANCISCO DALLAS ARIZONA NEW YORK WASHINGTON OAKLAND LAS VEGAS DETROIT FREE JERSEY PROMOTION FROM THE LIST AT THE END OF THE AD, FOR ...",City of Toronto,04/10/2020,2020-10-06 12:16:48.575663
1389589472,/v-football/city-of-toronto/fcporto-winter-blanket/1389589472,20.0,fcporto WINTER  Blanket,,YOU BUY USED FCPORTO Blanket Length 6.5 FEET Width 5 FEETS PLEASE IF YOU SEE 2 PICS Has black mark It happened winter TIME when I HAVE MY HEATING Open Burned not deep ...Blanket Not HAVE hole,City of Toronto,04/10/2020,2020-10-06 12:16:48.576156
1527795838,/v-football/city-of-toronto/jimmy-garoppolo-san-francisco-49ers-jersey/1527795838,60.0,Jimmy  Garoppolo San Francisco 49ers Jersey!,,"Brand new with tags, size medium, pick up only keele/wilson",City of Toronto,04/10/2020,2020-10-06 12:16:48.576644
1506480510,/v-football/city-of-toronto/sporting-goods/1506480510,30.0,SPORTING GOODS,,FULL SIZE FOOTBALL HELMET ( PRICE IS FIRM SO DONT ASK ) N.Y. PATHERS NOT CRACKED OR CHIPPED FULLY FUNCTIONAL FACE SHIELD IS WORTH 35.00 TAX IN,City of Toronto,04/10/2020,2020-10-06 12:16:48.577133
1506344622,/v-football/city-of-toronto/nfl-jerseys-trade-or-buy-20-50/1506344622,20.0,NFL Jerseys - Trade or Buy $20-$50,,Baltimore Ravens // #20 - Ed REED (Purple) // Reebok size Medium+2 Stitched TRADE or $50 #32 JAMES // SOLD #11 CULPEPPER // SOLD New York Giants // #80 Jeremy SHOCKEY (Blue) // Reebok size 50 ...,City of Toronto,03/10/2020,2020-10-06 12:16:48.577826
1457690791,/v-football/city-of-toronto/official-cfl-toronto-argonauts-reebok-t-shirts-starting-12-95/1457690791,12.95,Official CFL Toronto Argonauts Reebok T-Shirts starting 12.95$,,"Official CFL Toronto Argonauts Reebok T-Shirts Brand: Reebok Condition: New with Tags Packing: 35.00 x 24.00 x 3.00 cm Features & Highlights ·Material: Cotton, Polyester Sizes available: ·Small, ...",City of Toronto,02/10/2020,2020-10-06 12:16:48.578325
1219428712,/v-football/city-of-toronto/argonauts-jersey/1219428712,25.0,ARGONAUTS  jersey,,Authentic Reebox Argonauts jersey Size - youth XL Brand new Retails at $59.99+tax Selling at $25,City of Toronto,02/10/2020,2020-10-06 12:16:48.578827
1526244429,/v-football/city-of-toronto/nike-vapor-one-2-0-official-football/1526244429,50.0,Nike Vapor One 2.0 Official Football,,Like new condition. Comes with high quality pump with pressure gauge.,City of Toronto,01/10/2020,2020-10-06 12:16:48.579583
