,url,price,title,distance,description,location,time_offset,retreived
1528055039,/v-furniture-other-table/city-of-toronto/ikea-nordli-nightstand/1528055039,50.0,IKEA NORDLI NIGHTSTAND,,IKEA NORDLI nightstand with sliding drawer. Open back panel and grooves on the back legs allow for cords/chargers to connect to various devices. Dimensions are 12” (W) x 20” (D) x 26.5” (H). In ...,City of Toronto,< 33 minutes ago,2020-10-05 13:38:19.763867
1528054372,/v-furniture-other-table/city-of-toronto/table/1528054372,30.0,Table,,Must be picked up now or will be going to storage First come first serve to best cash offer,City of Toronto,< 36 minutes ago,2020-10-05 13:38:19.764387
1528053553,/v-furniture-other-table/city-of-toronto/authentic-vintage-nienkamper-table/1528053553,495.0,Authentic Vintage Nienkamper Table,,A stunning authentic vintage Nienkamper table in mint condition. Toronto,City of Toronto,< 40 minutes ago,2020-10-05 13:38:19.764911
1528049950,/v-furniture-other-table/city-of-toronto/3-piece-living-room-set-with-coffee-table/1528049950,200.0,3 Piece Living Room Set with Coffee Table,,"Selling this 3-piece living room set with the coffee table. This living room set includes the glass top for the coffee table as well as the cushions for each chair. If interested, please do not ...",City of Toronto,< 56 minutes ago,2020-10-05 13:38:19.765412
1528046617,/v-furniture-other-table/city-of-toronto/beautiful-dark-walnut-side-table-bedside-table/1528046617,200.0,Beautiful Dark Walnut Side Table/Bedside Table,,"This is a beautiful solid, dark walnut end table/bedside table. It measures 26"" H x 15""D x 18""W and has two drawers, it is brand new out of the box and unused. It didnt fit our space and is too heavy ...",City of Toronto,< 2 hours ago,2020-10-05 13:38:19.765937
1528044456,/v-furniture-other-table/city-of-toronto/side-table-end-table/1528044456,45.0,Side Table / End Table,,Two-tier table - aesthetically in vintage condition but sturdy Dimensions: approximately 10.5x18” CHECK OUT MY OTHER LISTINGS All sales final **horse book ends and French vintage books sold ...,City of Toronto,< 2 hours ago,2020-10-05 13:38:19.766495
1528042654,/v-furniture-other-table/city-of-toronto/antique-side-tables-and-more/1528042654,25.0,Antique side tables and more!,,"3 antique side tables make an an offer. There is a ton of other stuff - I inherited furniture, mirrors, candlesticks, paintings. Tables are mahogany and other types of wood. Mirror is pine. Paintings ...",City of Toronto,< 2 hours ago,2020-10-05 13:38:19.766992
1528038119,/v-furniture-other-table/city-of-toronto/restored-singer-sewing-table-desk-w-stained-pine-top/1528038119,250.0,Restored Singer Sewing Table Desk w Stained Pine Top,,Restored Singer Sewing Table Painted black frame with solid pine top stained classic grey. Can be used as a desk or console table. Pick up only. Located in Pickering.,City of Toronto,< 2 hours ago,2020-10-05 13:38:19.767593
1528035765,/v-furniture-other-table/city-of-toronto/bar-table/1528035765,290.0,Bar table,,Bar table with 2 stools. Only available as a set.,City of Toronto,< 3 hours ago,2020-10-05 13:38:19.768239
1528035650,/v-furniture-other-table/city-of-toronto/2-drawer-end-table/1528035650,20.0,2 drawer end table,,Set of 2!!! $30 for both $20 for 1,City of Toronto,< 3 hours ago,2020-10-05 13:38:19.768750
1517085661,/v-furniture-other-table/city-of-toronto/antique-console-table/1517085661,90.0,Antique Console Table,,Antique High Console Table with mesh on top and sides. Custom painted piece. Pick up at Lawrence Ave. & DVP. 33’H x 13 1/2’W x 13 1//2’D. PRICE NOT NEGOTIABLE. SERIOUS BUYERS ONLY.,City of Toronto,< 3 hours ago,2020-10-05 13:38:19.769241
1528032947,/v-furniture-other-table/city-of-toronto/great-condition-clean-looking-end-table/1528032947,60.0,Great condition clean looking end table,,Modern glass end table,City of Toronto,< 3 hours ago,2020-10-05 13:38:19.769736
1528022885,/v-furniture-other-table/city-of-toronto/one-of-a-kind-antique-console-table-1910s-sewing-machine/1528022885,200.0,One-of-a-Kind Antique Console Table - 1910's Sewing Machine.,,"One-of-a-Kind Antique Console Table - made out of an authentic 1910's Sewing Machine. Repurposed, Reconditioned and Ready to Use. Comes with a ""Certificate of Warranty"" dated 1912! Sewing machine has ...",City of Toronto,< 3 hours ago,2020-10-05 13:38:19.770477
1528016960,/v-furniture-other-table/city-of-toronto/2-night-stands-and-lamps-60-30/1528016960,60.0,2- Night Stands and Lamps - $60 & $30,,Set of 2 night stands and lamps for sale. You can get both night stands for $60 and both lamps for $30. All in great condition. Both prices are negotiable.,City of Toronto,< 4 hours ago,2020-10-05 13:38:19.771011
1528015275,/v-furniture-other-table/city-of-toronto/table-with-drawers/1528015275,70.0,Table with drawers,,Nice table (work desk) with 3+1 drawers. It has a glossy coating and looks very nice and is easy to clean. Dimensions LxWxH: 1025x558x770mm. It will fit into a regular SUV such as Honda CRV or Toyota ...,City of Toronto,< 4 hours ago,2020-10-05 13:38:19.771516
1528015088,/v-furniture-other-table/city-of-toronto/ikea-vanity-table/1528015088,80.0,IKEA vanity table,,"IKEA vanity,desk,console table Malm dressing table Pick up only Scarborough 401 and Kennedy by Delta As is",City of Toronto,< 4 hours ago,2020-10-05 13:38:19.772013
1528010416,/v-furniture-other-table/city-of-toronto/vintage-walnut-sewing-machine-table-cabinet/1528010416,40.0,Vintage Walnut Sewing Machine Table/Cabinet,,"Vintage Walnut Sewing Machine Table/Cabinet (no machine - was used for a Singer sewing machine in the past) - can also be used as a small desk - 31"" high x 22.5"" x 18"" when flap is closed - see ...",City of Toronto,< 4 hours ago,2020-10-05 13:38:19.772935
1528008948,/v-furniture-other-table/city-of-toronto/umbra-shift-metal-hover-storage-seat-side-table-must-see/1528008948,150.0,Umbra Shift Metal Hover Storage Seat / Side Table - MUST SEE,,Brand new Umbra Shift Hover stool still in the sealed unopened box. I had originally bought 2 for my place but after moving in decided on one and by then it was too late to return. Originally paid ...,City of Toronto,< 5 hours ago,2020-10-05 13:38:19.773498
1528008170,/v-furniture-other-table/city-of-toronto/message-table/1528008170,75.0,Message Table,,"Stationary message table barely used. Still has the plastic wrap on it. 73"" by 28"" by 28 height. $75 or best offer. Call 6478338996",City of Toronto,< 5 hours ago,2020-10-05 13:38:19.773994
1528008034,/v-furniture-other-table/city-of-toronto/glass-table/1528008034,80.0,Glass Table,,"Beautiful glass side table in good condition. Measures 27.5” tall, 49” horizontally, and 17.5” depth",City of Toronto,< 5 hours ago,2020-10-05 13:38:19.774496
1528007971,/v-furniture-other-table/city-of-toronto/side-end-table-item-is-new/1528007971,48.0,Side/end table(item is new),,"Side/end table(item is new). Posted in furniture, other tables in City of Toronto. October 5, 2020",City of Toronto,< 5 hours ago,2020-10-05 13:38:19.774998
