,url,price,title,distance,description,location,time_offset,retreived
1528465483,/v-garage-door-and-opener/city-of-toronto/craftsman-1-2-hp-garage-door-opener-brand-new-in-box/1528465483,150.0,CRAFTSMAN 1/2 HP Garage Door Opener **BRAND NEW IN BOX**,,CRAFTSMAN 1/2 HP Garage Door Opener **BRAND NEW IN BOX** Heavy duty. Sealed in box. Never used. Comes with everything that you need. $150 OBO Cash pick up only in Brimley and Steeles area.,City of Toronto,< 2 hours ago,2020-10-07 17:21:00.562116
1528443435,/v-garage-door-and-opener/city-of-toronto/16x7insulated-polyurethane-garage-door-install-repair-6474076666/1528443435,1350.0,16x7Insulated Polyurethane Garage Door-Install repair/6474076666,,"IF THIS AD IS UP, IT'S AVAILABLE We Sell Top Quality Garage doors all styles, color and sizes available R-Value R 16 Insulated 16 x 7 installed only $1350 Also we sell install and Repair all type of ...",City of Toronto,< 4 hours ago,2020-10-07 17:21:00.562619
1443777682,/v-garage-door-and-opener/city-of-toronto/garage-door-repair-only-150-for-broken-spring-contact-now/1443777682,150.0,GARAGE DOOR REPAIR -  ONLY $150 FOR BROKEN SPRING - CONTACT NOW,,NEW GARAGE DOOR SPRING ONLY $150 ALL IN - WE INSTALL FOR YOU ! BEST PRICE ON GARAGE DOOR REPAIR IN TORONTO ! CALL 647-317-0890 STAR GARAGE DOORS - FAMILY OWNED & OPERATED FOR OVER 30 YEARS SAME DAY ...,City of Toronto,< 4 hours ago,2020-10-07 17:21:00.563325
1443776984,/v-garage-door-and-opener/city-of-toronto/garage-door-opener-brand-new-and-installed-only-395/1443776984,395.0,⭐⭐ GARAGE DOOR OPENER - BRAND  NEW AND INSTALLED ONLY $395 ⭐⭐,,"Are you looking for a Brand New Garage Door Opener !?! Call Us Now ! We Install for You! No Tricks, No Hidden Fees. Licensed and Certified, comes with Warranty. Choice of Top Garage Door Opener ...",City of Toronto,< 4 hours ago,2020-10-07 17:21:00.563825
1443739626,/v-garage-door-and-opener/city-of-toronto/star-garage-door-repair-toronto-be-there-in-an-hour/1443739626,99.0,⭐⭐⭐⭐⭐ STAR GARAGE DOOR REPAIR TORONTO - BE THERE IN AN HOUR !,,"Garage Door Repair for all of Toronto and GTA. Starting at just $99 ! Licensed, Insured and Certified. Over 30 years in Business. Family Owned and Operated. Contact Us Tod",City of Toronto,< 4 hours ago,2020-10-07 17:21:00.564349
1528431696,/v-garage-door-and-opener/city-of-toronto/chamberlain-1-25hp-smart-wifi-belt-drive-battery-backup-b970c/1528431696,419.0,CHAMBERLAIN 1.25HP SMART/WIFI BELT DRIVE BATTERY BACKUP B970C,,"SALE PRICE!!! BRAND NEW SEALED INCLUDES INSTALLATION $419 MODEL B970C CHAMBERLAIN 1.25HP SMART/WIFI BELT DRIVE GARAGE DOOR OPENER WITH BATTERY BACKUP, We do everything realted to Garage Doors ...",City of Toronto,< 5 hours ago,2020-10-07 17:21:00.564834
1528413633,/v-garage-door-and-opener/city-of-toronto/chamberlain-chain-drive-garage-opener-no-remote/1528413633,55.0,"Chamberlain Chain Drive Garage OPENER, no Remote.",,"(used, checked for proper function inside & out and fully serviced.) Chamberlain Chain Drive Garage Door OPENER, no Remote 'opener has [RED] learn button for programming remotes to it', inside garage ...",City of Toronto,< 6 hours ago,2020-10-07 17:21:00.565320
1528411509,/v-garage-door-and-opener/city-of-toronto/craftsman-garage-door-opener-40-1-new-remote-20/1528411509,60.0,"Craftsman Garage Door OPENER $40, 1 NEW Remote $20.",,"(used, checked for proper function inside & out and fully serviced.) Craftsman Chain Drive Garage Door OPENER $40, 1 NEW Remote $20, inside garage Wall Button(new wire), Safety Sensors, (new)Hanger ...",City of Toronto,< 6 hours ago,2020-10-07 17:21:00.565803
1528408919,/v-garage-door-and-opener/city-of-toronto/blow-out-mega-sale-on-all-garage-doors-as-low-as-649/1528408919,649.0,BLOW OUT MEGA SALE!!! ON ALL GARAGE DOORS. AS LOW AS 649!!,,"Mike 6478488025 GARAGEDOOR4U@yahoo.com UPGRADE YOUR GARAGE DOOR FOR AS LOW AS 649! BLOW OUT MEGA SALE! ON ALL GARAGE DOORS! NO TAX! - I specialize in repair/ installation of all makes, models & ...",City of Toronto,< 6 hours ago,2020-10-07 17:21:00.566292
1489462905,/v-garage-door-and-opener/city-of-toronto/garage-door-high-lift-modification/1489462905,850.0,Garage door HIGH LIFT modification,,"High lift modification for 8x7 door, all new complete hardware, $850 installed For 16x7 door $900 installed Includes new tracks, spings, cables, drums, premium nylon rollers. 1 year installation ...",City of Toronto,< 9 hours ago,2020-10-07 17:21:00.566775
1489459814,/v-garage-door-and-opener/city-of-toronto/garage-door-openers-for-sale/1489459814,310.0,Garage door openers for SALE,,"Model 8010 chain drive, dc motor- very quiet operation. Includes 1 remote $310 Model b750c belt drive, dc motor. Includes 2 remotes,1 keypad, built in wifi $400 Model 8500c jack shaft/ side mount/ no ...",City of Toronto,< 9 hours ago,2020-10-07 17:21:00.567257
1528372349,/v-garage-door-and-opener/city-of-toronto/chamberlain-3-4hp-smart-wifi-belt-drive-model-b750c/1528372349,379.0,CHAMBERLAIN 3/4HP SMART/WIFI BELT DRIVE MODEL B750C,,"BRAND NEW CHAMBERLAIN GRAGE DOORS OPENER 3/4HP BELT DRIVE WITH BUILT IN WIFI MODEL B75OC INCLUDE INSTALLATION . $379 ONLY We do everything realted to Garage Doors (Installations, Sales, Repairs) ...",City of Toronto,< 10 hours ago,2020-10-07 17:21:00.568142
1528367765,/v-garage-door-and-opener/city-of-toronto/chamberlain-3-4hp-belt-drive-opener-with-built-in-wifi/1528367765,379.0,Chamberlain 3/4HP Belt Drive Opener with Built in WIFI,,"BRAND NEW MODEL B750C We do everything related to Garage Doors (Installations, Sales, Repairs) BRAND NEW IN BOX Chamberlain 3/4HP Belt Drive Opener Included in Package: 2- 3 Button Remote Controls 1- ...",City of Toronto,< 10 hours ago,2020-10-07 17:21:00.568825
1528218757,/v-garage-door-and-opener/city-of-toronto/chamberlain-power-drive/1528218757,125.0,Chamberlain power drive,,GARAGE DOOR MOTOR,City of Toronto,Yesterday,2020-10-07 17:21:00.569707
1528151723,/v-garage-door-and-opener/city-of-toronto/chamberlain-liftmaster-garage-door-opener/1528151723,99.0,Chamberlain LiftMaster Garage Door Opener,,"Used Chamberlain LiftMaster Professional 2265-267C 1/2 HP chain drive garage door opener with all accessories including 2x door safety sensors (with wires), 1x wall switch (with wire), 1x wireless ...",City of Toronto,05/10/2020,2020-10-07 17:21:00.570440
1528063111,/v-garage-door-and-opener/city-of-toronto/chamberlain-1-2hp-wifi-garage-door-opener-installed-sale/1528063111,329.0,CHAMBERLAIN 1/2HP WIFI GARAGE DOOR OPENER INSTALLED SALE,,SALE PRICE!!! Chamberlain 1/2HP Chain Drive Opener with Built in WIFI BRAND NEW SEALED MODEL C450c http://www.gtadoor.com (check our site for all info in detail) 647-669-8689 We do everything realted ...,City of Toronto,05/10/2020,2020-10-07 17:21:00.570973
1528017156,/v-garage-door-and-opener/city-of-toronto/garage-door:-16x7-great-with-hardware/1528017156,200.0,garage door: 16x7. Great with hardware,,Solid wood Garage door red color 16x7. it S great Condition. Comes with hardware 200$ come And pickup Cell Or text 647-855-8551 Val,City of Toronto,05/10/2020,2020-10-07 17:21:00.571469
1528017003,/v-garage-door-and-opener/city-of-toronto/regent-hsl300-halogen-shop-garage-plugin-work-light-300-watt/1528017003,1.0,Regent HSL300 Halogen Shop Garage Plugin Work Light 300-Watt,,"Not $1 ...Reasonable offer accepted. Regent HSL300 Halogen Shop Garage Plugin Work Light 300-Watt Very bright...Uses long-lasting, 2 xHalogen Bulbs (included). New, no box...As pictured. Link ...",City of Toronto,05/10/2020,2020-10-07 17:21:00.571945
1527753825,/v-garage-door-and-opener/city-of-toronto/fullview-modern-garage-door-frosted-windows-1899/1527753825,1899.0,Fullview modern garage door; frosted windows $1899,,Professional services for Garage Door and Garage Door Opener: -Sale; -Service; -Repair Free estimates!!! -We repair all kinds(Brands) of garage doors and garage door openers. -Dealing in all major ...,City of Toronto,04/10/2020,2020-10-07 17:21:00.572434
1527753578,/v-garage-door-and-opener/city-of-toronto/modern-foam-injected-insulated-garage-door-installed-1199/1527753578,1199.0,Modern Foam Injected Insulated Garage door; installed $1199,,Professional services for Garage Door and Garage Door Opener: -Sale; -Service; -Repair Free estimates!!! -We repair all kinds(Brands) of garage doors and garage door openers. -Dealing in all major ...,City of Toronto,04/10/2020,2020-10-07 17:21:00.572917
1527753378,/v-garage-door-and-opener/city-of-toronto/carriage-garage-door-foam-injected-insulated-us-brand-999/1527753378,999.0,Carriage garage door; foam injected insulated; US Brand $999,,Professional services for Garage Door and Garage Door Opener: -Sale; -Service; -Repair Free estimates!!! -We repair all kinds(Brands) of garage doors and garage door openers. -Dealing in all major ...,City of Toronto,03/10/2020,2020-10-07 17:21:00.573399
1527752941,/v-garage-door-and-opener/city-of-toronto/garage-door-pro:-insulated-garage-door-installed-699/1527752941,699.0,Garage Door Pro: Insulated  Garage door; installed $699,,Professional services for Garage Door and Garage Door Opener: -Sale; -Service; -Repair Free estimates!!! -We repair all kinds(Brands) of garage doors and garage door openers. -Dealing in all major ...,City of Toronto,03/10/2020,2020-10-07 17:21:00.573902
1527752790,/v-garage-door-and-opener/city-of-toronto/garage-door-pro:-steel-garage-door-installed-599/1527752790,599.0,Garage Door Pro: Steel Garage door; installed $599,,Professional services for Garage Door and Garage Door Opener: -Sale; -Service; -Repair Free estimates!!! -We repair all kinds(Brands) of garage doors and garage door openers. -Dealing in all major ...,City of Toronto,03/10/2020,2020-10-07 17:21:00.574428
1527752348,/v-garage-door-and-opener/city-of-toronto/chamberlain-b750c-garage-door-opener:-3-4hp-belt-wifi-379/1527752348,379.0,Chamberlain B750C garage door opener: 3/4hp belt; wifi $379,,Professional services for Garage Door and Garage Door Opener: -Sale; -Service; -Repair Free estimates!!! -We install/repair all kinds(Brands) of garage doors and garage door openers. Special Offer: ...,City of Toronto,03/10/2020,2020-10-07 17:21:00.575112
1527752167,/v-garage-door-and-opener/city-of-toronto/chamberlain-c450c-garage-door-opener-1-2hp-chain-wifi-329/1527752167,329.0,Chamberlain C450C Garage Door opener; 1/2hp; chain; wifi  $329,,Professional services for Garage Door and Garage Door Opener: -Sale; -Service; -Repair Free estimates!!! -We install/repair all kinds(Brands) of garage doors and garage door openers. Special Offer: ...,City of Toronto,03/10/2020,2020-10-07 17:21:00.575608
1527561720,/v-garage-door-and-opener/city-of-toronto/garage-doors/1527561720,200.0,Garage Doors,,"Garage doors x 2 White colour 8' x 7.5' (90"" - 5 x 18"" panels) Includes tracks and hardware $200 obo",City of Toronto,03/10/2020,2020-10-07 17:21:00.576097
1527434415,/v-garage-door-and-opener/city-of-toronto/jj-garage-door-solutions:-garage-door-installed-starting-599/1527434415,599.0,JJ Garage Door Solutions: Garage door installed starting $599,,"Professional services for Garage Door and Garage Door Opener: We provide Service, repair and installation Free estimates!!! Visit my Face book page for getting an idea of colours and styles. ...",City of Toronto,02/10/2020,2020-10-07 17:21:00.576583
1528465483,/v-garage-door-and-opener/city-of-toronto/craftsman-1-2-hp-garage-door-opener-brand-new-in-box/1528465483,150.0,CRAFTSMAN 1/2 HP Garage Door Opener **BRAND NEW IN BOX**,,CRAFTSMAN 1/2 HP Garage Door Opener **BRAND NEW IN BOX** Heavy duty. Sealed in box. Never used. Comes with everything that you need. $150 OBO Cash pick up only in Brimley and Steeles area.,City of Toronto,< 2 hours ago,2020-10-07 17:22:07.017840
1528443435,/v-garage-door-and-opener/city-of-toronto/16x7insulated-polyurethane-garage-door-install-repair-6474076666/1528443435,1350.0,16x7Insulated Polyurethane Garage Door-Install repair/6474076666,,"IF THIS AD IS UP, IT'S AVAILABLE We Sell Top Quality Garage doors all styles, color and sizes available R-Value R 16 Insulated 16 x 7 installed only $1350 Also we sell install and Repair all type of ...",City of Toronto,< 4 hours ago,2020-10-07 17:22:07.018333
1443777682,/v-garage-door-and-opener/city-of-toronto/garage-door-repair-only-150-for-broken-spring-contact-now/1443777682,150.0,GARAGE DOOR REPAIR -  ONLY $150 FOR BROKEN SPRING - CONTACT NOW,,NEW GARAGE DOOR SPRING ONLY $150 ALL IN - WE INSTALL FOR YOU ! BEST PRICE ON GARAGE DOOR REPAIR IN TORONTO ! CALL 647-317-0890 STAR GARAGE DOORS - FAMILY OWNED & OPERATED FOR OVER 30 YEARS SAME DAY ...,City of Toronto,< 4 hours ago,2020-10-07 17:22:07.019124
1443776984,/v-garage-door-and-opener/city-of-toronto/garage-door-opener-brand-new-and-installed-only-395/1443776984,395.0,⭐⭐ GARAGE DOOR OPENER - BRAND  NEW AND INSTALLED ONLY $395 ⭐⭐,,"Are you looking for a Brand New Garage Door Opener !?! Call Us Now ! We Install for You! No Tricks, No Hidden Fees. Licensed and Certified, comes with Warranty. Choice of Top Garage Door Opener ...",City of Toronto,< 4 hours ago,2020-10-07 17:22:07.019636
1443739626,/v-garage-door-and-opener/city-of-toronto/star-garage-door-repair-toronto-be-there-in-an-hour/1443739626,99.0,⭐⭐⭐⭐⭐ STAR GARAGE DOOR REPAIR TORONTO - BE THERE IN AN HOUR !,,"Garage Door Repair for all of Toronto and GTA. Starting at just $99 ! Licensed, Insured and Certified. Over 30 years in Business. Family Owned and Operated. Contact Us Tod",City of Toronto,< 4 hours ago,2020-10-07 17:22:07.020149
1528431696,/v-garage-door-and-opener/city-of-toronto/chamberlain-1-25hp-smart-wifi-belt-drive-battery-backup-b970c/1528431696,419.0,CHAMBERLAIN 1.25HP SMART/WIFI BELT DRIVE BATTERY BACKUP B970C,,"SALE PRICE!!! BRAND NEW SEALED INCLUDES INSTALLATION $419 MODEL B970C CHAMBERLAIN 1.25HP SMART/WIFI BELT DRIVE GARAGE DOOR OPENER WITH BATTERY BACKUP, We do everything realted to Garage Doors ...",City of Toronto,< 5 hours ago,2020-10-07 17:22:07.020632
1528413633,/v-garage-door-and-opener/city-of-toronto/chamberlain-chain-drive-garage-opener-no-remote/1528413633,55.0,"Chamberlain Chain Drive Garage OPENER, no Remote.",,"(used, checked for proper function inside & out and fully serviced.) Chamberlain Chain Drive Garage Door OPENER, no Remote 'opener has [RED] learn button for programming remotes to it', inside garage ...",City of Toronto,< 6 hours ago,2020-10-07 17:22:07.021114
1528411509,/v-garage-door-and-opener/city-of-toronto/craftsman-garage-door-opener-40-1-new-remote-20/1528411509,60.0,"Craftsman Garage Door OPENER $40, 1 NEW Remote $20.",,"(used, checked for proper function inside & out and fully serviced.) Craftsman Chain Drive Garage Door OPENER $40, 1 NEW Remote $20, inside garage Wall Button(new wire), Safety Sensors, (new)Hanger ...",City of Toronto,< 6 hours ago,2020-10-07 17:22:07.021596
1528408919,/v-garage-door-and-opener/city-of-toronto/blow-out-mega-sale-on-all-garage-doors-as-low-as-649/1528408919,649.0,BLOW OUT MEGA SALE!!! ON ALL GARAGE DOORS. AS LOW AS 649!!,,"Mike 6478488025 GARAGEDOOR4U@yahoo.com UPGRADE YOUR GARAGE DOOR FOR AS LOW AS 649! BLOW OUT MEGA SALE! ON ALL GARAGE DOORS! NO TAX! - I specialize in repair/ installation of all makes, models & ...",City of Toronto,< 6 hours ago,2020-10-07 17:22:07.022079
1489462905,/v-garage-door-and-opener/city-of-toronto/garage-door-high-lift-modification/1489462905,850.0,Garage door HIGH LIFT modification,,"High lift modification for 8x7 door, all new complete hardware, $850 installed For 16x7 door $900 installed Includes new tracks, spings, cables, drums, premium nylon rollers. 1 year installation ...",City of Toronto,< 9 hours ago,2020-10-07 17:22:07.022560
1489459814,/v-garage-door-and-opener/city-of-toronto/garage-door-openers-for-sale/1489459814,310.0,Garage door openers for SALE,,"Model 8010 chain drive, dc motor- very quiet operation. Includes 1 remote $310 Model b750c belt drive, dc motor. Includes 2 remotes,1 keypad, built in wifi $400 Model 8500c jack shaft/ side mount/ no ...",City of Toronto,< 9 hours ago,2020-10-07 17:22:07.023040
1528372349,/v-garage-door-and-opener/city-of-toronto/chamberlain-3-4hp-smart-wifi-belt-drive-model-b750c/1528372349,379.0,CHAMBERLAIN 3/4HP SMART/WIFI BELT DRIVE MODEL B750C,,"BRAND NEW CHAMBERLAIN GRAGE DOORS OPENER 3/4HP BELT DRIVE WITH BUILT IN WIFI MODEL B75OC INCLUDE INSTALLATION . $379 ONLY We do everything realted to Garage Doors (Installations, Sales, Repairs) ...",City of Toronto,< 10 hours ago,2020-10-07 17:22:07.024114
1528367765,/v-garage-door-and-opener/city-of-toronto/chamberlain-3-4hp-belt-drive-opener-with-built-in-wifi/1528367765,379.0,Chamberlain 3/4HP Belt Drive Opener with Built in WIFI,,"BRAND NEW MODEL B750C We do everything related to Garage Doors (Installations, Sales, Repairs) BRAND NEW IN BOX Chamberlain 3/4HP Belt Drive Opener Included in Package: 2- 3 Button Remote Controls 1- ...",City of Toronto,< 10 hours ago,2020-10-07 17:22:07.024798
