,url,price,title,distance,description,location,time_offset,retreived
1528462769,/v-gardening-plant-fertilizer-soil/city-of-toronto/huge-healthy-aloe-plant/1528462769,150.0,Huge Healthy Aloe Plant,,"Huge healthy aloe plant, 3' in height, 3' 5"" in diameter.",City of Toronto,< 2 hours ago,2020-10-07 16:57:01.662958
1528462752,/v-gardening-plant-fertilizer-soil/city-of-toronto/brand-new-aqueon-aquarium-and-deluxe-full-hood-light/1528462752,100.0,**Brand New Aqueon Aquarium and Deluxe Full Hood Light**,,"Selling a brand new size 38 Aqueon Aquarium (leak tested) and Deluxe Full Hood Light for all your fish, lizard, and/hydroponic growing needs! Our apartment is just too small :( Each costs well over ...",City of Toronto,< 2 hours ago,2020-10-07 16:57:01.663475
1528460254,/v-gardening-plant-fertilizer-soil/city-of-toronto/rubbermaid-garbage-can-h-23xw-20-5-inch/1528460254,10.0,Rubbermaid Garbage Can H-23'xw 20.5 inch.,,Rubbermaide Garbage Can size H- 23' W 20.5' inch. $12 pickup in Scarborough Ellesmere morning side. thanks,City of Toronto,< 2 hours ago,2020-10-07 16:57:01.664355
1528458261,/v-gardening-plant-fertilizer-soil/city-of-toronto/5-pots-hydrangea-perennial-pink-plant-h-20/1528458261,14.0,5- pots Hydrangea perennial pink. plant H-20'.,,selling outdoor perennial plants 5- pots of Hydrangea pink colour. plant H-20''inch $14 Each pot. if pickup All 5- pots for $ 68. they grow outside Every year Moore plants October is right time to ...,City of Toronto,< 2 hours ago,2020-10-07 16:57:01.664840
1528456705,/v-gardening-plant-fertilizer-soil/city-of-toronto/premium-aaa-herb-seeds-over-100-seeds-starting-at-10/1528456705,1.0,Premium AAA+ Herb Seeds! Over 100 Seeds Starting at $10,,Herb Seeds for Sale/ Trade - AAA+ Strain Quality Been Collecting Seeds and don’t have space to grow more plants :) I would not sell something I wouldn’t smoke. They’re all FANTASTIC! “ Organic Herb ...,City of Toronto,< 2 hours ago,2020-10-07 16:57:01.665324
1528456604,/v-gardening-plant-fertilizer-soil/city-of-toronto/4-hb-assorted-succulents/1528456604,20.0,"4"" HB assorted succulents",,String of Turtles String of Pearls String of Bananas String of Dolphins $20ea/Two for $35/Three for $50 Homegrown Pickup downtown Toronto. Can also meet in Barrie or anywhere on the way to Port ...,City of Toronto,< 2 hours ago,2020-10-07 16:57:01.665885
1528442042,/v-gardening-plant-fertilizer-soil/city-of-toronto/zz-zenzi-tropical-plant/1528442042,25.0,ZZ Zenzi Tropical plant!!!,,Beautiful and healthy! Pick up downtown near King and Spadina Comes with black nursery pot.,City of Toronto,< 3 hours ago,2020-10-07 16:57:01.666655
1528441745,/v-gardening-plant-fertilizer-soil/city-of-toronto/stunning-raven-midnight-zz-tropical-plant/1528441745,38.0,Stunning Raven / Midnight ZZ Tropical plant!,,Such a show stopper. Comes in black nursery pot. Pick up downtown Toronto. Near King and Spadina. Firm price,City of Toronto,< 3 hours ago,2020-10-07 16:57:01.667251
1528441337,/v-gardening-plant-fertilizer-soil/city-of-toronto/banana-plant-trees-beautiful-and-healthty/1528441337,25.0,Banana plant / trees! Beautiful and healthty,,Each plant growing new leaves Green pot - $25 Black pot - $40 Pick up downtown Toronto near King and Spadina,City of Toronto,< 3 hours ago,2020-10-07 16:57:01.667772
1528439117,/v-gardening-plant-fertilizer-soil/city-of-toronto/beautiful-healthy-tropical-calathea-plant/1528439117,23.0,Beautiful healthy tropical Calathea plant,,"Great plant growing new leaves. Pick up downtown Toronto, near king and Spadina. Comes with black nursery pot",City of Toronto,< 4 hours ago,2020-10-07 16:57:01.668293
1528438044,/v-gardening-plant-fertilizer-soil/city-of-toronto/tradescantia-zebrina-quadricolor-aka-multicolour-discolour/1528438044,20.0,Tradescantia zebrina Quadricolor aka multicolour discolour,,Tradescantia Zebrina Quadricolor aka Zebrina Variegata aka Multi-color Discolor - rare plant! - this hard to find rare tradescantia adds more of a pop and color than its regular form - it’s leaf ...,City of Toronto,< 4 hours ago,2020-10-07 16:57:01.668786
1528437595,/v-gardening-plant-fertilizer-soil/city-of-toronto/stunning-philodendron-birkin-collector-plant/1528437595,45.0,Stunning Philodendron Birkin!! Collector plant!,,Beautiful and healthy! Pick up downtown Toronto near King and Spadina,City of Toronto,< 4 hours ago,2020-10-07 16:57:01.669389
1528437037,/v-gardening-plant-fertilizer-soil/city-of-toronto/huge-monstera-adansonii-swiss-cheese-tropical-plant/1528437037,145.0,HUGE Monstera Adansonii Swiss cheese tropical plant!,,"Amazing plant. Super healthy and growing constantly! Pick up near King and Spadina, downtown Toronto.",City of Toronto,< 4 hours ago,2020-10-07 16:57:01.669885
1528436870,/v-gardening-plant-fertilizer-soil/city-of-toronto/beautifully-potted-plants/1528436870,25.0,Beautifully Potted plants,,"Potted plants Adds beauty to home, offices, clinics Air purifying plants Elegant Healthy plants from a detailed plant lover.",City of Toronto,< 4 hours ago,2020-10-07 16:57:01.670376
1528436447,/v-gardening-plant-fertilizer-soil/city-of-toronto/beautiful-healthy-mini-monstera/1528436447,45.0,"Beautiful, healthy mini Monstera!",,"Rhaphhidophora Tetrasperma Monstera Healthy and growing new leaves. Comes with green nursery pot. Pick up downtown, near King and Spadina.",City of Toronto,< 4 hours ago,2020-10-07 16:57:01.670885
1528435799,/v-gardening-plant-fertilizer-soil/city-of-toronto/extra-aromatic-basil-plant-ready-to-harvest-downtown-toronto/1528435799,3.99,EXTRA AROMATIC BASIL PLANT. READY TO HARVEST. DOWNTOWN TORONTO,,"Curbside pickup is in front of Japango restaurant 122 Elizabeth street EXTRA AROMATIC BASIL PLANT. NOT THE USUAL TYPE, THESE ONES ARE SMELLING REALLY EXTRA AROMATIC. !! READY TO HARVEST ! ENJOY!!!",City of Toronto,< 4 hours ago,2020-10-07 16:57:01.671388
1528435002,/v-gardening-plant-fertilizer-soil/city-of-toronto/red-chilli-plant-flowering-fruiting-soon-downtown-toronto/1528435002,5.99,RED CHILLI PLANT. FLOWERING. FRUITING SOON. DOWNTOWN TORONTO,,CURBSIDE PICKUP AT DOWNTOWN TORONTO RED CHILLI PLANT. FLOWERING. WILL FRUIT SOON. PLANTED FROM SEED. LOVING CARED FOR MONTHS ALREADY ;).,City of Toronto,< 4 hours ago,2020-10-07 16:57:01.671897
