,url,price,title,distance,description,location,time_offset,retreived
1528235578,/v-general-electronics/city-of-toronto/power-cords/1528235578,30.0,Power Cords,,32 power cords 6 feet each Brand new,City of Toronto,< 2 minutes ago,2020-10-06 12:18:34.911001
1197638625,/v-general-electronics/city-of-toronto/the-waves-a-p-a-44m-audio-processing-accelerator/1197638625,220.0,THE WAVES  A.P.A 44M AUDIO PROCESSING  ACCELERATOR,,"WAVES A.P.A 44M AUDIO PROCESSI ACCELERATOR, MINT CONDITION IN THE BOX WITH ALL ACCESORIES The APA is a hardware solution that lets you easily run multiples of Waves most CPU-intensive plug-ins. ...",City of Toronto,< 2 minutes ago,2020-10-06 12:18:34.911986
1528235424,/v-general-electronics/city-of-toronto/new-apple-watch-series-3-stainless-steel-42mm-gps-cellular/1528235424,800.0,New Apple Watch Series 3 Stainless Steel 42mm (GPS+ Cellular),,Brand New and still in packaging Apple Watch Series 3. It is clearly unused as you can see in the pictures. This was a new replacement product sent to me to replace my previous watch. Only reason for ...,City of Toronto,< 3 minutes ago,2020-10-06 12:18:34.913253
1528235329,/v-general-electronics/city-of-toronto/digital-food-scale/1528235329,17.0,"Wanted:
                            Digital food scale",,"Digital food scale with LCD Display, ultra slim 11Ibs/5 kg",City of Toronto,< 3 minutes ago,2020-10-06 12:18:34.914211
1528235176,/v-general-electronics/city-of-toronto/android-box-setup-unlimited-tv-movies-free-consultations/1528235176,19.99,Android Box Setup * Unlimited TV & Movies - Free Consultations *,,Android Box Setup (Programming for unlimited TV & Movies) More than just another IPTV provider! If you don't have an Android Box or don't know where to start when choosing a reliable IPTV Provider ...,City of Toronto,< 4 minutes ago,2020-10-06 12:18:34.914751
1045440543,/v-general-electronics/city-of-toronto/beyerdynamic-opus-300-s-receiver-sdm369-transmitter-mic/1045440543,200.0,BEYERDYNAMIC OPUS 300-S RECEIVER & SDM369 TRANSMITTER MIC,,"<<\\\OPEN FOR PRICE OFFER///>> WIRELESS BEYERDYNAMIC OPUS 300-S RECEVIER & SDM369 TRANSMITTER MICROPHONE. MINT CONDITION, CASE AND OPERATING INSTRUCTIONS.... SPECIFICATIONS Opus 300 Guitar Wireless ...",City of Toronto,< 5 minutes ago,2020-10-06 12:18:34.915272
1528234902,/v-general-electronics/city-of-toronto/lenovo-smart-clock-with-google-assistant-brand-new-sealed-in-box/1528234902,65.0,Lenovo Smart Clock with Google Assistant Brand New Sealed in Box,,"Lenovo Smart Clock with Google Assistant Brand New Sealed in Box Designed to live on your nightstand, the Lenovo Smart Clock with the Google Assistant has a 4"" touch screen and delivers visual ...",City of Toronto,< 6 minutes ago,2020-10-06 12:18:34.915881
1303230176,/v-general-electronics/city-of-toronto/new-myfox-bu0201-wireless-smart-home-alarm-security-system/1303230176,110.0,NEW Myfox BU0201 Wireless Smart Home Alarm Security System,,NEW MYFOX BU0201 WIRELESS SMART HOME ALARM SECURITY SYSTEM PLEASE TEXT OR CALL. NO EXCHANGE OR TRADES. WILL NOT MAIL. NO PAY PAL OR PERSONAL CHEQUES. NO INTERNET OR ELECTRONIC. TRANSACTIONS. Myfox ...,City of Toronto,< 6 minutes ago,2020-10-06 12:18:34.916390
1528234487,/v-general-electronics/city-of-toronto/vhs-tapes-for-sale/1528234487,50.0,VHS TAPES FOR SALE,,"VHS TAPES FOR SALE - 206 tapes - recordings of soap operas, kids shows and the news mostly. Tapes are in good condition.",City of Toronto,< 7 minutes ago,2020-10-06 12:18:34.917382
1528233418,/v-general-electronics/city-of-toronto/dji-mavic-air-fly-more-kit/1528233418,650.0,DJI Mavic Air + Fly More kit!,,"I've tuned this drone perfectly and kept it in perfect working condition. I use it to film travel shots and music videos for my business. It has a small nick on the front, which you can see in the ...",City of Toronto,< 13 minutes ago,2020-10-06 12:18:34.918033
