,url,price,title,distance,description,location,time_offset,retreived
1528487372,/v-guitar/city-of-toronto/roland-gk-3/1528487372,180.0,Roland GK-3,,Used Roland GK-3 in excellent condition.,City of Toronto,< 20 minutes ago,2020-10-07 18:16:27.239311
1528485971,/v-guitar/city-of-toronto/triple-guitar-stand/1528485971,30.0,Triple Guitar Stand,,Triple Guitar Stand in good condition for sale. Must be able to pick up. Selling for $30 OBO.,City of Toronto,< 28 minutes ago,2020-10-07 18:16:27.240008
1528485344,/v-guitar/city-of-toronto/arbor-acoustic-electric-guitar-red-and-gold-retail-499/1528485344,180.0,Arbor acoustic/electric guitar red and gold retail $499,,$180 Great condition (E string minor replacement $2) Pick up only Text or call 6474903268 Thank you,City of Toronto,< 31 minutes ago,2020-10-07 18:16:27.240493
1528483187,/v-guitar/city-of-toronto/vintage-harmony-guitar/1528483187,120.0,Vintage Harmony Guitar,,"Condition: Great Condition Not sure what model it is or any other info, what you see is what you get Location: Can meet near sheppard yonge subway station or anywhere along sheppard between Yonge and ...",City of Toronto,< 44 minutes ago,2020-10-07 18:16:27.240973
1528483132,/v-guitar/city-of-toronto/gibson-1967-b-25-cherry-burst-acoustic/1528483132,3000.0,Gibson 1967 B-25 Cherry Burst Acoustic,,Testing the waters on selling this beauty. It’s a 1967 Gibson B-25 in Cherry Burst. It’s in excellent condition with no issues. I had the bridge saddle replaced with a fixed one by Mike Spicer of ...,City of Toronto,< 44 minutes ago,2020-10-07 18:16:27.241461
1528477167,/v-guitar/city-of-toronto/epiphone-sg-special-and-fender-frontman-15g-amp/1528477167,300.0,Epiphone SG Special and Fender Frontman 15g Amp,,Great setup if your just getting into guitar. Couple dings on the Epiphone but nothing crazy. Fender amp is pretty much brand new. I'll throw in a cable so your ready to go right away. Looking to get ...,City of Toronto,< 2 hours ago,2020-10-07 18:16:27.241948
1528472974,/v-guitar/city-of-toronto/yamaha-pacifica-112v-electric-guitar-old-violin-sunburst-new/1528472974,350.0,Yamaha Pacifica 112V Electric Guitar - Old Violin Sunburst (new),,"Brand new electric yamaha pacifica v112, bought it earlier this year from long & mcquade. Barely played. Condition is super nice.",City of Toronto,< 2 hours ago,2020-10-07 18:16:27.242433
1528471802,/v-guitar/city-of-toronto/guitar-stands-for-sale/1528471802,50.0,Guitar stands for sale,,Selling 4 guitar stands one of them is a 3 guitar stand. Pick up only Will sell all 4 for $50,City of Toronto,< 2 hours ago,2020-10-07 18:16:27.242919
1528461367,/v-guitar/city-of-toronto/squier-jaguar-bass-rarely-played/1528461367,300.0,Squier Jaguar Bass...Rarely Played,,Awesome grainy red and black colour. Bass is in mint condition other than some marks on the chrome around the volume knobs; 3 years old and has hardly ever been played. I have the original box it was ...,City of Toronto,< 3 hours ago,2020-10-07 18:16:27.243415
1528460958,/v-guitar/city-of-toronto/acoustic-guitar-seagull-s6-burst-gt/1528460958,350.0,Acoustic Guitar Seagull S6+Burst GT,,Selling my used guitar Seagull S6+Burst GT 2004y. Recently set up with frets leveling so no bazz... Nothing serious happened with it but has a few of natural dings and blems from playing here and ...,City of Toronto,< 3 hours ago,2020-10-07 18:16:27.243958
1528460593,/v-guitar/city-of-toronto/alvarez-artist-series-acoustic-guitar/1528460593,600.0,Alvarez Artist Series Acoustic Guitar,,Beautiful mahogany Alvarez acoustic guitar. Like new condition and well cared for,City of Toronto,< 3 hours ago,2020-10-07 18:16:27.244454
1528457506,/v-guitar/city-of-toronto/seagull-s-12-deluxe-vintage-12-string-guitar/1528457506,600.0,Seagull S(12) Deluxe Vintage 12 String Guitar,,"Vintage Seagull 12 string guitar from the 70s. Cedar hard top In great condition for its age, minor nicks and scratches. 8/10 Neck was cracked long ago but has been epoxied and fixed. Still sounds ...",City of Toronto,< 3 hours ago,2020-10-07 18:16:27.244939
1528457163,/v-guitar/city-of-toronto/yorkville-5-guitar-stand/1528457163,35.0,Yorkville 5 guitar stand,,Selling a Yorkville 5 guitar stand in good condition asking $35,City of Toronto,< 4 hours ago,2020-10-07 18:16:27.245425
1528456609,/v-guitar/city-of-toronto/left-handed-dean-guitars-and-mint-line-6-half-stack-for-sale/1528456609,1100.0,Left handed Dean guitars and mint Line 6 half stack for sale,,I have 2 left handed Dean guitars for sale. 1 a electric Vendetta in wood finish with case and the 2nd 1 a acoustic/ electric with built in tuner and case. Both are in new condition. Also in the deal ...,City of Toronto,< 4 hours ago,2020-10-07 18:16:27.245907
1528456382,/v-guitar/city-of-toronto/wall-guitar-holder/1528456382,25.0,Wall guitar holder,,Selling this 2 wall guitar holder that I have no use anymore asking $25 for both,City of Toronto,< 4 hours ago,2020-10-07 18:16:27.246388
1528454652,/v-guitar/city-of-toronto/esp-ltd-ec-1000fm-deluxe-w-emgs-electric-guitar/1528454652,1000.0,ESP LTD EC-1000FM Deluxe w/ EMGs Electric Guitar,,ESP LTD EC-1000 Deluxe Flamed Maple See Thru Purple Finish Retails for $1400 PRICE IS FIRM! Trade for some Gibson and fender Guitars. Try your trade with Pics and Info INFO: * Mahogany body * ...,City of Toronto,< 4 hours ago,2020-10-07 18:16:27.246871
