,url,price,title,distance,description,location,time_offset,retreived
1528487340,/v-hand-tool/city-of-toronto/plumb-bob-solid-steel/1528487340,5.0,Plumb Bob Solid Steel,,Plumb Bob Solid Steel Empire 8 Oz Brand New $5,City of Toronto,< 8 minutes ago,2020-10-07 18:04:05.955168
1528484910,/v-hand-tool/city-of-toronto/brand-new-dewalt-green-165ft-laser-level/1528484910,200.0,Brand new.Dewalt Green 165ft Laser Level,,Dewalt Brand new Green 165ft laser level. Box is sealed. Never opened.,City of Toronto,< 22 minutes ago,2020-10-07 18:04:05.955678
1478212504,/v-hand-tool/city-of-toronto/vintage-pipe-wrench/1478212504,15.0,Vintage Pipe Wrench,,The Ridge Tool co. 6 inch Great Condition,City of Toronto,< 25 minutes ago,2020-10-07 18:04:05.956163
1528483920,/v-hand-tool/city-of-toronto/record-53-woodworker-woodworking-10-5-vise-made-in-england-wood/1528483920,300.0,Record 53 Woodworker Woodworking 10.5” Vise Made in England Wood,,"Record 53 Woodworker Woodworking 10.5” Vise Made in England Wood Work Bench Vice. Condition is ""Used"". Used. Shows wear. Works as it should. $300 or best offer",City of Toronto,< 27 minutes ago,2020-10-07 18:04:05.956649
1528478259,/v-hand-tool/city-of-toronto/mastercraft-tap-and-die-set/1528478259,100.0,Mastercraft Tap and Die Set,,"Mastercraft Tap and Die Set . Posted in tools, hand tools in City of Toronto. October 7, 2020",City of Toronto,< 53 minutes ago,2020-10-07 18:04:05.957139
1528476387,/v-hand-tool/city-of-toronto/task-tools-quick-support-rods-81-159/1528476387,40.0,Task Tools Quick Support Rods 81” - 159”,,"Task Tools Quick Support Rod Used literally once, but have no space to keep them Extremely convenient to help secure materials hands free Ideal for drywall, hvac, crown moldings etc Expand from 81” ...",City of Toronto,< 2 hours ago,2020-10-07 18:04:05.957621
1528468056,/v-hand-tool/city-of-toronto/mastercraft-socket-ratchet-set/1528468056,50.0,Mastercraft Socket / Ratchet Set,,"Lightly used socket set - 74 pcs. 1/4"" and 3/8"" ratchets SAE and Metric sizes Regular and deep sockets Includes Phillips, Torx, Hex, adapter, extensions, universal joint, spark plug sockets Chrome ...",City of Toronto,< 2 hours ago,2020-10-07 18:04:05.958108
1528466430,/v-hand-tool/city-of-toronto/lufkin-pro-series-measuring-wheel/1528466430,100.0,Lufkin pro series measuring wheel.,,Model PSMW 38 Measures in feet and inches. For surveyors and real estate agents.,City of Toronto,< 2 hours ago,2020-10-07 18:04:05.958594
1528466257,/v-hand-tool/city-of-toronto/brand-new-swisstech-utiliti-key/1528466257,20.0,Brand new- Swisstech utiliti key,,"Brand new- Swisstech utiliti key Comes with case Handy tool. - knife , screwdriver etc Never used",City of Toronto,< 3 hours ago,2020-10-07 18:04:05.959080
1528462279,/v-hand-tool/city-of-toronto/ridgid-pipe-strap-wrenches/1528462279,45.0,Ridgid pipe strap wrenches,,"Aluminum handle, as seen in picture, $45 each",City of Toronto,< 3 hours ago,2020-10-07 18:04:05.959574
