,url,price,title,distance,description,location,time_offset,retreived
1528475233,/v-headphones/city-of-toronto/bose-soundsport-wireless-headphones-in-excellent-condition/1528475233,80.0,Bose soundsport wireless headphones in excellent condition,,in excellent condition can pick up in yonge&finch please text 416-825-3668,City of Toronto,< 40 minutes ago,2020-10-07 17:33:10.347388
1528472747,/v-headphones/city-of-toronto/brand-new-sony-wh1000xm3-wireless-noise-cancelling-headphones/1528472747,400.0,Brand New SONY WH1000XM3 Wireless Noise Cancelling Headphones,,"I was given these, but I'm not really a big headphones guy. I did open them, but they have never been worn so basically brand new. These are pretty much the best wireless nose cancelling headphones ...",City of Toronto,< 54 minutes ago,2020-10-07 17:33:10.347889
1528471443,/v-headphones/city-of-toronto/jbl-under-armour-true-wireless-flash-earbuds-new/1528471443,180.0,JBL - UNDER ARMOUR TRUE WIRELESS FLASH EARBUDS (NEW),,JBL - UNDER ARMOUR TRUE WIRELESS FLASH EARBUDS (NEW) Check Out Our Other Listings We Are A Liquidation Warehouse Store Open Monday To Friday 11AM to 8PM CLOSED Weekends Contact Peter (416) 821-6222 ...,City of Toronto,< 2 hours ago,2020-10-07 17:33:10.348630
1528470500,/v-headphones/city-of-toronto/brand-new-sealed-airpods/1528470500,190.0,Brand new SEALED Airpods,,Brand new in box. I purchased a imac with the back to school sale with Apple and received these headphones with it. I have no need for it as I already have headphones.,City of Toronto,< 2 hours ago,2020-10-07 17:33:10.349113
1528468802,/v-headphones/city-of-toronto/usb-c-to-headphone-jack/1528468802,10.0,USB C to headphone jack,,Works great 20$ new on amazon,City of Toronto,< 2 hours ago,2020-10-07 17:33:10.349596
1528468262,/v-headphones/city-of-toronto/airpods-with-wireless-charging-case-and-cute-case/1528468262,150.0,AirPods with Wireless Charging Case (and cute case),,"Bought directly from Apple. Taken very good care of it. 10/10 condition, pretty neat and clean. Comes with the Wireless Charging Case and brand-new cable accessories in original packaging. H1 chip ...",City of Toronto,< 2 hours ago,2020-10-07 17:33:10.350080
1528465839,/v-headphones/city-of-toronto/treblab-wireless-earbuds/1528465839,20.0,Treblab wireless earbuds,,Treblab wireless earbuds with travel case,City of Toronto,< 2 hours ago,2020-10-07 17:33:10.350565
1528464705,/v-headphones/city-of-toronto/beats-studio-3-wireless-brand-new-sealed-box/1528464705,300.0,Beats Studio 3 Wireless (Brand New SEALED BOX),,"Brand new, never opened, sealed box Beats Studio 3 Wireless in the “Defiant Black/Red” colour-way. Retails for $399 + tax (see last picture) If ad is still up, the item is still available.",City of Toronto,< 2 hours ago,2020-10-07 17:33:10.351047
1528464698,/v-headphones/city-of-toronto/archeer-wireless-earbuds/1528464698,20.0,Archeer Wireless Earbuds,,Archeer wireless earbuds great condition. Pickup as soon as today!!,City of Toronto,< 2 hours ago,2020-10-07 17:33:10.351571
1528463025,/v-headphones/city-of-toronto/sony-wh-h900n-h-ear-on-2-wireless-noise-cancelling-headphones/1528463025,180.0,Sony WH-H900N h.ear on 2 Wireless Noise-Cancelling Headphones,,"WH-H900N h.ear on 2 Wireless Noise-Cancelling Headphones Used for a couple weeks sparingly, no issues whatsoever, excellent condition. Comes with original box and accessories carrying bag box (I ...",City of Toronto,< 2 hours ago,2020-10-07 17:33:10.352067
1528462470,/v-headphones/city-of-toronto/bose-soundsport-wireless-brand-new/1528462470,110.0,BOSE SOUNDSPORT WIRELESS (BRAND NEW),,BOSE SOUNDSPORT WIRELESS (BRAND NEW) Check Out Our Other Listings We Are A Liquidation Warehouse Store Open Monday To Friday 11AM to 8PM CLOSED Weekends Contact Peter (416) 821-6222 FACEBOOK PAGE: ...,City of Toronto,< 2 hours ago,2020-10-07 17:33:10.352770
1528459388,/v-headphones/city-of-toronto/airpods-2nd-gen-sealed/1528459388,180.0,"AirPods 2nd gen, sealed",,Brand new AirPods that came with my laptop. Factory sealed,City of Toronto,< 3 hours ago,2020-10-07 17:33:10.353268
1528458726,/v-headphones/city-of-toronto/selling-beats-studio-3-skyline-edition-with-case-box/1528458726,180.0,Selling Beats Studio 3 | Skyline Edition | With Case + Box,,I am selling the Beats Studio 3 over-ear headphones. This is the Skyline Edition. I bought these a year ago. It comes with the original box and case. It also comes with the original charging cable ...,City of Toronto,< 3 hours ago,2020-10-07 17:33:10.353756
1528457205,/v-headphones/city-of-toronto/sony-wh1000mx3-bluetooth-headphones/1528457205,320.0,Sony wh1000mx3 Bluetooth headphones,,Like new in box. Used a handful of times but have airpods and don't have a use for them anymore. Asking $320,City of Toronto,< 3 hours ago,2020-10-07 17:33:10.354309
1528456031,/v-headphones/city-of-toronto/sennheiser-4-5btnc-se/1528456031,140.0,Sennheiser 4.5BTNC SE,,Selling as I never really used these. In excellent condition. All cables/docs/bag that came with are included.,City of Toronto,< 3 hours ago,2020-10-07 17:33:10.354801
1528452997,/v-headphones/city-of-toronto/beats-studio-3-black/1528452997,175.0,Beats Studio 3 - Black,,"Beats Studio 3 available- in immaculate condition. Includes: Beats Original Carrying Case Charger Wired Cable I do not have the original box for the Beats, Please contact (647)571-7672 for more ...",City of Toronto,< 3 hours ago,2020-10-07 17:33:10.355297
1528452577,/v-headphones/city-of-toronto/apple-headphones/1528452577,30.0,Apple Headphones,,"Apple Headphones Brand New in Box Aux port Version (iPhone 7 or newer) Call/ text 6478030720 or reply to ad if interested Can meet in Bowmanville, Oshawa, Whitby, Ajax, Pickering, Scarborough, North ...",City of Toronto,< 3 hours ago,2020-10-07 17:33:10.355785
1528451026,/v-headphones/city-of-toronto/beats-studio-3/1528451026,230.0,Beats Studio 3,,"I am wanting to sell these BEATS STUDIO 3 headphones. The regular price at the store is $399.00 and I got these around April and barely used them, just two times as the wires are still in the package ...",City of Toronto,< 3 hours ago,2020-10-07 17:33:10.356269
1528450391,/v-headphones/city-of-toronto/beats-studio-3-wireless-headphones-bnib-275/1528450391,285.0,Beats Studio 3 Wireless Headphones (BNIB) $275,,"Brand New in the Box, Never Opened. Plastic still on box. COLOR- Black Serious inquiries only. Message for details",City of Toronto,< 3 hours ago,2020-10-07 17:33:10.356756
1528449720,/v-headphones/city-of-toronto/spider-man-emoji-headphones/1528449720,20.0,Spider-Man & Emoji Headphones,,BNIB $20 each or $30 for both,City of Toronto,< 3 hours ago,2020-10-07 17:33:10.357296
1528444978,/v-headphones/city-of-toronto/xbox-one-lvl50-wireless-stereo-gaming-headset-for-xbox-windows/1528444978,55.0,Xbox One LVL50 Wireless Stereo Gaming Headset for Xbox/ Windows,,"$55: used, like new Return accepted if any issue. Play at the top of your game with dynamic 50mm High-Definition stereo drivers for clear and balanced sound Flexible, noise-cancelling mic with ...",City of Toronto,< 4 hours ago,2020-10-07 17:33:10.357781
1528444617,/v-headphones/city-of-toronto/sony-wh-ch400-wireless-headphones-blue-whch400-new-open-box/1528444617,59.0,"Sony WH-CH400 Wireless Headphones, Blue (WHCH400), new open box",,$59: New opened box Brand: Sony Connections: Bluetooth; NFC Model Name: WH-CH400 Colour: Blue Headphones Jack: Micro USB About this item: Enjoy high-quality sound from Wireless headphones. Get up to ...,City of Toronto,< 4 hours ago,2020-10-07 17:33:10.358269
1528444415,/v-headphones/city-of-toronto/richbass-pc35-gaming-gear-pc-ps4-and-xbox-new-opened-box/1528444415,59.0,"RICHBASS PC35 gaming gear, PC, PS4 and Xbox, New opened box",,"$59: This is new opened box. Return accepted if any issue. RICHBASS PC35 gaming gear, PC, PS4 and Xbox, New opened box",City of Toronto,< 4 hours ago,2020-10-07 17:33:10.358757
1528444344,/v-headphones/city-of-toronto/beats-by-dre-solo-3/1528444344,150.0,Beats by Dre solo 3,,Like bee. Comes with pouch.,City of Toronto,< 4 hours ago,2020-10-07 17:33:10.359244
1528443730,/v-headphones/city-of-toronto/jbl-tune-500-wireless-bluetooth-headphones-black-new-open-box/1528443730,60.0,"JBL Tune 500 Wireless Bluetooth Headphones - Black, New open box",,$60: New opened box Brand: JBL Connections: Bluetooth Model Name: JBL TUNE 500BT - black Colour: Black Headphones Jack: Wireless About this item Ethernet dataline surge protection Ups replacement ...,City of Toronto,< 4 hours ago,2020-10-07 17:33:10.359741
1528442921,/v-headphones/city-of-toronto/audio-technica-onear-high-resolution-wired-audio-headphones-new/1528442921,69.0,"Audio-Technica OnEar High-Resolution Wired Audio Headphones, NEW",,"$69: New opened box Audio-Technica ATH-SR5BK On-Ear High-Resolution Wired Audio Headphones, Black, New Brand: Audio-Technica ATH-SR5BK Connections: Wired Colour: Black Headphones Form Factor: On Ear ...",City of Toronto,< 4 hours ago,2020-10-07 17:33:10.360225
1528442867,/v-headphones/city-of-toronto/sealed-power-beats-3/1528442867,160.0,Sealed Power Beats 3,,Brand new Unopened wirless (black) earphones,City of Toronto,< 4 hours ago,2020-10-07 17:33:10.360717
1528438023,/v-headphones/city-of-toronto/skullcandy-push-ultra-true-wireless-in-ear-new-opened-box/1528438023,79.0,"Skullcandy Push Ultra True Wireless In-Ear, New opened box",,$79: New opened box. Totally wireless earbuds built with one thing in mind: adventure. Push Ultra™ unlocks your maximum potential with all the features you need to be free—and fearless. • True ...,City of Toronto,< 4 hours ago,2020-10-07 17:33:10.361658
1528437281,/v-headphones/city-of-toronto/jbl-t700bt-black-used-looks-new-and-clean/1528437281,79.0,"JBL T700BT Black, used looks new and clean",,"• JBL Pure Bass Sound For over 70 years, JBL has engineered the precise, impressive sound found in big venues around the world. These headphones reproduce that same JBL sound, punching out bass ...",City of Toronto,< 4 hours ago,2020-10-07 17:33:10.362161
1528435805,/v-headphones/city-of-toronto/audio-technica-ath-m50x-professional-studio-monitor-headphones/1528435805,130.0,Audio-Technica ATH-M50x Professional Studio Monitor Headphones,,Amazing sound Comes with two cables Only some wear and tear on the padding price $130 (retail $170),City of Toronto,< 4 hours ago,2020-10-07 17:33:10.362651
1528435545,/v-headphones/city-of-toronto/apple-airpods-pro-bnib/1528435545,285.0,Apple AirPods Pro BNIB,,Pair of AirPods Pro brand new in box. Asking $285 firm.,City of Toronto,< 5 hours ago,2020-10-07 17:33:10.363170
1528434532,/v-headphones/city-of-toronto/jbl-t700bt-black-brand-new-in-opened-box-firm/1528434532,80.0,"JBL T700BT Black, Brand new, in opened box, FIRM",,"$80: FIRM: Never been used, opened box. • 27H battery life Listen wirelessly for 27 hours. Recharge the battery quickly in 5 minutes to gain 2 more hours of fun. • Hands-free calls and Voice ...",City of Toronto,< 5 hours ago,2020-10-07 17:33:10.363679
