,url,price,title,distance,description,location,time_offset,retreived
1528346060,/v-health-special-needs/city-of-toronto/brand-new-gold-standard-whey-protein-powder-5-lbs-2-27-kg/1528346060,60.0,*BRAND NEW* Gold Standard Whey Protein Powder 5 Lbs (2.27 KG),,Selling a brand new sealed tub of Gold Standard Whey protein powder for $60 - French Vanilla Flavour - 5 Lbs (2.27 KG) size tub DM for more information.,City of Toronto,< 5 minutes ago,2020-10-07 00:05:24.850939
1528345789,/v-health-special-needs/city-of-toronto/hifu-ultrasound-face-and-neck-tightening/1528345789,1900.0,HIFU ultrasound  face and neck tightening,,Brand new System for face n next tightening,City of Toronto,< 11 minutes ago,2020-10-07 00:05:24.851511
1528345786,/v-health-special-needs/city-of-toronto/ray-ban-sunglass-lenses-2132-3016-3362-4033-4151-8301/1528345786,30.0,RAY BAN Sunglass Lenses 2132 3016 3362 4033 4151 8301,,Offered here are authentic Ray-Ban replacement lenses for the following models - 2132 (New Wayfarer size 52 55 58mm) 30$ 3016 (Clubmaster 49 and 51mm) 40$ 4033 Predator 40$ 4151 (59mm) 40$ 3362 / ...,City of Toronto,< 11 minutes ago,2020-10-07 00:05:24.852005
1496554424,/v-health-special-needs/city-of-toronto/n99-reusable-filter-mask/1496554424,19.99,N99 REUSABLE FILTER MASK,,VISIT https://www.sunsircanada.com/products/style-03-3khw4 MORE INFORMATION ON SITE I am the owner of the site. We will deliver the products directly to your doorstep for FREE. It is best if the ...,City of Toronto,< 21 minutes ago,2020-10-07 00:05:24.852569
1515379044,/v-health-special-needs/city-of-toronto/hoyer-advance-lift-340-brand-new-toronto-on/1515379044,2000.0,"Hoyer Advance Lift 340 (Brand New) Toronto,ON",,Hoyer advance 340 lift (Almost New) comes with medium size sling. Would be best if you could pick it up. Contact me to dicuss shipping See https://www.joerns.com/products/hoyer-advance/ for ...,City of Toronto,< 21 minutes ago,2020-10-07 00:05:24.853120
1528344491,/v-health-special-needs/city-of-toronto/face-mask-100-3-ply-pure-cotton-free-shipping-pickup/1528344491,6.0,Face Mask 100% 3-Ply Pure Cotton (Free shipping & Pickup),,"100% Pure Cotton Mask with built in filter. 3 ply for extra protection.Non-medical, Washable and Reusable. Ear straps also made of pure cotton. Free Shipping through Canada. Also supplying ...",City of Toronto,< 40 minutes ago,2020-10-07 00:05:24.853614
1528344218,/v-health-special-needs/city-of-toronto/dirmark-nitrile-powder-free-disposable-gloves-for-sale-freegift/1528344218,19.99,DIRMARK Nitrile Powder-Free Disposable Gloves for sale+ FreeGift,,"1 Free gift with any order of $10 or more. Make your choice on picture 2. 1. DIRMARK Nitrile Powder-Free Disposable Gloves for various applications, popularly used in the Printing & Bindery, and Food ...",City of Toronto,< 45 minutes ago,2020-10-07 00:05:24.854100
1515576494,/v-health-special-needs/city-of-toronto/non-medical-kn95-20pc/1515576494,9.99,Non Medical KN95 20pc,,We are offering Non Medical Mask Disposable Face Mask 3Ply 50pc 9.99 KN95 5Ply 20pc 16.99 For same day Delivery 5 Dollar Extra and if order is more than 35 than free. With 2 Day Free Delivery in GTA ...,City of Toronto,< 59 minutes ago,2020-10-07 00:05:24.854601
1528343190,/v-health-special-needs/city-of-toronto/face-mask-very-good-quality-wholesale-price/1528343190,4.25,FACE MASK VERY GOOD QUALITY & WHOLESALE PRICE,,FACE MASK-DISPOSABLE 3 PLY (FDA & ISO CERTIFIED) ▪50 Pieces in a box ▪3 layers protection design. ▪Super soft and painless ear hook design makes the belt more comfortable. ▪More than 99% of bacteria ...,City of Toronto,< 2 hours ago,2020-10-07 00:05:24.855093
1528343063,/v-health-special-needs/city-of-toronto/medical-bathroom-safety-shower-tub-bench-chair-with-back/1528343063,35.0,Medical bathroom safety shower tub bench chair with back,,"Almost new one Used few time,very clean Pick up at bathurst and finch Excellent condition",City of Toronto,< 2 hours ago,2020-10-07 00:05:24.855581
1528342459,/v-health-special-needs/city-of-toronto/sea-moss-and-herbal-remedies/1528342459,20.0,Sea moss and herbal remedies,,Sea moss gel and other herbal remedies avail Certified in herbal energetics Elder berry syrup Elderberry seamoss gel Parasite cleanse Colon cleanse Pineal gland cleans plus more Over 100 herbs in ...,City of Toronto,< 2 hours ago,2020-10-07 00:05:24.856065
