,url,price,title,distance,description,location,time_offset,retreived
1528448343,/v-heating-cooling-air/city-of-toronto/air-conditioner-fill-up-49/1528448343,2349.0,Air Conditioner Fill-up - $49,,Don’t pay crazy amounts of money by upgrading your old air conditioner when most problems are solved with a simple Freon or coolant fill up. Call us for an Air Conditioner visit for only $49 All our ...,City of Toronto,< 3 hours ago,2020-10-07 16:45:14.386821
1528448034,/v-heating-cooling-air/city-of-toronto/construction-furnaces-goodman-and-bryant/1528448034,300.0,Construction furnaces - Goodman and bryant,,"Two furnaces for sale. Save your furnace from dust and debris during construction. No need for space heaters. Bought last season for $800. Approximately 40,000 BTUs each Gas powered Pickup near Pape ...",City of Toronto,< 3 hours ago,2020-10-07 16:45:14.387324
1528433936,/v-heating-cooling-air/city-of-toronto/wifi-radio-thermostat-ct50-wireless-thermostat-with-wifi/1528433936,89.0,Wifi Radio Thermostat CT50 Wireless Thermostat With Wifi,,"$89: New in box, Please do your google research as I know nothing about thermostat. Make/Model: CT50, RTMV-01 Radio Thermostat WIFI Internet Enabled 7 Day Programmable Thermostat",City of Toronto,< 4 hours ago,2020-10-07 16:45:14.388018
1528400323,/v-heating-cooling-air/city-of-toronto/industrial-garage-heater-4800w-240v/1528400323,50.0,Industrial / Garage Heater 4800W / 240V.,,Industrial / Garage Heater 4800W / 240V. $50 each,City of Toronto,< 7 hours ago,2020-10-07 16:45:14.389085
1528392646,/v-heating-cooling-air/city-of-toronto/baseboard-radiators-in-working-condition/1528392646,150.0,Baseboard Radiators in working condition,,I'm selling 4 baseboard radiators in working condition. They were replaced with new modern European radiators. Baseboard rads 9 width 1x 90 lenght 1x 73 Lenght 2x 48 Lenght Delivery and installation ...,City of Toronto,< 7 hours ago,2020-10-07 16:45:14.389567
1528391710,/v-heating-cooling-air/city-of-toronto/8x-baseboard-heaters-240-volt/1528391710,150.0,8x Baseboard heaters 240 volt,,8x Baseboard heaters 240 volt Only used for one season.,City of Toronto,< 7 hours ago,2020-10-07 16:45:14.390051
1528391098,/v-heating-cooling-air/city-of-toronto/ductless-air-conditioner/1528391098,500.0,Ductless air Conditioner,,2 Wall mount ductless air conditioners fujitsu : $350 Comfortstar : $300 Both for $500,City of Toronto,< 7 hours ago,2020-10-07 16:45:14.390539
1528386808,/v-heating-cooling-air/city-of-toronto/fan-ventilator-aireshare-as1-2-room-hardwired-brand-new/1528386808,80.0,Fan Ventilator AireShare AS1 2 Room Hardwired / BRAND NEW,,BRAND NEW IN SEALED MFG PACKAGING / NEVER EVER USED / NEVER EVER INSTALLED ($80.00) – NO NEGOTIATIONS or DISCUSSIONS - PRICE IS FIRM - NO OFFERS ACCEPTED PLEASE REPLY WITH YOUR CONTACT PHONE NUMBER ...,City of Toronto,< 8 hours ago,2020-10-07 16:45:14.391127
1528382370,/v-heating-cooling-air/city-of-toronto/amaircare-hepa-350-whisper-for-sale/1528382370,995.0,Amaircare hepa  350 whisper for sale,,Available in stock yes . Location for pick up Brimley and lewrence Price $995 cash or etransfer. Installation kit no Unit only If u interested plz contact by email thank you,City of Toronto,< 8 hours ago,2020-10-07 16:45:14.391625
1528373175,/v-heating-cooling-air/city-of-toronto/high-efficiency-goodman-furnace-a-c-special-prices-other-brand/1528373175,1536.0,HIGH-EFFICIENCY GOODMAN FURNACE & A/C SPECIAL PRICES OTHER BRAND,,"ATTN: ALL INFORMATION INCLUDING PRICES OF (I) FURNACES, (II) AIR CONDITIONERS, INSTALLATION COST AND CONTACT INFORMATION IS ON THIS PAGE! PLS KEEP READING & IF YOU DO NOT SEE THE MODEL OR BRAND YOU ...",City of Toronto,< 9 hours ago,2020-10-07 16:45:14.392308
1528372778,/v-heating-cooling-air/city-of-toronto/premium-quality-high-efficiency-furnace-a-c-install-rebate/1528372778,1494.0,PREMIUM QUALITY HIGH EFFICIENCY FURNACE & A/C+INSTALL+REBATE,,ARE YOU LOOKING FOR PREMIUM BRANDS LIKE CARRIER OR LENNOX THEN ASK US TO QUOTE YOU (CALL 647-946-8232) CHECK OUR SPECIAL PRICES ON YORK FURNACES AND AIR CONDITIONERS (SEE ALL PRICES HEREAFTER). ASK ...,City of Toronto,< 9 hours ago,2020-10-07 16:45:14.392791
1528371861,/v-heating-cooling-air/city-of-toronto/residential-commercial-boilers-sale-financing-rto-rental/1528371861,89.99,"RESIDENTIAL & COMMERCIAL BOILERS. SALE, FINANCING, RTO, RENTAL",,"RESIDENTIAL & COMMERCIAL BOILERS. SALE, FINANCING, RTO, RENTAL We exclusively sell and install the most dependable and pioneering boilers in the industry (Navien, NTI, Weil Mclain, Noritz), so you ...",City of Toronto,< 9 hours ago,2020-10-07 16:45:14.393464
1528369870,/v-heating-cooling-air/city-of-toronto/high-efficiency-furnace-a-c-tankless-rent-to-own-bad-credit/1528369870,29.99,"HIGH EFFICIENCY FURNACE, A/C, TANKLESS> RENT-TO-OWN - BAD CREDIT",,"CONVENIENT RENT-TO-OWN PROGRAM OF HIGH EFFICIENCY HVAC EQUIPMENT(FURNACE, A/C, TANKLESS) STARTING AT $29.99/MONTH+HST. + STANDARD INSTALLATION INCLUDED. + FULL RENTAL SERVICES, COMPREHENSIVE PARTS ...",City of Toronto,< 9 hours ago,2020-10-07 16:45:14.394133
1528367226,/v-heating-cooling-air/city-of-toronto/air-conditioner-limited-offer-installed-25/1528367226,2199.0,Air Conditioner Limited Offer Installed - $25,,Payne/Carrier Air Conditioner and Coil installed starting from$25/Month plus tax with $0 Down Open Finance (Special Pricing) comes with 10-year warranty All sizes available All our technicians are ...,City of Toronto,< 10 hours ago,2020-10-07 16:45:14.394612
