,url,price,title,distance,description,location,time_offset,retreived
1528473180,/v-hobbies-craft/city-of-toronto/wine-making-20-litre-damigiani-demijohns-20-each/1528473180,20.0,Wine making 20 Litre Damigiani / Demijohns $20 EACH,,"Wine making 20 Litre Damigiani / Demijohns - $20 EACH - see photos If you are viewing this ad, then the item is STILL available.",City of Toronto,< 8 minutes ago,2020-10-07 16:49:36.495931
1528472037,/v-hobbies-craft/city-of-toronto/1-18-hot-wheels-super-elite-ferrari-f430/1528472037,250.0,1/18 HOT WHEELS SUPER ELITE FERRARI F430,,"Will consider trade for Elite LaFerrari or Ferrari F12, NEVER REMOVED FROM BOX Stored since purchased in a smoke free and pet free home. Picture is of actual item being sold. Many pictures for buyer ...",City of Toronto,< 15 minutes ago,2020-10-07 16:49:36.496504
1528466463,/v-hobbies-craft/city-of-toronto/flash-forge-creator-pro/1528466463,400.0,Flash Forge Creator Pro,,Flash Forge Creator Pro purchased around 2018 - amazon link: https://www.amazon.ca/FlashForge-Structure-Optimized-Platform-Extruder/dp/B00I8NM6JO Mainly used for ABS printing. Tac surface removed and ...,City of Toronto,< 45 minutes ago,2020-10-07 16:49:36.497180
1528466045,/v-hobbies-craft/city-of-toronto/1:18-hot-wheels-super-elite-ferrari-enzo-fxx/1528466045,420.0,1:18 Hot Wheels Super Elite Ferrari Enzo FXX,,Stored since purchased in a smoke free and pet free home. Picture is of actual item being sold. Many pictures for buyer to confirm condition. Please see my other upcoming listings as I will be ...,City of Toronto,< 48 minutes ago,2020-10-07 16:49:36.497661
1528464180,/v-hobbies-craft/city-of-toronto/chocolate-gifts-for-any-occassion/1528464180,40.0,Chocolate Gifts for any occassion,,Halloween is almost approaching and due to pandemic social gathering to Trick-or-Treat is cancelled for the kids. Treat your loved one's with this meaningful Unique gift to keep their spirits up. ...,City of Toronto,< 57 minutes ago,2020-10-07 16:49:36.498146
1528463786,/v-hobbies-craft/city-of-toronto/black-felt-textured-craft-film/1528463786,18.49,Black Felt-Textured Craft Film,,"Just in time for #Halloween! Our lowest price ever on Black Felt-Textured Craft Film with Peel-and-Stick Adhesive, great for decorating many flat surfaces. Paper-Backed for ease of measurement and ...",City of Toronto,< 59 minutes ago,2020-10-07 16:49:36.498628
1528463758,/v-hobbies-craft/city-of-toronto/tau-warhammer-40k-riptide-new-in-box/1528463758,115.0,Tau warhammer 40K riptide new in box,,Brand new riptide didn’t realize I wouldn’t need. Interested in money or trade offers.,City of Toronto,< 59 minutes ago,2020-10-07 16:49:36.499090
1528461411,/v-hobbies-craft/city-of-toronto/salt-water-live-corals/1528461411,500.0,Salt water live corals,,Pic #1 Right - Acan Middle - War coral Left - Lepto Take ALL for $500,City of Toronto,< 2 hours ago,2020-10-07 16:49:36.499580
1528460859,/v-hobbies-craft/city-of-toronto/grape-crusher-like-new/1528460859,100.0,Grape crusher like new,,Nice grape pressure looks like new,City of Toronto,< 2 hours ago,2020-10-07 16:49:36.500066
1528459021,/v-hobbies-craft/city-of-toronto/new-bottles-of-wine-empty-white-and-red/1528459021,5.0,New bottles of wine empty  white and red,,Cases of 12 bottles of wine new white and red $5 per case As many as you want If the ad is up still available,City of Toronto,< 2 hours ago,2020-10-07 16:49:36.500546
