,url,price,title,distance,description,location,time_offset,retreived
1528230840,/v-hockey/city-of-toronto/bauer-supreme-180-junior-skates-5-5ee/1528230840,60.0,Bauer Supreme 180 Junior Skates 5.5EE,,Good condition. High end skates. Pickup at Donmills and Steeles.,City of Toronto,< 3 minutes ago,2020-10-06 11:55:14.349530
1528225438,/v-hockey/city-of-toronto/bauer-supreme-180-6d-senior-skates/1528225438,70.0,Bauer Supreme 180 6D Senior Skates,,Good condition. Pickup at Donmills and Steeles.,City of Toronto,< 31 minutes ago,2020-10-06 11:55:14.350031
1528221124,/v-hockey/city-of-toronto/graphite-composite-right-62-ich-tall-hockey-sticks/1528221124,90.0,GRAPHITE COMPOSITE RIGHT 62 ICH TALL HOCKEY STICKS,,GRAPHITE COMPOSITE RIGHT 62 INCH TALL HOCKEY STICKS LINNEX WARRIOR GRAPHITE COMPOSITE TEENS Standing straight up these 3 Brand New Ultra light Sticks stand 62 inches tall. All 3 for below cost at ...,City of Toronto,< 52 minutes ago,2020-10-06 11:55:14.350525
1263382339,/v-hockey/city-of-toronto/ccm-super-tacks/1263382339,25.0,CCM SUPER TACKS,,"Well used, size 10. Still plenty of sharpenings left in the blades. Pick up only, will not ship. See my other ads for more interesting and useful items.",City of Toronto,< 2 hours ago,2020-10-06 11:55:14.351033
1263384912,/v-hockey/city-of-toronto/bauer-chargers/1263384912,20.0,BAUER CHARGERS,,"Size 10, lightly used. Blades are good. Pick up only, will not ship. See my other ads for more interesting and useful items.",City of Toronto,< 2 hours ago,2020-10-06 11:55:14.351524
1528216060,/v-hockey/city-of-toronto/boys-red-hockey-helmet/1528216060,5.0,Boys Red Hockey Helmet,,Small 53.5-57 cm,City of Toronto,< 2 hours ago,2020-10-06 11:55:14.352016
600973411,/v-hockey/city-of-toronto/stanley-cup-door-mural-new/600973411,25.0,STANLEY CUP DOOR MURAL -- NEW,,"BRAND NEW STANLEY CUP DOOR MURAL  Brand new HUGE 7 feet x 2.5 feet FULL SIZE banner of the ""STANLEY CUP ""   HANGS ON ANY DOOR -- NO NAILS NO DRILLING NEEDED   COMES COMPLETE WITH THREE (3) DOOR ...",City of Toronto,< 3 hours ago,2020-10-06 11:55:14.352528
1528190157,/v-hockey/city-of-toronto/matt-murray-jersey/1528190157,120.0,Matt Murray Jersey,,Matt Murray Reebok premier jersey. Size small. Used but good condition. $120.,City of Toronto,< 4 hours ago,2020-10-06 11:55:14.353021
1479037547,/v-hockey/city-of-toronto/scotia-hockey-water-bottles/1479037547,20.0,Scotia Hockey Water Bottles,,Never used brand new hockey water bottles. Comes with all 6 bottles and the foldable holder. Everything in great condition. Smoke and pet free home. Pick up in Etobicoke,City of Toronto,< 4 hours ago,2020-10-06 11:55:14.353518
1528184914,/v-hockey/city-of-toronto/tall-hockey-stick/1528184914,15.0,Tall hockey stick...,,Selling a tall hockey stick I'm 6'3 and this was used for my height When I used to play hockey at school.. For $15.00 No low offers Text only: 647-927-3028 Pickup only In markham...,City of Toronto,< 5 hours ago,2020-10-06 11:55:14.354009
1506924795,/v-hockey/city-of-toronto/easton-hockey-skates-synergy-500-sd-size-6-5-d/1506924795,40.0,Easton hockey skates synergy 500 SD size 6.5 D,,Used for half season Lots of blade,City of Toronto,< 5 hours ago,2020-10-06 11:55:14.354863
1528175223,/v-hockey/city-of-toronto/reebok-xt-pro-ice-hockey-skates-size-6-d-sr-7-5/1528175223,80.0,Reebok XT PRO Ice Hockey Skates Size 6 D Sr / 7.5,,Pretty much brand new. Worn for a pleasure skate once then never worn again. Skate size 6 D / shoe size 7.5. Selling for $80. Pickup at Coxwell and Gerrard.,City of Toronto,< 6 hours ago,2020-10-06 11:55:14.355397
1528161128,/v-hockey/city-of-toronto/toronto-st-pats-fanatics-jersey-size-small/1528161128,120.0,Toronto St. Pats Fanatics jersey- Size Small,,"Brand new, never worn Toronto St. Pats fanatics jersey. Back is blank (no player name/number) Size small. Tags still attached as seen in photos. Original price $150 plus tax, selling for $120 Meet up ...",City of Toronto,< 13 hours ago,2020-10-06 11:55:14.355893
1528160771,/v-hockey/city-of-toronto/pittsburgh-penguins-mario-lemieux-adidas-hero-s-of-hockey-jersey/1528160771,180.0,Pittsburgh Penguins Mario Lemieux Adidas Hero’s of Hockey Jersey,,"Brand new Pittsburgh Penguins Mario Lemieux Adidas Special Edition-Hero’s of Hockey jersey from 1989. Size 42 (medium) Original price $250, selling for $180. Meet up in Pickering.",City of Toronto,< 13 hours ago,2020-10-06 11:55:14.356393
1434697534,/v-hockey/city-of-toronto/jonathan-toews-jersey/1434697534,25.0,Jonathan Toews Jersey,,"Jonathan Toews Large Chicago Black Hawks Jersey 4"" x 8"" Plaqued Picture of Toews 8"" x 10"" Picture 3D of Toews ALL 3 Jonathan Toews Items for $25 Please note, this is NOT an official jersey",City of Toronto,< 14 hours ago,2020-10-06 11:55:14.356890
1528148933,/v-hockey/city-of-toronto/bauer-vapor-skates/1528148933,30.0,Bauer Vapor Skates,,"Bauer Vapor Skates Skate size 1, Shoe size 2",City of Toronto,< 15 hours ago,2020-10-06 11:55:14.357397
1528148148,/v-hockey/city-of-toronto/bauer-vapor-x20-men-7-5d-skates/1528148148,40.0,Bauer Vapor X20 men 7.5D skates,,Used Bauer Vapor X20 men 7.5D skates. $40.00,City of Toronto,< 15 hours ago,2020-10-06 11:55:14.357891
1528144577,/v-hockey/city-of-toronto/jaromir-jagr-hockey-stick-25/1528144577,25.0,JAROMIR JAGR HOCKEY STICK $25!,,New KOHO stick Right-handed,City of Toronto,< 15 hours ago,2020-10-06 11:55:14.358402
1528144425,/v-hockey/city-of-toronto/joe-sakic-hockey-stick-25/1528144425,25.0,JOE SAKIC HOCKEY STICK $25!,,New Easton Stick Right-handed,City of Toronto,< 15 hours ago,2020-10-06 11:55:14.358907
1528144346,/v-hockey/city-of-toronto/joe-sakic-hockey-stick-25/1528144346,25.0,JOE SAKIC HOCKEY STICK $25!,,New Easton Stick Right-handed,City of Toronto,< 15 hours ago,2020-10-06 11:55:14.359402
