,url,price,title,distance,description,location,time_offset,retreived
1528040205,/v-holiday-event-seasonal/city-of-toronto/7-5-ft-prelit-xmas-tree/1528040205,200.0,7.5 ft prelit Xmas tree,,New in sealed box Will sell for $200.00 Or go to a store and pay $400.00 My price is better,City of Toronto,< 4 hours ago,2020-10-05 14:59:38.920995
1528035748,/v-holiday-event-seasonal/city-of-toronto/christmas-lights/1528035748,120.0,Christmas lights,,14 projector lights/9 roll Christmas lights never been used,City of Toronto,< 4 hours ago,2020-10-05 14:59:38.921558
1528025902,/v-holiday-event-seasonal/city-of-toronto/manzanita-tree-centerpiece-with-crystals-and-artificial-orchids/1528025902,65.0,Manzanita tree centerpiece with crystals and artificial orchids,,Manzanita tree centerpiece 3 feet tall with crystals and artificial orchids (fresh flowers not included). Good for wedding venue decoration. $65 each or $500 for ten centerpieces,City of Toronto,< 5 hours ago,2020-10-05 14:59:38.922114
1528024311,/v-holiday-event-seasonal/city-of-toronto/handmade-natural-wood-vase-fibreglass-lining-unbreakable-25/1528024311,140.0,"Handmade natural wood vase, fibreglass lining. Unbreakable. 25”",,"Amazing hand made vase with natural ,perfect for house and event decoration. Unbreakable. Good for fresh or artificial flowers. Nice floor vase for the corner of the house. $140",City of Toronto,< 5 hours ago,2020-10-05 14:59:38.922666
1528023033,/v-holiday-event-seasonal/city-of-toronto/square-mirror-mosaic-ceramic-vase-5-x5/1528023033,7.0,Square  mirror mosaic ceramic vase. 5”x5”,,Square mirror mosaic ceramic vase good for wedding flowers centrepieces. For fresh flower arrangement inside plastic cover required and also included. Minimum order 10 vases for $70.,City of Toronto,< 5 hours ago,2020-10-05 14:59:38.923220
1477885065,/v-holiday-event-seasonal/city-of-toronto/things-you-do-that-piss-me-off-notepad-tear-off-pad/1477885065,3.0,"""Things you do that piss me off"" notepad/tear off pad",,Things you do that piss me off notepad 60 sheets. Mark appropriate boxes Sheets are large - 6 x 9 Highlighter is for size reference.. Recipients will appreciate the feedback.,City of Toronto,< 6 hours ago,2020-10-05 14:59:38.923774
1528012338,/v-holiday-event-seasonal/city-of-toronto/multiple-aloe-vera-plants-in-7-ceramic-pot-with-saucers/1528012338,39.0,Multiple aloe Vera plants in 7” ceramic pot with saucers,,"Favourite houseplant.perfect for house, office, school. Medicinal plant. Easy to take care, no extra effort required, just occasional watering. 7” beautiful ceramic pot come with saucer attached, ...",City of Toronto,< 6 hours ago,2020-10-05 14:59:38.924324
1528006283,/v-holiday-event-seasonal/city-of-toronto/twig-christmas-tree-with-lights/1528006283,25.0,Twig Christmas tree with lights,,75cm Christmas twig tree with lots of white Christmas lights Great for display on table/console,City of Toronto,< 6 hours ago,2020-10-05 14:59:38.924875
1308372093,/v-holiday-event-seasonal/city-of-toronto/holiday-cookie-cutter-set-of-12-holiday-cookie-cutters-pri/1308372093,12.0,HOLIDAY COOKIE CUTTER   •	Set of 12 Holiday Cookie Cutters •	Pri,,HOLIDAY COOKIE CUTTER • Set of 12 Holiday Cookie Cutters • Price: $12.00 • PRICE IS FIRM. No LOWBALLING • Local Pick up only.  Payment Details: Email Interac or cash.  ***I delete my ads once ...,City of Toronto,< 6 hours ago,2020-10-05 14:59:38.925423
1528004774,/v-holiday-event-seasonal/city-of-toronto/6-gold-plastic-flower-container/1528004774,5.0,6” Gold plastic flower container.,,Beautiful 6” in diameter plastic containers. Good for wedding/event flower centerpieces . Minimum order 10 ps for $50,City of Toronto,< 6 hours ago,2020-10-05 14:59:38.925980
1469891495,/v-holiday-event-seasonal/city-of-toronto/starbucks-ceramic-christmas-ornaments/1469891495,100.0,Starbucks Ceramic Christmas Ornaments,,Selling as a set only—includes Swarovski encrusted ornament. All Never used and in perfect condition. Pick up in North York or Scarborough area.,City of Toronto,< 7 hours ago,2020-10-05 14:59:38.926525
1527994971,/v-holiday-event-seasonal/city-of-toronto/christmas-wreath/1527994971,15.0,Christmas wreath,,Christmas wreath with lights Includes over the door hook,City of Toronto,< 7 hours ago,2020-10-05 14:59:38.927086
1527963700,/v-holiday-event-seasonal/city-of-toronto/tabletop-heavy-christmas-tree/1527963700,20.0,Tabletop Heavy Christmas Tree,,Beautiful and Heavy! In Great Condition. Pickup only,City of Toronto,< 18 hours ago,2020-10-05 14:59:38.927653
1527955342,/v-holiday-event-seasonal/city-of-toronto/35-tall-black-lacquer-fibreglass-flower-stand-pillar/1527955342,125.0,35” Tall black lacquer fibreglass flower stand/pillar,,"35” Tall black lacquer fibreglass flower stand/pillar. Ideal for wedding ceremony , banquet hall decoration... Lightweight and durable and stable. Only two in stock. $220 for two.",City of Toronto,< 19 hours ago,2020-10-05 14:59:38.928201
1527953437,/v-holiday-event-seasonal/city-of-toronto/23-x-18-black-colour-flower-urn-for-wedding-decor/1527953437,120.0,23”x 18” black colour flower urn for wedding decor,,"23”x 18” black colour flower urn. Good for wedding ceremony or wedding decor with fresh or artificial flowers. Very light weight and very durable, best quality urn. Only two in stock. $120 each. Curb ...",City of Toronto,< 19 hours ago,2020-10-05 14:59:38.928750
1527952927,/v-holiday-event-seasonal/city-of-toronto/24-tall-eiffel-tower-metal-vase/1527952927,20.0,24” Tall Eiffel Tower metal vase,,"24” Tower metal vase available in black, gold, silver color. Very unique for wedding ceremony or table event centerpiece. Stylish banquet hall decoration. Artificial flowers are not included . 25 ...",City of Toronto,< 19 hours ago,2020-10-05 14:59:38.929298
1172401416,/v-holiday-event-seasonal/city-of-toronto/holiday-ornament-storage-box/1172401416,25.0,Holiday Ornament Storage Box,,Beautiful never used Holiday Ornament Box. With dividers to protect your Ornaments. Great design. 19 by 13 inches,City of Toronto,< 19 hours ago,2020-10-05 14:59:38.929846
1172400910,/v-holiday-event-seasonal/city-of-toronto/christmas-tree-new-10-boxes-decorations-lights-bows-garland/1172400910,150.0,"Christmas Tree, NEW, 10 Boxes Decorations, Lights. Bows, Garland",,"6.5 foot Blue Spruce Xmas Tree. New in box Never Used. 10 boxes Decorations, bows, many strands of lights, bows, Garland, angel topper with lights. All NEW Never opened",City of Toronto,< 19 hours ago,2020-10-05 14:59:38.930391
