,url,price,title,distance,description,location,time_offset,retreived
1528072810,/v-home-indoor-other/city-of-toronto/ultrasonic-cool-mist-portable-humidifier/1528072810,10.0,Ultrasonic Cool Mist Portable Humidifier,,"New - Portable humidifier great for home, office and travel USB compatible power supply Operates using a bottle or cup of water Silent operation and features two operating modes: continuous or ...",City of Toronto,< 8 minutes ago,2020-10-05 14:39:13.943746
1528063569,/v-home-indoor-other/city-of-toronto/levoit-smart-true-hepa-air-purifier-3-stage-filtration-system-n/1528063569,270.0,LEVOIT SMART TRUE HEPA AIR PURIFIER 3 STAGE FILTRATION SYSTEM (N,,LEVOIT SMART TRUE HEPA AIR PURIFIER 3 STAGE FILTRATION SYSTEM (NEW) Check Out Our Other Listings We Are A Liquidation Warehouse Store Open Monday To Friday 11AM to 8PM CLOSED Weekends Contact Peter ...,City of Toronto,< 53 minutes ago,2020-10-05 14:39:13.944300
1528063234,/v-home-indoor-other/city-of-toronto/emeril-lagasse-6-quart-pressur-airfryer-new/1528063234,190.0,EMERIL LAGASSE 6 QUART PRESSUR AIRFRYER (NEW),,EMERIL LAGASSE 6 QUART PRESSUR AIRFRYER (NEW) Check Out Our Other Listings We Are A Liquidation Warehouse Store Open Monday To Friday 11AM to 8PM CLOSED Weekends Contact Peter (416) 821-6222 FACEBOOK ...,City of Toronto,< 54 minutes ago,2020-10-05 14:39:13.944848
1528060801,/v-home-indoor-other/city-of-toronto/vivosun-light-fixture-ballast-bulbs-1000-watt-kit-new-new/1528060801,200.0,"VIVOSUN LIGHT FIXTURE, BALLAST, BULBS 1000 WATT KIT (NEW) (NEW)",,"VIVOSUN LIGHT FIXTURE, BALLAST, BULBS 1000 WATT KIT (NEW) (NEW) Check Out Our Other Listings We Are A Liquidation Warehouse Store Open Monday To Friday 11AM to 8PM CLOSED Weekends Contact Peter (416) ...",City of Toronto,< 2 hours ago,2020-10-05 14:39:13.945397
1528060755,/v-home-indoor-other/city-of-toronto/in-sink-erator-h-view-sn-instant-hot-water-dispenser-new/1528060755,450.0,IN SINK ERATOR (H-VIEW-SN) INSTANT HOT WATER DISPENSER (NEW),,IN SINK ERATOR (H-VIEW-SN) INSTANT HOT WATER DISPENSER (NEW) Check Out Our Other Listings We Are A Liquidation Warehouse Store Open Monday To Friday 11AM to 8PM CLOSED Weekends Contact Peter (416) ...,City of Toronto,< 2 hours ago,2020-10-05 14:39:13.945965
1528060749,/v-home-indoor-other/city-of-toronto/william-sonoma-8-inch-10-inch-non-stick-fry-pan-stick-set-bra/1528060749,125.0,WILLIAM SONOMA 8 INCH & 10 INCH NON STICK FRY PAN STICK SET (BRA,,WILLIAM SONOMA 8 INCH & 10 INCH NON STICK FRY PAN STICK SET (BRAND NEW) Check Out Our Other Listings We Are A Liquidation Warehouse Store Open Monday To Friday 11AM to 8PM CLOSED Weekends Contact ...,City of Toronto,< 2 hours ago,2020-10-05 14:39:13.946512
1528058894,/v-home-indoor-other/city-of-toronto/breville-sommelier-electric-hyper-speed-decanter-brand-new/1528058894,350.0,BREVILLE SOMMELIER ELECTRIC HYPER SPEED DECANTER (BRAND NEW),,BREVILLE SOMMELIER ELECTRIC HYPER SPEED DECANTER (BRAND NEW) Check Out Our Other Listings We Are A Liquidation Warehouse Store Open Monday To Friday 11AM to 8PM CLOSED Weekends Contact Peter (416) ...,City of Toronto,< 2 hours ago,2020-10-05 14:39:13.947057
1528058896,/v-home-indoor-other/city-of-toronto/philips-pasta-maker-fully-automatic-new/1528058896,180.0,PHILIPS PASTA MAKER FULLY AUTOMATIC (NEW),,PHILIPS PASTA MAKER FULLY AUTOMATIC (NEW) Check Out Our Other Listings We Are A Liquidation Warehouse Store Open Monday To Friday 11AM to 8PM CLOSED Weekends Contact Peter (416) 821-6222 FACEBOOK ...,City of Toronto,< 2 hours ago,2020-10-05 14:39:13.947609
1528057995,/v-home-indoor-other/city-of-toronto/plants-for-sale/1528057995,20.0,Plants for sale,,"Syngonium 4” $10, 6” 19 Peperomia hope 4” $17 Baby sun rose 6” $30",City of Toronto,< 2 hours ago,2020-10-05 14:39:13.948098
1528056432,/v-home-indoor-other/city-of-toronto/irobot-roomba-i7-robot-vacuum-with-automatic-dirt-disposal-wifi/1528056432,650.0,iRobot Roomba i7+ Robot Vacuum with Automatic Dirt Disposal WiFi,,"Up for sale is a perfect condition and full warranty iRobot Roomba i7+ (7550) Robot Vacuum with Automatic Dirt Disposal- Wi-Fi Connected, Smart Mapping, Works with Alexa, Ideal for Pet Hair, Carpets, ...",City of Toronto,< 2 hours ago,2020-10-05 14:39:13.948588
1528048628,/v-home-indoor-other/city-of-toronto/sturdy-durable-ikea-desk/1528048628,175.0,Sturdy & Durable IKEA Desk,,"IKEA Desk Made in Slovakia Very Durable & Sturdy Desk built to last Have never had wobbling issues Levelers under legs to adjust for any uneven floors In excellent condition, see pictures Dimensions: ...",City of Toronto,< 3 hours ago,2020-10-05 14:39:13.949074
