,url,price,title,distance,description,location,time_offset,retreived
1528342585,/v-home-phone-answering-machine/city-of-toronto/cordless-phone/1528342585,10.0,Cordless phone,,Selling this cordless phone. Work good. Firm$10. Pick up only. If interested please provide a number to contact i will get back to you. Thank you.,City of Toronto,< 9 minutes ago,2020-10-06 23:04:19.603875
1470638460,/v-home-phone-answering-machine/city-of-toronto/radio-shack-system-360-caller-id-new-20-00/1470638460,20.0,RADIO SHACK SYSTEM 360 CALLER ID-NEW!!! $20.00,,"have for sale a radio shack caller id module, brand new and unused. has three line display for date and time, phone number and name, up to 64 numbers. model number is 43-980. has manual and wall ...",City of Toronto,< 4 hours ago,2020-10-06 23:04:19.604376
1528320028,/v-home-phone-answering-machine/city-of-toronto/home-phone/1528320028,30.0,Home phone,,"Selling a home phone,wireless Never used",City of Toronto,< 4 hours ago,2020-10-06 23:04:19.604864
1517001476,/v-home-phone-answering-machine/city-of-toronto/cordless-phone-set/1517001476,35.0,Cordless phone set,,Used digital “Panasonic” cordless phone with answering machine: 1 Base unit + 2 Chargers + 3 Handsets. Hand-free speakerphone on each handset. Works during a power outage. Comes with manual. Price: ...,City of Toronto,< 7 hours ago,2020-10-06 23:04:19.605357
1528279977,/v-home-phone-answering-machine/city-of-toronto/vtech-a100m-wired-monaural-headset-with-rj9-clearance-sale/1528279977,19.99,Vtech A100M Wired Monaural Headset with RJ9- CLEARANCE SALE!,,Vtech A100M Wired Monaural Headset with RJ9- CLEARANCE SALE! -------------------------------------------------------------- Sale Price: $19.99 Reg price: $79.99 ...,City of Toronto,< 8 hours ago,2020-10-06 23:04:19.605847
1528274581,/v-home-phone-answering-machine/city-of-toronto/vtech-careline-corded-cordless-dect-6-0-phone-for-seniors/1528274581,145.0,Vtech CareLine Corded/Cordless DECT 6.0 Phone for Seniors,,"Vtech CareLine Corded/Cordless DECT 6.0 Phone with Big Button, Caller ID, Base and Handset Speakerphones LOWEST PRICE IS $145 NOTHING LOWER WILL BE ACCEPTED! Retails for over $200 plus taxes!!! ...",City of Toronto,< 8 hours ago,2020-10-06 23:04:19.606337
1528237668,/v-home-phone-answering-machine/city-of-toronto/nortel-phones-for-sale/1528237668,50.0,Nortel phones     for   sale,,13 Nortel phones， $50 ea,City of Toronto,< 11 hours ago,2020-10-06 23:04:19.606837
1528226547,/v-home-phone-answering-machine/city-of-toronto/perfect-vtech-line-phone-with-answering-machine/1528226547,20.0,perfect Vtech line phone with answering machine,,perfect Vtech line phone with answering machine asking for $20 call at 905 233 1552,City of Toronto,< 12 hours ago,2020-10-06 23:04:19.607326
1528221769,/v-home-phone-answering-machine/city-of-toronto/vtech-v-tech-6-0-single-handset-cordless-phone-caller-id-new/1528221769,20.0,Vtech V-tech 6.0 Single Handset Cordless Phone Caller ID new,,panasonic siemens nest smarthome smart home gopro go-pro wireless Asus Lenovo PC apple iphone ipad mac book laptop computer cell phone gaming video game google pixel samsung lg sony up for sale brand ...,City of Toronto,< 12 hours ago,2020-10-06 23:04:19.607813
1528218613,/v-home-phone-answering-machine/city-of-toronto/cordless-and-corded-speaker-home-phones-starts-from-12-00/1528218613,11.99,CORDLESS AND CORDED SPEAKER HOME PHONES STARTS FROM $12.00,,"AT&T CL2909, CL4940 CORDED SPEAKERPHONE WITH DIGITAL ANSWERING SYSTEM, VTECH CORDLESS PHONES , PANASONIC CORDLESS PHONES, VISTA BUSINESS PHONE, AT&T ( MODEL TL88002) TWO LINE CORDLESS ANSWERING ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                We Deal with Android TV Boxes, Google TV Boxes, TV Wall Mounts, HD TV Antennas, Satellite Dishes, Computers, Laptops and Accessories",City of Toronto,< 13 hours ago,2020-10-06 23:04:19.608356
