,url,price,title,distance,description,location,time_offset,retreived
1528443058,/v-hot-tub-pool/city-of-toronto/kreepy-krauly-pool-cleaner/1528443058,400.0,Kreepy Krauly Pool Cleaner,,New in box. Kreepy Krauly Pool cleaner by Pentair,City of Toronto,< 4 hours ago,2020-10-07 17:19:22.571499
1528399174,/v-hot-tub-pool/city-of-toronto/pool-cover-and-water-bags-40x20-pool/1528399174,100.0,Pool cover and water bags 40x20 pool,,Selling a pool cover tarp and water bags used to cover a 40x20 pool for the winter closing. Selling as I have bought a safety cover this year.,City of Toronto,< 7 hours ago,2020-10-07 17:19:22.572028
1528391264,/v-hot-tub-pool/city-of-toronto/leaf-mesh-net-cover-24-round-above-ground-pool-brand-new/1528391264,50.0,(LEAF MESH NET COVER) 24’ Round Above Ground Pool / BRAND NEW,,"*************** This is a leaf mesh cover, Not a solid cover to protect from rain *************** . BRAND NEW IN SEALED MFG PACKAGING / NEVER USED / NEVER INSTALLED / NEVER TAKEN OUT OF BOX ($50.00) ...",City of Toronto,< 8 hours ago,2020-10-07 17:19:22.572520
1528390873,/v-hot-tub-pool/city-of-toronto/leaf-mesh-net-cover-16x32-oval-above-ground-pool-brand-new/1528390873,60.0,LEAF MESH NET COVER 16'x32' Oval Above Ground Pool / BRAND NEW,,"*************** This is a leaf mesh cover, Not a solid cover to protect from rain *************** BRAND NEW IN SEALED MFG PACKAGING / NEVER USED / NEVER INSTALLED / NEVER TAKEN OUT OF BOX ($60.00) – ...",City of Toronto,< 8 hours ago,2020-10-07 17:19:22.573002
1528338205,/v-hot-tub-pool/city-of-toronto/swimline-li1248bso-overlap-pool-liner/1528338205,100.0,Swimline LI1248BSO Overlap Pool Liner,,"Swimline LI1248BSO Overlap Pool Liner 48-52 in Wall, 12 ft Round, 20 Gauge, Boulder Swirl PRICE : 100 CAD PAYMENT METHOD: CASH ONLY Available Quantity: 01 If you are interested, Please text us on ...",City of Toronto,< 20 hours ago,2020-10-07 17:19:22.573873
1528325427,/v-hot-tub-pool/city-of-toronto/swimming-pool-ladder-rung-step/1528325427,30.0,Swimming Pool Ladder Rung/Step,,Swimming pool rung ladder. Brand new.,City of Toronto,< 21 hours ago,2020-10-07 17:19:22.574354
1528151302,/v-hot-tub-pool/city-of-toronto/fuel-pump-and-filter/1528151302,200.0,Fuel Pump and Filter,,Both are in working condition when pulled looking for 200 for both.,City of Toronto,05/10/2020,2020-10-07 17:19:22.575621
1516862595,/v-hot-tub-pool/city-of-toronto/outdoor-indoor-pool/1516862595,30.0,Outdoor/indoor pool,,"Foldable/collapsable indoor/outdoor pool kids pool, excellent condition, like brand new. $30 or best offer",City of Toronto,05/10/2020,2020-10-07 17:19:22.576104
1514914912,/v-hot-tub-pool/city-of-toronto/intex-8ft-x-30in-easy-set-pool-round-above-ground-inflatable/1514914912,249.0,INTEX 8ft x 30in Easy Set Pool Round Above Ground Inflatable,,"Please Read Entire Ad As Is If the ad is up, the item is still for sale :) Please call me if you’re serious 647-98557 Nine Two We do not respond to messages to avoid scammers Pickup Jane and the 400 ...",City of Toronto,05/10/2020,2020-10-07 17:19:22.576591
1528098669,/v-hot-tub-pool/city-of-toronto/7-hp-hot-tub-pump/1528098669,500.0,7 HP Hot Tub Pump,,"I have two circulation pumps that are next to new. Came out of two $20,000 jacuzzi tubs. - BEST Offer",City of Toronto,05/10/2020,2020-10-07 17:19:22.577092
1528016904,/v-hot-tub-pool/city-of-toronto/5-kg-of-pool-cleaner-and-shock-chemicals/1528016904,50.0,5 Kg of pool cleaner and shock chemicals,,Tub of OMNI powdered oxygen based pool quick clear and test strips.,City of Toronto,05/10/2020,2020-10-07 17:19:22.577574
1527966271,/v-hot-tub-pool/city-of-toronto/floating-cooler/1527966271,5.0,Floating Cooler,,Big Bobber floating cooler Fits about 12 cans $5 OBO Pick up only Item not considered sold until paid in full.,City of Toronto,04/10/2020,2020-10-07 17:19:22.578057
1527733039,/v-hot-tub-pool/city-of-toronto/99-pure-copper-sulfate/1527733039,20.0,99% pure copper sulfate,,"Brand new, bought from amazon last month, paid over $35, doesn’t need it when it arrived.. So now selling it for $20.",City of Toronto,03/10/2020,2020-10-07 17:19:22.579694
1527659518,/v-hot-tub-pool/city-of-toronto/swimming-pool-cover/1527659518,50.0,Swimming pool cover,,New Swimming pool cover pool size 21” cover size 24”,City of Toronto,03/10/2020,2020-10-07 17:19:22.580371
1527614802,/v-hot-tub-pool/city-of-toronto/hayward-automatic-pool-vacuum-cleaner/1527614802,75.0,Hayward Automatic Pool Vacuum cleaner,,Dirt Devil model. Works fine but needs a new control pack. Available on Amazon.,City of Toronto,03/10/2020,2020-10-07 17:19:22.580856
