,url,price,title,distance,description,location,time_offset,retreived
1496947163,/v-hutch-display-cabinet/city-of-toronto/hardwood-china-cabinet/1496947163,250.0,Hardwood China Cabinet,,"Lovely, Ontario made, hardwood china cabinet. 48” wide x 18” deep x 75” tall.",City of Toronto,< 4 minutes ago,2020-10-05 13:26:21.430898
1528057821,/v-hutch-display-cabinet/city-of-toronto/antique-china-cabinet/1528057821,1000.0,Antique China Cabinet,,Beautiful Antique China Cabinet with a hidden drawer inside. Price is negotiable. Offers are welcomed,City of Toronto,< 7 minutes ago,2020-10-05 13:26:21.432340
1528051521,/v-hutch-display-cabinet/city-of-toronto/white-beige-hutch-display-cabinet-w-lights-6-dining-chairs/1528051521,1000.0,White/beige hutch (display cabinet) w/ lights + 6 dining chairs,,In good condition! Selling 6 chairs separately for $200 and hutch for $800. Please look at my other posts!,City of Toronto,< 37 minutes ago,2020-10-05 13:26:21.434291
1528050410,/v-hutch-display-cabinet/city-of-toronto/dining-room-cabinet/1528050410,50.0,Dining Room Cabinet,,Oak dining cabinet with oak table and leaf with two chairs $50 cash for all,City of Toronto,< 42 minutes ago,2020-10-05 13:26:21.435780
1528050029,/v-hutch-display-cabinet/city-of-toronto/white-beige-hutch-dining-display-cabinet-with-lights/1528050029,800.0,White/Beige Hutch (Dining Display cabinet) with lights,,In good condition! Cash only! Message for measurements :) If you would like matching dining chairs for an additional $200 please look at my other posts!,City of Toronto,< 44 minutes ago,2020-10-05 13:26:21.437315
1528041022,/v-hutch-display-cabinet/city-of-toronto/dark-wood-hutch/1528041022,300.0,Dark wood hutch,,In good condition,City of Toronto,< 2 hours ago,2020-10-05 13:26:21.438810
1528033517,/v-hutch-display-cabinet/city-of-toronto/mcm-walnut-hutch-by-deilcraft/1528033517,295.0,MCM Walnut Hutch by Deilcraft,,Mid-century modern walnut hutch by Canadian maker Deilcraft is in excellent condition. It has 2 reversible side panels. One side is walnut and the other is black and very easy to reverce (see ...,City of Toronto,< 2 hours ago,2020-10-05 13:26:21.440330
1528032043,/v-hutch-display-cabinet/city-of-toronto/solid-wood-hutch-buffet/1528032043,500.0,"Solid wood Hutch, Buffet",,"Features: Solid wood construction. Glass shelves. Pot lights. Dimensions: H 82"" x D 20"" x W 60"" Will consider trade for a classical guitar. I can also offer free delivery within gta.",City of Toronto,< 3 hours ago,2020-10-05 13:26:21.441791
1528031622,/v-hutch-display-cabinet/city-of-toronto/small-mcm-walnut-credenza-by-honderich/1528031622,745.0,Small MCM Walnut Credenza by Honderich,,Small mid-century modern walnut (not teak) credenza is in excellent vintage condition with some minor age appropriate wear. There are 2 sliding doors that work well. Behind the doors is shelf (NOT ...,City of Toronto,< 3 hours ago,2020-10-05 13:26:21.443281
1528028023,/v-hutch-display-cabinet/city-of-toronto/clineese-liquor-cabinet/1528028023,99.0,Clineese liquor cabinet,,47 “ length inches by 18” width by 40” high. Vintage. Excellent condition.,City of Toronto,< 3 hours ago,2020-10-05 13:26:21.444794
1528026628,/v-hutch-display-cabinet/city-of-toronto/80s-media-cabinet-unit/1528026628,0.0,80's Media Cabinet/Unit,,"This unit is definitely from the 80s and surprisingly in good condition. There are some holes in the back panel that can easily be replaced - just staple/screw in a new piece of plywood, or remove it ...",City of Toronto,< 3 hours ago,2020-10-05 13:26:21.446223
1528025088,/v-hutch-display-cabinet/city-of-toronto/bar/1528025088,200.0,Bar,,Beautiful mahogany bar Solid And take glasses!,City of Toronto,< 3 hours ago,2020-10-05 13:26:21.447698
1517056927,/v-hutch-display-cabinet/city-of-toronto/glass-hutch/1517056927,35.0,Glass Hutch,,One piece glass hutch. Vintage 1960s. Hutch contains two shelves and sliding glass panels. Two wooden drawers and two wooden cupboards 67”x 36”x 16” Pick up only,City of Toronto,< 3 hours ago,2020-10-05 13:26:21.449144
1479480147,/v-hutch-display-cabinet/city-of-toronto/microwave-stand-or-multi-use-stand/1479480147,70.0,Microwave Stand or Multi Use Stand,,Real wood microwave stand or multi use stand,City of Toronto,< 3 hours ago,2020-10-05 13:26:21.450669
1527999047,/v-hutch-display-cabinet/city-of-toronto/display-cabinet/1527999047,450.0,Display cabinet,,"It assembles in two pieces wall unit Top piece is: H64"" × W68"" × D16"" Bottom piece is: H29.5"" × W68"" × D 19"". Small damage on left top side corner shown on last pic.",City of Toronto,< 5 hours ago,2020-10-05 13:26:21.452157
1497072142,/v-hutch-display-cabinet/city-of-toronto/ethan-allen-curio-cabinet/1497072142,1500.0,Ethan Allen Curio Cabinet,,This is a beautiful Ethan Allen Curio Cabinet. It is a lovely amber colour. It is in excellent condition with no scrapes or nicks. It has been in a smoke free home. The size is 32 inches; wide by 14 ...,City of Toronto,< 5 hours ago,2020-10-05 13:26:21.453541
1527994019,/v-hutch-display-cabinet/city-of-toronto/alameda-wine-bar-cabinet/1527994019,450.0,Alameda Wine Bar Cabinet,,- Excellent Condition - Bought it from Wayfair 1.5 years ago for $845 - Handcrafted with care using the finest quality solid wood - Overall: 50'' H x 22.5'' L x 16'' D - Shelf: 28.3'' H x 15.7'' W x ...,City of Toronto,< 6 hours ago,2020-10-05 13:26:21.455011
1527985333,/v-hutch-display-cabinet/city-of-toronto/mid-century-modern-teak-console/1527985333,375.0,Mid Century Modern Teak Console,,This mid century modern teak cabinet sits low to the ground and is designed with exposed hex screws and chromed corner plate details. Two smoked glass sliding doors makes it the perfect media stand. ...,City of Toronto,< 7 hours ago,2020-10-05 13:26:21.456505
1527985311,/v-hutch-display-cabinet/city-of-toronto/glass-wall-unit-reduced-price/1527985311,800.0,Glass wall unit-reduced price!,,Curved glass with 2 side doors 5 glass shelves. Mint condition! Can be used as a collectible display unit or plate storage or whatever you desire. It is a beautiful piece however i am downsizing and ...,City of Toronto,< 7 hours ago,2020-10-05 13:26:21.457418
1527969913,/v-hutch-display-cabinet/city-of-toronto/ikea-kitchen-cabinet-used-for-6-months-only-price-negotiable/1527969913,130.0,"Ikea Kitchen cabinet used for 6 months only, price negotiable.",,Ikea kitchen cabinet in as good as new condition. Has 3 open shelves and 2 closed ones. Very spacious and can accommodate a lot of items comfortably. CAN NEGOTIATE PRICE FOR SERIOUS BUYERS. The ...,City of Toronto,< 15 hours ago,2020-10-05 13:26:21.458117
1527966727,/v-hutch-display-cabinet/city-of-toronto/dining-room-hutch/1527966727,800.0,Dining room Hutch,,Beautiful display cabinet,City of Toronto,< 16 hours ago,2020-10-05 13:26:21.458606
1527966496,/v-hutch-display-cabinet/city-of-toronto/bar-cart/1527966496,50.0,Bar Cart,,"Selling beautiful glass top, double layer bar cart for $50. Curbside pickup in Toronto.",City of Toronto,< 16 hours ago,2020-10-05 13:26:21.459094
1527960647,/v-hutch-display-cabinet/city-of-toronto/beautiful-vintage-sideboard-buffet/1527960647,590.0,Beautiful vintage sideboard \  buffet,,"• Beautiful, sideboard\buffet with 2 large, spacious drawers • Amazing vintage piece in solid wood, built to last • The top has been professionally restyled to show wood grain and protected with 3 ...",City of Toronto,< 17 hours ago,2020-10-05 13:26:21.459593
1527956800,/v-hutch-display-cabinet/city-of-toronto/display-cabinet/1527956800,650.0,Display Cabinet,,Like new. Display Cabinet.,City of Toronto,< 17 hours ago,2020-10-05 13:26:21.460080
1527952170,/v-hutch-display-cabinet/city-of-toronto/vintage-midcentury-teak-rs-sideboard-buffet/1527952170,1075.0,Vintage Midcentury Teak Rs Sideboard/ Buffet,,"** Locate Near Montreal** Vintage Midcentury Teak Rs Sideboard/ Buffe Dimensions: H28.5"" x W19"" x L72"" Materials: Teak Condition: Restored & Refinished GST + QST will be Added We deliver in Quebec & ...",City of Toronto,< 18 hours ago,2020-10-05 13:26:21.460564
1527949308,/v-hutch-display-cabinet/city-of-toronto/grey-cabinet-great-condition/1527949308,35.0,"Grey cabinet, great condition",,Grey cabinet with glass doors. Barely used. Pick up near to Sherbourne station,City of Toronto,< 18 hours ago,2020-10-05 13:26:21.461047
1527948617,/v-hutch-display-cabinet/city-of-toronto/wine-rack-cabinet-vintage/1527948617,250.0,Wine rack Cabinet Vintage,,"Wine rack cabinet with mirror ""Vintage"" Over 100 years old",City of Toronto,< 18 hours ago,2020-10-05 13:26:21.461530
1527948213,/v-hutch-display-cabinet/city-of-toronto/mid-century-sideboard/1527948213,425.0,Mid century sideboard,,"Mid-century sideboard. This vintage piece has been refinished with a beautiful, rich walnut stain and top coated with 3 layers of satin lacquer. The two outer doors slide open, middle panel is fixed. ...",City of Toronto,< 18 hours ago,2020-10-05 13:26:21.462011
1527946451,/v-hutch-display-cabinet/city-of-toronto/two-custom-built-china-cabinets-excellent-condition/1527946451,350.0,Two Custom Built China Cabinets - Excellent Condition,,"For sale: two dining room china cabinets measuring 49” wide by 38” high by 21’ deep in a rich dark walnut finish, custom built by Inova in Toronto complete with glass tops to protect the finish are ...",City of Toronto,< 18 hours ago,2020-10-05 13:26:21.462493
1527945994,/v-hutch-display-cabinet/city-of-toronto/wooden-showcase-for-sale/1527945994,30.0,Wooden showcase for sale,,"Very strong wooden+glass showcase for sale. Size: 6ft x 2.5 ft. Pickup only. Location: 20 Teesdale place, Scarborough.",City of Toronto,< 18 hours ago,2020-10-05 13:26:21.462977
1527942798,/v-hutch-display-cabinet/city-of-toronto/industrial-bar-consol-hutch/1527942798,400.0,Industrial bar Consol hutch,,"72""x24"" 36"" height on casters. Very sturdy, 3 drawers",City of Toronto,< 18 hours ago,2020-10-05 13:26:21.463476
1517028369,/v-hutch-display-cabinet/city-of-toronto/hutch-and-buffet/1517028369,690.0,Hutch and Buffet,,"5 years old, but in perfect condition; incredibly sturdy and heavy -real oak wood -7ft x 5ft x 1.5ft -3 cabinets and 2 drawers -2 dimmer lights at the top can be adjusted to the level of light ...",City of Toronto,< 19 hours ago,2020-10-05 13:26:21.463976
1527932284,/v-hutch-display-cabinet/city-of-toronto/beautiful-large-mirrored-sideboard-buffet-with-gold-leaf-trim/1527932284,980.0,Beautiful large mirrored sideboard/buffet with gold leaf trim,,"Beautiful large mirrored sideboard/buffet with gold leaf trim, beveled antiqued mirror on the top in excellent condition. Has 3 drawers and 4 doors. Has removable wine rack behind one storage door . ...",City of Toronto,< 19 hours ago,2020-10-05 13:26:21.464670
1496947163,/v-hutch-display-cabinet/city-of-toronto/hardwood-china-cabinet/1496947163,250.0,Hardwood China Cabinet,,"Lovely, Ontario made, hardwood china cabinet. 48” wide x 18” deep x 75” tall.",City of Toronto,< 4 minutes ago,2020-10-05 13:26:25.586312
1528057821,/v-hutch-display-cabinet/city-of-toronto/antique-china-cabinet/1528057821,1000.0,Antique China Cabinet,,Beautiful Antique China Cabinet with a hidden drawer inside. Price is negotiable. Offers are welcomed,City of Toronto,< 7 minutes ago,2020-10-05 13:26:25.586856
1528051521,/v-hutch-display-cabinet/city-of-toronto/white-beige-hutch-display-cabinet-w-lights-6-dining-chairs/1528051521,1000.0,White/beige hutch (display cabinet) w/ lights + 6 dining chairs,,In good condition! Selling 6 chairs separately for $200 and hutch for $800. Please look at my other posts!,City of Toronto,< 37 minutes ago,2020-10-05 13:26:25.587585
1528050410,/v-hutch-display-cabinet/city-of-toronto/dining-room-cabinet/1528050410,50.0,Dining Room Cabinet,,Oak dining cabinet with oak table and leaf with two chairs $50 cash for all,City of Toronto,< 42 minutes ago,2020-10-05 13:26:25.588080
1528050029,/v-hutch-display-cabinet/city-of-toronto/white-beige-hutch-dining-display-cabinet-with-lights/1528050029,800.0,White/Beige Hutch (Dining Display cabinet) with lights,,In good condition! Cash only! Message for measurements :) If you would like matching dining chairs for an additional $200 please look at my other posts!,City of Toronto,< 44 minutes ago,2020-10-05 13:26:25.588571
1528041022,/v-hutch-display-cabinet/city-of-toronto/dark-wood-hutch/1528041022,300.0,Dark wood hutch,,In good condition,City of Toronto,< 2 hours ago,2020-10-05 13:26:25.589341
