,url,price,title,distance,description,location,time_offset,retreived
1528067665,/v-indoor-decor-accent/city-of-toronto/collection-of-crystal-pieces/1528067665,20.0,"Wanted:
                            Collection of Crystal Pieces",,"2 Large crystal bowls Wide round platter, 2 vases",City of Toronto,< 1 minute ago,2020-10-05 14:08:11.326939
1528066342,/v-indoor-decor-accent/city-of-toronto/chair-armrest-large-body-pillow-for-bedrest/1528066342,10.0,Chair/Armrest Large Body Pillow for Bedrest,,"Brand New condition, used a handful of times in August (has not been used in months). Great support for bedrest, reading, or working from home. Very soft and comfortable.",City of Toronto,< 7 minutes ago,2020-10-05 14:08:11.327435
1506902884,/v-indoor-decor-accent/city-of-toronto/metal-wall-candle-holder/1506902884,10.0,Metal wall candle holder,,Needs to hooked up on the wall. Price us per each,City of Toronto,< 15 minutes ago,2020-10-05 14:08:11.327931
1528062609,/v-indoor-decor-accent/city-of-toronto/vintage-wood-washboard-from-toronto/1528062609,25.0,Vintage wood washboard from Toronto,,"Vintage wood washboard: “GLASS GLOBE McFARLANE MFG. CO. LTD., TORONTO, CAN.” In great condition. Glass has no chips or cracks. 12” w x 23” h Pick up only (near Bloor St West and Lansdowne) Exact ...",City of Toronto,< 26 minutes ago,2020-10-05 14:08:11.328420
1528059129,/v-indoor-decor-accent/city-of-toronto/retro-fabric/1528059129,75.0,Retro Fabric,,"Funky, bright, perfect for upholstery and curtains",City of Toronto,< 43 minutes ago,2020-10-05 14:08:11.328909
1528058234,/v-indoor-decor-accent/city-of-toronto/stoff-nagel-candeholders-x9-incl-candles/1528058234,275.0,Stoff Nagel Candeholders x9 incl. Candles,,"Set of 9x Stoff Nagel vintage sculptural stacking candle holders. Polished steel, two of them have patina marks. Includes 9x candle holders in total, plus set of 25x black Stoff Nagel candlesticks. ...",City of Toronto,< 47 minutes ago,2020-10-05 14:08:11.329396
1528057393,/v-indoor-decor-accent/city-of-toronto/bohemia-24-lead-crystal-candle-tea-light-holder/1528057393,5.0,Bohemia 24 Lead Crystal Candle/ Tea light Holder,,It is AVAILABLE Bohemia 24 Lead Crystal Candle/ Tea light Holder This Candle/ Tea light Holder will add a touch of elegance to your dining room. Material: Material: 24% Genuine Lead Crystal Height ...,City of Toronto,< 51 minutes ago,2020-10-05 14:08:11.329883
1528057163,/v-indoor-decor-accent/city-of-toronto/small-ginger-jar/1528057163,5.0,Small Ginger Jar,,"Cute small Ginger Jar in blue and white. It stands about 4"" tall, no chips or cracks. Asking $5.00, pick up only.",City of Toronto,< 52 minutes ago,2020-10-05 14:08:11.330368
1528056406,/v-indoor-decor-accent/city-of-toronto/star-burst-mirror/1528056406,200.0,STAR BURST MIRROR,,In excellent condition. 45” diameter I took a screenshot of where you can buy new online for $519 before shipping and tax $200 FIRM,City of Toronto,< 56 minutes ago,2020-10-05 14:08:11.330856
1528056389,/v-indoor-decor-accent/city-of-toronto/live-cactus/1528056389,7.0,Live cactus,,"Live cactus ""Euphorbia Trigona"". Healthy fast growing plant. Easy to take care of. Great for home or office. $7. Pick up from Etobicoke close to Mississauga and Hwy 427.",City of Toronto,< 56 minutes ago,2020-10-05 14:08:11.331344
