,url,price,title,distance,description,location,time_offset,retreived
1528425730,/v-industrial-kitchen-supplies/city-of-toronto/ecolab-commercial-disinfectant/1528425730,1.0,EcoLab Commercial Disinfectant,,"Ecolab® Mikroklene Sanitizer 1 Gallon #6110511 4 bottles Note - expiry is March 2020, but solution still effective Just switched brands. Asking $1 pick up only, near king and Bathurst",City of Toronto,< 4 hours ago,2020-10-07 16:16:01.648299
1528405929,/v-industrial-kitchen-supplies/city-of-toronto/water-heater-boiler-10-gallons/1528405929,250.0,Water heater/boiler 10 gallons,,Cecilware water boiler/ heater 10 gallons. Asking $ 250.00 or best offers.,City of Toronto,< 6 hours ago,2020-10-07 16:16:01.649284
1528405030,/v-industrial-kitchen-supplies/city-of-toronto/bunn-coffee-maker/1528405030,120.0,Bunn coffee maker,,Bunn coffee maker and thermo carafe. Asking $120.00 for both or best offers.,City of Toronto,< 6 hours ago,2020-10-07 16:16:01.649888
1528403784,/v-industrial-kitchen-supplies/city-of-toronto/3-layer-face-mask/1528403784,8.99,3 Layer Face Mask,,3 Layer Face Mask On Special Right Now Only $8.99 Call 416-232-0-232 Location: 763 Warden Ave. Scarborough,City of Toronto,< 6 hours ago,2020-10-07 16:16:01.650985
1528388113,/v-industrial-kitchen-supplies/city-of-toronto/299-water-coolers-pou-bottle-free/1528388113,299.0,"$299 Water Coolers,  POU,  Bottle Free",,"MIRAGE POU Water Cooler, Bottle Free with Filters on SALE now for $299 original $799 Standard Features: Tri-temp: Hot, Cool and Cold, Stainless steel reservoir & hot tank Convertible to bottom load ...",City of Toronto,< 7 hours ago,2020-10-07 16:16:01.651598
1528384921,/v-industrial-kitchen-supplies/city-of-toronto/like-new-middleby-marshall-conveyor-oven/1528384921,9750.0,Like NEW!! Middleby Marshall Conveyor Oven,,"Oven has barely been used, in excellent condition. See pictures attached. Price: $9,750 Call: 416-509-7907",City of Toronto,< 7 hours ago,2020-10-07 16:16:01.652273
1528342201,/v-industrial-kitchen-supplies/city-of-toronto/doyon-volumetric-dough-divider/1528342201,8900.0,Doyon volumetric dough divider,,Great condition doyon volumetric dough divider Asking $8900 picture of spec sheet is uploaded . Thanks,City of Toronto,< 18 hours ago,2020-10-07 16:16:01.653764
1517130405,/v-industrial-kitchen-supplies/city-of-toronto/haight-102511-00-m4s17dh18c-hatght-pump-and-motor-pitco-fryer/1517130405,100.0,Haight 102511.00 M4S17DH18C Hatght Pump And Motor Pitco Fryer,,Haight 102511.00 M4S17DH18C Pump And Motor For Pitco oil Fryer Hatght haicht hatcht In good working condition. Thermal protection is removed. Mon-Fri 102 Hymus Rd. 12-8pm. if ad is still here its ...,City of Toronto,< 19 hours ago,2020-10-07 16:16:01.654329
1528325274,/v-industrial-kitchen-supplies/city-of-toronto/20-qt-hobart-mixer/1528325274,1500.0,20 QT Hobart Mixer,,"Commercial Hobart mixer. With safety guard dough hook, bowl stainless steel and peddle.it also comes with meat grinder attachment. It's in very good working condition. Great for restaurant, ...",City of Toronto,< 20 hours ago,2020-10-07 16:16:01.655145
1528323488,/v-industrial-kitchen-supplies/city-of-toronto/pizza-warmer-oven-towel-warmer/1528323488,75.0,Pizza warmer oven. Towel warmer.,,Pizza warmer or towel warmer. Never been used. 24 in x 15in x 19 in.,City of Toronto,< 21 hours ago,2020-10-07 16:16:01.656042
1528283891,/v-industrial-kitchen-supplies/city-of-toronto/commercial-sink-with-draining-table/1528283891,450.0,Commercial Sink with draining table,,"Commercial sink with draining table for sale. Sink is 96'' Lenth,26'' wide,36''hight. This is hard metal, durable sink. Best offer.",City of Toronto,< 24 hours ago,2020-10-07 16:16:01.656594
1528283236,/v-industrial-kitchen-supplies/city-of-toronto/kitchens-and-restaurants/1528283236,300.0,Kitchens and restaurants,,Pitco fryers very good condition with 2 baskets gaz 300 dollars,City of Toronto,< 24 hours ago,2020-10-07 16:16:01.657083
1452285037,/v-industrial-kitchen-supplies/city-of-toronto/pop-cooler-two-door-new-condition-compressor-on-bottom-qbd-true/1452285037,1540.0,Pop cooler two door new condition compressor on bottom qbd true,,"Brand new condition i also have older used but like new condition coolers of the same manufacturer, if your looking to save money. This one is for businesses that need a brand new unit but don't want ...",City of Toronto,Yesterday,2020-10-07 16:16:01.657588
1528262431,/v-industrial-kitchen-supplies/city-of-toronto/sterilizer-box-sink-or-wall-mount-lot-of-8/1528262431,400.0,STERILIZER BOX sink or wall mount (lot of 8),,"Lot of 8 sink or wall mount sterilizer boxes. For use in industrial food facitlities. Size: 5"" wide, 8"" long, 8"" deep Heater NOT included. $50 each.",City of Toronto,Yesterday,2020-10-07 16:16:01.658074
1528260495,/v-industrial-kitchen-supplies/city-of-toronto/salad-sandwich-prep-table-48-inch/1528260495,1800.0,Salad/Sandwich prep table - 48 inch,,"Hello. I'm selling a used 48"" EFI salad/sandwich prep table. 1 year old. Works great. Dimensions in last photo. Description from the manufacturer: • High quality Stainless Steel cabinets - Features ...",City of Toronto,Yesterday,2020-10-07 16:16:01.658564
1528258321,/v-industrial-kitchen-supplies/city-of-toronto/commercial-coffitaly-system/1528258321,600.0,Commercial coffitaly system,,S9001 model. Works with capsules. It’s in excellent condition. Only been used 2 months maybe a hand full cups of coffee a day. Selling due to closing the coffee shop.,City of Toronto,Yesterday,2020-10-07 16:16:01.659070
1528253350,/v-industrial-kitchen-supplies/city-of-toronto/double-sliding-door-fridge/1528253350,1750.0,Double sliding door fridge,,"Doble sliding glass dorr fridge QDB BRAND. H80"" × W48"" × D30"" Also selling another one ... same .",City of Toronto,Yesterday,2020-10-07 16:16:01.659608
1528252184,/v-industrial-kitchen-supplies/city-of-toronto/displace-case-warmer/1528252184,750.0,Displace case warmer,,"Display warmer 36"" perfect condition like new Bought it new ,used for15 month and the PANDEMIC hit. Thanks. Delivery charges",City of Toronto,Yesterday,2020-10-07 16:16:01.660107
1528239994,/v-industrial-kitchen-supplies/city-of-toronto/brand-new-75lb-ice-maker-machine/1528239994,800.0,Brand new 75lb Ice Maker Machine,,Maxx Ice MIM75 Brand new Never Used Retails for over $1300. Yours here for $800 Winston 416-818-7637 Dundas &Dufferin,City of Toronto,Yesterday,2020-10-07 16:16:01.660926
1528239526,/v-industrial-kitchen-supplies/city-of-toronto/commercial-meat-slicer-deli-restaurant/1528239526,55.0,Commercial meat slicer deli restaurant,,I have a commercial meat slicer for deli or restaurant It is a Blakeslee. Works very well. Sharpener needs new stones and auto slice is missing one connector. Needs a good cleaning. Still works great ...,City of Toronto,Yesterday,2020-10-07 16:16:01.661460
1528220015,/v-industrial-kitchen-supplies/city-of-toronto/brand-new-mini-condiment-container-with-spoon-and-lid/1528220015,10.0,Brand new mini condiment container with spoon and lid,,Up for sale a Brand new mini condiment container with spoon and lid Have 4 available 2 White 2 Blue. Selling @ $10 each or $30 for all 4 Measurement as follows L12” W4.5” H 2.5” Call/text 6479881324,City of Toronto,Yesterday,2020-10-07 16:16:01.662154
1528219964,/v-industrial-kitchen-supplies/city-of-toronto/80-000/1528219964,80000.0,"80,000",,"Posted by nawal albaleli in business, industrial, Industrial kitchen supplies in Toronto (GTA), City of Toronto. ٦ تشرين الأول، ٢٠٢٠",City of Toronto,Yesterday,2020-10-07 16:16:01.662644
1528425730,/v-industrial-kitchen-supplies/city-of-toronto/ecolab-commercial-disinfectant/1528425730,1.0,EcoLab Commercial Disinfectant,,"Ecolab® Mikroklene Sanitizer 1 Gallon #6110511 4 bottles Note - expiry is March 2020, but solution still effective Just switched brands. Asking $1 pick up only, near king and Bathurst",City of Toronto,< 4 hours ago,2020-10-07 16:16:08.170369
1528405929,/v-industrial-kitchen-supplies/city-of-toronto/water-heater-boiler-10-gallons/1528405929,250.0,Water heater/boiler 10 gallons,,Cecilware water boiler/ heater 10 gallons. Asking $ 250.00 or best offers.,City of Toronto,< 6 hours ago,2020-10-07 16:16:08.171613
1528405030,/v-industrial-kitchen-supplies/city-of-toronto/bunn-coffee-maker/1528405030,120.0,Bunn coffee maker,,Bunn coffee maker and thermo carafe. Asking $120.00 for both or best offers.,City of Toronto,< 6 hours ago,2020-10-07 16:16:08.172113
1528403784,/v-industrial-kitchen-supplies/city-of-toronto/3-layer-face-mask/1528403784,8.99,3 Layer Face Mask,,3 Layer Face Mask On Special Right Now Only $8.99 Call 416-232-0-232 Location: 763 Warden Ave. Scarborough,City of Toronto,< 6 hours ago,2020-10-07 16:16:08.172652
1528388113,/v-industrial-kitchen-supplies/city-of-toronto/299-water-coolers-pou-bottle-free/1528388113,299.0,"$299 Water Coolers,  POU,  Bottle Free",,"MIRAGE POU Water Cooler, Bottle Free with Filters on SALE now for $299 original $799 Standard Features: Tri-temp: Hot, Cool and Cold, Stainless steel reservoir & hot tank Convertible to bottom load ...",City of Toronto,< 7 hours ago,2020-10-07 16:16:08.173135
1528384921,/v-industrial-kitchen-supplies/city-of-toronto/like-new-middleby-marshall-conveyor-oven/1528384921,9750.0,Like NEW!! Middleby Marshall Conveyor Oven,,"Oven has barely been used, in excellent condition. See pictures attached. Price: $9,750 Call: 416-509-7907",City of Toronto,< 7 hours ago,2020-10-07 16:16:08.173621
1528342201,/v-industrial-kitchen-supplies/city-of-toronto/doyon-volumetric-dough-divider/1528342201,8900.0,Doyon volumetric dough divider,,Great condition doyon volumetric dough divider Asking $8900 picture of spec sheet is uploaded . Thanks,City of Toronto,< 18 hours ago,2020-10-07 16:16:08.174110
1517130405,/v-industrial-kitchen-supplies/city-of-toronto/haight-102511-00-m4s17dh18c-hatght-pump-and-motor-pitco-fryer/1517130405,100.0,Haight 102511.00 M4S17DH18C Hatght Pump And Motor Pitco Fryer,,Haight 102511.00 M4S17DH18C Pump And Motor For Pitco oil Fryer Hatght haicht hatcht In good working condition. Thermal protection is removed. Mon-Fri 102 Hymus Rd. 12-8pm. if ad is still here its ...,City of Toronto,< 19 hours ago,2020-10-07 16:16:08.175380
1528325274,/v-industrial-kitchen-supplies/city-of-toronto/20-qt-hobart-mixer/1528325274,1500.0,20 QT Hobart Mixer,,"Commercial Hobart mixer. With safety guard dough hook, bowl stainless steel and peddle.it also comes with meat grinder attachment. It's in very good working condition. Great for restaurant, ...",City of Toronto,< 20 hours ago,2020-10-07 16:16:08.176688
1528323488,/v-industrial-kitchen-supplies/city-of-toronto/pizza-warmer-oven-towel-warmer/1528323488,75.0,Pizza warmer oven. Towel warmer.,,Pizza warmer or towel warmer. Never been used. 24 in x 15in x 19 in.,City of Toronto,< 21 hours ago,2020-10-07 16:16:08.177351
1528283891,/v-industrial-kitchen-supplies/city-of-toronto/commercial-sink-with-draining-table/1528283891,450.0,Commercial Sink with draining table,,"Commercial sink with draining table for sale. Sink is 96'' Lenth,26'' wide,36''hight. This is hard metal, durable sink. Best offer.",City of Toronto,< 24 hours ago,2020-10-07 16:16:08.178065
1528283236,/v-industrial-kitchen-supplies/city-of-toronto/kitchens-and-restaurants/1528283236,300.0,Kitchens and restaurants,,Pitco fryers very good condition with 2 baskets gaz 300 dollars,City of Toronto,< 24 hours ago,2020-10-07 16:16:08.178558
1452285037,/v-industrial-kitchen-supplies/city-of-toronto/pop-cooler-two-door-new-condition-compressor-on-bottom-qbd-true/1452285037,1540.0,Pop cooler two door new condition compressor on bottom qbd true,,"Brand new condition i also have older used but like new condition coolers of the same manufacturer, if your looking to save money. This one is for businesses that need a brand new unit but don't want ...",City of Toronto,Yesterday,2020-10-07 16:16:08.179046
