,url,price,title,distance,description,location,time_offset,retreived
1528423703,/v-industrial-shelving-racking/city-of-toronto/wire-basket-merchandiser/1528423703,15.0,Wire basket merchandiser,,Selling wire basket merchandiser (retail display) in black. Asking $15. Pickup only.,City of Toronto,< 4 hours ago,2020-10-07 16:22:48.217240
1528418084,/v-industrial-shelving-racking/city-of-toronto/green-metro-epoxy-coated-shelving-shelf/1528418084,200.0,Green Metro Epoxy Coated Shelving/Shelf,,"MetroSeal3 Super Erecta Wire Shelving Unit - 4 shelves - 24"" x 60"" x 74""H Gently used Metro Shelf, used in a walk in fridge. Excellent used condition. Brand New $400+, Asking $200 OBO. Pick up only, ...",City of Toronto,< 5 hours ago,2020-10-07 16:22:48.217732
1528400584,/v-industrial-shelving-racking/city-of-toronto/wall-shelves/1528400584,25.0,wall Shelves,,"2 foot ,3 foot and 4 foot from $25 with hardware. Less then one year old.",City of Toronto,< 6 hours ago,2020-10-07 16:22:48.218229
1528395618,/v-industrial-shelving-racking/city-of-toronto/round-cloths-racks-28-inch/1528395618,40.0,round cloths racks (28 inch),,have five round cloths racks (28 inch)for sell . each one $40. Main intersection is at Eglinton and warden Ave in Scarborough. If buy all each one $30.,City of Toronto,< 7 hours ago,2020-10-07 16:22:48.218713
1528382276,/v-industrial-shelving-racking/city-of-toronto/fork-extensions-forks-for-forklift-dock-boards-dock-plate-pa/1528382276,199.99,"Fork extensions, forks for forklift, dock boards, dock plate, pa",,****1 YEAR WARRANTY ******CALL 647-558-8245 *****www.mrdockplate.ca ***** FOR STOCK ON BELOW ITEMS PLEASE VISIT www.mrdockplate.ca or call 647-558-8245 FORKLIFT EXTENSIONS **SOLD IN PAIRS** 5*60 ( 5 ...,City of Toronto,< 8 hours ago,2020-10-07 16:22:48.219359
1528369610,/v-industrial-shelving-racking/city-of-toronto/used-industrial-shelving-great-condition-2-x-4-x-73-tall/1528369610,125.0,Used Industrial Shelving - Great condition 2' x 4' x 7'3 tall,,"100's of sections available but won't last long! We sell pallet racking and shelving. 24"" deep x 48"" wide x 7'3 tall - These are the most standard and sought after sizes for industrial shelving. ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                The True Storage Solution Experts",City of Toronto,< 9 hours ago,2020-10-07 16:22:48.220763
1528324008,/v-industrial-shelving-racking/city-of-toronto/warehouse-shelving/1528324008,500.0,Warehouse shelving,,Total 40 feet long and 12 feet high Lots of shelving comes included Each section is 8 feet long and 12 feet high Five sections total Over $5000 new from uline,City of Toronto,< 21 hours ago,2020-10-07 16:22:48.222069
1528263053,/v-industrial-shelving-racking/city-of-toronto/warehouse-shelvings-ideal-for-warehouse-home-office/1528263053,12.0,"Warehouse shelvings ideal for warehouse, Home office",,"Excellent warehouse, home office, basement shelvings. Easily assembled in no time, you can add as many shelves as you wish depending on the height you want. Sturdy upright beams, can support heavy ...",City of Toronto,Yesterday,2020-10-07 16:22:48.222798
1528075473,/v-industrial-shelving-racking/city-of-toronto/uline-double-sided-gondola-shelving-48-x35-x54/1528075473,500.0,"Uline Double-Sided Gondola Shelving (48""x35""x54""",,"For Sale: 2x Starter Unit (H-3875) + 4x Add-On Unit (H-3875-ADD) + End Cap (H-4441) Uline Gondola Shelves. Perfect for retail stores or warehouses. Retails New for $2,771.00 +HST - Selling Used ...",City of Toronto,05/10/2020,2020-10-07 16:22:48.223588
1528037689,/v-industrial-shelving-racking/city-of-toronto/spinner-rack/1528037689,65.0,Spinner Rack,,4 sided wooden spinner rack on wheels. Ideal for retail display. Buyer will have choice of unlimited peg hooks for the unit. Buyer must be able to pick up and move unit. E-Transfer is available and ...,City of Toronto,05/10/2020,2020-10-07 16:22:48.224103
1527925139,/v-industrial-shelving-racking/city-of-toronto/honeywell-granit-1980i-full-range-heavy-duty-industrial-grade/1527925139,225.0,Honeywell Granit 1980I- Full Range Heavy Duty Industrial Grade,,Honeywell Granit 1980I-Fr Full Range Heavy Duty Industrial Grade Area Imaging Barcode Scanner with USB cable. Brand new never used.,City of Toronto,04/10/2020,2020-10-07 16:22:48.224655
1527806687,/v-industrial-shelving-racking/city-of-toronto/commercial-shelves-for-sale/1527806687,150.0,COMMERCIAL SHELVES FOR SALE,,"I have used commercial shelves in very good condition for sale . It sizes 6' high , 48"" long and 16"" deep . If you are interested please call 647-793-0069.",City of Toronto,04/10/2020,2020-10-07 16:22:48.225170
1506104444,/v-industrial-shelving-racking/city-of-toronto/steel-heavy-duty-l-arch-brackets-for-shelving-8-x-8-inch-new/1506104444,30.0,"Steel heavy duty L- Arch Brackets for Shelving. 8 x 8 inch, New",,"Steel heavy duty L- Arch Brackets for Shelving. 8 x 8 inch.New. Black, Steel 3/8 inch thick heavy duty L- Arch Bracket 3 Pairs for Shelving , Size: 8x 8 inch. Brand New. Price is the lowest & firm ...",City of Toronto,04/10/2020,2020-10-07 16:22:48.225669
1527644231,/v-industrial-shelving-racking/city-of-toronto/varidesk-desktop-converter-proplus-48-stand-up-desk/1527644231,450.0,"Varidesk desktop converter ProPlus 48, Stand up desk",,"A like new desk addition that allows you to work standing up or sitting down. It is designed to hold up to 2 computer monitors, and a keyboard and mouse at adjustable heights. Will fit on any desk ...",City of Toronto,03/10/2020,2020-10-07 16:22:48.226164
