,url,price,title,distance,description,location,time_offset,retreived
1528456830,/v-ipod-mp3-player-accessories/city-of-toronto/bose-sounddock-with-remote-and-ipod-with-music/1528456830,75.0,Bose Sounddock with remote and iPod with music,,Selling this very good condition Bose Soundock comes with the remote and iPod with music asking $75,City of Toronto,< 3 hours ago,2020-10-07 17:41:39.026567
1507022225,/v-ipod-mp3-player-accessories/city-of-toronto/sandisk-clip-sport-8gb/1507022225,44.0,SanDisk Clip Sport 8GB,,Brand New 8GB MP3 Player,City of Toronto,< 23 hours ago,2020-10-07 17:41:39.027056
1528286895,/v-ipod-mp3-player-accessories/city-of-toronto/bluetooth-fm-transmitter-with-flexible-gooseneck-car-radio-kit/1528286895,20.0,"Bluetooth/FM Transmitter, with Flexible Gooseneck Car Radio Kit",,"This is a must have accessory if your car is an older model and it didn't come equipped with bluetooth. It also has a USB Car Charger, it enables Hands Free Calling and features a 1.44 inch Screen ...",City of Toronto,Yesterday,2020-10-07 17:41:39.027546
1528045424,/v-ipod-mp3-player-accessories/city-of-toronto/philips-skymaster-4-stereo-cassette-player-red-d-6623/1528045424,150.0,"Philips Skymaster 4 Stereo Cassette Player Red,D 6623",,"Philips Skymaster 4 Stereo Cassette Player Red,D 6623 STEREO CASSETTE PLAYER - 1980's VINTAGE Automatic Stop Batteries 3x ""AA"", 4.5VDC In excellent working condition All functions (play, rewind, fast ...",City of Toronto,05/10/2020,2020-10-07 17:41:39.028061
1527941080,/v-ipod-mp3-player-accessories/city-of-toronto/ipad-nano-belkin-armband-cover/1527941080,10.0,ipad nano Belkin armband cover,,"ipad nano Belkin armband cover from a smoke free, pet free and clean home",City of Toronto,04/10/2020,2020-10-07 17:41:39.028562
1411746999,/v-ipod-mp3-player-accessories/city-of-toronto/brand-new-nike-orange-earbuds/1411746999,30.0,Brand New Nike Orange Earbuds,,"As pictured, brand new Nike branded orange earbuds with volume control in a clear case. Please contact me if you have any questions. Thank you.",City of Toronto,04/10/2020,2020-10-07 17:41:39.029044
1375778463,/v-ipod-mp3-player-accessories/city-of-toronto/samsung-ipod-iphone-dock-ah96-00051c-new/1375778463,10.0,SAMSUNG iPod iPhone Dock AH96-00051C NEW,,"PLEASE READ AD BEFORE MESSAGING. Cash only, reply to ad to arrange a time to pick up. Price is firm, request for lowering of prices will not be answered. EMAILS ONLY, this is how I keep track of ...",City of Toronto,04/10/2020,2020-10-07 17:41:39.029525
1527006572,/v-ipod-mp3-player-accessories/city-of-toronto/car-fm-transmitter-to-play-mp3-from-car-audio-bnib/1527006572,15.0,Car FM Transmitter to play MP3 from Car Audio BNIB,,Car FM Transmitter to play MP3 from Car Audio Brand new in box,City of Toronto,30/09/2020,2020-10-07 17:41:39.030004
1094033671,/v-ipod-mp3-player-accessories/city-of-toronto/eu-ru-to-us-canada-travel-power-outlet-plug-converter-adapter/1094033671,0.95,EU /RU to US / Canada Travel Power Outlet Plug Converter Adapter,,"Features: 100% Brand New Small to carry and easy to use, plug and play Converts AC Plug from European (2-round-pins) to US / Canada standard (2-flat-pins) Size (approx): 35 x 40 x 17mm Voltage: ...",City of Toronto,28/09/2020,2020-10-07 17:41:39.030504
1526630083,/v-ipod-mp3-player-accessories/city-of-toronto/belkin-5-jack-audio-splitter/1526630083,10.0,Belkin 5 Jack Audio Splitter,,Belkin RockStar 5-Jack 3.5 mm Audio Headphone Splitter. Retails for 14.99 USD. Pickup at Islington and 401 only.,City of Toronto,28/09/2020,2020-10-07 17:41:39.030983
