,url,price,title,distance,description,location,time_offset,retreived
1528482888,/v-ipod-mp3-player-other/city-of-toronto/sonic-frontiers-power-1-tube-amplifier/1528482888,1300.0,Sonic Frontiers Power 1 Tube Amplifier,,"I am selling a Sonic Frontiers Power 1 tube amplifier for a friend of mine. This unit was made in Canada, in the '90s, in pristine condition, with all the four factory supplied KT88/6550 tubes and ...",City of Toronto,< 8 minutes ago,2020-10-07 17:39:20.416421
1528472432,/v-ipod-mp3-player-other/city-of-toronto/toyota-matrix-and-pontiac-vibe-apple-carplay-android-auto-bt-mp5/1528472432,399.0,toyota matrix and pontiac vibe apple carplay android auto bt mp5,,In-dash Car HD Touchscreen Apple Car play Android Auto Bluetooth Radio USB SD AUX MP3 MP4 MP5 Bluetooth Music Mirror Links Multi Player for Toyota Matrix and Pontiac Vibe 2009 2010 Toyota Matrix ...,City of Toronto,< 2 hours ago,2020-10-07 17:39:20.417131
1528466534,/v-ipod-mp3-player-other/city-of-toronto/hyundai-sonata-gps-bluetooth-radio-cd-dvd-audio-video-mp3-mp4/1528466534,599.0,hyundai sonata gps bluetooth radio cd dvd audio video mp3 mp4,,"This is for Hyundai 2011 to 2015 HYUNDAI SONATA / SONATA YF / HYUNDAI i45. Win CE 6.0 operating system with SIRF Atlas V chip. It has almost all the functions of car DVD nowadays, such as built-in ...",City of Toronto,< 2 hours ago,2020-10-07 17:39:20.417618
1528463839,/v-ipod-mp3-player-other/city-of-toronto/blue-snowball-microphone/1528463839,45.0,Blue Snowball Microphone,,Blue snowball microphone used once or twice but in perfect condition. Comes with the original wire! Lowest il go is $40 firm.,City of Toronto,< 2 hours ago,2020-10-07 17:39:20.418100
1528463678,/v-ipod-mp3-player-other/city-of-toronto/2009-2012-suzuki-equator-gps-android-wifi-bt-audio-video-mp4-mp5/1528463678,599.0,2009-2012 suzuki equator gps android wifi bt audio video mp4 mp5,,"2009 to 2012 Suzuki Equator Custom Fit In-dash 10.1 Inch HD Touch Screen Android 10.2 OS Quad Core 16G Bluetooth Radio WiFi MP3 MP4 MP5 Phone Mirror Links Multi Entertainment System Dual Zone, Rear ...",City of Toronto,< 2 hours ago,2020-10-07 17:39:20.418586
1528462258,/v-ipod-mp3-player-other/city-of-toronto/ford-escape-apple-carplay-android-auto-bt-audio-video-mp3-mp5/1528462258,399.0,ford escape apple carplay android auto bt audio video mp3 mp5,,2008 to 2012 Ford Escape Custom in-dash HD Touchscreen Apple Car play Android Auto Bluetooth Radio USB SD AUX MP3 MP4 MP5 Bluetooth Music Mirror Links Multi Player Have both black and silver colors ...,City of Toronto,< 2 hours ago,2020-10-07 17:39:20.419071
1528459786,/v-ipod-mp3-player-other/city-of-toronto/suzuki-kizashi-gps-bluetooth-radio-audio-video-mp5-cd-dvd-unit/1528459786,499.0,suzuki kizashi gps bluetooth radio audio video mp5 cd dvd unit,,Suzuki Kizashi Indash HD Touchscreen Navigation Bluetooth DVD Player with SD/USB/AUX/IPod/IPhone/IPad Functions Rear View Camera Input - Applicable year: 2010-2014 - Processor: ARM11 - Memory: 128 MB ...,City of Toronto,< 3 hours ago,2020-10-07 17:39:20.419560
1528457687,/v-ipod-mp3-player-other/city-of-toronto/mazda-hd-touchscreen-gps-bluetooth-audio-video-mp5-mirror-links/1528457687,350.0,mazda hd touchscreen gps bluetooth audio video mp5 mirror links,,Mazda Indash HD Touchscreen GPS Bluetooth Radio MP3 MP4 MP5 USB SD AUX Bluetooth Music Mirror Links Multi Player This one with the Lastest tech MIRROR LINK. You can link your phone (support apple and ...,City of Toronto,< 3 hours ago,2020-10-07 17:39:20.420046
1528454517,/v-ipod-mp3-player-other/city-of-toronto/rooftop-cargo/1528454517,100.0,Rooftop cargo,,Rooftop cargos carrier,City of Toronto,< 3 hours ago,2020-10-07 17:39:20.420533
1528449311,/v-ipod-mp3-player-other/city-of-toronto/channel-master-4221-channel-master-4228-hd-tv-antenna-outdoor/1528449311,134.99,"CHANNEL MASTER 4221, CHANNEL MASTER 4228 HD TV ANTENNA OUTDOOR",,"WE HAVE 20 DIFFERENT KINDS OF HD TV ANTENNAS, ALL TOP BRAND ANTENNAS FOCUS, BEST, CHANNEL MASTER, ANTENNAS DIRECT, WINEGARD, SMART ANTENNA, ANTRA Quantities are limited!! Visit Today at TECH VISION ...",City of Toronto,< 4 hours ago,2020-10-07 17:39:20.421268
1528443472,/v-ipod-mp3-player-other/city-of-toronto/ultralink-10awg-speaker-cables/1528443472,30.0,Ultralink 10AWG Speaker Cables,,"Ultralink Audiophile Reference Series 10 Gauge Speaker Cable. Cables are 6' and 8' long respectively. Use with spades, banana plugs or leave them bare. Pick up at Coxwell & Danforth.",City of Toronto,< 4 hours ago,2020-10-07 17:39:20.421753
1528433086,/v-ipod-mp3-player-other/city-of-toronto/hdmi-switches-hdmi-splitters-hdmi-to-vga-rca-hdmi-over-cat5e/1528433086,19.99,"HDMI SWITCHES, HDMI SPLITTERS, HDMI TO VGA /RCA HDMI OVER CAT5E",,"HDMI SWITCHES, HDMI SPLITTERS, HDMI TO VGA /RCA HDMI OVER CAT5E/CAT6E USB TO HDMI, HDMI TO AV, AV TO HDMI, ANALOG TO DIGITAL CONVERTER, DIGITAL TO ANALOG CONVERTERS, HIDDEN IR REPEATER SYSTEM, ...",City of Toronto,< 5 hours ago,2020-10-07 17:39:20.422297
1528423950,/v-ipod-mp3-player-other/city-of-toronto/ceiling-tv-wall-mounts-for-tv-screen-from-19-80/1528423950,29.99,"CEILING TV WALL MOUNTS FOR TV SCREEN FROM 19""-80""",,"TV CEILING MOUNTS DOUBLE SIDED TV CEILING MOUNT 13-80 INCH TV HEIGHT ADJUSTABLE CEILING MOUNT WE CARRY 75 DIFFERENT WALL MOUNTS AND CEILING MOUNTS, PROJECTOR MOUNTS, MULTI SCREEN DESK MOUNTS, UNDER ...",City of Toronto,< 6 hours ago,2020-10-07 17:39:20.422853
1528421051,/v-ipod-mp3-player-other/city-of-toronto/need-gone-hanstar-high-quality-mic/1528421051,30.0,"Need gone, hanstar high quality mic",,"I got it from a friend but I don't need it no more, need it gone asap cause I'm trying to save up for a dj controller.",City of Toronto,< 6 hours ago,2020-10-07 17:39:20.423352
1528420371,/v-ipod-mp3-player-other/city-of-toronto/hdmi-cable-6-feet-2-99-hdmi-cable-35-ft-19-99-hdmi-50ft-25/1528420371,2.99,"HDMI CABLE 6 FEET $2.99, HDMI CABLE 35 FT $19.99, HDMI 50FT $25",,"6 FT HDMI CABLE $2.99, 35 FT HDMI CABLE $19.99, 50 FEET HDMI CABLE JUST FOR $24.99 ON UNBELIEVABLE SALE PRICE. HDMI CABLE STARTING FROM $2.99 HDMI CABLES 1.4V, 2.0V, 5FT, 6FT, 12FT, 25FT, 33FT, 40FT, ...",City of Toronto,< 6 hours ago,2020-10-07 17:39:20.423892
1528406820,/v-ipod-mp3-player-other/city-of-toronto/tv-tripod-mount-holds-32-to-55-in-tv-holds-upto-50-kg-110-lb/1528406820,79.99,TV TRIPOD MOUNT HOLDS 32 TO 55 IN TV HOLDS UPTO 50 KG / 110 LB,,"WE CARRY 60 DIFFERENT TV WALL MOUNTS, CEILING MOUNTS, MONITOR MOUNTS MULTI SCREEN MOUNTS BRACKETS, DVD SHELVES, TV TABLE STAND, SOUND BAR BRACKETS ON THE DISPLAY COME AND CHECK IT BEFORE YOU BUY IT. ...",City of Toronto,< 7 hours ago,2020-10-07 17:39:20.424429
1528401910,/v-ipod-mp3-player-other/city-of-toronto/stromberg-carlson-au-57/1528401910,200.0,stromberg  carlson AU-57,,Hi this unit needs to be overhauled but in good shape comes with all the tubes in the picture i like to get 200 the wiring inside is in good shape not rusted out .thank u,City of Toronto,< 7 hours ago,2020-10-07 17:39:20.424914
1528396928,/v-ipod-mp3-player-other/city-of-toronto/opp-and-fire-scanner-for-sale/1528396928,200.0,"Wanted:
                            OPP AND FIRE SCANNER FOR SALE",,"Selling 2 uniden scanners Uniden BCT8- york,rhill,markham Fire Uniden BC796D- OPP (toronto,Aurora,407) Comes with power cord, 1 antenna 1 speaker sold the other set SELLING BOTH for $200, ...",City of Toronto,< 8 hours ago,2020-10-07 17:39:20.425398
1528390637,/v-ipod-mp3-player-other/city-of-toronto/crosby-portable-record-player-suitcase/1528390637,70.0,Crosby Portable Record Player Suitcase,,In perfect condition - never used.,City of Toronto,< 8 hours ago,2020-10-07 17:39:20.425886
1506327133,/v-ipod-mp3-player-other/city-of-toronto/dvd-player-pinneer-dvd-video-cd-cd/1506327133,15.0,Dvd player pinneer  DVD/video CD/cd,,"Dvd player pioneer DVD/video CD/cd. - Great condition - Comes with a remote , SPDIF output, audio line-out, component video output, composite video output - Media type: CD, DVD, Video CD Included ...",City of Toronto,< 9 hours ago,2020-10-07 17:39:20.426382
1514551261,/v-ipod-mp3-player-other/city-of-toronto/radio-modern-sleek-glows/1514551261,30.0,radio modern sleek- glows,,"pretty much new, hardly used at all maybe once lol. Its nice and compact too, doesnt take up alot of space you can leave it normal or have it light up(glow) with the beat cd player, fm am radio, has ...",City of Toronto,< 20 hours ago,2020-10-07 17:39:20.426928
1528317932,/v-ipod-mp3-player-other/city-of-toronto/vintage-sony-wm-af54-walkman/1528317932,60.0,Vintage Sony WM-AF54 Walkman,,Beautiful vintage Sony Walkman model WM-AF54 in great condition. Fully working - easily brings in and locks on AM and FM stations . Cassette player works perfectly and sounds great. Excellent for ...,City of Toronto,< 22 hours ago,2020-10-07 17:39:20.427856
