,url,price,title,distance,description,location,time_offset,retreived
1528274488,/v-iron-garment-steamer/city-of-toronto/ironing-board-adjustable-height/1528274488,10.0,Ironing board adjustable height,,"Dänka ironing board, adjustable height Ironing surface, length: 47 ¼ "" (120 cm) Ironing surface, width: 14 ½ "" (37 cm) Min. height: 23 ½ "" (60 cm) Max. height: 37 ½ "" (95 cm) Pick up at King & ...",City of Toronto,< 2 hours ago,2020-10-06 17:26:45.766849
1528262262,/v-iron-garment-steamer/city-of-toronto/naturelife-1200-watt-8-79oz-clothes-steamer/1528262262,15.0,Naturelife 1200-watt. 8.79oz clothes steamer,,Great condition. Only used once. Never had another chance to use it. Picks up only.,City of Toronto,< 3 hours ago,2020-10-06 17:26:45.767345
1489989044,/v-iron-garment-steamer/city-of-toronto/sun-beam-steam-master-iron-models-4229-4230-4234-new/1489989044,35.0,"SUN BEAM Steam Master Iron models 4229,4230,4234 NEW",,"SUN BEAM Steam Master Iron models 4229,4230,4234, NEW, working condition, pick up in mississauga hurontario st and dundas st w (anytime) and don mills rd and eglinton ave e north york(schedule time)",City of Toronto,< 4 hours ago,2020-10-06 17:26:45.767831
1528249671,/v-iron-garment-steamer/city-of-toronto/rowenta-iron-compact-steam/1528249671,155.0,ROWENTA iron compact steam,,"Rowenta 1830005479 DG7530, Compact Steam Station, 1800 Watts, Dark GreenThe super smooth gliding and the precision tip helps to reach the hard areas easily and allows excellent ironing and wide steam ...",City of Toronto,< 4 hours ago,2020-10-06 17:26:45.768318
1528196390,/v-iron-garment-steamer/city-of-toronto/conair-clothes-steamer/1528196390,20.0,CONAIR clothes steamer,,"Handheld , dual heat technology, energy saving, extreme steamer. 1110watts of power, kills dust mites and bed bugs.",City of Toronto,< 9 hours ago,2020-10-06 17:26:45.768805
1528137898,/v-iron-garment-steamer/city-of-toronto/jiffy-j-4000-garment-steamer/1528137898,200.0,Jiffy J-4000 Garment Steamer,,"Jiffy J-4000 steamer, near mint condition. Used but works perfectly. Original price is $400+ I can meet near Don Mills and Lawrence. Please message me if you’re interested!",City of Toronto,< 22 hours ago,2020-10-06 17:26:45.769299
1528056984,/v-iron-garment-steamer/city-of-toronto/philips-elance-iron/1528056984,40.0,Philips Elance Iron,,"Philips Elance Iron. Works fine, aside from water sprayer which is broken. Overall good heat & quality.",City of Toronto,Yesterday,2020-10-06 17:26:45.769784
1517243927,/v-iron-garment-steamer/city-of-toronto/iron/1517243927,10.0,Iron,,Beautiful iron. Great condition. Flattens wrinkles with ease. Get it while it’s hot!,City of Toronto,Yesterday,2020-10-06 17:26:45.770352
1527976370,/v-iron-garment-steamer/city-of-toronto/ironing-board/1527976370,20.0,Ironing board,,Ironing board Pick up liberty village,City of Toronto,Yesterday,2020-10-06 17:26:45.771057
1527962899,/v-iron-garment-steamer/city-of-toronto/tefal-steamer/1527962899,60.0,Tefal Steamer,,Tefal Steamer - $60 In perfect condition - Bought this year and use a couple of times Pick-up at Steeles & Bathurst Please check out my other items - moving sale,City of Toronto,04/10/2020,2020-10-06 17:26:45.771539
1517165373,/v-iron-garment-steamer/city-of-toronto/conair-clothes-steamer/1517165373,55.0,Conair Clothes Steamer,,Slightly used floor steamer to remove wrinkles from clothes.,City of Toronto,04/10/2020,2020-10-06 17:26:45.772027
1527957300,/v-iron-garment-steamer/city-of-toronto/proctor-silex-iron/1527957300,2.0,proctor silex iron,,"working well pick up only if the ad is up, it is available",City of Toronto,04/10/2020,2020-10-06 17:26:45.772513
1488912501,/v-iron-garment-steamer/city-of-toronto/bargain-ital-vapor-turbo-light-weight-travel-steam-iron-gray/1488912501,20.0,BARGAIN - Ital Vapor Turbo Light Weight Travel Steam Iron - Gray,,"Ital Vapor Turbo Light Weight Travel Steam Iron - Gray. Jane and Dundas area. $ 20.00. I don't have the box. Used once . If the ad is posted, the item is still available.",City of Toronto,04/10/2020,2020-10-06 17:26:45.773003
1517127104,/v-iron-garment-steamer/city-of-toronto/conair-fabric-steamer/1517127104,120.0,Conair Fabric Steamer,,"Dual heat technology that brings water to a boil in the base, and then heats it again in the nozzle to release hotter steam. Great for ironing clothes or steaming to clean. Bought it for $200+ tax ...",City of Toronto,04/10/2020,2020-10-06 17:26:45.773491
1527789512,/v-iron-garment-steamer/city-of-toronto/clothing-shaver/1527789512,1.0,Clothing Shaver,,Clothing Shaver electric and battery $10 or b/o,City of Toronto,04/10/2020,2020-10-06 17:26:45.774175
1527783731,/v-iron-garment-steamer/city-of-toronto/irons-and-ironing-board/1527783731,15.0,Irons and Ironing Board,,"Clothes irons all in perfect working order. A) Irons are $15 EACH * Proctor Silex * Black and Decker * General Electric * Philips Steam Iron B) Ironing Board, includes holder for iron- $25 C) Small ...",City of Toronto,04/10/2020,2020-10-06 17:26:45.774665
1527781604,/v-iron-garment-steamer/city-of-toronto/new-steam-iron-for-sale/1527781604,19.0,New Steam Iron for sale,,"Selling new steam iron - 2 available. The price is $19. The ironing board is also available for $10(large) or $5(small). Delivery is available, providing the location is not too far from the Toronto ...",City of Toronto,04/10/2020,2020-10-06 17:26:45.775152
1527691862,/v-iron-garment-steamer/city-of-toronto/cloth-iron/1527691862,10.0,cloth iron,,Clothes iron,City of Toronto,03/10/2020,2020-10-06 17:26:45.775635
