,url,price,title,distance,description,location,time_offset,retreived
1528343183,/v-jewelry-watch/city-of-toronto/10k-yellow-gold-deep-yellow-sapphire-ring-size-5-5/1528343183,375.0,10K Yellow Gold Deep Yellow Sapphire Ring - Size 5.5,,Please see pictures for detailed descriptions of this vintage ring.,City of Toronto,< 1 minute ago,2020-10-06 23:04:56.207809
1528343114,/v-jewelry-watch/city-of-toronto/2-vintage-heart-shaped-trinket-boxes/1528343114,15.0,2 vintage heart shaped trinket boxes,,1 silver with gold bow and red fabric liner. The other has a silver lid with crystal container. $15 each. Porch pick up Royal York and Lakeshore.,City of Toronto,< 2 minutes ago,2020-10-06 23:04:56.208338
1528342998,/v-jewelry-watch/city-of-toronto/finger-rings-brand-new/1528342998,20.0,Finger rings (Brand New),,Selling these (brand new) rings. For male/female. Stainless steel. Take all (full box) for $20. If interested please provide a number to contact i will get back to you. Thank you.,City of Toronto,< 4 minutes ago,2020-10-06 23:04:56.208832
1517637765,/v-jewelry-watch/city-of-toronto/invicta-watches/1517637765,90.0,Invicta watches,,1 Pro Diver quarts watch in good condition 1 speedway watch in good condition Purchased 3 months ago and moving up to another watch. Purchased each watch for 115+ hst. Both really well maintained and ...,City of Toronto,< 14 minutes ago,2020-10-06 23:04:56.209321
1528340268,/v-jewelry-watch/city-of-toronto/nomad-modern-strap-for-apple-watch-44mm-42mm-1-2-3-4-mocha-br/1528340268,45.0,"Nomad Modern Strap for Apple Watch 44mm/42mm, 1,2,3,4, Mocha Br",,"$45: New For Apple watch series 1,2,3,4 only Black Heinen leather from Germany Custom stainless steel lugs and buckle Designed for Apple Watches Works with all previous versions of Apple Watch ...",City of Toronto,< 36 minutes ago,2020-10-06 23:04:56.209809
1528339631,/v-jewelry-watch/city-of-toronto/sold-sold-limited-edition-altimeter-only-999-made/1528339631,3250.0,SOLD! SOLD! *Limited Edition “Altimeter” only 999 made!*,,This watch is sold but have a look at my other limited edition watches for sale by clicking on my profile Limited Edition Bell & Ross BR01-96 time piece #149 of only 999. Works great! These limited ...,City of Toronto,< 43 minutes ago,2020-10-06 23:04:56.210301
1528339623,/v-jewelry-watch/city-of-toronto/limited-edition-bell-and-ross-turn-co-ordinator-only-999-made/1528339623,3250.0,Limitéd édition Béll ând Ross “Türn Co-ordînâtor” only 999 mâdé!,,"Limited Edition Bell & Ross BR01-92 time piece #272 of only 999. Works great! These limited series of watches were inspired by flight instruments found in airplane cockpits, this one is modelled ...",City of Toronto,< 43 minutes ago,2020-10-06 23:04:56.210800
1528339621,/v-jewelry-watch/city-of-toronto/limited-edition-bell-ross-br01-92-red-dial-only-500-made/1528339621,3500.0,*Limited Edition Bell & Ross BR01-92 Red Dial only 500 made!*,,"Limited Edition Bell & Ross BR01-92 time piece #155 of only 500. Works great! This piece would be a fantastic addition to any watch collection, comes with factory box, manual and warranty card. The ...",City of Toronto,< 43 minutes ago,2020-10-06 23:04:56.211288
1528339213,/v-jewelry-watch/city-of-toronto/casio-g-shock-gwf-1000-frogman-back-bezel-bottom/1528339213,20.0,Casio G-shock Gwf-1000 frogman back bezel bottom,,Very good condition.,City of Toronto,< 48 minutes ago,2020-10-06 23:04:56.211777
1528337048,/v-jewelry-watch/city-of-toronto/leaf-pendant-on-necklace/1528337048,18.0,leaf pendant on necklace,,leaf pendant on necklace on necklace with 8 strands of simulated leather pendant size: 3.25 inches length necklace: 18 inches + 2.7 inches This is my shop: Pittens Shiny Things Due to Covid I am not ...,City of Toronto,< 2 hours ago,2020-10-06 23:04:56.212598
1528336967,/v-jewelry-watch/city-of-toronto/daniel-wellington-watch/1528336967,100.0,Daniel Wellington Watch,,With receipt and box. Used a few times.,City of Toronto,< 2 hours ago,2020-10-06 23:04:56.213100
1528336333,/v-jewelry-watch/city-of-toronto/bnib-sealed-rose-gold-44mm-samsung-watch-active-2-smartwatch/1528336333,300.0,BNIB Sealed Rose Gold 44mm Samsung Watch Active 2 Smartwatch,,"I have for a sale a brand new in box sealed Samsung Galaxy active 2 Smartwatch, with 44mm size and in Rose Gold color. I will include POP/receipt for warranty. Firm Priced at 300 as it retails for ...",City of Toronto,< 2 hours ago,2020-10-06 23:04:56.213595
1528334356,/v-jewelry-watch/city-of-toronto/versace-gold-necklace/1528334356,400.0,Versace Gold necklace,,Bought last year Xmas on ssense with an authentication card The regular price was $1100 plus tax and got it on sale for &700+ tax Only used a few times Price is negotiable,City of Toronto,< 2 hours ago,2020-10-06 23:04:56.214086
1528334092,/v-jewelry-watch/city-of-toronto/guess-gold-watch/1528334092,165.0,Guess Gold Watch,,GUESS Gold Watch ~ White watch face with roman numerals ~ New Condition,City of Toronto,< 2 hours ago,2020-10-06 23:04:56.214816
1528333530,/v-jewelry-watch/city-of-toronto/rosegold-apple-watch-band/1528333530,20.0,RoseGold Apple Watch Band,,"Brand new , have not used it yet. Rose gold Made out of metal , Not plastic For Apple Watch size 38-40mm",City of Toronto,< 2 hours ago,2020-10-06 23:04:56.215412
1528333210,/v-jewelry-watch/city-of-toronto/925-silver-plated-locket-pendant-necklace/1528333210,25.0,925 silver plated locket pendant necklace,,"925 silver plated locket pendant necklace length: 18 inches with three 925 silver plated strands also available on a 24"" 2mm chain pendant diameter: 3.3cm plated with 925 sterling silver This is my ...",City of Toronto,< 2 hours ago,2020-10-06 23:04:56.215913
1528333022,/v-jewelry-watch/city-of-toronto/men-s-c6-glow-ring-brand-new-size-10/1528333022,250.0,Men’s C6 Glow Ring - Brand New (Size 10),,"Brand new, handcrafted in Brooklyn and never worn. Ordered for my boyfriend but doesn’t fit. Glows with LED charger. Otherwise just a great modern ring. Includes: Titanium Fibonacci ring Ring Charger ...",City of Toronto,< 2 hours ago,2020-10-06 23:04:56.216428
1528332227,/v-jewelry-watch/city-of-toronto/gold-diamonds-michael-kors-k-charm/1528332227,40.0,Gold Diamonds Michael Kors “K” Charm,,Gold Diamonds Michael Kors “K” Charm ~ BRAND NEW ~ in store price is $65 plus tax.,City of Toronto,< 2 hours ago,2020-10-06 23:04:56.216953
1528331876,/v-jewelry-watch/city-of-toronto/jewellery/1528331876,8.0,Jewellery,,Lots of chains and jewellery..rings Take all in $8,City of Toronto,< 2 hours ago,2020-10-06 23:04:56.217526
1528331248,/v-jewelry-watch/city-of-toronto/stella-dot-baguette-blitz-earrings/1528331248,25.0,Stella & Dot Baguette Blitz earrings,,Gold Stella & Dot Baguette Blitz earrings ~ BRAND NEW never worn ~ in store price is $52 plus tax. I am selling for more than 50% off.,City of Toronto,< 2 hours ago,2020-10-06 23:04:56.218052
1447204719,/v-jewelry-watch/city-of-toronto/mother-of-pearl-necklace-bracelet-set/1447204719,25.0,Mother of pearl necklace bracelet set,,Beautiful bright colours set,City of Toronto,< 3 hours ago,2020-10-06 23:04:56.218591
1447206122,/v-jewelry-watch/city-of-toronto/amethyst-bracelet-on-elastic-band/1447206122,25.0,Amethyst bracelet on elastic band.,,Each amethyst piece is about 1/2 cm size.,City of Toronto,< 3 hours ago,2020-10-06 23:04:56.219120
1447206533,/v-jewelry-watch/city-of-toronto/onyx-pendant-on-extra-long-necklace/1447206533,10.0,Onyx pendant on extra long necklace,,Pendant is about 1” long. Necklace is not made from onyx.,City of Toronto,< 3 hours ago,2020-10-06 23:04:56.219650
1447203736,/v-jewelry-watch/city-of-toronto/3-sets-of-coral-jewelry-sets-20-each/1447203736,25.0,3 sets of coral jewelry sets $20 each,,Sold separately too. Red green white corals.,City of Toronto,< 3 hours ago,2020-10-06 23:04:56.220185
1528329929,/v-jewelry-watch/city-of-toronto/gold-or-silver-round-pendant-necklace/1528329929,18.0,gold or silver round pendant necklace,,gold or silver round pendant necklace on necklace with 8 strands of simulated leather pendant size: 2.36 inches length necklace: 18 inches + 2.7 inches This is my shop: Pittens Shiny Things Due to ...,City of Toronto,< 3 hours ago,2020-10-06 23:04:56.220708
1447207500,/v-jewelry-watch/city-of-toronto/multi-crystal-necklace/1447207500,25.0,Multi crystal necklace,,Gift from Martinique. Beautiful piece.,City of Toronto,< 3 hours ago,2020-10-06 23:04:56.221223
1376715890,/v-jewelry-watch/city-of-toronto/100-authentic-return-to-tiffany-round-tag-bracelet-valentine-s/1376715890,200.0,100% Authentic Return To Tiffany Round Tag Bracelet Valentine’s,,"Used Authentic Tiffany and co bracelet 8/10 condition Comes with bag, pouch, boxes Meet up downtown toronto or mississauga Perfect Valentine’s Day gift",City of Toronto,< 3 hours ago,2020-10-06 23:04:56.221755
1528329316,/v-jewelry-watch/city-of-toronto/peoples-jewellers-diamond-ring/1528329316,300.0,Peoples Jewellers Diamond Ring,,Selling this gorgeous Enchanted Disney Cinderella 0.10 CT ring in 14K White Gold. Size is 1.6cm (inner diameter) and 2cm (outer diameter). Bought in 2017. Worn only twice on special occasions. Was a ...,City of Toronto,< 3 hours ago,2020-10-06 23:04:56.222282
1528329232,/v-jewelry-watch/city-of-toronto/pandora-rose-gold-heart-cut-out-ring/1528329232,30.0,Pandora Rose Gold Heart Cut out Ring,,PANDORA Rose Gold Heart Cut out Ring ~ New condition ~ In store price is $70. I am selling for more than 50% off. ~ Size 4 1/2,City of Toronto,< 3 hours ago,2020-10-06 23:04:56.222841
1528328812,/v-jewelry-watch/city-of-toronto/pandora-silver-bow-ring/1528328812,35.0,Pandora Silver Bow ring,,PANDORA Classic Silver Bow Ring ~ New condition ~ In store price is $80. I am selling for more than 50% off. ~ Size 5,City of Toronto,< 3 hours ago,2020-10-06 23:04:56.223348
1528327281,/v-jewelry-watch/city-of-toronto/new-in-the-package-18k-gold-plated-cuban-link-chain-20-only-40/1528327281,40.0,"NEW IN THE PACKAGE 18K GOLD PLATED CUBAN LINK CHAIN 20"" ONLY$40",,"This is ONLY $20 FOR A 20"" CUBAN LINK GOLD CHAIN 18K GOLD PLATED!!!!! STILL IN THE PACKAGE. PRICE IS $40 FIRM PICK UP SCARBOROUGH. MCCOWAN AND STEELES ONLY.",City of Toronto,< 3 hours ago,2020-10-06 23:04:56.223863
1528326854,/v-jewelry-watch/city-of-toronto/gold-michael-kors-star-stud-earrings/1528326854,20.0,Gold Michael Kors Star Stud Earrings,,"Brand NEW never worn Gold Star Stud Michael Kors Earrings ~ 1 tiny diamond on the post backing of the earring and 1 tiny diamond behind the star ~ In store price is around $40 plus tax, I am selling ...",City of Toronto,< 3 hours ago,2020-10-06 23:04:56.224389
1358486898,/v-jewelry-watch/city-of-toronto/kenneth-cole-watch/1358486898,25.0,Kenneth Cole watch,,"needs battery,, stainless steel bracelet",City of Toronto,< 3 hours ago,2020-10-06 23:04:56.224881
1528325797,/v-jewelry-watch/city-of-toronto/omega-speedmaster-39mm-silver-dial-good-condition/1528325797,2695.0,Omega Speedmaster 39mm Silver Dial - Good Condition,,"The Omega Speedmaster is a great addition to any collection. This watch is in good condition for the age, with some marks on the case and bracelet. This Speedmaster makes for a great value on a ...",City of Toronto,< 3 hours ago,2020-10-06 23:04:56.225374
1528325577,/v-jewelry-watch/city-of-toronto/ruby-jewelery/1528325577,200.0,Ruby Jewelery,,"lab created rubies Ruby Ring (size 8, silver): $100 Ruby Pendant (silver): $75 Loose Ruby Hearts (12): $50 $200 for the whole lot",City of Toronto,< 3 hours ago,2020-10-06 23:04:56.225864
1528343183,/v-jewelry-watch/city-of-toronto/10k-yellow-gold-deep-yellow-sapphire-ring-size-5-5/1528343183,375.0,10K Yellow Gold Deep Yellow Sapphire Ring - Size 5.5,,Please see pictures for detailed descriptions of this vintage ring.,City of Toronto,< 1 minute ago,2020-10-06 23:04:58.894781
1528343114,/v-jewelry-watch/city-of-toronto/2-vintage-heart-shaped-trinket-boxes/1528343114,15.0,2 vintage heart shaped trinket boxes,,1 silver with gold bow and red fabric liner. The other has a silver lid with crystal container. $15 each. Porch pick up Royal York and Lakeshore.,City of Toronto,< 2 minutes ago,2020-10-06 23:04:58.895327
1528342998,/v-jewelry-watch/city-of-toronto/finger-rings-brand-new/1528342998,20.0,Finger rings (Brand New),,Selling these (brand new) rings. For male/female. Stainless steel. Take all (full box) for $20. If interested please provide a number to contact i will get back to you. Thank you.,City of Toronto,< 4 minutes ago,2020-10-06 23:04:58.895842
1517637765,/v-jewelry-watch/city-of-toronto/invicta-watches/1517637765,90.0,Invicta watches,,1 Pro Diver quarts watch in good condition 1 speedway watch in good condition Purchased 3 months ago and moving up to another watch. Purchased each watch for 115+ hst. Both really well maintained and ...,City of Toronto,< 15 minutes ago,2020-10-06 23:04:58.896339
1528340268,/v-jewelry-watch/city-of-toronto/nomad-modern-strap-for-apple-watch-44mm-42mm-1-2-3-4-mocha-br/1528340268,45.0,"Nomad Modern Strap for Apple Watch 44mm/42mm, 1,2,3,4, Mocha Br",,"$45: New For Apple watch series 1,2,3,4 only Black Heinen leather from Germany Custom stainless steel lugs and buckle Designed for Apple Watches Works with all previous versions of Apple Watch ...",City of Toronto,< 36 minutes ago,2020-10-06 23:04:58.896834
1528339631,/v-jewelry-watch/city-of-toronto/sold-sold-limited-edition-altimeter-only-999-made/1528339631,3250.0,SOLD! SOLD! *Limited Edition “Altimeter” only 999 made!*,,This watch is sold but have a look at my other limited edition watches for sale by clicking on my profile Limited Edition Bell & Ross BR01-96 time piece #149 of only 999. Works great! These limited ...,City of Toronto,< 43 minutes ago,2020-10-06 23:04:58.897427
1528339623,/v-jewelry-watch/city-of-toronto/limited-edition-bell-and-ross-turn-co-ordinator-only-999-made/1528339623,3250.0,Limitéd édition Béll ând Ross “Türn Co-ordînâtor” only 999 mâdé!,,"Limited Edition Bell & Ross BR01-92 time piece #272 of only 999. Works great! These limited series of watches were inspired by flight instruments found in airplane cockpits, this one is modelled ...",City of Toronto,< 43 minutes ago,2020-10-06 23:04:58.897926
1528339621,/v-jewelry-watch/city-of-toronto/limited-edition-bell-ross-br01-92-red-dial-only-500-made/1528339621,3500.0,*Limited Edition Bell & Ross BR01-92 Red Dial only 500 made!*,,"Limited Edition Bell & Ross BR01-92 time piece #155 of only 500. Works great! This piece would be a fantastic addition to any watch collection, comes with factory box, manual and warranty card. The ...",City of Toronto,< 43 minutes ago,2020-10-06 23:04:58.898411
1528339213,/v-jewelry-watch/city-of-toronto/casio-g-shock-gwf-1000-frogman-back-bezel-bottom/1528339213,20.0,Casio G-shock Gwf-1000 frogman back bezel bottom,,Very good condition.,City of Toronto,< 48 minutes ago,2020-10-06 23:04:58.898916
