,url,price,title,distance,description,location,time_offset,retreived
1528330491,/v-kids-bike/city-of-toronto/used-huffy-12-girl-bike-with-training-wheels-good-working/1528330491,25.0,"Used Huffy 12"" Girl Bike with Training wheels, good working",,"416-284-0811 FIRM PRICE NO OFFERS Used Huffy 12"" Girl Bike with Training wheels, good working nothing wrong",City of Toronto,< 4 hours ago,2020-10-07 00:11:33.475843
1528330477,/v-kids-bike/city-of-toronto/used-great-working-huffy-16-boy-bike/1528330477,25.0,"Used great working Huffy 16"" Boy Bike",,"416-284-0811 no text pickup only FIRM firm PRICE NO OFFERS Used great working Huffy 16"" Boy Bike nothing wrong, has some rust but ready to run",City of Toronto,< 4 hours ago,2020-10-07 00:11:33.476343
1528327957,/v-kids-bike/city-of-toronto/used-great-working-huffy-cars-14-boy-bike/1528327957,20.0,"Used great working Huffy Cars 14"" Boy Bike",,"416-284-0811 no text pickup only east scarborough FIRM PRICE NO OFFERS Used great working Huffy Cars 14"" Boy Bike nothing wrong, has some rust but ready to run",City of Toronto,< 4 hours ago,2020-10-07 00:11:33.476840
1528326084,/v-kids-bike/city-of-toronto/used-boy-14-spider-man-bike-great-working/1528326084,25.0,"Used Boy 14"" Spider man Bike, great working",,"416-284-0811 no text FIRM FINAL PRICE no bargaining Used Boy 14"" Spider man Bike, great working nothing wrong, ready to run",City of Toronto,< 4 hours ago,2020-10-07 00:11:33.477333
1528325329,/v-kids-bike/city-of-toronto/slightly-used-next-rave-6-speed-kids-bike-with-front-suspension/1528325329,70.0,"Slightly used Next Rave 6-Speed Kids Bike, with front suspension",,"416-284-0811 no text pickup only east scarborough FIRM final PRICE NO OFFERS Slightly used Next Rave 6-Speed Kids Bike with front suspension, all great working, no issues Frame Size : 12"" Tire Size : ...",City of Toronto,< 4 hours ago,2020-10-07 00:11:33.477827
1528322540,/v-kids-bike/city-of-toronto/barely-used-supercycle-16-girl-cream-soda-bike-with-hand-brake/1528322540,55.0,"Barely used Supercycle 16"" Girl Cream Soda Bike with hand brake",,"416-284-0811 no text FIRM PRICE NO OFFERS Barely used Supercycle 16"" Girl Cream Soda Bike with hand brake, excellent condition nothing wrong, ready to run, also for extra $10 training wheels ...",City of Toronto,< 5 hours ago,2020-10-07 00:11:33.478321
1528322478,/v-kids-bike/city-of-toronto/slightly-used-kids-scooter-very-good-condition/1528322478,25.0,"Slightly used kids Scooter, very good condition",,"416-284-0811 no text pickup only FIRM final PRICE no offers Slightly used kids Scooter, very good condition",City of Toronto,< 5 hours ago,2020-10-07 00:11:33.478838
1528322402,/v-kids-bike/city-of-toronto/used-16-girl-barbie-bike-with-hand-brake-good-working/1528322402,45.0,"Used 16"" Girl Barbie Bike with hand brake, good working",,"416-284-0811 no text FIRM PRICE NO OFFERS Used 16"" Girl Barbie Bike with hand brake good working nothing wrong, ready to run, also for extra $10 training wheels available",City of Toronto,< 5 hours ago,2020-10-07 00:11:33.479334
1528318882,/v-kids-bike/city-of-toronto/used-girls-huffy-18-bike-with-handle-break-training-wheels/1528318882,70.0,"Used Girl's Huffy 18"" Bike with handle break & training wheels",,"416-284-0811 no text pickup only east scarborough FIRM final PRICE NO OFFERS Used Girl's Huffy 18"" Bike with handle break and training wheels, good working nothing wrong",City of Toronto,< 5 hours ago,2020-10-07 00:11:33.479865
1517655004,/v-kids-bike/city-of-toronto/used-kids-tricycle/1517655004,15.0,Used Kids Tricycle,,Red and Black tricycle. Pick up Spadina Rd/St Clair West (near St Clair W subway station),City of Toronto,< 5 hours ago,2020-10-07 00:11:33.480362
1528317290,/v-kids-bike/city-of-toronto/almost-new-ccm-arrow-boy-16-bike-with-front-suspension-all-grea/1528317290,70.0,"Almost New CCM Arrow Boy 16"" Bike with Front Suspension,all grea",,"416-284-0811 no text pickup only FIRM final PRICE NO OFFERS $135 + tax in Canadian tire Almost New barely used CCM Arrow Boy 16"" Bike with Front Suspension and both a rear coaster and rear handbrake ...",City of Toronto,< 5 hours ago,2020-10-07 00:11:33.480858
1528317081,/v-kids-bike/city-of-toronto/slightly-used-little-tikes-trike/1528317081,25.0,Slightly used Little Tikes Trike,,416-284-0811 FIRM PRICE no offers Slightly used Little Tikes Trike,City of Toronto,< 5 hours ago,2020-10-07 00:11:33.481352
1528316151,/v-kids-bike/city-of-toronto/used-good-shape-girls-huffy-18-bike-with-handle-break/1528316151,60.0,"Used good shape Girl's Huffy 18"" Bike with handle break",,"416-284-0811 no text pickup only east scarborough FIRM PRICE NO OFFERS Used good shape Girl's Huffy 18"" Bike with handle break, great working nothing wrong",City of Toronto,< 5 hours ago,2020-10-07 00:11:33.481848
1528315615,/v-kids-bike/city-of-toronto/like-new-kids-ballance-bike-no-pedals/1528315615,35.0,Like New Kids Ballance Bike (no pedals),,"416-284-0811 no text pickup only FIRM final PRICE NO OFFERS Like New Kids Ballance Bike (no pedals) 10"" wheels Ideal for children around 2-3 ages learning how to balance on a bike before they ...",City of Toronto,< 5 hours ago,2020-10-07 00:11:33.482349
