,url,price,title,distance,description,location,time_offset,retreived
1506840254,/v-lacrosse/city-of-toronto/lacrosse-equipment/1506840254,30.0,Lacrosse equipment,,"Lacrosse stick ,shoulder, and arm pads. Fits youth 10 to 15 years old of average size. Excellent condition hardly used. Comes with carrying bag.Cost new $135. Selling fo $30",City of Toronto,< 16 hours ago,2020-10-06 12:17:20.313878
1528083054,/v-lacrosse/city-of-toronto/brand-new-stx-lacrosse-shaft/1528083054,40.0,BRAND NEW STX LACROSSE SHAFT,,"New, never used. Pickup near Bathurst and College.",City of Toronto,< 21 hours ago,2020-10-06 12:17:20.315601
1528048922,/v-lacrosse/city-of-toronto/lacrosse-bag-mint/1528048922,20.0,Lacrosse Bag - MINT,,"GAIT Recon Lacrosse Duffle Bag Approximately 42"" x 13"" x 12"" Vented shoe compartment Fits adult sticks $20 obo This bag was purchased new, but never used. Excellent condition. Don Mills & Sheppard",City of Toronto,< 24 hours ago,2020-10-06 12:17:20.316467
1494338492,/v-lacrosse/city-of-toronto/lacrosse-arm-and-shoulder-pad-size-7-9-year-olds/1494338492,20.0,"Lacrosse arm and shoulder pad, size 7-9 year olds",,"Lacrosse chest and shoulder pad, good for 7-9 year olds.",City of Toronto,Yesterday,2020-10-06 12:17:20.316968
1494338882,/v-lacrosse/city-of-toronto/under-armour-lacrosse-gloves-sm-10inch/1494338882,30.0,"Under armour lacrosse gloves, sm/10inch",,"Under armour lacrosse gloves, sm/10inch spectre",City of Toronto,Yesterday,2020-10-06 12:17:20.317463
1527664459,/v-lacrosse/city-of-toronto/vintage-wooden-lacrosse-sticks/1527664459,59.0,Vintage Wooden Lacrosse Sticks !,,These two wooden lacrosse sticks are from the 1950`s or early 1960`s. I used them when I played minor lacrosse for Mimico. Leather looks good just needs softening up. I can`t find a mfg. name on ...,City of Toronto,03/10/2020,2020-10-06 12:17:20.317955
1435254742,/v-lacrosse/city-of-toronto/stx-stinger-shoulder-pad-gloves-elbow-pads-for-lacrosse/1435254742,80.0,"STX Stinger Shoulder Pad,Gloves, Elbow Pads for Lacrosse",,"Stinger shoulder pad dual layer coverage in collar bone, sternum and shoulder zones. High impacted shoulder caps protect and deaden impact of stick checks and hits Perfect condition. The price and ...",City of Toronto,28/09/2020,2020-10-06 12:17:20.318477
1456353740,/v-lacrosse/city-of-toronto/cascade-field-lacrosse-helmet/1456353740,40.0,Cascade field Lacrosse helmet,,Selling Lacrosse helmet (very good condition) Cascade Lacrosse helmet (L) $40 (no chin strap),City of Toronto,25/09/2020,2020-10-06 12:17:20.319019
1515564048,/v-lacrosse/city-of-toronto/lacrosse-set/1515564048,15.0,Lacrosse Set,,"Youth XS Posted by Andi in sporting goods, exercise, lacrosse in Toronto (GTA), City of Toronto. August 1, 2020",City of Toronto,25/09/2020,2020-10-06 12:17:20.320576
1526031877,/v-lacrosse/city-of-toronto/brand-new-stx-ultra-power-lacrosse-head/1526031877,80.0,BRAND NEW STX ULTRA POWER LACROSSE HEAD,,Pro-quality head. Proven to increase shot speed by 5-7mph. Located around Bathurst and College for pickup. Thanks!,City of Toronto,24/09/2020,2020-10-06 12:17:20.322079
1475930734,/v-lacrosse/city-of-toronto/east-coast-dyes-hero-2-0-lacrosse-mesh/1475930734,20.0,East Coast Dyes Hero 2.0 Lacrosse Mesh,,Brand new. Red Hero 2.0 Lacrosse Mesh from ECD. Located in Toronto. Thanks,City of Toronto,22/09/2020,2020-10-06 12:17:20.323552
1507676863,/v-lacrosse/city-of-toronto/20-stx-al6000-lacrosse-stick-aluminum-stx-octane-wood-stick/1507676863,20.0,$20 - STX AL6000 Lacrosse Stick Aluminum & STX OCTANE Wood Stick,,"STX AL6000 Lacrosse Stick Aluminum 30 inches STX OCTANE Wood Stick 30 inches Used one season, GOOD CONDITION! 2 for $20",City of Toronto,21/09/2020,2020-10-06 12:17:20.324114
1524385147,/v-lacrosse/city-of-toronto/gait-lacrosse-stick/1524385147,45.0,Gait Lacrosse stick,,Great condition,City of Toronto,16/09/2020,2020-10-06 12:17:20.324611
1502600544,/v-lacrosse/city-of-toronto/stx-lacrosse-kidney-and-elbow-pads/1502600544,25.0,STX Lacrosse Kidney and Elbow Pads,,Like new STX Lacrosse Kidney and Elbow Pads Kidney are size youth XXL and elbow are XS $25 for Kidney $10 for Elbow Or take both for $30,City of Toronto,12/09/2020,2020-10-06 12:17:20.325102
