,url,price,title,distance,description,location,time_offset,retreived
1528486311,/v-ladder-scaffolding/city-of-toronto/featherlite-combination-ladder/1528486311,100.0,Featherlite Combination Ladder,,"9.9/10 condition. Only used it for less than a week and I paid around $200. Must pickup. The price is non-negotiable, if you come you're paying $100 for it. Text me for quickest response.",City of Toronto,< 26 minutes ago,2020-10-07 18:16:00.707808
1528449750,/v-ladder-scaffolding/city-of-toronto/drywall-stilts/1528449750,200.0,Drywall stilts,,"Looking to sell the pair for 200 , paid 1500 back in the day",City of Toronto,< 4 hours ago,2020-10-07 18:16:00.708576
1528425844,/v-ladder-scaffolding/city-of-toronto/circle-brand-5-round-stem-caster-for-6-steel-folding-scaffold/1528425844,12.0,"Circle Brand 5"" Round Stem Caster for 6' Steel Folding Scaffold",,$12 a piece or $40 for the set of 4,City of Toronto,< 6 hours ago,2020-10-07 18:16:00.709080
1528420763,/v-ladder-scaffolding/city-of-toronto/extension-ladder/1528420763,120.0,EXTENSION LADDER,,24 foot extension ladder,City of Toronto,< 6 hours ago,2020-10-07 18:16:00.709572
1528376275,/v-ladder-scaffolding/city-of-toronto/12-ft-metal-reinforced-solid-wood-step-ladder-w-22-round-rungs/1528376275,180.0,12 ft Metal Reinforced Solid Wood Step Ladder w/ 22 Round Rungs,,"If Ad is up, it means it is still available Vintage 12 foot Solid Wood Step Ladder with 22 Round Rungs Reinforced with Metal Wiring and Bracing Antique Vintage 22 rung ladder. Approximately 12 feet ...",City of Toronto,< 10 hours ago,2020-10-07 18:16:00.710101
1528371296,/v-ladder-scaffolding/city-of-toronto/solid-wood-classic-twin-step-ladder-4-rungs-45-inches/1528371296,50.0,Solid Wood Classic Twin Step Ladder 4 Rungs 45 Inches,,"If Ad is up, it means it is still available Vintage Solid Wood Classic Step Ladder 45 Inches Height with 4 Rungs Almost 3.75 ft tall (45 Inches) with 3 Rungs Can also be used as decorate for anyone ...",City of Toronto,< 11 hours ago,2020-10-07 18:16:00.710640
1517639210,/v-ladder-scaffolding/city-of-toronto/construction-ladders/1517639210,480.0,CONSTRUCTION LADDERS,,RETIRED GENERAL CONTRACTOR IS SELLING CONSTRUCTION LADDERS 14 RUNG ALUMINUM LADDER EXTENDS TO 28 FT FIRM PRICE $120.00 18 RUNG ALUMINUM LADDER EXTENDS TO 36 FT FOR ROOFERS TO MOVE SHINGLES TO THE TOP ...,City of Toronto,< 11 hours ago,2020-10-07 18:16:00.711135
1528345138,/v-ladder-scaffolding/city-of-toronto/werner-aluminum-4-feet-stepladder-200-lb-load-capacity/1528345138,30.0,Werner Aluminum 4 Feet Stepladder  (200 lb. Load Capacity),,Good deal on a barely used ladder. Very good condition. Costs $50 new at Home Depot. https://www.homedepot.ca/product/werner-aluminum-stepladder-grade-3-200-lb-load-capacity-4-feet/1000719015,City of Toronto,< 19 hours ago,2020-10-07 18:16:00.711637
1528322320,/v-ladder-scaffolding/city-of-toronto/used-7-ft-solid-wood-7-step-ladder-good-shape/1528322320,60.0,"Used 7 ft Solid Wood 7-Step Ladder, good shape",,"416-284-0811 no text FIRM PRICE NO OFFERS Used tall 7 ft Solid Wood 7-Step Ladder, good shape",City of Toronto,< 23 hours ago,2020-10-07 18:16:00.712128
1528311884,/v-ladder-scaffolding/city-of-toronto/gorilla-step-ladder/1528311884,25.0,Gorilla Step Ladder,,"Moving Sale 3 Step Ladder, purchased from Home Depot 6 months ago Comes with a tray for keeping your hardware 52.5 inches height $25 obo PICK UP ONLY - Intersection Steeles and Kipling",City of Toronto,< 24 hours ago,2020-10-07 18:16:00.712618
1528302722,/v-ladder-scaffolding/city-of-toronto/power-ladder/1528302722,2000.0,Power ladder,,"I have a new power ladder for sale only used on a couple jobs paid $3000 asking $2000 obo Ladder,motor and two extension",City of Toronto,Yesterday,2020-10-07 18:16:00.713110
1527503398,/v-ladder-scaffolding/city-of-toronto/scaffolding-for-sale/1527503398,15.0,Scaffolding for Sale,,Industrial scaffolding and accessories available for immediate purchase. Available components allow you to make three separate rolling scaffolds - OR - one stacked 3-level scaffold. (outriggers to be ...,City of Toronto,Yesterday,2020-10-07 18:16:00.713605
1528282064,/v-ladder-scaffolding/city-of-toronto/6-ft-step-ladder-45/1528282064,45.0,6 ft. Step Ladder $45,,"$45 - Six (6) feet light portable stepladder, Canada. Hardly used. Tel. 416-622-0649, NO TEXTS. Cash P/Up only in T.O. - ETOBICOKE (view map). Email with YOUR contact and P/Up day/hour, thanks. I am ...",City of Toronto,Yesterday,2020-10-07 18:16:00.714091
1528246698,/v-ladder-scaffolding/city-of-toronto/lite-extension-ladder-24ft/1528246698,120.0,"Lite Extension ladder, 24ft",,Lite brand 24 foot extension ladder. Aluminum and light weight. Fully functional and in great shape. No dents in the rungs.,City of Toronto,Yesterday,2020-10-07 18:16:00.714579
