,url,price,title,distance,description,location,time_offset,retreived
1521772705,/v-laptops/city-of-toronto/x1-carbon-6th-gen-1tb-ssd-16g-memory/1521772705,1200.0,X1 carbon 6th gen 1TB ssd + 16G Memory,,No warranty left. One corner of the shell with visible scratch. but laptop is functioning well. Machine Type Model: 20KH002HUS Processor: 1x Intel Core i7-8650U Processor(Core i7-8650U) Memory: 1x ...,City of Toronto,< 5 minutes ago,2020-10-07 17:41:51.402825
1528482861,/v-laptops/city-of-toronto/eurocom-m5-pro-15-6-gaming-laptop/1528482861,800.0,"Eurocom M5 Pro 15.6"" Gaming Laptop",,"I'm selling my Eurocom M5 Pro 15.6"" gaming laptop: Intel Core i7 4720HQ @ 2.60GHz 16GB Dual-Channel DDR3 3GB NVIDIA GeForce GTX 970M dedicated graphics 15.6-inch 2K FHD 1920x1080; IPS MATTE LCD ...",City of Toronto,< 11 minutes ago,2020-10-07 17:41:51.403323
1528480200,/v-laptops/city-of-toronto/huge-1tb-ssd-storage-i9-macbook-pro-16-brand-new/1528480200,3199.0,Huge 1TB SSD Storage i9 Macbook Pro 16 Brand New,,"Up for sale is an Apple Macbook Pro 16"" Brand New Seal Box ☆ Highend Spec i9 8-core processor ☆ Huge 1TB SSD Storage ☆ 16GB of Memory ☆ The most recent 2019 model ☆ AMD 5500M Graphic Pro ☆ Apple ...",City of Toronto,< 22 minutes ago,2020-10-07 17:41:51.404008
1528478955,/v-laptops/city-of-toronto/brand-new-hp-elitebook-1040-g3/1528478955,1000.0,Brand new HP Elitebook 1040 G3,,"Brand new HP Elitebook 1040 G3, never opened, original seal. Make me a reasonable offer. i7 6600 cpu 2.6GHz 16GB RAM 256 SSD Same as the one in the link below, except mine is 256 SSD, not 512. ...",City of Toronto,< 28 minutes ago,2020-10-07 17:41:51.404490
1528476776,/v-laptops/city-of-toronto/msi-gf65-thin-9sexr-249/1528476776,1090.0,MSI  GF65 Thin 9SEXR -249,,"About 7 months old, like new condition, everything except camera works well. Didn't use camera before. Don't know why it doesn't work. Compact, light yet very powerful gaming laptop. Intel Cores ...",City of Toronto,< 39 minutes ago,2020-10-07 17:41:51.404947
1528476643,/v-laptops/city-of-toronto/sale-for-macbook-pro-13-retina-2014-3-ghz-i7/1528476643,1200.0,"SALE FOR MACBOOK PRO 13 RETINA 2014,3 Ghz i7",,"SALE FOR MACBOOK PRO 13 RETINA 2014,3 Ghz Quad-core intel core i7 ,16GB Mem,512 GB SSD Perfect working condition A1502 ,Mid 2014 Cosmetic condition 9/10 , Battery cycle only 468. 3.00 Ghz Quad-core ...",City of Toronto,< 40 minutes ago,2020-10-07 17:41:51.405430
1528475036,/v-laptops/city-of-toronto/lenovo-t430-i5-8-gb-250-gb-ssd/1528475036,230.0,Lenovo T430 i5 - 8 GB + 250 GB SSD,,"For sale Lenovo T430 Laptop. Intel Core i5-3320M CPU @ 2.60 GHz. 3rd GEN. 8 GB RAM. 250 GB SSD Hard Drive. Built in camera. 14"" screen. 1600 x 900 Resolution. Windows 10 Pro fresh installed. Genuine ...",City of Toronto,< 50 minutes ago,2020-10-07 17:41:51.405931
1528474777,/v-laptops/city-of-toronto/lenovo-t440s/1528474777,450.0,Lenovo T440s,,"Lenovo T440s, mint condition. No warranty. Only laptop and charger. Intel Core i7-4600U CPU@2.10GHz 2.69GHz RAM 8GB Storage 256GB Windows 10 Pro Display 14 inch 1920*1080",City of Toronto,< 51 minutes ago,2020-10-07 17:41:51.406418
1528473392,/v-laptops/city-of-toronto/lenovo-thinkpad-t540p-business-laptop-w-fingerprint-reader/1528473392,250.0,Lenovo Thinkpad T540p Business Laptop w Fingerprint Reader,,"Very clean, excellent condition. Windows 10 Pro installed. Excellent battery life 5+ hours. Specifications: Intel core i3 4GB DDR3 Intel HD graphics 256GB SSD Original Charger",City of Toronto,< 59 minutes ago,2020-10-07 17:41:51.406905
1528471908,/v-laptops/city-of-toronto/lenovo-thinkpad-x1-extreme-2nd-gen-15-6/1528471908,2700.0,Lenovo Thinkpad X1 Extreme 2nd Gen 15.6,,"Mint condition lightly used Lenovo X1 Extreme. Windows 10 pro 64 Core i9, 1TB storage, 32GB Ram, finger print reader. Working amazing. Comes with charger.",City of Toronto,< 2 hours ago,2020-10-07 17:41:51.407397
